agency_cd	site_no	datetime	7655_00054_32400	7655_00054_32400_cd	7657_62614_32400	7657_62614_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	10344300	2013-01-01	175100	A	5932.73	A
USGS	10344300	2013-01-02	175000	A	5932.67	A
USGS	10344300	2013-01-03	174800	A	5932.63	A
USGS	10344300	2013-01-04	174700	A	5932.58	A
USGS	10344300	2013-01-05	174500	A	5932.51	A
USGS	10344300	2013-01-06	174300	A	5932.46	A
USGS	10344300	2013-01-07	174200	A	5932.41	A
USGS	10344300	2013-01-08	174100	A	5932.36	A
USGS	10344300	2013-01-09	173800	A	5932.27	A
USGS	10344300	2013-01-10	173700	A	5932.22	A
USGS	10344300	2013-01-11	173500	A	5932.18	A
USGS	10344300	2013-01-12	173400	A	5932.13	A
USGS	10344300	2013-01-13	173300	A	5932.09	A
USGS	10344300	2013-01-14	173200	A	5932.08	A
USGS	10344300	2013-01-15	173000	A	5932.01	A
USGS	10344300	2013-01-16	172900	A	5931.97	A
USGS	10344300	2013-01-17	172900	A	5931.96	A
USGS	10344300	2013-01-18	172800	A	5931.91	A
USGS	10344300	2013-01-19	172600	A	5931.87	A
USGS	10344300	2013-01-20	172500	A	5931.83	A
USGS	10344300	2013-01-21	172400	A	5931.80	A
USGS	10344300	2013-01-22	172400	A	5931.78	A
USGS	10344300	2013-01-23	172300	A	5931.74	A
USGS	10344300	2013-01-24	172200	A	5931.71	A
USGS	10344300	2013-01-25	172100	A	5931.69	A
USGS	10344300	2013-01-26	172000	A	5931.66	A
USGS	10344300	2013-01-27	171900	A	5931.62	A
USGS	10344300	2013-01-28	171900	A	5931.62	A
USGS	10344300	2013-01-29	171800	A	5931.59	A
USGS	10344300	2013-01-30	171800	A	5931.57	A
USGS	10344300	2013-01-31	171600	A	5931.52	A
USGS	10344300	2013-02-01	171600	A	5931.51	A
USGS	10344300	2013-02-02	171600	A	5931.49	A
USGS	10344300	2013-02-03	171400	A	5931.44	A
USGS	10344300	2013-02-04	171400	A	5931.42	A
USGS	10344300	2013-02-05	171200	A	5931.38	A
USGS	10344300	2013-02-06	171200	A	5931.36	A
USGS	10344300	2013-02-07	171100	A	5931.32	A
