agency_cd	site_no	datetime	247238_62614_00003	247238_62614_00003_cd
5s	15s	20d	14n	10s
USGS	14217599	2016-10-20	985.49	P
USGS	14217599	2016-10-21	986.39	P
USGS	14217599	2016-10-22	985.68	P
USGS	14217599	2016-10-23	984.89	P
USGS	14217599	2016-10-24	984.91	P
USGS	14217599	2016-10-25	984.67	P
USGS	14217599	2016-10-26	984.53	P
USGS	14217599	2016-10-27	985.22	P
USGS	14217599	2016-10-28	985.77	P
USGS	14217599	2016-10-29	985.40	P
USGS	14217599	2016-10-30	984.60	P
USGS	14217599	2016-10-31	985.38	P
USGS	14217599	2016-11-01	986.87	P
USGS	14217599	2016-11-02	987.90	P
USGS	14217599	2016-11-03	988.41	P
USGS	14217599	2016-11-04	988.41	P
USGS	14217599	2016-11-05	987.01	P
USGS	14217599	2016-11-06	985.66	P
USGS	14217599	2016-11-07	984.72	P
USGS	14217599	2016-11-08	983.72	P
USGS	14217599	2016-11-09	982.39	P
USGS	14217599	2016-11-10	980.98	P
USGS	14217599	2016-11-11	979.46	P
USGS	14217599	2016-11-12	978.39	P
USGS	14217599	2016-11-13	977.95	P
USGS	14217599	2016-11-14	978.10	P
USGS	14217599	2016-11-15	978.53	P
USGS	14217599	2016-11-16	979.11	P
USGS	14217599	2016-11-17	979.63	P
USGS	14217599	2016-11-18	979.77	P
USGS	14217599	2016-11-19	979.41	P
USGS	14217599	2016-11-20	979.24	P
USGS	14217599	2016-11-21	980.02	P
USGS	14217599	2016-11-22	979.80	P
USGS	14217599	2016-11-23	978.29	P
USGS	14217599	2016-11-24	977.67	P
USGS	14217599	2016-11-25	978.84	P
USGS	14217599	2016-11-26	979.63	P
USGS	14217599	2016-11-27	979.76	P
USGS	14217599	2016-11-28	979.07	P
USGS	14217599	2016-11-29	978.42	P
USGS	14217599	2016-11-30	977.84	P
USGS	14217599	2016-12-01	977.98	P
USGS	14217599	2016-12-02	977.50	P
USGS	14217599	2016-12-03	977.62	P
USGS	14217599	2016-12-04	979.06	P
USGS	14217599	2016-12-05	980.42	P
USGS	14217599	2016-12-06	980.35	P
USGS	14217599	2016-12-07	979.96	P
USGS	14217599	2016-12-08	979.25	P
USGS	14217599	2016-12-09	978.56	P
USGS	14217599	2016-12-10	977.61	P
USGS	14217599	2016-12-11	976.47	P
USGS	14217599	2016-12-12	975.74	P
USGS	14217599	2016-12-13	973.71	P
USGS	14217599	2016-12-14	972.39	P
USGS	14217599	2016-12-15	971.40	P
USGS	14217599	2016-12-16	969.81	P
USGS	14217599	2016-12-17	968.11	P
USGS	14217599	2016-12-18	966.51	P
USGS	14217599	2016-12-19	965.41	P
USGS	14217599	2016-12-20	965.27	P
USGS	14217599	2016-12-21	965.04	P
USGS	14217599	2016-12-22	963.97	P
USGS	14217599	2016-12-23	962.77	P
USGS	14217599	2016-12-24	961.90	P
USGS	14217599	2016-12-25	961.34	P
USGS	14217599	2016-12-26	960.57	P
USGS	14217599	2016-12-27	959.22	P
USGS	14217599	2016-12-28	957.84	P
USGS	14217599	2016-12-29	956.92	P
USGS	14217599	2016-12-30	956.77	P
USGS	14217599	2016-12-31	957.33	P
USGS	14217599	2017-01-01	958.23	P
USGS	14217599	2017-01-02	958.10	P
USGS	14217599	2017-01-03	955.62	P
USGS	14217599	2017-01-04	952.25	P
USGS	14217599	2017-01-05	950.73	P
USGS	14217599	2017-01-06	951.08	P
USGS	14217599	2017-01-07	951.64	P
USGS	14217599	2017-01-08	952.21	P
USGS	14217599	2017-01-09	952.53	P
USGS	14217599	2017-01-10	952.37	P
USGS	14217599	2017-01-11	952.27	P
USGS	14217599	2017-01-12	951.96	P
USGS	14217599	2017-01-13	951.25	P
USGS	14217599	2017-01-14	951.39	P
USGS	14217599	2017-01-15	951.76	P
USGS	14217599	2017-01-16	951.53	P
USGS	14217599	2017-01-17	951.48	P
USGS	14217599	2017-01-18	952.96	P
USGS	14217599	2017-01-19	956.09	P
USGS	14217599	2017-01-20	958.14	P
USGS	14217599	2017-01-21	959.86	P
USGS	14217599	2017-01-22	961.44	P
USGS	14217599	2017-01-23	962.49	P
USGS	14217599	2017-01-24	963.07	P
USGS	14217599	2017-01-25	963.90	P
USGS	14217599	2017-01-26	964.64	P
USGS	14217599	2017-01-27	965.39	P
USGS	14217599	2017-01-28	965.88	P
USGS	14217599	2017-01-29	966.01	P
USGS	14217599	2017-01-30	965.51	P
USGS	14217599	2017-01-31	965.13	P
USGS	14217599	2017-02-01	964.74	P
USGS	14217599	2017-02-02	964.02	P
USGS	14217599	2017-02-03	963.51	P
USGS	14217599	2017-02-04	963.64	P
USGS	14217599	2017-02-05	964.69	P
USGS	14217599	2017-02-06	965.72	P
USGS	14217599	2017-02-07	966.46	P
