agency_cd	site_no	datetime	217910_00054_32400	217910_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11406870	2013-01-01	37080	A
USGS	11406870	2013-01-02	38140	A
USGS	11406870	2013-01-03	38280	A
USGS	11406870	2013-01-04	39250	A
USGS	11406870	2013-01-05	36900	A
USGS	11406870	2013-01-06	34800	A
USGS	11406870	2013-01-07	36750	A
USGS	11406870	2013-01-08	38190	A
USGS	11406870	2013-01-09	39140	A
USGS	11406870	2013-01-10	40100	A
USGS	11406870	2013-01-11	40620	A
USGS	11406870	2013-01-12	38150	A
USGS	11406870	2013-01-13	35710	A
USGS	11406870	2013-01-14	34740	A
USGS	11406870	2013-01-15	35270	A
USGS	11406870	2013-01-16	34760	A
USGS	11406870	2013-01-17	35090	A
USGS	11406870	2013-01-18	35380	A
USGS	11406870	2013-01-19	34740	A
USGS	11406870	2013-01-20	34070	A
USGS	11406870	2013-01-21	34290	A
USGS	11406870	2013-01-22	34250	A
USGS	11406870	2013-01-23	35080	A
USGS	11406870	2013-01-24	35360	A
USGS	11406870	2013-01-25	35960	A
USGS	11406870	2013-01-26	35930	A
USGS	11406870	2013-01-27	35940	A
USGS	11406870	2013-01-28	35880	A
USGS	11406870	2013-01-29	37050	A
USGS	11406870	2013-01-30	37140	A
USGS	11406870	2013-01-31	37080	A
USGS	11406870	2013-02-01	37020	A
USGS	11406870	2013-02-02	37040	A
USGS	11406870	2013-02-03	36980	A
USGS	11406870	2013-02-04	36960	A
USGS	11406870	2013-02-05	36890	A
USGS	11406870	2013-02-06	37020	A
USGS	11406870	2013-02-07	36880	A
USGS	11406870	2013-02-08	36760	A
USGS	11406870	2013-02-09	36760	A
USGS	11406870	2013-02-10	36610	A
USGS	11406870	2013-02-11	36110	A
USGS	11406870	2013-02-12	35110	A
USGS	11406870	2013-02-13	34090	A
USGS	11406870	2013-02-14	33020	A
USGS	11406870	2013-02-15	32130	A
USGS	11406870	2013-02-16	31160	A
USGS	11406870	2013-02-17	30130	A
USGS	11406870	2013-02-18	29350	A
USGS	11406870	2013-02-19	28260	A
USGS	11406870	2013-02-20	27380	A
USGS	11406870	2013-02-21	26530	A
USGS	11406870	2013-02-22	25600	A:e
USGS	11406870	2013-02-23	24660	A
USGS	11406870	2013-02-24	23700	A
USGS	11406870	2013-02-25	23040	A
USGS	11406870	2013-02-26	22960	A
USGS	11406870	2013-02-27	22940	A
USGS	11406870	2013-02-28	22920	A
USGS	11406870	2013-03-01	22900	A
USGS	11406870	2013-03-02	22880	A
USGS	11406870	2013-03-03	22920	A
USGS	11406870	2013-03-04	24490	A
USGS	11406870	2013-03-05	27280	A
USGS	11406870	2013-03-06	28390	A
USGS	11406870	2013-03-07	31930	A
USGS	11406870	2013-03-08	33160	A
USGS	11406870	2013-03-09	36930	A
USGS	11406870	2013-03-10	37550	A
USGS	11406870	2013-03-11	36510	A
USGS	11406870	2013-03-12	35750	A
USGS	11406870	2013-03-13	36180	A
USGS	11406870	2013-03-14	37430	A
USGS	11406870	2013-03-15	38770	A
USGS	11406870	2013-03-16	38490	A
USGS	11406870	2013-03-17	35620	A
USGS	11406870	2013-03-18	37320	A
USGS	11406870	2013-03-19	40630	A
USGS	11406870	2013-03-20	41930	A
USGS	11406870	2013-03-21	43180	A
USGS	11406870	2013-03-22	44450	A
USGS	11406870	2013-03-23	43030	A
USGS	11406870	2013-03-24	41410	A
USGS	11406870	2013-03-25	43100	A
USGS	11406870	2013-03-26	43900	A
USGS	11406870	2013-03-27	44820	A
USGS	11406870	2013-03-28	43970	A
USGS	11406870	2013-03-29	44540	A
USGS	11406870	2013-03-30	43690	A
USGS	11406870	2013-03-31	40820	A
USGS	11406870	2013-04-01	39200	A
USGS	11406870	2013-04-02	38660	A
USGS	11406870	2013-04-03	38160	A
USGS	11406870	2013-04-04	38860	A
USGS	11406870	2013-04-05	39960	A
USGS	11406870	2013-04-06	38190	A
USGS	11406870	2013-04-07	36410	A
USGS	11406870	2013-04-08	37160	A
USGS	11406870	2013-04-09	38570	A
USGS	11406870	2013-04-10	38580	A
USGS	11406870	2013-04-11	36890	A
USGS	11406870	2013-04-12	35730	A
USGS	11406870	2013-04-13	33940	A
USGS	11406870	2013-04-14	32180	A
USGS	11406870	2013-04-15	31490	A
USGS	11406870	2013-04-16	31420	A
USGS	11406870	2013-04-17	31830	A
USGS	11406870	2013-04-18	32420	A
USGS	11406870	2013-04-19	33860	A
USGS	11406870	2013-04-20	32140	A
USGS	11406870	2013-04-21	29780	A
USGS	11406870	2013-04-22	31230	A
USGS	11406870	2013-04-23	30710	A
USGS	11406870	2013-04-24	32060	A
USGS	11406870	2013-04-25	34090	A
USGS	11406870	2013-04-26	34440	A
USGS	11406870	2013-04-27	36990	A
USGS	11406870	2013-04-28	39230	A
USGS	11406870	2013-04-29	41190	A
USGS	11406870	2013-04-30	42400	A
USGS	11406870	2013-05-01	42480	A
USGS	11406870	2013-05-02	41580	A
USGS	11406870	2013-05-03	39400	A
USGS	11406870	2013-05-04	36780	A
USGS	11406870	2013-05-05	34310	A
USGS	11406870	2013-05-06	31060	A
USGS	11406870	2013-05-07	27200	A
USGS	11406870	2013-05-08	26800	A
USGS	11406870	2013-05-09	28560	A
USGS	11406870	2013-05-10	29670	A
USGS	11406870	2013-05-11	31260	A
USGS	11406870	2013-05-12	32890	A
USGS	11406870	2013-05-13	33900	A
USGS	11406870	2013-05-14	33660	A
