agency_cd	site_no	datetime	217906_00054_32400	217906_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11406840	2013-02-28	11520	A
USGS	11406840	2013-03-01	11520	A
USGS	11406840	2013-03-02	11590	A
USGS	11406840	2013-03-03	11530	A
USGS	11406840	2013-03-04	11270	A
USGS	11406840	2013-03-05	11200	A
USGS	11406840	2013-03-06	11240	A
USGS	11406840	2013-03-07	11400	A
USGS	11406840	2013-03-08	11320	A
USGS	11406840	2013-03-09	11520	A
USGS	11406840	2013-03-10	11350	A
USGS	11406840	2013-03-11	10880	A
USGS	11406840	2013-03-12	11140	A
USGS	11406840	2013-03-13	11010	A
USGS	11406840	2013-03-14	11070	A
USGS	11406840	2013-03-15	11060	A
USGS	11406840	2013-03-16	10810	A
USGS	11406840	2013-03-17	11180	A
USGS	11406840	2013-03-18	11450	A
USGS	11406840	2013-03-19	11340	A
USGS	11406840	2013-03-20	11320	A
USGS	11406840	2013-03-21	11050	A
USGS	11406840	2013-03-22	10930	A
USGS	11406840	2013-03-23	11180	A
USGS	11406840	2013-03-24	11380	A
USGS	11406840	2013-03-25	11420	A
USGS	11406840	2013-03-26	11170	A
USGS	11406840	2013-03-27	11010	A
USGS	11406840	2013-03-28	11190	A
USGS	11406840	2013-03-29	11300	A
USGS	11406840	2013-03-30	11360	A
USGS	11406840	2013-03-31	11350	A
USGS	11406840	2013-04-01	11160	A
USGS	11406840	2013-04-02	10860	A
USGS	11406840	2013-04-03	10860	A
USGS	11406840	2013-04-04	11240	A
USGS	11406840	2013-04-05	11180	A
USGS	11406840	2013-04-06	11260	A
USGS	11406840	2013-04-07	11140	A
USGS	11406840	2013-04-08	11390	A
USGS	11406840	2013-04-09	11390	A
USGS	11406840	2013-04-10	11450	A
USGS	11406840	2013-04-11	11390	A
USGS	11406840	2013-04-12	11330	A
USGS	11406840	2013-04-13	11580	A
USGS	11406840	2013-04-14	11700	A
USGS	11406840	2013-04-15	11330	A
USGS	11406840	2013-04-16	11200	A
USGS	11406840	2013-04-17	11380	A
USGS	11406840	2013-04-18	11380	A
USGS	11406840	2013-04-19	11630	A
USGS	11406840	2013-04-20	11690	A
USGS	11406840	2013-04-21	11630	A
USGS	11406840	2013-04-22	11260	A
USGS	11406840	2013-04-23	11130	A
USGS	11406840	2013-04-24	10570	A
USGS	11406840	2013-04-25	10270	A
USGS	11406840	2013-04-26	11180	A
USGS	11406840	2013-04-27	11000	A
USGS	11406840	2013-04-28	10820	A
USGS	11406840	2013-04-29	10630	A
USGS	11406840	2013-04-30	11300	A
USGS	11406840	2013-05-01	11040	A
USGS	11406840	2013-05-02	10970	A
USGS	11406840	2013-05-03	11160	A
USGS	11406840	2013-05-04	11290	A
USGS	11406840	2013-05-05	11360	A
USGS	11406840	2013-05-06	11240	A
USGS	11406840	2013-05-07	11300	A
USGS	11406840	2013-05-08	10980	A
USGS	11406840	2013-05-09	10740	A
USGS	11406840	2013-05-10	10860	A
USGS	11406840	2013-05-11	11050	A
USGS	11406840	2013-05-12	11170	A
USGS	11406840	2013-05-13	11300	A
USGS	11406840	2013-05-14	11430	A
USGS	11406840	2013-05-15	11370	A
USGS	11406840	2013-05-16	11190	A
USGS	11406840	2013-05-17	11010	A
USGS	11406840	2013-05-18	10950	A
USGS	11406840	2013-05-19	10840	A
USGS	11406840	2013-05-20	11080	A
USGS	11406840	2013-05-21	10960	A
USGS	11406840	2013-05-22	10900	A
USGS	11406840	2013-05-23	10830	A
USGS	11406840	2013-05-24	10710	A
USGS	11406840	2013-05-25	11020	A
USGS	11406840	2013-05-26	11080	A
USGS	11406840	2013-05-27	11200	A
USGS	11406840	2013-05-28	11380	A
USGS	11406840	2013-05-29	11320	A
USGS	11406840	2013-05-30	11070	A
USGS	11406840	2013-05-31	10830	A
USGS	11406840	2013-06-01	10950	A
USGS	11406840	2013-06-02	11130	A
USGS	11406840	2013-06-03	11010	A
USGS	11406840	2013-06-04	11130	A
USGS	11406840	2013-06-05	11250	A
USGS	11406840	2013-06-06	11130	A
USGS	11406840	2013-06-07	10940	A
USGS	11406840	2013-06-08	11260	A
USGS	11406840	2013-06-09	11390	A
USGS	11406840	2013-06-10	11020	A
USGS	11406840	2013-06-11	10720	A
USGS	11406840	2013-06-12	11020	A
USGS	11406840	2013-06-13	11450	A
USGS	11406840	2013-06-14	11260	A
USGS	11406840	2013-06-15	10960	A
USGS	11406840	2013-06-16	11020	A
USGS	11406840	2013-06-17	11020	A
USGS	11406840	2013-06-18	11080	A
USGS	11406840	2013-06-19	11020	A
USGS	11406840	2013-06-20	11140	A
USGS	11406840	2013-06-21	11080	A
USGS	11406840	2013-06-22	11140	A
USGS	11406840	2013-06-23	11080	A
USGS	11406840	2013-06-24	11020	A
USGS	11406840	2013-06-25	10890	A
USGS	11406840	2013-06-26	10640	A
USGS	11406840	2013-06-27	10510	A
USGS	11406840	2013-06-28	10690	A
USGS	11406840	2013-06-29	10860	A
USGS	11406840	2013-06-30	10920	A
USGS	11406840	2013-07-01	11420	A
USGS	11406840	2013-07-02	10990	A
USGS	11406840	2013-07-03	11300	A
USGS	11406840	2013-07-04	11000	A
USGS	11406840	2013-07-05	11380	A
USGS	11406840	2013-07-06	10590	A
USGS	11406840	2013-07-07	10600	A
USGS	11406840	2013-07-08	11150	A
USGS	11406840	2013-07-09	11020	A
USGS	11406840	2013-07-10	10960	A
USGS	11406840	2013-07-11	10770	A
USGS	11406840	2013-07-12	10820	A
USGS	11406840	2013-07-13	10760	A
USGS	11406840	2013-07-14	10820	A
USGS	11406840	2013-07-15	10880	A
USGS	11406840	2013-07-16	10820	A
USGS	11406840	2013-07-17	10940	A
USGS	11406840	2013-07-18	10090	A
USGS	11406840	2013-07-19	10330	A
USGS	11406840	2013-07-20	10520	A
USGS	11406840	2013-07-21	10580	A
USGS	11406840	2013-07-22	10760	A
USGS	11406840	2013-07-23	11140	A
USGS	11406840	2013-07-24	11140	A
USGS	11406840	2013-07-25	10900	A
USGS	11406840	2013-07-26	10540	A
USGS	11406840	2013-07-27	10610	A
USGS	11406840	2013-07-28	10730	A
USGS	11406840	2013-07-29	11110	A
USGS	11406840	2013-07-30	11170	A
USGS	11406840	2013-07-31	10990	A
USGS	11406840	2013-08-01	11100	A
USGS	11406840	2013-08-02	10610	A
USGS	11406840	2013-08-03	9653	A
USGS	11406840	2013-08-04	10120	A
USGS	11406840	2013-08-05	10180	A
USGS	11406840	2013-08-06	10110	A
USGS	11406840	2013-08-07	10590	A
USGS	11406840	2013-08-08	11320	A
USGS	11406840	2013-08-09	11200	A
USGS	11406840	2013-08-10	10880	A
USGS	11406840	2013-08-11	10940	A
USGS	11406840	2013-08-12	10890	A
USGS	11406840	2013-08-13	10830	A
USGS	11406840	2013-08-14	10720	A
USGS	11406840	2013-08-15	10420	A
USGS	11406840	2013-08-16	10490	A
USGS	11406840	2013-08-17	10740	A
USGS	11406840	2013-08-18	11060	A
USGS	11406840	2013-08-19	11190	A
USGS	11406840	2013-08-20	11130	A
USGS	11406840	2013-08-21	11000	A
USGS	11406840	2013-08-22	10560	A
USGS	11406840	2013-08-23	10740	A
USGS	11406840	2013-08-24	10970	A
USGS	11406840	2013-08-25	11400	A
USGS	11406840	2013-08-26	11580	A
USGS	11406840	2013-08-27	11200	A
USGS	11406840	2013-08-28	10900	A
USGS	11406840	2013-08-29	10840	A
USGS	11406840	2013-08-30	10900	A
USGS	11406840	2013-08-31	10780	A
USGS	11406840	2013-09-01	10780	A
USGS	11406840	2013-09-02	10360	A
USGS	11406840	2013-09-03	10720	A
USGS	11406840	2013-09-04	11070	A
USGS	11406840	2013-09-05	11060	A
USGS	11406840	2013-09-06	11040	A
USGS	11406840	2013-09-07	11030	A
USGS	11406840	2013-09-08	11010	A
USGS	11406840	2013-09-09	11140	A
USGS	11406840	2013-09-10	10960	A
USGS	11406840	2013-09-11	10610	A
USGS	11406840	2013-09-12	10860	A
USGS	11406840	2013-09-13	11680	A
USGS	11406840	2013-09-14	11380	A
USGS	11406840	2013-09-15	11140	A
USGS	11406840	2013-09-16	11270	A
USGS	11406840	2013-09-17	11210	A
USGS	11406840	2013-09-18	9817	A
USGS	11406840	2013-09-19	9057	A
USGS	11406840	2013-09-20	9268	A
USGS	11406840	2013-09-21	9107	A
USGS	11406840	2013-09-22	9046	A
USGS	11406840	2013-09-23	9042	A
USGS	11406840	2013-09-24	11430	A
USGS	11406840	2013-09-25	10810	A
USGS	11406840	2013-09-26	11060	A
USGS	11406840	2013-09-27	11560	A
USGS	11406840	2013-09-28	11060	A
USGS	11406840	2013-09-29	10760	A
USGS	11406840	2013-09-30	10890	A
USGS	11406840	2013-10-01	11180	A
USGS	11406840	2013-10-02	10930	A
USGS	11406840	2013-10-03	10570	A
USGS	11406840	2013-10-04	10750	A
USGS	11406840	2013-10-05	10880	A
USGS	11406840	2013-10-06	10880	A
USGS	11406840	2013-10-07	11010	A
USGS	11406840	2013-10-08	11130	A
USGS	11406840	2013-10-09	11310	A
USGS	11406840	2013-10-10	11240	A
USGS	11406840	2013-10-11	11360	A
USGS	11406840	2013-10-12	10930	A
USGS	11406840	2013-10-13	10990	A
USGS	11406840	2013-10-14	11170	A
USGS	11406840	2013-10-15	11540	A
USGS	11406840	2013-10-16	10980	A
USGS	11406840	2013-10-17	11280	A
USGS	11406840	2013-10-18	11350	A
USGS	11406840	2013-10-19	11430	A
USGS	11406840	2013-10-20	11070	A
USGS	11406840	2013-10-21	11010	A
USGS	11406840	2013-10-22	11250	A
USGS	11406840	2013-10-23	11250	A
USGS	11406840	2013-10-24	11240	A
USGS	11406840	2013-10-25	11240	A
USGS	11406840	2013-10-26	11290	A
USGS	11406840	2013-10-27	11290	A
USGS	11406840	2013-10-28	11290	A
USGS	11406840	2013-10-29	11540	A
USGS	11406840	2013-10-30	11050	A
USGS	11406840	2013-10-31	10740	A
USGS	11406840	2013-11-01	10870	A
USGS	11406840	2013-11-02	11110	A
USGS	11406840	2013-11-03	11240	A
USGS	11406840	2013-11-04	11060	A
USGS	11406840	2013-11-05	10880	A
USGS	11406840	2013-11-06	11250	A
USGS	11406840	2013-11-07	11250	A
USGS	11406840	2013-11-08	11440	A
USGS	11406840	2013-11-09	10940	A
USGS	11406840	2013-11-10	10820	A
USGS	11406840	2013-11-11	10940	A
USGS	11406840	2013-11-12	11070	A
USGS	11406840	2013-11-13	11190	A
USGS	11406840	2013-11-14	11260	A
USGS	11406840	2013-11-15	11330	A
USGS	11406840	2013-11-16	11330	A
USGS	11406840	2013-11-17	11270	A
USGS	11406840	2013-11-18	11270	A
USGS	11406840	2013-11-19	11340	A
USGS	11406840	2013-11-20	11580	A
USGS	11406840	2013-11-21	11650	A
USGS	11406840	2013-11-22	11710	A
USGS	11406840	2013-11-23	11710	A
USGS	11406840	2013-11-24	11710	A
USGS	11406840	2013-11-25	11340	A
USGS	11406840	2013-11-26	11260	A
USGS	11406840	2013-11-27	11190	A
USGS	11406840	2013-11-28	11180	A
USGS	11406840	2013-11-29	11220	A
USGS	11406840	2013-11-30	11210	A
USGS	11406840	2013-12-01	11190	A
USGS	11406840	2013-12-02	11190	A
USGS	11406840	2013-12-03	11200	A
USGS	11406840	2013-12-04	11150	A
USGS	11406840	2013-12-05	10250	A
USGS	11406840	2013-12-06	10560	A
USGS	11406840	2013-12-07	10750	A
USGS	11406840	2013-12-08	11000	A
USGS	11406840	2013-12-09	11570	A
USGS	11406840	2013-12-10	11570	A
USGS	11406840	2013-12-11	11500	A
USGS	11406840	2013-12-12	11500	A
USGS	11406840	2013-12-13	11490	A
USGS	11406840	2013-12-14	11550	A
USGS	11406840	2013-12-15	11540	A
USGS	11406840	2013-12-16	11660	A
USGS	11406840	2013-12-17	12170	A
USGS	11406840	2013-12-18	11920	A
USGS	11406840	2013-12-19	11610	A
USGS	11406840	2013-12-20	11310	A
USGS	11406840	2013-12-21	11250	A
USGS	11406840	2013-12-22	11320	A
USGS	11406840	2013-12-23	10890	A
USGS	11406840	2013-12-24	10640	A
USGS	11406840	2013-12-25	10760	A
USGS	11406840	2013-12-26	10990	A
USGS	11406840	2013-12-27	11110	A
USGS	11406840	2013-12-28	11100	A
USGS	11406840	2013-12-29	11100	A
USGS	11406840	2013-12-30	11030	A
USGS	11406840	2013-12-31	10960	A
USGS	11406840	2014-01-01	10710	A
USGS	11406840	2014-01-02	10900	A
USGS	11406840	2014-01-03	11340	A
USGS	11406840	2014-01-04	11540	A
USGS	11406840	2014-01-05	11670	A
USGS	11406840	2014-01-06	11680	A
USGS	11406840	2014-01-07	11690	A
USGS	11406840	2014-01-08	11640	A
USGS	11406840	2014-01-09	11770	A
USGS	11406840	2014-01-10	11890	A
USGS	11406840	2014-01-11	11830	A
USGS	11406840	2014-01-12	10960	A
USGS	11406840	2014-01-13	11330	A
USGS	11406840	2014-01-14	11140	A
USGS	11406840	2014-01-15	11390	A
USGS	11406840	2014-01-16	11330	A
USGS	11406840	2014-01-17	11140	A
USGS	11406840	2014-01-18	11330	A
USGS	11406840	2014-01-19	11580	A
USGS	11406840	2014-01-20	11640	A
USGS	11406840	2014-01-21	11760	A
USGS	11406840	2014-01-22	11820	A
USGS	11406840	2014-01-23	11690	A
USGS	11406840	2014-01-24	11620	A
USGS	11406840	2014-01-25	11620	A
USGS	11406840	2014-01-26	11610	A
USGS	11406840	2014-01-27	11680	A
