agency_cd	site_no	datetime	213399_00054_32400	213399_00054_32400_cd
5s	15s	20d	14n	10s
USGS	10287700	2013-01-01	318.0	A
USGS	10287700	2013-01-02	314.0	A
USGS	10287700	2013-01-03	310.0	A
USGS	10287700	2013-01-04	307.0	A
USGS	10287700	2013-01-05	303.0	A
USGS	10287700	2013-01-06	301.0	A
USGS	10287700	2013-01-07	297.0	A
USGS	10287700	2013-01-08	293.0	A
USGS	10287700	2013-01-09	287.0	A
USGS	10287700	2013-01-10	287.0	A
USGS	10287700	2013-01-11	284.0	A
USGS	10287700	2013-01-12	280.0	A
USGS	10287700	2013-01-13	277.0	A
USGS	10287700	2013-01-14	274.0	A
USGS	10287700	2013-01-15	269.0	A
USGS	10287700	2013-01-16	266.0	A
USGS	10287700	2013-01-17	263.0	A
USGS	10287700	2013-01-18	259.0	A
USGS	10287700	2013-01-19	257.0	A
USGS	10287700	2013-01-20	253.0	A
USGS	10287700	2013-01-21	249.0	A
USGS	10287700	2013-01-22	246.0	A
USGS	10287700	2013-01-23	244.0	A
USGS	10287700	2013-01-24	240.0	A
USGS	10287700	2013-01-25	237.0	A
USGS	10287700	2013-01-26	236.0	A
USGS	10287700	2013-01-27	232.0	A
USGS	10287700	2013-01-28	230.0	A
USGS	10287700	2013-01-29	226.0	A
USGS	10287700	2013-01-30	223.0	A
USGS	10287700	2013-01-31	220.0	A
USGS	10287700	2013-02-01	217.0	A
USGS	10287700	2013-02-02	214.0	A
USGS	10287700	2013-02-03	211.0	A
USGS	10287700	2013-02-04	209.0	A
USGS	10287700	2013-02-05	206.0	A
USGS	10287700	2013-02-06	203.0	A
USGS	10287700	2013-02-07	200.0	A
USGS	10287700	2013-02-08	198.0	A
USGS	10287700	2013-02-09	196.0	A
USGS	10287700	2013-02-10	192.0	A
USGS	10287700	2013-02-11	190.0	A
USGS	10287700	2013-02-12	188.0	A
USGS	10287700	2013-02-13	185.0	A
USGS	10287700	2013-02-14	182.0	A
USGS	10287700	2013-02-15	180.0	A
USGS	10287700	2013-02-16	178.0	A
USGS	10287700	2013-02-17	175.0	A
USGS	10287700	2013-02-18	173.0	A
USGS	10287700	2013-02-19	171.0	A
USGS	10287700	2013-02-20	169.0	A
USGS	10287700	2013-02-21	166.0	A
USGS	10287700	2013-02-22	164.0	A
USGS	10287700	2013-02-23	162.0	A
USGS	10287700	2013-02-24	159.0	A
USGS	10287700	2013-02-25	157.0	A
USGS	10287700	2013-02-26	155.0	A
USGS	10287700	2013-02-27	153.0	A
USGS	10287700	2013-02-28	150.0	A
USGS	10287700	2013-03-01	148.0	A
USGS	10287700	2013-03-02	147.0	A
USGS	10287700	2013-03-03	146.0	A
USGS	10287700	2013-03-04	143.0	A
USGS	10287700	2013-03-05	142.0	A
USGS	10287700	2013-03-06	142.0	A
USGS	10287700	2013-03-07	141.0	A
USGS	10287700	2013-03-08	141.0	A
USGS	10287700	2013-03-09	139.0	A
USGS	10287700	2013-03-10	137.0	A
USGS	10287700	2013-03-11	135.0	A
USGS	10287700	2013-03-12	134.0	A
USGS	10287700	2013-03-13	133.0	A
USGS	10287700	2013-03-14	132.0	A
USGS	10287700	2013-03-15	131.0	A
USGS	10287700	2013-03-16	129.0	A
USGS	10287700	2013-03-17	130.0	A
USGS	10287700	2013-03-18	129.0	A
USGS	10287700	2013-03-19	131.0	A
USGS	10287700	2013-03-20	130.0	A
USGS	10287700	2013-03-21	129.0	A
USGS	10287700	2013-03-22	129.0	A
USGS	10287700	2013-03-23	128.0	A
USGS	10287700	2013-03-24	128.0	A
USGS	10287700	2013-03-25	129.0	A
USGS	10287700	2013-03-26	127.0	A
USGS	10287700	2013-03-27	127.0	A
USGS	10287700	2013-03-28	127.0	A
USGS	10287700	2013-03-29	126.0	A
USGS	10287700	2013-03-30	127.0	A
USGS	10287700	2013-03-31	129.0	A
USGS	10287700	2013-04-01	129.0	A
USGS	10287700	2013-04-02	129.0	A
USGS	10287700	2013-04-03	130.0	A
USGS	10287700	2013-04-04	132.0	A
USGS	10287700	2013-04-05	132.0	A
USGS	10287700	2013-04-06	134.0	A
USGS	10287700	2013-04-07	136.0	A
USGS	10287700	2013-04-08	133.0	A
USGS	10287700	2013-04-09	133.0	A
USGS	10287700	2013-04-10	136.0	A
USGS	10287700	2013-04-11	122.0	A
USGS	10287700	2013-04-12	107.0	A
USGS	10287700	2013-04-13	106.0	A
USGS	10287700	2013-04-14	101.0	A
USGS	10287700	2013-04-15	101.0	A
USGS	10287700	2013-04-16	99.00	A
USGS	10287700	2013-04-17	98.00	A
USGS	10287700	2013-04-18	97.00	A
USGS	10287700	2013-04-19	97.00	A
USGS	10287700	2013-04-20	98.00	A
USGS	10287700	2013-04-21	102.0	A
USGS	10287700	2013-04-22	108.0	A
USGS	10287700	2013-04-23	112.0	A
USGS	10287700	2013-04-24	112.0	A
USGS	10287700	2013-04-25	111.0	A
USGS	10287700	2013-04-26	115.0	A
USGS	10287700	2013-04-27	121.0	A
USGS	10287700	2013-04-28	130.0	A
USGS	10287700	2013-04-29	144.0	A
USGS	10287700	2013-04-30	157.0	A
USGS	10287700	2013-05-01	155.0	A
USGS	10287700	2013-05-02	170.0	A
USGS	10287700	2013-05-03	204.0	A
USGS	10287700	2013-05-04	231.0	A
USGS	10287700	2013-05-05	250.0	A
USGS	10287700	2013-05-06	265.0	A
USGS	10287700	2013-05-07	276.0	A
USGS	10287700	2013-05-08	289.0	A
USGS	10287700	2013-05-09	306.0	A
USGS	10287700	2013-05-10	334.0	A
USGS	10287700	2013-05-11	375.0	A
USGS	10287700	2013-05-12	422.0	A
USGS	10287700	2013-05-13	475.0	A
USGS	10287700	2013-05-14	523.0	A
USGS	10287700	2013-05-15	567.0	A
USGS	10287700	2013-05-16	595.0	A
USGS	10287700	2013-05-17	619.0	A
USGS	10287700	2013-05-18	640.0	A
USGS	10287700	2013-05-19	662.0	A
USGS	10287700	2013-05-20	685.0	A
USGS	10287700	2013-05-21	705.0	A
USGS	10287700	2013-05-22	725.0	A
USGS	10287700	2013-05-23	737.0	A
USGS	10287700	2013-05-24	750.0	A
USGS	10287700	2013-05-25	761.0	A
USGS	10287700	2013-05-26	773.0	A
USGS	10287700	2013-05-27	786.0	A
USGS	10287700	2013-05-28	804.0	A
USGS	10287700	2013-05-29	822.0	A
USGS	10287700	2013-05-30	836.0	A
USGS	10287700	2013-05-31	849.0	A
USGS	10287700	2013-06-01	867.0	A
USGS	10287700	2013-06-02	886.0	A
USGS	10287700	2013-06-03	906.0	A
USGS	10287700	2013-06-04	922.0	A
USGS	10287700	2013-06-05	936.0	A
USGS	10287700	2013-06-06	949.0	A
USGS	10287700	2013-06-07	963.0	A
USGS	10287700	2013-06-08	977.0	A
USGS	10287700	2013-06-09	993.0	A
USGS	10287700	2013-06-10	1010	A
USGS	10287700	2013-06-11	1020	A
USGS	10287700	2013-06-12	1030	A
USGS	10287700	2013-06-13	1030	A
USGS	10287700	2013-06-14	1040	A
USGS	10287700	2013-06-15	1040	A
USGS	10287700	2013-06-16	1050	A
USGS	10287700	2013-06-17	1050	A
USGS	10287700	2013-06-18	1050	A
USGS	10287700	2013-06-19	1060	A
USGS	10287700	2013-06-20	1060	A
USGS	10287700	2013-06-21	1060	A
USGS	10287700	2013-06-22	1070	A
USGS	10287700	2013-06-23	1070	A
USGS	10287700	2013-06-24	1070	A
USGS	10287700	2013-06-25	1080	A
USGS	10287700	2013-06-26	1080	A
USGS	10287700	2013-06-27	1090	A
USGS	10287700	2013-06-28	1100	A
USGS	10287700	2013-06-29	1100	A
USGS	10287700	2013-06-30	1110	A
USGS	10287700	2013-07-01	1110	A
USGS	10287700	2013-07-02	1120	A
USGS	10287700	2013-07-03	1120	A
USGS	10287700	2013-07-04	1130	A
USGS	10287700	2013-07-05	1130	A
USGS	10287700	2013-07-06	1130	A
USGS	10287700	2013-07-07	1130	A
USGS	10287700	2013-07-08	1140	A
USGS	10287700	2013-07-09	1140	A
USGS	10287700	2013-07-10	1140	A
USGS	10287700	2013-07-11	1140	A
USGS	10287700	2013-07-12	1150	A
USGS	10287700	2013-07-13	1150	A
USGS	10287700	2013-07-14	1150	A
USGS	10287700	2013-07-15	1160	A
USGS	10287700	2013-07-16	1160	A
USGS	10287700	2013-07-17	1160	A
USGS	10287700	2013-07-18	1160	A
USGS	10287700	2013-07-19	1170	A
USGS	10287700	2013-07-20	1170	A
USGS	10287700	2013-07-21	1170	A
USGS	10287700	2013-07-22	1180	A
USGS	10287700	2013-07-23	1180	A
USGS	10287700	2013-07-24	1180	A
USGS	10287700	2013-07-25	1190	A
USGS	10287700	2013-07-26	1190	A
USGS	10287700	2013-07-27	1190	A
USGS	10287700	2013-07-28	1200	A
USGS	10287700	2013-07-29	1200	A
USGS	10287700	2013-07-30	1200	A
USGS	10287700	2013-07-31	1200	A
USGS	10287700	2013-08-01	1200	A
USGS	10287700	2013-08-02	1200	A
USGS	10287700	2013-08-03	1200	A
USGS	10287700	2013-08-04	1200	A
USGS	10287700	2013-08-05	1200	A
USGS	10287700	2013-08-06	1200	A
USGS	10287700	2013-08-07	1200	A
USGS	10287700	2013-08-08	1200	A
USGS	10287700	2013-08-09	1200	A
USGS	10287700	2013-08-10	1200	A
USGS	10287700	2013-08-11	1200	A
USGS	10287700	2013-08-12	1190	A
USGS	10287700	2013-08-13	1190	A
USGS	10287700	2013-08-14	1190	A
USGS	10287700	2013-08-15	1190	A
USGS	10287700	2013-08-16	1190	A
USGS	10287700	2013-08-17	1190	A
USGS	10287700	2013-08-18	1190	A
USGS	10287700	2013-08-19	1190	A
USGS	10287700	2013-08-20	1190	A
USGS	10287700	2013-08-21	1190	A
USGS	10287700	2013-08-22	1190	A
USGS	10287700	2013-08-23	1190	A
USGS	10287700	2013-08-24	1190	A
USGS	10287700	2013-08-25	1190	A
USGS	10287700	2013-08-26	1190	A
USGS	10287700	2013-08-27	1190	A
USGS	10287700	2013-08-28	1180	A
USGS	10287700	2013-08-29	1180	A
USGS	10287700	2013-08-30	1180	A
USGS	10287700	2013-08-31	1180	A
USGS	10287700	2013-09-01	1180	A
USGS	10287700	2013-09-02	1180	A
USGS	10287700	2013-09-03	1180	A
USGS	10287700	2013-09-04	1180	A
USGS	10287700	2013-09-05	1180	A
USGS	10287700	2013-09-06	1170	A
USGS	10287700	2013-09-07	1170	A
USGS	10287700	2013-09-08	1170	A
USGS	10287700	2013-09-09	1170	A
USGS	10287700	2013-09-10	1170	A
USGS	10287700	2013-09-11	1170	A
USGS	10287700	2013-09-12	1170	A
USGS	10287700	2013-09-13	1170	A
USGS	10287700	2013-09-14	1170	A
USGS	10287700	2013-09-15	1170	A
USGS	10287700	2013-09-16	1170	A
USGS	10287700	2013-09-17	1160	A
USGS	10287700	2013-09-18	1160	A
USGS	10287700	2013-09-19	1160	A
USGS	10287700	2013-09-20	1160	A
USGS	10287700	2013-09-21	1160	A
USGS	10287700	2013-09-22	1160	A
USGS	10287700	2013-09-23	1160	A
USGS	10287700	2013-09-24	1150	A
USGS	10287700	2013-09-25	1150	A
USGS	10287700	2013-09-26	1150	A
USGS	10287700	2013-09-27	1150	A
USGS	10287700	2013-09-28	1150	A
USGS	10287700	2013-09-29	1150	A
USGS	10287700	2013-09-30	1140	A
USGS	10287700	2013-10-01	1140	A
USGS	10287700	2013-10-02	1140	A
USGS	10287700	2013-10-03	1140	A
USGS	10287700	2013-10-04	1130	A
USGS	10287700	2013-10-05	1130	A
USGS	10287700	2013-10-06	1130	A
USGS	10287700	2013-10-07	1130	A
USGS	10287700	2013-10-08	1130	A
USGS	10287700	2013-10-09	1130	A
USGS	10287700	2013-10-10	1130	A
USGS	10287700	2013-10-11	1120	A
USGS	10287700	2013-10-12	1120	A
USGS	10287700	2013-10-13	1120	A
USGS	10287700	2013-10-14	1120	A
USGS	10287700	2013-10-15	1110	A
USGS	10287700	2013-10-16	1110	A
USGS	10287700	2013-10-17	1110	A
USGS	10287700	2013-10-18	1110	A
USGS	10287700	2013-10-19	1100	A
USGS	10287700	2013-10-20	1100	A
USGS	10287700	2013-10-21	1100	A
USGS	10287700	2013-10-22	1100	A
USGS	10287700	2013-10-23	1090	A
USGS	10287700	2013-10-24	1090	A
USGS	10287700	2013-10-25	1090	A
USGS	10287700	2013-10-26	1090	A
USGS	10287700	2013-10-27	1090	A
USGS	10287700	2013-10-28	1090	A
USGS	10287700	2013-10-29	1080	A
USGS	10287700	2013-10-30	1080	A
USGS	10287700	2013-10-31	1080	A
USGS	10287700	2013-11-01	1080	A
USGS	10287700	2013-11-02	1070	A
USGS	10287700	2013-11-03	1070	A
USGS	10287700	2013-11-04	1070	A
USGS	10287700	2013-11-05	1070	A
USGS	10287700	2013-11-06	1060	A
USGS	10287700	2013-11-07	1060	A
USGS	10287700	2013-11-08	1060	A
USGS	10287700	2013-11-09	1060	A
USGS	10287700	2013-11-10	1050	A
USGS	10287700	2013-11-11	1050	A
