agency_cd	site_no	datetime	217227_00054_31600	217227_00054_31600_cd
5s	15s	20d	14n	10s
USGS	11525400	2013-01-01	1908000	A
USGS	11525400	2013-01-02	1906000	A
USGS	11525400	2013-01-03	1904000	A
USGS	11525400	2013-01-04	1902000	A
USGS	11525400	2013-01-05	1901000	A
USGS	11525400	2013-01-06	1901000	A
USGS	11525400	2013-01-07	1900000	A
USGS	11525400	2013-01-08	1900000	A
USGS	11525400	2013-01-09	1900000	A
USGS	11525400	2013-01-10	1901000	A
USGS	11525400	2013-01-11	1901000	A
USGS	11525400	2013-01-12	1902000	A
USGS	11525400	2013-01-13	1904000	A
USGS	11525400	2013-01-14	1904000	A
USGS	11525400	2013-01-15	1905000	A
USGS	11525400	2013-01-16	1906000	A
USGS	11525400	2013-01-17	1906000	A
USGS	11525400	2013-01-18	1907000	A
USGS	11525400	2013-01-19	1909000	A
USGS	11525400	2013-01-20	1911000	A
USGS	11525400	2013-01-21	1912000	A
USGS	11525400	2013-01-22	1913000	A
USGS	11525400	2013-01-23	1916000	A
USGS	11525400	2013-01-24	1919000	A
USGS	11525400	2013-01-25	1924000	A
USGS	11525400	2013-01-26	1928000	A
USGS	11525400	2013-01-27	1931000	A
USGS	11525400	2013-01-28	1934000	A
USGS	11525400	2013-01-29	1937000	A
USGS	11525400	2013-01-30	1940000	A
USGS	11525400	2013-01-31	1943000	A
USGS	11525400	2013-02-01	1945000	A
USGS	11525400	2013-02-02	1947000	A
USGS	11525400	2013-02-03	1949000	A
USGS	11525400	2013-02-04	1951000	A
USGS	11525400	2013-02-05	1953000	A
USGS	11525400	2013-02-06	1956000	A
USGS	11525400	2013-02-07	1958000	A
USGS	11525400	2013-02-08	1960000	A
USGS	11525400	2013-02-09	1962000	A
USGS	11525400	2013-02-10	1964000	A
USGS	11525400	2013-02-11	1965000	A
USGS	11525400	2013-02-12	1966000	A
USGS	11525400	2013-02-13	1967000	A
USGS	11525400	2013-02-14	1968000	A
USGS	11525400	2013-02-15	1970000	A
USGS	11525400	2013-02-16	1971000	A
USGS	11525400	2013-02-17	1973000	A
USGS	11525400	2013-02-18	1974000	A
USGS	11525400	2013-02-19	1976000	A
USGS	11525400	2013-02-20	1978000	A
USGS	11525400	2013-02-21	1979000	A
USGS	11525400	2013-02-22	1979000	A
USGS	11525400	2013-02-23	1981000	A
USGS	11525400	2013-02-24	1983000	A
USGS	11525400	2013-02-25	1984000	A
USGS	11525400	2013-02-26	1984000	A
USGS	11525400	2013-02-27	1985000	A
USGS	11525400	2013-02-28	1986000	A
USGS	11525400	2013-03-01	1987000	A
USGS	11525400	2013-03-02	1988000	A
USGS	11525400	2013-03-03	1990000	A
USGS	11525400	2013-03-04	1992000	A
USGS	11525400	2013-03-05	1996000	A
USGS	11525400	2013-03-06	1999000	A
USGS	11525400	2013-03-07	2000000	A
USGS	11525400	2013-03-08	2002000	A
USGS	11525400	2013-03-09	2004000	A
USGS	11525400	2013-03-10	2006000	A
USGS	11525400	2013-03-11	2008000	A
USGS	11525400	2013-03-12	2011000	A
USGS	11525400	2013-03-13	2013000	A
USGS	11525400	2013-03-14	2016000	A
USGS	11525400	2013-03-15	2020000	A
USGS	11525400	2013-03-16	2023000	A
USGS	11525400	2013-03-17	2027000	A
USGS	11525400	2013-03-18	2028000	A
USGS	11525400	2013-03-19	2030000	A
USGS	11525400	2013-03-20	2035000	A
USGS	11525400	2013-03-21	2039000	A
USGS	11525400	2013-03-22	2042000	A
USGS	11525400	2013-03-23	2046000	A
USGS	11525400	2013-03-24	2048000	A
USGS	11525400	2013-03-25	2051000	A
USGS	11525400	2013-03-26	2052000	A
USGS	11525400	2013-03-27	2056000	A
USGS	11525400	2013-03-28	2059000	A
USGS	11525400	2013-03-29	2063000	A
USGS	11525400	2013-03-30	2067000	A
