agency_cd	site_no	datetime	236056_00054_32400	236056_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11299995	2013-01-01	38760	A
USGS	11299995	2013-01-02	38290	A
USGS	11299995	2013-01-03	37800	A
USGS	11299995	2013-01-04	37310	A
USGS	11299995	2013-01-05	36820	A
USGS	11299995	2013-01-06	36550	A
USGS	11299995	2013-01-07	36130	A
USGS	11299995	2013-01-08	35680	A
USGS	11299995	2013-01-09	35210	A
USGS	11299995	2013-01-10	35200	A
USGS	11299995	2013-01-11	34720	A
USGS	11299995	2013-01-12	34710	A
USGS	11299995	2013-01-13	34210	A
USGS	11299995	2013-01-14	34540	A
USGS	11299995	2013-01-15	34010	A
USGS	11299995	2013-01-16	34530	A
USGS	11299995	2013-01-17	34640	A
USGS	11299995	2013-01-18	34570	A
USGS	11299995	2013-01-19	33960	A
USGS	11299995	2013-01-20	34420	A
USGS	11299995	2013-01-21	33810	A
USGS	11299995	2013-01-22	34320	A
USGS	11299995	2013-01-23	33700	A
USGS	11299995	2013-01-24	34200	A
USGS	11299995	2013-01-25	33570	A
USGS	11299995	2013-01-26	32990	A
USGS	11299995	2013-01-27	32930	A
USGS	11299995	2013-01-28	33490	A
USGS	11299995	2013-01-29	33380	A
USGS	11299995	2013-01-30	33190	A
USGS	11299995	2013-01-31	33450	A
USGS	11299995	2013-02-01	33700	A
USGS	11299995	2013-02-02	33830	A
USGS	11299995	2013-02-03	33730	A
USGS	11299995	2013-02-04	34090	A
USGS	11299995	2013-02-05	33970	A
USGS	11299995	2013-02-06	33970	A
USGS	11299995	2013-02-07	33980	A
USGS	11299995	2013-02-08	34060	A
USGS	11299995	2013-02-09	34090	A
USGS	11299995	2013-02-10	34110	A
USGS	11299995	2013-02-11	33840	A
USGS	11299995	2013-02-12	34110	A
USGS	11299995	2013-02-13	36200	A
USGS	11299995	2013-02-14	37940	A
USGS	11299995	2013-02-15	38460	A
USGS	11299995	2013-02-16	37910	A
USGS	11299995	2013-02-17	38310	A
USGS	11299995	2013-02-18	38980	A
USGS	11299995	2013-02-19	39390	A
USGS	11299995	2013-02-20	39720	A
USGS	11299995	2013-02-21	40530	A
USGS	11299995	2013-02-22	40780	A
USGS	11299995	2013-02-23	41180	A
USGS	11299995	2013-02-24	41510	A
USGS	11299995	2013-02-25	42260	A
USGS	11299995	2013-02-26	43760	A
USGS	11299995	2013-02-27	42850	A
USGS	11299995	2013-02-28	43940	A
USGS	11299995	2013-03-01	45340	A
USGS	11299995	2013-03-02	46030	A
USGS	11299995	2013-03-03	45970	A
USGS	11299995	2013-03-04	47250	A
USGS	11299995	2013-03-05	47650	A
USGS	11299995	2013-03-06	48120	A
USGS	11299995	2013-03-07	48160	A
USGS	11299995	2013-03-08	48630	A
USGS	11299995	2013-03-09	49740	A
USGS	11299995	2013-03-10	50170	A
USGS	11299995	2013-03-11	50380	A
USGS	11299995	2013-03-12	50560	A
USGS	11299995	2013-03-13	51060	A
USGS	11299995	2013-03-14	52370	A
USGS	11299995	2013-03-15	52980	A
USGS	11299995	2013-03-16	52500	A
USGS	11299995	2013-03-17	52210	A
USGS	11299995	2013-03-18	54070	A
USGS	11299995	2013-03-19	54730	A
USGS	11299995	2013-03-20	54140	A
USGS	11299995	2013-03-21	54090	A
USGS	11299995	2013-03-22	54640	A
USGS	11299995	2013-03-23	54830	A
USGS	11299995	2013-03-24	55380	A
USGS	11299995	2013-03-25	55540	A
USGS	11299995	2013-03-26	56190	A
USGS	11299995	2013-03-27	56260	A
USGS	11299995	2013-03-28	56040	A
USGS	11299995	2013-03-29	56520	A
USGS	11299995	2013-03-30	56840	A
USGS	11299995	2013-03-31	56970	A
USGS	11299995	2013-04-01	56750	A
USGS	11299995	2013-04-02	57530	A
USGS	11299995	2013-04-03	57850	A
USGS	11299995	2013-04-04	58070	A
USGS	11299995	2013-04-05	58530	A
USGS	11299995	2013-04-06	58630	A
USGS	11299995	2013-04-07	57300	A
USGS	11299995	2013-04-08	57930	A
USGS	11299995	2013-04-09	57790	A
USGS	11299995	2013-04-10	57680	A
USGS	11299995	2013-04-11	57550	A
USGS	11299995	2013-04-12	56830	A
USGS	11299995	2013-04-13	56710	A
USGS	11299995	2013-04-14	56520	A
USGS	11299995	2013-04-15	57140	A
USGS	11299995	2013-04-16	57830	A
