agency_cd	site_no	datetime	213410_00054_32400	213410_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11293350	2013-01-01	3115	A
USGS	11293350	2013-01-02	3112	A
USGS	11293350	2013-01-03	3110	A
USGS	11293350	2013-01-04	3110	A
USGS	11293350	2013-01-05	3112	A
USGS	11293350	2013-01-06	3115	A
USGS	11293350	2013-01-07	3112	A
USGS	11293350	2013-01-08	3112	A
USGS	11293350	2013-01-09	3121	A
USGS	11293350	2013-01-10	3117	A
USGS	11293350	2013-01-11	3115	A
USGS	11293350	2013-01-12	3112	A
USGS	11293350	2013-01-13	3112	A
USGS	11293350	2013-01-14	3110	A
USGS	11293350	2013-01-15	3110	A
USGS	11293350	2013-01-16	3108	A
USGS	11293350	2013-01-17	3110	A
USGS	11293350	2013-01-18	3112	A
USGS	11293350	2013-01-19	3112	A
USGS	11293350	2013-01-20	3112	A
USGS	11293350	2013-01-21	3115	A
USGS	11293350	2013-01-22	3117	A
USGS	11293350	2013-01-23	3117	A
USGS	11293350	2013-01-24	3123	A
USGS	11293350	2013-01-25	3139	A
USGS	11293350	2013-01-26	3132	A
USGS	11293350	2013-01-27	3126	A
USGS	11293350	2013-01-28	3126	A
USGS	11293350	2013-01-29	3121	A
USGS	11293350	2013-01-30	3121	A
USGS	11293350	2013-01-31	3123	A
USGS	11293350	2013-02-01	3123	A
USGS	11293350	2013-02-02	3121	A
USGS	11293350	2013-02-03	3119	A
USGS	11293350	2013-02-04	3119	A
USGS	11293350	2013-02-05	3119	A
USGS	11293350	2013-02-06	3115	A
USGS	11293350	2013-02-07	3112	A
USGS	11293350	2013-02-08	3110	A
USGS	11293350	2013-02-09	3106	A
USGS	11293350	2013-02-10	3108	A
USGS	11293350	2013-02-11	3106	A
USGS	11293350	2013-02-12	3101	A
USGS	11293350	2013-02-13	3097	A
USGS	11293350	2013-02-14	3095	A
USGS	11293350	2013-02-15	3097	A
USGS	11293350	2013-02-16	3097	A
USGS	11293350	2013-02-17	3077	A
USGS	11293350	2013-02-18	3056	A
USGS	11293350	2013-02-19	3043	A
USGS	11293350	2013-02-20	3030	A
USGS	11293350	2013-02-21	3014	A
USGS	11293350	2013-02-22	3001	A
USGS	11293350	2013-02-23	2991	A
USGS	11293350	2013-02-24	2978	A
USGS	11293350	2013-02-25	2967	A
USGS	11293350	2013-02-26	2956	A
USGS	11293350	2013-02-27	2948	A
USGS	11293350	2013-02-28	2944	A
USGS	11293350	2013-03-01	2959	A
USGS	11293350	2013-03-02	2995	A
USGS	11293350	2013-03-03	3056	A
USGS	11293350	2013-03-04	3084	A
USGS	11293350	2013-03-05	3106	A
USGS	11293350	2013-03-06	3119	A
USGS	11293350	2013-03-07	3115	A
USGS	11293350	2013-03-08	3117	A
USGS	11293350	2013-03-09	3110	A
USGS	11293350	2013-03-10	3112	A
USGS	11293350	2013-03-11	3126	A
USGS	11293350	2013-03-12	3137	A
USGS	11293350	2013-03-13	3143	A
USGS	11293350	2013-03-14	3148	A
USGS	11293350	2013-03-15	3143	A
USGS	11293350	2013-03-16	3139	A
USGS	11293350	2013-03-17	3139	A
USGS	11293350	2013-03-18	3137	A
USGS	11293350	2013-03-19	3143	A
USGS	11293350	2013-03-20	3141	A
USGS	11293350	2013-03-21	3139	A
USGS	11293350	2013-03-22	3134	A
USGS	11293350	2013-03-23	3132	A
USGS	11293350	2013-03-24	3139	A
USGS	11293350	2013-03-25	3139	A
USGS	11293350	2013-03-26	3134	A
USGS	11293350	2013-03-27	3139	A
USGS	11293350	2013-03-28	3141	A
USGS	11293350	2013-03-29	3150	A
USGS	11293350	2013-03-30	3150	A
USGS	11293350	2013-03-31	3152	A
USGS	11293350	2013-04-01	3143	A
USGS	11293350	2013-04-02	3145	A
USGS	11293350	2013-04-03	3152	A
USGS	11293350	2013-04-04	3152	A
USGS	11293350	2013-04-05	3152	A
USGS	11293350	2013-04-06	3150	A
USGS	11293350	2013-04-07	3158	A
USGS	11293350	2013-04-08	3145	A
USGS	11293350	2013-04-09	3139	A
USGS	11293350	2013-04-10	3154	A
USGS	11293350	2013-04-11	3167	A
USGS	11293350	2013-04-12	3171	A
USGS	11293350	2013-04-13	3176	A
USGS	11293350	2013-04-14	3169	A
USGS	11293350	2013-04-15	3152	A
USGS	11293350	2013-04-16	3141	A
USGS	11293350	2013-04-17	3137	A
USGS	11293350	2013-04-18	3141	A
USGS	11293350	2013-04-19	3154	A
USGS	11293350	2013-04-20	3165	A
USGS	11293350	2013-04-21	3176	A
USGS	11293350	2013-04-22	3176	A
USGS	11293350	2013-04-23	3169	A
USGS	11293350	2013-04-24	3161	A
USGS	11293350	2013-04-25	3161	A
USGS	11293350	2013-04-26	3167	A
USGS	11293350	2013-04-27	3174	A
USGS	11293350	2013-04-28	3169	A
USGS	11293350	2013-04-29	3174	A
USGS	11293350	2013-04-30	3165	A
USGS	11293350	2013-05-01	3150	A
USGS	11293350	2013-05-02	3156	A
USGS	11293350	2013-05-03	3163	A
USGS	11293350	2013-05-04	3152	A
USGS	11293350	2013-05-05	3143	A
USGS	11293350	2013-05-06	3145	A
USGS	11293350	2013-05-07	3148	A
USGS	11293350	2013-05-08	3150	A
USGS	11293350	2013-05-09	3154	A
USGS	11293350	2013-05-10	3161	A
USGS	11293350	2013-05-11	3156	A
USGS	11293350	2013-05-12	3158	A
USGS	11293350	2013-05-13	3156	A
USGS	11293350	2013-05-14	3154	A
USGS	11293350	2013-05-15	3145	A
USGS	11293350	2013-05-16	3154	A
USGS	11293350	2013-05-17	3143	A
USGS	11293350	2013-05-18	3137	A
USGS	11293350	2013-05-19	3132	A
USGS	11293350	2013-05-20	3134	A
USGS	11293350	2013-05-21	3134	A
USGS	11293350	2013-05-22	3126	A
USGS	11293350	2013-05-23	3121	A
USGS	11293350	2013-05-24	3119	A
USGS	11293350	2013-05-25	3119	A
USGS	11293350	2013-05-26	3119	A
USGS	11293350	2013-05-27	3123	A
USGS	11293350	2013-05-28	3137	A
USGS	11293350	2013-05-29	3132	A
USGS	11293350	2013-05-30	3123	A
USGS	11293350	2013-05-31	3117	A
USGS	11293350	2013-06-01	3117	A
USGS	11293350	2013-06-02	3117	A
USGS	11293350	2013-06-03	3115	A
USGS	11293350	2013-06-04	3110	A
USGS	11293350	2013-06-05	3106	A
USGS	11293350	2013-06-06	3099	A
USGS	11293350	2013-06-07	3093	A
USGS	11293350	2013-06-08	3088	A
USGS	11293350	2013-06-09	3080	A
USGS	11293350	2013-06-10	3069	A
USGS	11293350	2013-06-11	3053	A
USGS	11293350	2013-06-12	3034	A
USGS	11293350	2013-06-13	3017	A
USGS	11293350	2013-06-14	2995	A
USGS	11293350	2013-06-15	2976	A
USGS	11293350	2013-06-16	2954	A
USGS	11293350	2013-06-17	2935	A
USGS	11293350	2013-06-18	2913	A
USGS	11293350	2013-06-19	2894	A
USGS	11293350	2013-06-20	2875	A
USGS	11293350	2013-06-21	2856	A
USGS	11293350	2013-06-22	2837	A
USGS	11293350	2013-06-23	2817	A
USGS	11293350	2013-06-24	2834	A
USGS	11293350	2013-06-25	2946	A
USGS	11293350	2013-06-26	2963	A
USGS	11293350	2013-06-27	2959	A
USGS	11293350	2013-06-28	2948	A
USGS	11293350	2013-06-29	2933	A
USGS	11293350	2013-06-30	2913	A
USGS	11293350	2013-07-01	2894	A
USGS	11293350	2013-07-02	2877	A
USGS	11293350	2013-07-03	2858	A
USGS	11293350	2013-07-04	2839	A
USGS	11293350	2013-07-05	2820	A
USGS	11293350	2013-07-06	2796	A
USGS	11293350	2013-07-07	2777	A
USGS	11293350	2013-07-08	2756	A
USGS	11293350	2013-07-09	2736	A
USGS	11293350	2013-07-10	2715	A
USGS	11293350	2013-07-11	2696	A
USGS	11293350	2013-07-12	2677	A
USGS	11293350	2013-07-13	2657	A
USGS	11293350	2013-07-14	2638	A
USGS	11293350	2013-07-15	2622	A
USGS	11293350	2013-07-16	2603	A
USGS	11293350	2013-07-17	2585	A
USGS	11293350	2013-07-18	2569	A
USGS	11293350	2013-07-19	2550	A
USGS	11293350	2013-07-20	2534	A
USGS	11293350	2013-07-21	2520	A
USGS	11293350	2013-07-22	2502	A
USGS	11293350	2013-07-23	2488	A
USGS	11293350	2013-07-24	2472	A
USGS	11293350	2013-07-25	2455	A
USGS	11293350	2013-07-26	2439	A
USGS	11293350	2013-07-27	2423	A
USGS	11293350	2013-07-28	2406	A
USGS	11293350	2013-07-29	2390	A
