agency_cd	site_no	datetime	216850_00054_32400	216850_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11441001	2013-01-01	179700	A
USGS	11441001	2013-01-02	179800	A
USGS	11441001	2013-01-03	179600	A
USGS	11441001	2013-01-04	179600	A
USGS	11441001	2013-01-05	179500	A
USGS	11441001	2013-01-06	179800	A
USGS	11441001	2013-01-07	180300	A
USGS	11441001	2013-01-08	181500	A
USGS	11441001	2013-01-09	183100	A
USGS	11441001	2013-01-10	184600	A
USGS	11441001	2013-01-11	185700	A
USGS	11441001	2013-01-12	186300	A
USGS	11441001	2013-01-13	186100	A
USGS	11441001	2013-01-14	186300	A
USGS	11441001	2013-01-15	186600	A
USGS	11441001	2013-01-16	187200	A
USGS	11441001	2013-01-17	187300	A
USGS	11441001	2013-01-18	187500	A
USGS	11441001	2013-01-19	187800	A
USGS	11441001	2013-01-20	187500	A
USGS	11441001	2013-01-21	187400	A
USGS	11441001	2013-01-22	187600	A
USGS	11441001	2013-01-23	188200	A
USGS	11441001	2013-01-24	188900	A
USGS	11441001	2013-01-25	189800	A
USGS	11441001	2013-01-26	191000	A
USGS	11441001	2013-01-27	191600	A
USGS	11441001	2013-01-28	192200	A
USGS	11441001	2013-01-29	192700	A
USGS	11441001	2013-01-30	192600	A
USGS	11441001	2013-01-31	192300	A
USGS	11441001	2013-02-01	192000	A
USGS	11441001	2013-02-02	191600	A
USGS	11441001	2013-02-03	191200	A
USGS	11441001	2013-02-04	191200	A
USGS	11441001	2013-02-05	191300	A
USGS	11441001	2013-02-06	191800	A
USGS	11441001	2013-02-07	192300	A
USGS	11441001	2013-02-08	192700	A
USGS	11441001	2013-02-09	192700	A
USGS	11441001	2013-02-10	192800	A
USGS	11441001	2013-02-11	193200	A
USGS	11441001	2013-02-12	193500	A
USGS	11441001	2013-02-13	193800	A
USGS	11441001	2013-02-14	194200	A
USGS	11441001	2013-02-15	194600	A
USGS	11441001	2013-02-16	194700	A
USGS	11441001	2013-02-17	195100	A
USGS	11441001	2013-02-18	195400	A
USGS	11441001	2013-02-19	195900	A
USGS	11441001	2013-02-20	196200	A
USGS	11441001	2013-02-21	196600	A
USGS	11441001	2013-02-22	196800	A
USGS	11441001	2013-02-23	196800	A
USGS	11441001	2013-02-24	196900	A
USGS	11441001	2013-02-25	197200	A
USGS	11441001	2013-02-26	197500	A
USGS	11441001	2013-02-27	197900	A
USGS	11441001	2013-02-28	198200	A
USGS	11441001	2013-03-01	198300	A
USGS	11441001	2013-03-02	198500	A
USGS	11441001	2013-03-03	199300	A
USGS	11441001	2013-03-04	199900	A
USGS	11441001	2013-03-05	200500	A
USGS	11441001	2013-03-06	201400	A
USGS	11441001	2013-03-07	201800	A
USGS	11441001	2013-03-08	202400	A
USGS	11441001	2013-03-09	202700	A
USGS	11441001	2013-03-10	202900	A
USGS	11441001	2013-03-11	203200	A
USGS	11441001	2013-03-12	203900	A
USGS	11441001	2013-03-13	204900	A
USGS	11441001	2013-03-14	206000	A
USGS	11441001	2013-03-15	207200	A
USGS	11441001	2013-03-16	208300	A
USGS	11441001	2013-03-17	209200	A
USGS	11441001	2013-03-18	210100	A
USGS	11441001	2013-03-19	211000	A
USGS	11441001	2013-03-20	213400	A
USGS	11441001	2013-03-21	215400	A
USGS	11441001	2013-03-22	216600	A
USGS	11441001	2013-03-23	217600	A
USGS	11441001	2013-03-24	218400	A
USGS	11441001	2013-03-25	219300	A
USGS	11441001	2013-03-26	219700	A
USGS	11441001	2013-03-27	220200	A
USGS	11441001	2013-03-28	220600	A
USGS	11441001	2013-03-29	221100	A
USGS	11441001	2013-03-30	221400	A
USGS	11441001	2013-03-31	222300	A
USGS	11441001	2013-04-01	223000	A
USGS	11441001	2013-04-02	223900	A
USGS	11441001	2013-04-03	224900	A
USGS	11441001	2013-04-04	226300	A
USGS	11441001	2013-04-05	228200	A
USGS	11441001	2013-04-06	229300	A
USGS	11441001	2013-04-07	230700	A
USGS	11441001	2013-04-08	231800	A
USGS	11441001	2013-04-09	232500	A
USGS	11441001	2013-04-10	233200	A
USGS	11441001	2013-04-11	234200	A
USGS	11441001	2013-04-12	235300	A
USGS	11441001	2013-04-13	236300	A
USGS	11441001	2013-04-14	237500	A
USGS	11441001	2013-04-15	238500	A
USGS	11441001	2013-04-16	239200	A
USGS	11441001	2013-04-17	239700	A
USGS	11441001	2013-04-18	240400	A
USGS	11441001	2013-04-19	241000	A
USGS	11441001	2013-04-20	241700	A
USGS	11441001	2013-04-21	242600	A
USGS	11441001	2013-04-22	243000	A
USGS	11441001	2013-04-23	244100	A
USGS	11441001	2013-04-24	244600	A
USGS	11441001	2013-04-25	245000	A
USGS	11441001	2013-04-26	245800	A
USGS	11441001	2013-04-27	246700	A
USGS	11441001	2013-04-28	247500	A
USGS	11441001	2013-04-29	248100	A
USGS	11441001	2013-04-30	249000	A
USGS	11441001	2013-05-01	249300	A
USGS	11441001	2013-05-02	249500	A
USGS	11441001	2013-05-03	249700	A
USGS	11441001	2013-05-04	249900	A
USGS	11441001	2013-05-05	250400	A
USGS	11441001	2013-05-06	251600	A
USGS	11441001	2013-05-07	252500	A
USGS	11441001	2013-05-08	253300	A
USGS	11441001	2013-05-09	253900	A
USGS	11441001	2013-05-10	254400	A
USGS	11441001	2013-05-11	254600	A
USGS	11441001	2013-05-12	255000	A
USGS	11441001	2013-05-13	255000	A
USGS	11441001	2013-05-14	255400	A
USGS	11441001	2013-05-15	255600	A
USGS	11441001	2013-05-16	256000	A
USGS	11441001	2013-05-17	256400	A
USGS	11441001	2013-05-18	256700	A
USGS	11441001	2013-05-19	256800	A
USGS	11441001	2013-05-20	256600	A
USGS	11441001	2013-05-21	256400	A
USGS	11441001	2013-05-22	256200	A
USGS	11441001	2013-05-23	255900	A
USGS	11441001	2013-05-24	255500	A
USGS	11441001	2013-05-25	255100	A
USGS	11441001	2013-05-26	255300	A
USGS	11441001	2013-05-27	255400	A
USGS	11441001	2013-05-28	255700	A
USGS	11441001	2013-05-29	255800	A
USGS	11441001	2013-05-30	255900	A
USGS	11441001	2013-05-31	255900	A
USGS	11441001	2013-06-01	256000	A
USGS	11441001	2013-06-02	256500	A
USGS	11441001	2013-06-03	256500	A
USGS	11441001	2013-06-04	256600	A
USGS	11441001	2013-06-05	256500	A
USGS	11441001	2013-06-06	256000	A
USGS	11441001	2013-06-07	255400	A
USGS	11441001	2013-06-08	254900	A
USGS	11441001	2013-06-09	254900	A
USGS	11441001	2013-06-10	254900	A
USGS	11441001	2013-06-11	255000	A
USGS	11441001	2013-06-12	254400	A
USGS	11441001	2013-06-13	254300	A
USGS	11441001	2013-06-14	253800	A
USGS	11441001	2013-06-15	253400	A
USGS	11441001	2013-06-16	252900	A
USGS	11441001	2013-06-17	252100	A
USGS	11441001	2013-06-18	251200	A
USGS	11441001	2013-06-19	250500	A
USGS	11441001	2013-06-20	250200	A
USGS	11441001	2013-06-21	249000	A
USGS	11441001	2013-06-22	248000	A
USGS	11441001	2013-06-23	247300	A
USGS	11441001	2013-06-24	246900	A
USGS	11441001	2013-06-25	247300	A
USGS	11441001	2013-06-26	246800	A
USGS	11441001	2013-06-27	246300	A
USGS	11441001	2013-06-28	245700	A
USGS	11441001	2013-06-29	245000	A
USGS	11441001	2013-06-30	244400	A
USGS	11441001	2013-07-01	243800	A
USGS	11441001	2013-07-02	243300	A
USGS	11441001	2013-07-03	242300	A
USGS	11441001	2013-07-04	241600	A
USGS	11441001	2013-07-05	241300	A
USGS	11441001	2013-07-06	240700	A
USGS	11441001	2013-07-07	240100	A
USGS	11441001	2013-07-08	239200	A
USGS	11441001	2013-07-09	238200	A
USGS	11441001	2013-07-10	237200	A
USGS	11441001	2013-07-11	236000	A
USGS	11441001	2013-07-12	235200	A
USGS	11441001	2013-07-13	234300	A
USGS	11441001	2013-07-14	233100	A
USGS	11441001	2013-07-15	232300	A
USGS	11441001	2013-07-16	231800	A
USGS	11441001	2013-07-17	231000	A
USGS	11441001	2013-07-18	230200	A
USGS	11441001	2013-07-19	229200	A
USGS	11441001	2013-07-20	228200	A
USGS	11441001	2013-07-21	226500	A
USGS	11441001	2013-07-22	224900	A
USGS	11441001	2013-07-23	223700	A
USGS	11441001	2013-07-24	222900	A
USGS	11441001	2013-07-25	221700	A
USGS	11441001	2013-07-26	220500	A
USGS	11441001	2013-07-27	219800	A
USGS	11441001	2013-07-28	218700	A
USGS	11441001	2013-07-29	218100	A
USGS	11441001	2013-07-30	217200	A
USGS	11441001	2013-07-31	216200	A
USGS	11441001	2013-08-01	215300	A
USGS	11441001	2013-08-02	214200	A
USGS	11441001	2013-08-03	213300	A
USGS	11441001	2013-08-04	211900	A
USGS	11441001	2013-08-05	211000	A
USGS	11441001	2013-08-06	210200	A
USGS	11441001	2013-08-07	209100	A
USGS	11441001	2013-08-08	208000	A
USGS	11441001	2013-08-09	206300	A
USGS	11441001	2013-08-10	205200	A
USGS	11441001	2013-08-11	204200	A
USGS	11441001	2013-08-12	203300	A
USGS	11441001	2013-08-13	202600	A
USGS	11441001	2013-08-14	201700	A
USGS	11441001	2013-08-15	200900	A
USGS	11441001	2013-08-16	199600	A
USGS	11441001	2013-08-17	198500	A
USGS	11441001	2013-08-18	197700	A
USGS	11441001	2013-08-19	195700	A
USGS	11441001	2013-08-20	194500	A
USGS	11441001	2013-08-21	193500	A
USGS	11441001	2013-08-22	192400	A
USGS	11441001	2013-08-23	191500	A
USGS	11441001	2013-08-24	190400	A
USGS	11441001	2013-08-25	189200	A
USGS	11441001	2013-08-26	187600	A
USGS	11441001	2013-08-27	186600	A
USGS	11441001	2013-08-28	185400	A
USGS	11441001	2013-08-29	184400	A
USGS	11441001	2013-08-30	183000	A
USGS	11441001	2013-08-31	181800	A
USGS	11441001	2013-09-01	180800	A
USGS	11441001	2013-09-02	180000	A
USGS	11441001	2013-09-03	179200	A
USGS	11441001	2013-09-04	178700	A
USGS	11441001	2013-09-05	178000	A
USGS	11441001	2013-09-06	176900	A
USGS	11441001	2013-09-07	176300	A
USGS	11441001	2013-09-08	175200	A
USGS	11441001	2013-09-09	174000	A
USGS	11441001	2013-09-10	173500	A
USGS	11441001	2013-09-11	173000	A
USGS	11441001	2013-09-12	172400	A
USGS	11441001	2013-09-13	171900	A
USGS	11441001	2013-09-14	171400	A
USGS	11441001	2013-09-15	170800	A
USGS	11441001	2013-09-16	170400	A
USGS	11441001	2013-09-17	170100	A
USGS	11441001	2013-09-18	169800	A
USGS	11441001	2013-09-19	169000	A
USGS	11441001	2013-09-20	168500	A
USGS	11441001	2013-09-21	168600	A
USGS	11441001	2013-09-22	168800	A
USGS	11441001	2013-09-23	168000	A
USGS	11441001	2013-09-24	167400	A
USGS	11441001	2013-09-25	167000	A
USGS	11441001	2013-09-26	166700	A
USGS	11441001	2013-09-27	165900	A
USGS	11441001	2013-09-28	165300	A
USGS	11441001	2013-09-29	164600	A
USGS	11441001	2013-09-30	164500	A
USGS	11441001	2013-10-01	164200	A
USGS	11441001	2013-10-02	163800	A
USGS	11441001	2013-10-03	163400	A
USGS	11441001	2013-10-04	162900	A
USGS	11441001	2013-10-05	162500	A
USGS	11441001	2013-10-06	161600	A
USGS	11441001	2013-10-07	161000	A
USGS	11441001	2013-10-08	160800	A
USGS	11441001	2013-10-09	159900	A
USGS	11441001	2013-10-10	158100	A
USGS	11441001	2013-10-11	156600	A
USGS	11441001	2013-10-12	155700	A
USGS	11441001	2013-10-13	154800	A
USGS	11441001	2013-10-14	154600	A
USGS	11441001	2013-10-15	154600	A
USGS	11441001	2013-10-16	154600	A
USGS	11441001	2013-10-17	154600	A
USGS	11441001	2013-10-18	154600	A
USGS	11441001	2013-10-19	154600	A
USGS	11441001	2013-10-20	154600	A
USGS	11441001	2013-10-21	154600	A
USGS	11441001	2013-10-22	154600	A
USGS	11441001	2013-10-23	154600	A
USGS	11441001	2013-10-24	154600	A
USGS	11441001	2013-10-25	154600	A
USGS	11441001	2013-10-26	154600	A
USGS	11441001	2013-10-27	154600	A
USGS	11441001	2013-10-28	154800	A
USGS	11441001	2013-10-29	154800	A
USGS	11441001	2013-10-30	154800	A
USGS	11441001	2013-10-31	154200	A
USGS	11441001	2013-11-01	153700	A
USGS	11441001	2013-11-02	152900	A
USGS	11441001	2013-11-03	152200	A
USGS	11441001	2013-11-04	151900	A
USGS	11441001	2013-11-05	152000	A
USGS	11441001	2013-11-06	151600	A
USGS	11441001	2013-11-07	151200	A
USGS	11441001	2013-11-08	150900	A
USGS	11441001	2013-11-09	150200	A
USGS	11441001	2013-11-10	149600	A
USGS	11441001	2013-11-11	149300	A
USGS	11441001	2013-11-12	149000	A
USGS	11441001	2013-11-13	148700	A
USGS	11441001	2013-11-14	148500	A
USGS	11441001	2013-11-15	148100	A
USGS	11441001	2013-11-16	147400	A
USGS	11441001	2013-11-17	146800	A
USGS	11441001	2013-11-18	146600	A
USGS	11441001	2013-11-19	146300	A
USGS	11441001	2013-11-20	146800	A
USGS	11441001	2013-11-21	146900	A
USGS	11441001	2013-11-22	146500	A
USGS	11441001	2013-11-23	145900	A
USGS	11441001	2013-11-24	145200	A
USGS	11441001	2013-11-25	144900	A
