agency_cd	site_no	datetime	213513_00054_32400	213513_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11315400	2013-01-01	3200	A
USGS	11315400	2013-01-02	3040	A
USGS	11315400	2013-01-03	2900	A
USGS	11315400	2013-01-04	2760	A
USGS	11315400	2013-01-05	2620	A
USGS	11315400	2013-01-06	2490	A
USGS	11315400	2013-01-07	2350	A
USGS	11315400	2013-01-08	2230	A
USGS	11315400	2013-01-09	2120	A
USGS	11315400	2013-01-10	2010	A
USGS	11315400	2013-01-11	1890	A
USGS	11315400	2013-01-12	1770	A
USGS	11315400	2013-01-13	1650	A
USGS	11315400	2013-01-14	1530	A
USGS	11315400	2013-01-15	1420	A
USGS	11315400	2013-01-16	1320	A
USGS	11315400	2013-01-17	1220	A
USGS	11315400	2013-01-18	1140	A
USGS	11315400	2013-01-19	1060	A
USGS	11315400	2013-01-20	990.0	A
USGS	11315400	2013-01-21	924.0	A
USGS	11315400	2013-01-22	945.0	A
USGS	11315400	2013-01-23	1040	A
USGS	11315400	2013-01-24	1180	A
USGS	11315400	2013-01-25	1560	A
USGS	11315400	2013-01-26	1900	A
USGS	11315400	2013-01-27	2100	A
USGS	11315400	2013-01-28	2230	A
USGS	11315400	2013-01-29	2350	A
USGS	11315400	2013-01-30	2460	A
USGS	11315400	2013-01-31	2580	A
USGS	11315400	2013-02-01	2700	A
USGS	11315400	2013-02-02	2810	A
USGS	11315400	2013-02-03	2910	A
USGS	11315400	2013-02-04	3020	A
USGS	11315400	2013-02-05	3120	A
USGS	11315400	2013-02-06	3220	A
USGS	11315400	2013-02-07	3300	A
USGS	11315400	2013-02-08	3380	A
USGS	11315400	2013-02-09	3450	A
USGS	11315400	2013-02-10	3510	A
USGS	11315400	2013-02-11	3580	A
USGS	11315400	2013-02-12	3630	A
USGS	11315400	2013-02-13	3690	A
USGS	11315400	2013-02-14	3750	A
USGS	11315400	2013-02-15	3820	A
USGS	11315400	2013-02-16	3910	A
USGS	11315400	2013-02-17	3980	A
USGS	11315400	2013-02-18	4050	A
USGS	11315400	2013-02-19	4120	A
USGS	11315400	2013-02-20	4200	A
USGS	11315400	2013-02-21	4260	A
USGS	11315400	2013-02-22	4320	A
USGS	11315400	2013-02-23	4370	A
USGS	11315400	2013-02-24	4430	A
USGS	11315400	2013-02-25	4480	A
USGS	11315400	2013-02-26	4540	A
USGS	11315400	2013-02-27	4590	A
USGS	11315400	2013-02-28	4650	A
USGS	11315400	2013-03-01	4750	A
USGS	11315400	2013-03-02	4900	A
USGS	11315400	2013-03-03	5090	A
USGS	11315400	2013-03-04	5230	A
USGS	11315400	2013-03-05	5380	A
USGS	11315400	2013-03-06	5520	A
USGS	11315400	2013-03-07	5630	A
USGS	11315400	2013-03-08	5730	A
USGS	11315400	2013-03-09	5830	A
USGS	11315400	2013-03-10	5930	A
USGS	11315400	2013-03-11	6080	A
USGS	11315400	2013-03-12	6300	A
USGS	11315400	2013-03-13	6610	A
USGS	11315400	2013-03-14	6930	A
USGS	11315400	2013-03-15	7010	A
USGS	11315400	2013-03-16	6980	A
USGS	11315400	2013-03-17	6940	A
USGS	11315400	2013-03-18	6880	A
USGS	11315400	2013-03-19	6830	A
USGS	11315400	2013-03-20	6990	A
USGS	11315400	2013-03-21	6990	A
USGS	11315400	2013-03-22	6950	A
USGS	11315400	2013-03-23	6860	A
USGS	11315400	2013-03-24	6780	A
USGS	11315400	2013-03-25	6750	A
USGS	11315400	2013-03-26	6700	A
USGS	11315400	2013-03-27	6640	A
USGS	11315400	2013-03-28	6730	A
USGS	11315400	2013-03-29	6840	A
USGS	11315400	2013-03-30	6980	A
USGS	11315400	2013-03-31	7030	A
USGS	11315400	2013-04-01	7030	A
USGS	11315400	2013-04-02	7010	A
USGS	11315400	2013-04-03	7080	A
USGS	11315400	2013-04-04	7130	A
USGS	11315400	2013-04-05	7080	A
USGS	11315400	2013-04-06	7070	A
USGS	11315400	2013-04-07	7090	A
USGS	11315400	2013-04-08	7050	A
USGS	11315400	2013-04-09	7040	A
USGS	11315400	2013-04-10	7070	A
USGS	11315400	2013-04-11	7090	A
USGS	11315400	2013-04-12	7090	A
USGS	11315400	2013-04-13	7090	A
USGS	11315400	2013-04-14	7080	A
USGS	11315400	2013-04-15	7060	A
USGS	11315400	2013-04-16	7050	A
USGS	11315400	2013-04-17	7040	A
USGS	11315400	2013-04-18	7050	A
USGS	11315400	2013-04-19	7070	A
USGS	11315400	2013-04-20	7080	A
USGS	11315400	2013-04-21	7090	A
USGS	11315400	2013-04-22	7090	A
USGS	11315400	2013-04-23	7090	A
USGS	11315400	2013-04-24	7070	A
USGS	11315400	2013-04-25	7080	A
USGS	11315400	2013-04-26	7080	A
USGS	11315400	2013-04-27	7090	A
USGS	11315400	2013-04-28	7080	A
USGS	11315400	2013-04-29	7090	A
USGS	11315400	2013-04-30	7090	A
USGS	11315400	2013-05-01	7060	A
USGS	11315400	2013-05-02	7070	A
USGS	11315400	2013-05-03	7080	A
USGS	11315400	2013-05-04	7070	A
USGS	11315400	2013-05-05	7060	A
USGS	11315400	2013-05-06	7060	A
USGS	11315400	2013-05-07	7060	A
USGS	11315400	2013-05-08	7070	A
USGS	11315400	2013-05-09	7070	A
USGS	11315400	2013-05-10	7080	A
USGS	11315400	2013-05-11	7070	A
USGS	11315400	2013-05-12	7070	A
USGS	11315400	2013-05-13	7060	A
USGS	11315400	2013-05-14	7060	A
USGS	11315400	2013-05-15	7050	A
USGS	11315400	2013-05-16	7050	A
USGS	11315400	2013-05-17	7040	A
USGS	11315400	2013-05-18	7040	A
USGS	11315400	2013-05-19	7040	A
USGS	11315400	2013-05-20	7040	A
USGS	11315400	2013-05-21	7040	A
