agency_cd	site_no	datetime	213517_00054_32400	213517_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11313470	2013-04-16	2940	A
USGS	11313470	2013-04-17	2960	A
USGS	11313470	2013-04-18	2970	A
USGS	11313470	2013-04-19	2990	A
USGS	11313470	2013-04-20	3010	A
USGS	11313470	2013-04-21	3030	A
USGS	11313470	2013-04-22	3070	A
USGS	11313470	2013-04-23	3120	A
USGS	11313470	2013-04-24	3150	A
USGS	11313470	2013-04-25	3190	A
USGS	11313470	2013-04-26	3230	A
USGS	11313470	2013-04-27	3240	A
USGS	11313470	2013-04-28	3290	A
USGS	11313470	2013-04-29	3360	A
USGS	11313470	2013-04-30	3460	A
USGS	11313470	2013-05-01	3510	A
USGS	11313470	2013-05-02	3560	A
USGS	11313470	2013-05-03	3610	A
USGS	11313470	2013-05-04	3650	A
USGS	11313470	2013-05-05	3700	A
USGS	11313470	2013-05-06	3760	A
USGS	11313470	2013-05-07	3790	A
USGS	11313470	2013-05-08	3820	A
USGS	11313470	2013-05-09	3850	A
USGS	11313470	2013-05-10	3900	A
USGS	11313470	2013-05-11	3960	A
USGS	11313470	2013-05-12	4020	A
USGS	11313470	2013-05-13	4100	A
USGS	11313470	2013-05-14	4160	A
USGS	11313470	2013-05-15	4210	A
USGS	11313470	2013-05-16	4270	A
USGS	11313470	2013-05-17	4320	A
USGS	11313470	2013-05-18	4360	A
USGS	11313470	2013-05-19	4390	A
USGS	11313470	2013-05-20	4430	A
USGS	11313470	2013-05-21	4470	A
USGS	11313470	2013-05-22	4500	A
USGS	11313470	2013-05-23	4520	A
USGS	11313470	2013-05-24	4530	A
USGS	11313470	2013-05-25	4550	A
USGS	11313470	2013-05-26	4580	A
USGS	11313470	2013-05-27	4620	A
USGS	11313470	2013-05-28	4620	A
USGS	11313470	2013-05-29	4680	A
USGS	11313470	2013-05-30	4670	A
USGS	11313470	2013-05-31	4690	A
USGS	11313470	2013-06-01	4760	A
USGS	11313470	2013-06-02	4770	A
USGS	11313470	2013-06-03	4790	A
USGS	11313470	2013-06-04	4800	A
USGS	11313470	2013-06-05	4820	A
USGS	11313470	2013-06-06	4830	A
USGS	11313470	2013-06-07	4830	A
USGS	11313470	2013-06-08	4840	A
USGS	11313470	2013-06-09	4850	A
USGS	11313470	2013-06-10	4850	A
USGS	11313470	2013-06-11	4840	A
USGS	11313470	2013-06-12	4850	A
USGS	11313470	2013-06-13	4840	A
USGS	11313470	2013-06-14	4840	A
USGS	11313470	2013-06-15	4830	A
USGS	11313470	2013-06-16	4830	A
USGS	11313470	2013-06-17	4820	A
USGS	11313470	2013-06-18	4820	A
USGS	11313470	2013-06-19	4800	A
USGS	11313470	2013-06-20	4800	A
USGS	11313470	2013-06-21	4790	A
USGS	11313470	2013-06-22	4790	A
USGS	11313470	2013-06-23	4780	A
USGS	11313470	2013-06-24	4810	A
USGS	11313470	2013-06-25	4830	A
USGS	11313470	2013-06-26	4840	A
USGS	11313470	2013-06-27	4830	A
USGS	11313470	2013-06-28	4830	A
USGS	11313470	2013-06-29	4830	A
USGS	11313470	2013-06-30	4820	A
USGS	11313470	2013-07-01	4820	A
USGS	11313470	2013-07-02	4800	A
USGS	11313470	2013-07-03	4800	A
USGS	11313470	2013-07-04	4790	A
USGS	11313470	2013-07-05	4780	A
USGS	11313470	2013-07-06	4750	A
USGS	11313470	2013-07-07	4750	A
USGS	11313470	2013-07-08	4740	A
USGS	11313470	2013-07-09	4730	A
USGS	11313470	2013-07-10	4720	A
USGS	11313470	2013-07-11	4700	A
USGS	11313470	2013-07-12	4700	A
USGS	11313470	2013-07-13	4680	A
USGS	11313470	2013-07-14	4660	A
USGS	11313470	2013-07-15	4660	A
USGS	11313470	2013-07-16	4640	A
USGS	11313470	2013-07-17	4620	A
USGS	11313470	2013-07-18	4620	A
USGS	11313470	2013-07-19	4600	A
USGS	11313470	2013-07-20	4590	A
USGS	11313470	2013-07-21	4580	A
USGS	11313470	2013-07-22	4560	A
USGS	11313470	2013-07-23	4550	A
USGS	11313470	2013-07-24	4540	A
USGS	11313470	2013-07-25	4540	A
USGS	11313470	2013-07-26	4530	A
USGS	11313470	2013-07-27	4520	A
