agency_cd	site_no	datetime	212930_00300_00001	212930_00300_00001_cd	212931_00300_00002	212931_00300_00002_cd	212935_00095_00003	212935_00095_00003_cd	212936_00095_00002	212936_00095_00002_cd	212937_00095_00001	212937_00095_00001_cd	212940_00095_00003	212940_00095_00003_cd	212941_00095_00002	212941_00095_00002_cd	212942_00095_00001	212942_00095_00001_cd	212943_00010_00003	212943_00010_00003_cd	212944_00010_00002	212944_00010_00002_cd	212945_00010_00001	212945_00010_00001_cd	212946_00010_00003	212946_00010_00003_cd	212947_00010_00002	212947_00010_00002_cd	212949_00010_00001	212949_00010_00001_cd	212950_00400_00008	212950_00400_00008_cd	212951_00400_00002	212951_00400_00002_cd	212952_00400_00001	212952_00400_00001_cd	212953_00400_00008	212953_00400_00008_cd	212954_00400_00001	212954_00400_00001_cd	222424_00300_00002	222424_00300_00002_cd	222426_00300_00001	222426_00300_00001_cd	222427_00300_00003	222427_00300_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422620122004300	2017-07-07	10.6	A:[4]																			23.7	A:[4]											10.0	A:[4]										
USGS	422620122004300	2017-07-08	10.0	A	5.9	A	105	A	103	A	108	A	114	A	105	A	142	A	22.9	A	22.4	A	23.4	A	24.5	A	23.0	A	27.8	A	9.9	A	9.6	A	10.0	A	10.0	A	10.5	A	8.7	A	20.1	A	12.2	A
USGS	422620122004300	2017-07-09	9.4	A	4.4	A	104	A	103	A	107	A	109	A	104	A	131	A	22.7	A	22.3	A	23.5	A	23.8	A	22.7	A	26.1	A	9.8	A	9.5	A	10.0	A	10.0	A	10.4	A	7.8	A	17.6	A	10.5	A
USGS	422620122004300	2017-07-10	9.1	A	5.8	A	104	A	103	A	106	A	108	A	103	A	120	A	22.5	A	22.2	A	23.1	A	23.5	A	22.5	A	25.2	A	9.8	A	9.6	A	9.9	A	9.9	A	10.3	A	7.5	A	14.8	A	10.3	A
USGS	422620122004300	2017-07-11	8.8	A	6.2	A	104	A	103	A	105	A	106	A	102	A	119	A	22.4	A	22.1	A	22.9	A	23.6	A	22.3	A	26.6	A	9.8	A	9.7	A	9.9	A	9.9	A	10.2	A	7.7	A	15.5	A	9.9	A
USGS	422620122004300	2017-07-12	10.1	A	6.6	A	104	A	103	A	108	A			102	A:[4]			22.3	A	21.9	A	23.4	A	23.1	A:[4]	21.9	A:[4]	24.9	A:[4]	9.8	A	9.7	A	9.9	A	9.9	A:[4]	10.0	A:[4]	7.4	A:[4]	11.8	A:[4]	9.5	A:[4]
USGS	422620122004300	2017-07-13	9.6	A	4.6	A	105	A	103	A	107	A	109	A	104	A	119	A	22.5	A	22.0	A	23.3	A	23.7	A	22.3	A	26.1	A	9.7	A	9.5	A	9.9	A	9.9	A	10.2	A	7.8	A	15.6	A	10.7	A
USGS	422620122004300	2017-07-14	9.3	A	6.0	A	105	A	104	A	107	A	109	A	104	A	125	A	22.8	A	22.5	A	23.7	A	24.0	A	22.6	A	25.8	A	9.8	A	9.6	A	9.9	A	9.9	A	10.3	A	7.6	A	17.4	A	10.7	A
USGS	422620122004300	2017-07-15	9.1	A	6.0	A	105	A	103	A	106	A	106	A	104	A	108	A	23.1	A	22.6	A	23.6	A	23.5	A	22.9	A	24.3	A	9.8	A	9.6	A	9.9	A	9.8	A	9.9	A	7.3	A	10.6	A	8.7	A
USGS	422620122004300	2017-07-16	8.1	A	2.2	A	104	A	103	A	106	A	109	A	104	A	139	A	22.7	A	22.4	A	23.1	A	23.7	A	22.6	A	27.1	A	9.6	A	9.2	A	9.8	A	9.7	A	10.4	A	6.9	A	19.9	A	9.8	A
USGS	422620122004300	2017-07-17	8.4	A	5.2	A	103	A	103	A	104	A	105	A	103	A	113	A	22.1	A	21.8	A	22.7	A	23.0	A	21.9	A	25.3	A	9.6	A	9.4	A	9.7	A	9.7	A	10.0	A	5.3	A	14.5	A	8.4	A
USGS	422620122004300	2017-07-18	9.7	A	6.0	A	104	A	102	A	106	A	106	A	103	A	114	A	21.9	A	21.6	A	22.8	A	22.7	A	21.6	A	24.4	A	9.6	A	9.5	A	9.8	A	9.8	A	10.1	A	6.5	A	14.8	A	9.4	A
USGS	422620122004300	2017-07-19	10.4	A	6.4	A	104	A	103	A	106	A	106	A	103	A	115	A	22.0	A	21.6	A	22.8	A	22.6	A	21.7	A	24.2	A	9.7	A	9.6	A	9.9	A	9.8	A	10.1	A	7.1	A	15.2	A	9.7	A
USGS	422620122004300	2017-07-20	9.4	A	6.3	A	104	A	103	A	105	A	105	A	103	A	110	A	21.5	A	21.2	A	22.4	A	22.4	A	21.2	A	23.9	A	9.6	A	9.6	A	9.8	A	9.8	A	10.1	A	7.1	A	12.1	A	9.2	A
USGS	422620122004300	2017-07-21	8.2	A	5.8	A	103	A	102	A	104	A	108	A	103	A	125	A	21.6	A	21.3	A	22.2	A	22.7	A	21.4	A	25.2	A	9.7	A	9.6	A	9.7	A	9.7	A	10.3	A	7.0	A	17.8	A	10.4	A
USGS	422620122004300	2017-07-22	7.6	A	1.7	A	103	A	102	A	104	A	106	A	102	A	115	A	21.4	A	21.0	A	21.9	A	22.6	A	21.4	A	24.3	A	9.6	A	9.4	A	9.7	A	9.8	A	10.1	A	6.7	A	14.6	A	9.5	A
USGS	422620122004300	2017-07-23	7.6	A	2.5	A	103	A	102	A	104	A	106	A	103	A	139	A	22.2	A	21.7	A	22.6	A			22.2	A:[4]			9.6	A	9.5	A	9.7	A	9.7	A	10.4	A	6.1	A	19.0	A	8.4	A
USGS	422620122004300	2017-07-24	7.2	A	3.3	A	103	A	102	A	103	A	106	A	102	A	119	A	22.3	A	21.8	A	22.7	A	23.6	A	22.3	A	27.3	A	9.7	A	9.5	A	9.7	A	9.7	A	10.2	A	6.4	A	16.8	A	9.7	A
USGS	422620122004300	2017-07-25	6.8	A	4.3	A	102	A	101	A	102	A	104	A	100	A	117	A	22.2	A	22.0	A	22.4	A	23.4	A	22.2	A	26.9	A	9.6	A	9.5	A	9.7	A	9.8	A	10.2	A	5.8	A	16.5	A	9.1	A
USGS	422620122004300	2017-07-26	8.1	A	4.3	A	101	A	101	A	102	A	102	A	99	A	115	A	22.0	A	21.8	A	22.5	A	22.4	A	21.9	A	23.9	A	9.6	A	9.5	A	9.7	A	9.7	A	10.2	A	5.6	A	15.7	A	8.4	A
USGS	422620122004300	2017-07-27	8.6	A	6.1	A	101	A	101	A	103	A	105	A	101	A	111	A	21.8	A	21.6	A	22.7	A	23.0	A	21.7	A	25.1	A	9.6	A	9.5	A	9.7	A	9.7	A	10.0	A	7.3	A	14.1	A	10.1	A
USGS	422620122004300	2017-07-28	9.7	A	6.2	A	102	A	101	A	104	A	106	A	101	A	120	A	22.4	A	22.1	A	23.2	A	23.6	A	22.2	A	25.7	A	9.6	A	9.5	A	9.8	A	9.7	A	10.2	A	7.4	A	17.2	A	10.6	A
USGS	422620122004300	2017-07-29	9.0	A	5.6	A	102	A	101	A	103	A	109	A	102	A	143	A	22.6	A	22.4	A	23.1	A	24.5	A	22.5	A	30.3	A	9.7	A	9.5	A	9.8	A	9.7	A	10.4	A	7.7	A	21.2	A	11.0	A
USGS	422620122004300	2017-07-30	8.0	A	0.8	A	102	A	101	A	104	A	104	A	101	A	113	A	22.5	A	22.3	A	23.0	A	24.5	A	22.7	A	28.1	A	9.5	A	9.2	A	9.7	A	9.7	A	10.0	A	6.2	A	15.4	A	9.6	A
USGS	422620122004300	2017-07-31	5.5	A	0.6	A	103	A	102	A	105	A	105	A	100	A	121	A	22.8	A	22.6	A	23.2	A	24.6	A	23.2	A	29.0	A	9.3	A	9.1	A	9.5	A	9.6	A	10.2	A	5.0	A	18.4	A	9.3	A
USGS	422620122004300	2017-08-01	3.5	A	0.1	A	105	A	103	A	107	A					132	A:[4]	23.0	A	22.8	A	23.2	A	25.8	A	23.1	A	29.7	A	9.2	A	9.1	A	9.3	A	9.7	A	10.4	A	3.6	A	22.8	A	11.6	A
USGS	422620122004300	2017-08-02	1.9	A	0.0	A	106	A	104	A	108	A					138	A:[4]	23.0	A	22.8	A	23.5	A	26.2	A	23.6	A	30.1	A	9.0	A	8.9	A	9.1	A	9.8	A	10.3	A	5.3	A	21.4	A	12.2	A
USGS	422620122004300	2017-08-03	3.9	A	0.0	A	105	A	103	A	108	A	107	A	102	A	122	A	23.4	A	23.1	A	23.8	A	25.4	A	23.8	A	28.6	A	9.0	A	8.9	A	9.3	A	9.5	A	10.2	A	4.7	A	18.9	A	10.0	A
USGS	422620122004300	2017-08-04	7.8	A	0.0	A	104	A	103	A	107	A	104	A	103	A	106	A	24.0	A	23.4	A	24.7	A	24.4	A	23.7	A	25.4	A	9.4	A	8.9	A	9.5	A	9.4	A	9.5	A	4.7	A	8.9	A	6.5	A
