agency_cd	site_no	datetime	222474_00300_00002	222474_00300_00002_cd	222475_00300_00001	222475_00300_00001_cd	222476_00300_00003	222476_00300_00003_cd	222478_00095_00001	222478_00095_00001_cd	222479_00095_00003	222479_00095_00003_cd	222480_00010_00002	222480_00010_00002_cd	222481_00010_00001	222481_00010_00001_cd	222482_00010_00003	222482_00010_00003_cd	222484_00400_00002	222484_00400_00002_cd	222485_00400_00001	222485_00400_00001_cd	222486_00400_00008	222486_00400_00008_cd	222488_00300_00002	222488_00300_00002_cd	222490_00300_00003	222490_00300_00003_cd	222491_00095_00002	222491_00095_00002_cd	222492_00095_00001	222492_00095_00001_cd	222494_00010_00002	222494_00010_00002_cd	222495_00010_00001	222495_00010_00001_cd	222496_00010_00003	222496_00010_00003_cd	222497_00400_00002	222497_00400_00002_cd	222498_00400_00001	222498_00400_00001_cd	222499_00400_00008	222499_00400_00008_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422039121513700	2017-06-29			15.7	A:[4]			109	A:[4]					24.0	A:[4]					9.9	A:[4]							102	A:[4]	104	A:[4]			21.6	A:[4]					9.8	A:[4]		
USGS	422039121513700	2017-06-30	9.8	A	19.0	A	12.5	A	120	A	107	A	20.2	A	25.0	A	21.9	A	9.7	A	10.3	A	9.9	A	9.1	A	10.2	A	103	A	107	A	20.2	A	22.0	A	21.0	A	9.7	A	9.9	A	9.7	A
USGS	422039121513700	2017-07-01	8.3	A	15.6	A	11.3	A	114	A	107	A	20.8	A	23.5	A	21.8	A	9.7	A	10.1	A	9.9	A	8.1	A	9.8	A	103	A	109	A	20.8	A	22.3	A	21.4	A	9.6	A	10.0	A	9.8	A
USGS	422039121513700	2017-07-02	9.3	A	15.7	A	11.1	A	116	A	107	A	20.4	A	25.1	A	22.1	A	9.7	A	10.1	A	9.9	A	8.9	A	9.7	A	104	A	109	A	20.4	A	22.5	A	21.1	A	9.6	A	10.0	A	9.8	A
USGS	422039121513700	2017-07-03	7.2	A	17.5	A	11.7	A	125	A	111	A	21.3	A	24.9	A	22.8	A	9.6	A	10.3	A	9.9	A	5.2	A	8.2	A	104	A	110	A	21.3	A	22.9	A	21.8	A	9.4	A	9.9	A	9.8	A
USGS	422039121513700	2017-07-04	8.0	A	18.8	A	10.7	A	116	A	108	A	22.0	A					9.7	A	10.4	A	9.8	A	6.8	A	7.9	A	103	A	109	A	21.6	A	23.1	A	22.0	A	9.5	A	9.8	A	9.7	A
USGS	422039121513700	2017-07-05	6.8	A	14.6	A	9.5	A	117	A	108	A	22.5	A	23.9	A	23.2	A	9.5	A	10.1	A	9.8	A	4.9	A	7.2	A	105	A	112	A	22.3	A	23.5	A	22.8	A	9.6	A	9.8	A	9.7	A
USGS	422039121513700	2017-07-06	5.3	A	17.6	A	8.8	A	123	A	107	A	22.2	A	26.6	A	23.9	A	9.3	A	10.1	A	9.6	A	3.4	A	5.1	A	104	A	110	A	22.0	A	23.1	A	22.4	A	9.2	A	9.6	A	9.5	A
USGS	422039121513700	2017-07-07	5.8	A	14.4	A	9.2	A	115	A	107	A	22.9	A	27.6	A	24.6	A	9.4	A	9.9	A	9.6	A	2.6	A	5.1	A	105	A	112	A	22.5	A	23.6	A	23.0	A	9.2	A	9.7	A	9.4	A
USGS	422039121513700	2017-07-08	6.7	A	18.6	A	10.4	A	134	A	112	A	22.2	A	28.4	A	24.4	A	9.6	A	10.4	A	9.8	A	5.4	A	7.2	A	105	A	111	A	22.2	A	24.4	A	22.9	A	9.6	A	9.9	A	9.7	A
USGS	422039121513700	2017-07-09	6.4	A	15.6	A	9.2	A	125	A	110	A	22.8	A	27.1	A	24.1	A	9.6	A	10.2	A	9.8	A	5.3	A	7.4	A	104	A	112	A	22.8	A	24.9	A	23.5	A	9.5	A	10.0	A	9.7	A
USGS	422039121513700	2017-07-10	7.7	A	14.4	A	9.9	A	123	A	111	A	22.8	A	25.9	A	23.9	A	9.8	A	10.2	A	9.9	A	7.0	A	8.2	A					22.7	A	24.1	A	23.2	A	9.8	A	10.1	A	9.8	A
USGS	422039121513700	2017-07-11	8.1	A	15.4	A	10.6	A	125	A	111	A	22.3	A	25.6	A	23.5	A	9.8	A	10.3	A	9.9	A	7.3	A	8.5	A					22.3	A	23.9	A	23.0	A	9.8	A	10.0	A	9.9	A
USGS	422039121513700	2017-07-12	7.8	A	15.6	A	10.6	A	125	A	110	A	22.8	A	26.3	A	23.8	A	9.8	A	10.2	A	9.9	A	6.2	A	8.2	A					22.5	A	23.8	A	23.0	A	9.6	A	10.0	A	9.8	A
USGS	422039121513700	2017-07-13							132	A	112	A	22.7	A	25.8	A	23.9	A	9.8	A	10.3	A	9.9	A	5.6	A	7.2	A					22.4	A	24.1	A	23.0	A	9.6	A	10.0	A	9.7	A
USGS	422039121513700	2017-07-14							135	A	109	A	22.8	A:[4]	28.2	A:[4]	24.1	A:[4]	9.5	A	10.3	A	9.7	A	2.4	A	4.6	A					22.8	A	23.5	A	23.0	A	9.3	A	9.8	A	9.5	A
USGS	422039121513700	2017-07-15							111	A	106	A	22.3	A	25.6	A	23.5	A	9.6	A	10.0	A	9.8	A	4.8	A	7.3	A	103	A:[4]	110	A:[4]	22.3	A	24.2	A	23.0	A	9.4	A	9.9	A	9.6	A
USGS	422039121513700	2017-07-16							118	A	108	A	22.1	A	25.9	A	23.3	A	9.8	A	10.2	A	9.9	A	6.6	A	8.0	A	104	A	111	A	22.1	A	23.8	A	22.6	A	9.6	A	10.0	A	9.8	A
USGS	422039121513700	2017-07-17											21.6	A	25.6	A	22.8	A	9.7	A	10.3	A	9.8	A	7.0	A	8.2	A	103	A	109	A	21.6	A	23.3	A	22.3	A	9.6	A	9.9	A	9.8	A
USGS	422039121513700	2017-07-18							138	A	107	A	21.6	A	25.7	A	22.6	A	9.6	A	10.5	A	9.8	A	6.6	A	7.9	A	103	A	109	A	21.6	A	23.1	A	22.0	A	9.6	A	10.0	A	9.7	A
USGS	422039121513700	2017-07-19			17.0	A:[4]			112	A	105	A	21.2	A	24.6	A	22.4	A	9.7	A	10.4	A	10.0	A	6.1	A	7.7	A	102	A	110	A			22.9	A			9.6	A	9.9	A	9.7	A
USGS	422039121513700	2017-07-20	7.3	A	15.1	A	10.3	A	124	A	108	A	20.9	A	25.1	A	22.2	A	9.8	A	10.3	A	10.1	A	6.2	A	8.0	A	103	A	112	A	21.0	A	22.5	A	21.5	A	9.6	A	10.0	A	9.7	A
USGS	422039121513700	2017-07-21	7.6	A	15.9	A	10.8	A	115	A	108	A	20.9	A	24.8	A	22.3	A	9.8	A	10.2	A	10.0	A	7.0	A	8.6	A	104	A	114	A	21.0	A	23.3	A	21.7	A	9.6	A	10.1	A	9.8	A
USGS	422039121513700	2017-07-22	7.8	A	12.0	A	9.8	A	107	A	105	A	20.8	A	22.6	A	21.8	A	9.8	A	10.0	A	9.9	A	7.2	A	8.6	A	103	A	107	A	20.9	A	22.5	A	21.7	A	9.7	A	9.8	A	9.7	A
USGS	422039121513700	2017-07-23	7.9	A	17.1	A	11.0	A	118	A	108	A	20.9	A	26.2	A	22.6	A	9.8	A	10.3	A	9.9	A	6.8	A	7.6	A	102	A	109	A	21.0	A	22.6	A	21.5	A	9.6	A	10.0	A	9.7	A
USGS	422039121513700	2017-07-24	8.4	A	18.1	A	11.3	A					21.7	A	27.7	A	23.5	A	9.9	A	10.4	A	10.0	A	6.1	A	7.6	A	104	A	109	A	21.8	A	23.5	A	22.3	A	9.7	A	9.9	A	9.8	A
USGS	422039121513700	2017-07-25	7.4	A	15.7	A	10.1	A	121	A	108	A	21.6	A	25.9	A	23.3	A	9.8	A	10.2	A	9.9	A	6.4	A	7.2	A	103	A	105	A	21.7	A	23.4	A	22.3	A	9.6	A	9.8	A	9.7	A
