agency_cd	site_no	datetime	213412_00054_32400	213412_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11293370	2013-01-01	2230	A
USGS	11293370	2013-01-02	2210	A
USGS	11293370	2013-01-03	2180	A
USGS	11293370	2013-01-04	2160	A
USGS	11293370	2013-01-05	2130	A
USGS	11293370	2013-01-06	2130	A
USGS	11293370	2013-01-07	2100	A
USGS	11293370	2013-01-08	2080	A
USGS	11293370	2013-01-09	2080	A
USGS	11293370	2013-01-10	2070	A
USGS	11293370	2013-01-11	2050	A
USGS	11293370	2013-01-12	2030	A
USGS	11293370	2013-01-13	2010	A
USGS	11293370	2013-01-14	1980	A
USGS	11293370	2013-01-15	1950	A
USGS	11293370	2013-01-16	1920	A
USGS	11293370	2013-01-17	1900	A
USGS	11293370	2013-01-18	1870	A
USGS	11293370	2013-01-19	1850	A
USGS	11293370	2013-01-20	1830	A
USGS	11293370	2013-01-21	1810	A
USGS	11293370	2013-01-22	1800	A
USGS	11293370	2013-01-23	1790	A
USGS	11293370	2013-01-24	1790	A
USGS	11293370	2013-01-25	1860	A
USGS	11293370	2013-01-26	1950	A
USGS	11293370	2013-01-27	1990	A
USGS	11293370	2013-01-28	2000	A
USGS	11293370	2013-01-29	2010	A
USGS	11293370	2013-01-30	2010	A
USGS	11293370	2013-01-31	2010	A
USGS	11293370	2013-02-01	2020	A
USGS	11293370	2013-02-02	2030	A
USGS	11293370	2013-02-03	2020	A
USGS	11293370	2013-02-04	2020	A
USGS	11293370	2013-02-05	2030	A
USGS	11293370	2013-02-06	2020	A
USGS	11293370	2013-02-07	2020	A
USGS	11293370	2013-02-08	2010	A
USGS	11293370	2013-02-09	2000	A
USGS	11293370	2013-02-10	1980	A
USGS	11293370	2013-02-11	1950	A
USGS	11293370	2013-02-12	1930	A
USGS	11293370	2013-02-13	1910	A
USGS	11293370	2013-02-14	1900	A
USGS	11293370	2013-02-15	1890	A
USGS	11293370	2013-02-16	1880	A
USGS	11293370	2013-02-17	1880	A
USGS	11293370	2013-02-18	1890	A
