agency_cd	site_no	datetime	217505_00054_31600	217505_00054_31600_cd
5s	15s	20d	14n	10s
USGS	11371700	2013-01-01	207600	A
USGS	11371700	2013-01-02	206800	A
USGS	11371700	2013-01-03	206000	A
USGS	11371700	2013-01-04	205400	A
USGS	11371700	2013-01-05	205400	A
USGS	11371700	2013-01-06	205600	A
USGS	11371700	2013-01-07	205800	A
USGS	11371700	2013-01-08	205900	A
USGS	11371700	2013-01-09	206200	A
USGS	11371700	2013-01-10	206400	A
USGS	11371700	2013-01-11	207500	A
USGS	11371700	2013-01-12	207200	A
USGS	11371700	2013-01-13	207200	A
USGS	11371700	2013-01-14	207200	A
USGS	11371700	2013-01-15	207200	A
USGS	11371700	2013-01-16	207200	A
USGS	11371700	2013-01-17	207200	A
USGS	11371700	2013-01-18	207200	A
USGS	11371700	2013-01-19	207300	A
USGS	11371700	2013-01-20	207400	A
USGS	11371700	2013-01-21	206100	A
USGS	11371700	2013-01-22	206200	A
USGS	11371700	2013-01-23	206400	A
USGS	11371700	2013-01-24	206600	A
USGS	11371700	2013-01-25	206900	A
USGS	11371700	2013-01-26	207100	A
USGS	11371700	2013-01-27	207300	A
USGS	11371700	2013-01-28	207400	A
USGS	11371700	2013-01-29	207400	A
USGS	11371700	2013-01-30	206000	A
USGS	11371700	2013-01-31	206000	A
USGS	11371700	2013-02-01	205800	A
USGS	11371700	2013-02-02	205700	A
USGS	11371700	2013-02-03	205700	A
USGS	11371700	2013-02-04	205600	A
USGS	11371700	2013-02-05	204800	A
USGS	11371700	2013-02-06	204700	A
USGS	11371700	2013-02-07	204600	A
USGS	11371700	2013-02-08	204500	A
USGS	11371700	2013-02-09	204400	A
USGS	11371700	2013-02-10	204300	A
USGS	11371700	2013-02-11	204300	A
USGS	11371700	2013-02-12	205000	A
USGS	11371700	2013-02-13	205400	A
USGS	11371700	2013-02-14	205100	A
USGS	11371700	2013-02-15	204900	A
USGS	11371700	2013-02-16	205300	A
USGS	11371700	2013-02-17	205100	A
USGS	11371700	2013-02-18	205500	A
USGS	11371700	2013-02-19	205400	A
USGS	11371700	2013-02-20	205100	A
USGS	11371700	2013-02-21	204900	A
USGS	11371700	2013-02-22	205300	A
USGS	11371700	2013-02-23	205000	A
USGS	11371700	2013-02-24	204800	A
USGS	11371700	2013-02-25	205300	A
USGS	11371700	2013-02-26	205300	A
USGS	11371700	2013-02-27	205600	A
USGS	11371700	2013-02-28	205400	A
USGS	11371700	2013-03-01	205700	A
USGS	11371700	2013-03-02	205400	A
USGS	11371700	2013-03-03	205200	A
USGS	11371700	2013-03-04	205000	A
USGS	11371700	2013-03-05	205100	A
USGS	11371700	2013-03-06	205600	A
USGS	11371700	2013-03-07	206000	A
USGS	11371700	2013-03-08	205900	A
USGS	11371700	2013-03-09	205800	A
USGS	11371700	2013-03-10	205600	A
USGS	11371700	2013-03-11	205400	A
USGS	11371700	2013-03-12	205200	A
USGS	11371700	2013-03-13	205100	A
USGS	11371700	2013-03-14	204900	A
USGS	11371700	2013-03-15	204800	A
USGS	11371700	2013-03-16	204600	A
USGS	11371700	2013-03-17	204400	A
USGS	11371700	2013-03-18	204800	A
USGS	11371700	2013-03-19	205900	A
USGS	11371700	2013-03-20	205300	A
USGS	11371700	2013-03-21	205700	A
USGS	11371700	2013-03-22	205600	A
