agency_cd	site_no	datetime	115688_00010_00001	115688_00010_00001_cd	115689_00010_00002	115689_00010_00002_cd	115690_00010_00003	115690_00010_00003_cd	115691_00400_00001	115691_00400_00001_cd	115692_00400_00002	115692_00400_00002_cd	115694_00400_00008	115694_00400_00008_cd	115695_00095_00001	115695_00095_00001_cd	115696_00095_00002	115696_00095_00002_cd	115697_00095_00003	115697_00095_00003_cd	115698_00300_00001	115698_00300_00001_cd	115699_00300_00002	115699_00300_00002_cd	115700_00300_00003	115700_00300_00003_cd	249362_95202_00001	249362_95202_00001_cd	249363_95202_00003	249363_95202_00003_cd	249364_95202_00002	249364_95202_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422719121571400	2013-05-16	17.1	A	15.4	A	16.4	A	8.4	A	8.1	A	8.3	A	114	A	111	A	113	A	9.3	A	8.5	A	8.9	A	42294	A	22573	A	14101	A
USGS	422719121571400	2013-05-17	16.0	A	14.6	A	15.2	A	8.5	A	8.1	A	8.4	A	115	A	113	A	114	A	9.7	A	8.6	A	9.1	A	80501	A	26765	A	14010	A
USGS	422719121571400	2013-05-18	15.6	A	14.8	A	15.1	A	8.5	A	8.3	A	8.4	A	115	A	108	A	114	A	9.5	A	8.9	A	9.2	A	80501	A	24289	A	13931	A
USGS	422719121571400	2013-05-19	16.7	A	14.1	A	15.4	A	8.6	A	8.1	A	8.3	A	115	A	103	A	111	A	10.1	A	8.8	A	9.3	A	51914	A	19807	A	10427	A
USGS	422719121571400	2013-05-20	17.3	A	15.4	A	16.2	A	8.4	A	8.0	A	8.2	A	114	A	111	A	113	A	9.5	A	8.6	A	9.1	A	51914	A	19132	A	10326	A
USGS	422719121571400	2013-05-21	16.3	A	14.5	A	15.5	A	8.5	A	8.0	A	8.3	A	115	A	109	A	113	A	9.4	A	8.7	A	9.1	A	65062	A	33233	A	17208	A
USGS	422719121571400	2013-05-22	14.5	A	12.4	A	13.1	A	8.5	A	8.1	A	8.3	A	114	A	108	A	113	A	9.9	A	8.8	A	9.3	A	65000	A	36326	A	17068	A
USGS	422719121571400	2013-05-23	13.9	A	12.1	A	12.9	A	8.7	A	8.3	A	8.5	A	114	A	110	A	113	A	10.4	A	9.3	A	9.8	A	64489	A	31872	A	20346	A
USGS	422719121571400	2013-05-24	14.4	A	12.2	A	13.2	A	8.7	A	8.4	A	8.5	A	114	A	110	A	113	A	10.4	A	9.5	A	10.0	A	64226	A	36612	A	20238	A
USGS	422719121571400	2013-05-25	15.1	A	13.0	A	13.8	A	8.8	A	8.5	A	8.7	A	115	A	114	A	114	A	10.7	A	9.6	A	10.1	A	93828	A	39477	A	20082	A
USGS	422719121571400	2013-05-26	15.0	A	13.7	A	14.4	A	8.8	A	8.5	A	8.7	A	115	A	107	A	112	A	10.5	A	9.6	A	10.1	A	66515	A	45495	A	26626	A
USGS	422719121571400	2013-05-27	14.7	A	13.1	A	13.7	A	8.7	A	8.3	A	8.6	A	115	A	108	A	113	A	10.0	A	9.3	A	9.8	A	66173	A	46672	A	36404	A
USGS	422719121571400	2013-05-28	15.0	A	12.9	A	13.9	A	8.9	A	8.3	A	8.7	A	114	A	106	A	113	A	11.1	A	9.4	A	10.2	A	75949	A	54027	A	32891	A
USGS	422719121571400	2013-05-29	15.3	A	13.4	A	14.3	A	8.8	A	8.4	A	8.5	A	114	A	113	A	114	A	10.6	A	9.5	A	9.8	A	117675	A	62284	A	36010	A
USGS	422719121571400	2013-05-30	15.9	A	12.7	A	13.7	A	8.8	A	8.4	A	8.7	A	116	A	112	A	114	A	10.4	A	9.4	A	10.0	A	113920	A	62401	A	32484	A
USGS	422719121571400	2013-05-31	16.0	A	13.7	A	14.4	A	9.0	A	8.5	A	8.8	A	115	A	113	A	115	A	11.4	A	9.5	A	10.4	A	103635	A	65598	A	38814	A
USGS	422719121571400	2013-06-01	17.3	A	14.6	A	15.7	A	8.9	A	8.6	A	8.8	A	115	A	111	A	115	A	11.1	A	10.0	A	10.6	A	157573	A	56544	A	32117	A
USGS	422719121571400	2013-06-02	18.3	A	15.8	A	16.9	A	8.9	A	8.6	A	8.8	A	116	A	110	A	113	A	11.2	A	9.6	A	10.4	A	118110	A	63409	A	31979	A
USGS	422719121571400	2013-06-03	18.6	A	16.5	A	17.3	A	9.0	A	8.7	A	8.9	A	115	A	113	A	114	A	11.6	A	9.5	A	10.4	A	104992	A	75265	A	44462	A
USGS	422719121571400	2013-06-04	19.5	A	17.5	A	18.3	A	9.1	A	8.8	A	8.9	A	117	A	114	A	115	A	11.9	A	9.6	A	10.7	A	107675	A	57910	A	18929	A
USGS	422719121571400	2013-06-05	22.8	A	18.2	A	19.5	A	9.3	A	8.7	A	8.9	A	118	A	115	A	116	A	13.1	A	9.8	A	11.0	A	172344	A	63493	A	15680	A
USGS	422719121571400	2013-06-06	22.5	A	18.5	A	20.0	A	9.0	A	8.8	A	8.9	A	116	A	115	A	116	A	11.3	A	10.2	A	10.6	A	218662	A	61982	A	12439	A
USGS	422719121571400	2013-06-07	22.0	A	19.7	A	20.8	A	9.2	A	8.8	A	8.9	A	117	A	115	A	116	A	12.4	A	9.8	A	10.9	A	285061	A	67004	A	15452	A
USGS	422719121571400	2013-06-08	21.6	A	19.8	A	20.6	A	9.4	A	8.7	A	9.0	A	119	A	115	A	116	A	13.2	A	8.8	A	10.5	A	236953	A	75399	A	12319	A
USGS	422719121571400	2013-06-09	22.8	A	20.6	A	21.4	A	9.6	A	8.7	A	9.1	A	120	A	113	A	116	A	15.4	A	9.5	A	11.3	A	302477	A	87862	A	15310	A
USGS	422719121571400	2013-06-10	21.9	A	19.8	A	20.8	A	9.5	A	8.8	A	9.0	A	120	A	115	A	117	A	13.3	A	8.4	A	10.1	A	200415	A	76665	A	21239	A
USGS	422719121571400	2013-06-11	19.8	A	17.7	A	18.8	A	9.3	A	8.7	A	8.9	A	118	A	115	A	117	A	10.5	A	8.1	A	9.1	A	205159	A	85157	A	21211	A
USGS	422719121571400	2013-06-12	19.4	A	17.3	A	18.2	A	9.5	A	9.0	A	9.3	A	118	A	115	A	117	A	11.8	A	8.5	A	10.0	A	290878	A	157576	A	78126	A
USGS	422719121571400	2013-06-13	18.2	A	16.9	A	17.5	A	9.8	A	9.2	A	9.4	A	120	A	116	A	117	A	12.4	A	8.7	A	10.2	A	503799	A	310195	A	151871	A
USGS	422719121571400	2013-06-14	17.6	A	15.6	A	16.2	A	10.0	A	9.3	A	9.5	A	122	A	110	A	115	A	15.4	A	8.9	A	11.1	A	767808	A	322960	A	163773	A
USGS	422719121571400	2013-06-15	19.2	A	16.2	A	17.4	A	10.0	A	9.6	A	9.7	A	123	A	116	A	119	A	16.7	A	11.1	A	13.8	A	1033790	A	414233	A	212019	A
USGS	422719121571400	2013-06-16	19.9	A	17.6	A	18.7	A	10.0	A	9.6	A	9.9	A	126	A	118	A	122	A	15.4	A	10.6	A	13.0	A	793733	A	552799	A	320783	A
USGS	422719121571400	2013-06-17	20.0	A	17.9	A	19.0	A	10.1	A	9.7	A	9.9	A	127	A	114	A	120	A	15.0	A	10.2	A	12.2	A	987199	A	737388	A	348570	A
USGS	422719121571400	2013-06-18	19.3	A	16.6	A	17.5	A	9.9	A	9.1	A	9.6	A	122	A	99	A	116	A	11.4	A	8.7	A	9.8	A	572321	A	368201	A	131902	A
USGS	422719121571400	2013-06-19	17.1	A	15.2	A	15.9	A	10.0	A	9.5	A	9.8	A	121	A	112	A	118	A	11.6	A	8.6	A	10.0	A	698440	A	508593	A	229534	A
USGS	422719121571400	2013-06-20	16.5	A	15.0	A	15.5	A	10.3	A	9.8	A	10.0	A	131	A	119	A	123	A	13.5	A	9.5	A	11.5	A	917360	A	613433	A	369424	A
USGS	422719121571400	2013-06-21	16.9	A	15.5	A	16.2	A	10.4	A	10.1	A	10.2	A	136	A	125	A	129	A	14.6	A	11.4	A	13.1	A	1180680	A	699883	A	458786	A
USGS	422719121571400	2013-06-22	19.4	A	15.8	A	17.0	A	10.6	A	10.0	A	10.3	A	151	A	123	A	134	A	17.2	A	11.3	A	13.5	A	1523830	A	734585	A	342348	A
USGS	422719121571400	2013-06-23	17.9	A	17.2	A	17.5	A	10.3	A	10.1	A	10.2	A	138	A	128	A	132	A	13.7	A	11.4	A	12.6	A	909305	A	528633	A	339026	A
USGS	422719121571400	2013-06-24	17.2	A	15.4	A	16.3	A	10.3	A	10.0	A	10.2	A	132	A	123	A	129	A	11.5	A	9.0	A	10.7	A	860681	A	603893	A	318584	A
USGS	422719121571400	2013-06-25	15.4	A	14.7	A	14.8	A	10.1	A	9.8	A	9.9	A	124	A	120	A	121	A	10.6	A	8.1	A	9.1	A	571044	A	460392	A	295855	A
USGS	422719121571400	2013-06-26	16.4	A	14.3	A	15.3	A	10.2	A	9.9	A	10.1	A	125	A	121	A	123	A	12.8	A	9.1	A	10.8	A	807867	A	524574	A	368692	A
USGS	422719121571400	2013-06-27	20.1	A	15.9	A	17.4	A	10.4	A	10.1	A	10.2	A	141	A	121	A	129	A	15.6	A	10.6	A	12.8	A	893588	A	599857	A	386741	A
USGS	422719121571400	2013-06-28	20.2	A	17.6	A	18.6	A	10.4	A	10.0	A	10.1	A	135	A	119	A	123	A	14.7	A	11.5	A	12.9	A	925600	A	391396	A	74748	A
USGS	422719121571400	2013-06-29	22.0	A	18.2	A	20.4	A	10.3	A	9.7	A	10.2	A	133	A	113	A	125	A	13.8	A	10.3	A	11.8	A	1193860	A	405420	A	173426	A
USGS	422719121571400	2013-06-30	21.3	A	18.8	A	20.4	A	10.2	A	9.9	A	10.0	A	125	A	118	A	122	A	11.9	A	9.1	A	10.3	A	1289410	A	629532	A	332798	A
USGS	422719121571400	2013-07-01	24.5	A	20.4	A	22.2	A	10.3	A	9.9	A	10.1	A	136	A	120	A	126	A	14.4	A	8.3	A	11.3	A	804632	A	506039	A	221409	A
USGS	422719121571400	2013-07-02	24.3	A	22.2	A	23.3	A	10.4	A	9.9	A	10.1	A	141	A	122	A	129	A	16.0	A	9.8	A	12.3	A	723165	A	344008	A	120880	A
USGS	422719121571400	2013-07-03	25.3	A	22.9	A	24.0	A	10.3	A	9.7	A	10.0	A	139	A	116	A	127	A	16.4	A	10.0	A	11.6	A	488995	A	347136	A	122683	A
USGS	422719121571400	2013-07-04	24.8	A	22.5	A	23.7	A	10.0	A	9.6	A	9.9	A	128	A	119	A	123	A	12.4	A	7.8	A	9.9	A	452982	A	301576	A	169680	A
USGS	422719121571400	2013-07-05	23.1	A	20.8	A	21.9	A	10.1	A	9.6	A	10.0	A	133	A	118	A	126	A	13.2	A	8.5	A	10.7	A	769257	A	455678	A	149460	A
