agency_cd	site_no	datetime	113306_62614_32400	113306_62614_32400_cd
5s	15s	20d	14n	10s
USGS	14034490	2013-01-01	2059.78	A
USGS	14034490	2013-01-02	2059.81	A
USGS	14034490	2013-01-03	2059.84	A
USGS	14034490	2013-01-04	2059.88	A
USGS	14034490	2013-01-05	2059.93	A
USGS	14034490	2013-01-06	2060.00	A
USGS	14034490	2013-01-07	2060.07	A
USGS	14034490	2013-01-08	2060.20	A
USGS	14034490	2013-01-09	2060.39	A
USGS	14034490	2013-01-10	2060.64	A
USGS	14034490	2013-01-11	2060.88	A
USGS	14034490	2013-01-12	2061.03	A
USGS	14034490	2013-01-13	2061.17	A
USGS	14034490	2013-01-14	2061.31	A
USGS	14034490	2013-01-15	2061.46	A
USGS	14034490	2013-01-16	2061.58	A
USGS	14034490	2013-01-17	2061.68	A
USGS	14034490	2013-01-18	2061.80	A
USGS	14034490	2013-01-19	2061.91	A
USGS	14034490	2013-01-20	2062.01	A
USGS	14034490	2013-01-21	2062.10	A
USGS	14034490	2013-01-22	2062.19	A
USGS	14034490	2013-01-23	2062.29	A
USGS	14034490	2013-01-24	2062.40	A
USGS	14034490	2013-01-25	2062.59	A
USGS	14034490	2013-01-26	2062.88	A
USGS	14034490	2013-01-27	2063.18	A
USGS	14034490	2013-01-28	2063.46	A
USGS	14034490	2013-01-29	2063.72	A
USGS	14034490	2013-01-30	2064.01	A
USGS	14034490	2013-01-31	2064.40	A
USGS	14034490	2013-02-01	2064.76	A
USGS	14034490	2013-02-02	2065.09	A
USGS	14034490	2013-02-03	2065.37	A
USGS	14034490	2013-02-04	2065.54	A
USGS	14034490	2013-02-05	2065.62	A
USGS	14034490	2013-02-06	2065.66	A
USGS	14034490	2013-02-07	2065.66	A
USGS	14034490	2013-02-08	2065.64	A
USGS	14034490	2013-02-09	2065.58	A
USGS	14034490	2013-02-10	2065.52	A
USGS	14034490	2013-02-11	2065.52	A
USGS	14034490	2013-02-12	2065.60	A
USGS	14034490	2013-02-13	2065.65	A
USGS	14034490	2013-02-14	2065.74	A
USGS	14034490	2013-02-15	2065.85	A
USGS	14034490	2013-02-16	2065.97	A
USGS	14034490	2013-02-17	2066.09	A
USGS	14034490	2013-02-18	2066.21	A
USGS	14034490	2013-02-19	2066.33	A
USGS	14034490	2013-02-20	2066.45	A
USGS	14034490	2013-02-21	2066.56	A
USGS	14034490	2013-02-22	2066.66	A
USGS	14034490	2013-02-23	2066.76	A
USGS	14034490	2013-02-24	2066.84	A
USGS	14034490	2013-02-25	2066.93	A
USGS	14034490	2013-02-26	2067.04	A
USGS	14034490	2013-02-27	2067.13	A
USGS	14034490	2013-02-28	2067.24	A
USGS	14034490	2013-03-01	2067.41	A
USGS	14034490	2013-03-02	2067.66	A
USGS	14034490	2013-03-03	2067.98	A
USGS	14034490	2013-03-04	2068.29	A
USGS	14034490	2013-03-05	2068.58	A
USGS	14034490	2013-03-06	2068.88	A
USGS	14034490	2013-03-07	2069.16	A
USGS	14034490	2013-03-08	2069.41	A
USGS	14034490	2013-03-09	2069.63	A
USGS	14034490	2013-03-10	2069.83	A
USGS	14034490	2013-03-11	2070.05	A
USGS	14034490	2013-03-12	2070.30	A
USGS	14034490	2013-03-13	2070.61	A
USGS	14034490	2013-03-14	2070.99	A
USGS	14034490	2013-03-15	2071.46	A
USGS	14034490	2013-03-16	2071.91	A
USGS	14034490	2013-03-17	2072.23	A
USGS	14034490	2013-03-18	2072.43	A
USGS	14034490	2013-03-19	2072.50	A
USGS	14034490	2013-03-20	2072.58	A
USGS	14034490	2013-03-21	2072.72	A
USGS	14034490	2013-03-22	2072.80	A
USGS	14034490	2013-03-23	2072.85	A
USGS	14034490	2013-03-24	2072.88	A
USGS	14034490	2013-03-25	2072.91	A
USGS	14034490	2013-03-26	2073.03	A
USGS	14034490	2013-03-27	2073.17	A
USGS	14034490	2013-03-28	2073.35	A
USGS	14034490	2013-03-29	2073.59	A
USGS	14034490	2013-03-30	2073.92	A
USGS	14034490	2013-03-31	2074.35	A
USGS	14034490	2013-04-01	2074.75	A
USGS	14034490	2013-04-02	2075.07	A
USGS	14034490	2013-04-03	2075.43	A
