agency_cd	site_no	datetime	213604_00054_32400	213604_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11214800	2013-01-01	38000	A
USGS	11214800	2013-01-02	38800	A
USGS	11214800	2013-01-03	39700	A
USGS	11214800	2013-01-04	40600	A
USGS	11214800	2013-01-05	42600	A
USGS	11214800	2013-01-06	42500	A
USGS	11214800	2013-01-07	44700	A
USGS	11214800	2013-01-08	48700	A
USGS	11214800	2013-01-09	49000	A
USGS	11214800	2013-01-10	47900	A
USGS	11214800	2013-01-11	52900	A
USGS	11214800	2013-01-12	54100	A
USGS	11214800	2013-01-13	55100	A
USGS	11214800	2013-01-14	57500	A
USGS	11214800	2013-01-15	59900	A
USGS	11214800	2013-01-16	60400	A
USGS	11214800	2013-01-17	60800	A
USGS	11214800	2013-01-18	61600	A
USGS	11214800	2013-01-19	62000	A
USGS	11214800	2013-01-20	61600	A
USGS	11214800	2013-01-21	64500	A
USGS	11214800	2013-01-22	66200	A
USGS	11214800	2013-01-23	66100	A
USGS	11214800	2013-01-24	65700	A
USGS	11214800	2013-01-25	65700	A
USGS	11214800	2013-01-26	64500	A
USGS	11214800	2013-01-27	61200	A
USGS	11214800	2013-01-28	58500	A
USGS	11214800	2013-01-29	57000	A
USGS	11214800	2013-01-30	55400	A
USGS	11214800	2013-01-31	54100	A
USGS	11214800	2013-02-01	53400	A
USGS	11214800	2013-02-02	54300	A
USGS	11214800	2013-02-03	53300	A
USGS	11214800	2013-02-04	52800	A
USGS	11214800	2013-02-05	52300	A
USGS	11214800	2013-02-06	53000	A
USGS	11214800	2013-02-07	54800	A
USGS	11214800	2013-02-08	54800	A
USGS	11214800	2013-02-09	54800	A
USGS	11214800	2013-02-10	54400	A
USGS	11214800	2013-02-11	54900	A
USGS	11214800	2013-02-12	56200	A
USGS	11214800	2013-02-13	56600	A
USGS	11214800	2013-02-14	56800	A
USGS	11214800	2013-02-15	56500	A
USGS	11214800	2013-02-16	55100	A
USGS	11214800	2013-02-17	52400	A
USGS	11214800	2013-02-18	51300	A
USGS	11214800	2013-02-19	49900	A
USGS	11214800	2013-02-20	50500	A
USGS	11214800	2013-02-21	50500	A
USGS	11214800	2013-02-22	51200	A
USGS	11214800	2013-02-23	48800	A
USGS	11214800	2013-02-24	48200	A
USGS	11214800	2013-02-25	48100	A
USGS	11214800	2013-02-26	48000	A
USGS	11214800	2013-02-27	49000	A
USGS	11214800	2013-02-28	48400	A
USGS	11214800	2013-03-01	47700	A
USGS	11214800	2013-03-02	47600	A
USGS	11214800	2013-03-03	45900	A
USGS	11214800	2013-03-04	45900	A
USGS	11214800	2013-03-05	46900	A
USGS	11214800	2013-03-06	46900	A
USGS	11214800	2013-03-07	47800	A
USGS	11214800	2013-03-08	48400	A
USGS	11214800	2013-03-09	46800	A
USGS	11214800	2013-03-10	47100	A
USGS	11214800	2013-03-11	47700	A
USGS	11214800	2013-03-12	48100	A
USGS	11214800	2013-03-13	49100	A
USGS	11214800	2013-03-14	49500	A
USGS	11214800	2013-03-15	49000	A
USGS	11214800	2013-03-16	48700	A
USGS	11214800	2013-03-17	47400	A
USGS	11214800	2013-03-18	46800	A
USGS	11214800	2013-03-19	47700	A
USGS	11214800	2013-03-20	49200	A
USGS	11214800	2013-03-21	49100	A
USGS	11214800	2013-03-22	48800	A
USGS	11214800	2013-03-23	49300	A
USGS	11214800	2013-03-24	52400	A
USGS	11214800	2013-03-25	53100	A
USGS	11214800	2013-03-26	53700	A
USGS	11214800	2013-03-27	52600	A
USGS	11214800	2013-03-28	52600	A
USGS	11214800	2013-03-29	52500	A
USGS	11214800	2013-03-30	50500	A
USGS	11214800	2013-03-31	49100	A
USGS	11214800	2013-04-01	49100	A
USGS	11214800	2013-04-02	48300	A
USGS	11214800	2013-04-03	48000	A
USGS	11214800	2013-04-04	47700	A
