agency_cd	site_no	datetime	148463_62614_32400	148463_62614_32400_cd	225215_00054_32400	225215_00054_32400_cd
USGS	12035380	2013-01-01	764.62	A		
USGS	12035380	2013-01-02	764.27	A		
USGS	12035380	2013-01-03	763.94	A		
USGS	12035380	2013-01-04	763.71	A		
USGS	12035380	2013-01-05	763.51	A		
USGS	12035380	2013-01-06	763.42	A		
USGS	12035380	2013-01-07	763.70	A		
USGS	12035380	2013-01-08	765.68	A		
USGS	12035380	2013-01-09	769.68	A		
USGS	12035380	2013-01-10	769.04	A		
USGS	12035380	2013-01-11	767.59	A		
USGS	12035380	2013-01-12	767.16	A		
USGS	12035380	2013-01-13	767.49	A		
USGS	12035380	2013-01-14	767.67	A		
USGS	12035380	2013-01-15	767.75	A		
USGS	12035380	2013-01-16	767.75	A		
USGS	12035380	2013-01-17	767.71	A		
USGS	12035380	2013-01-18	767.65	A		
USGS	12035380	2013-01-19	767.58	A		
USGS	12035380	2013-01-20	767.58	A		
USGS	12035380	2013-01-21	767.73	A		
USGS	12035380	2013-01-22	767.87	A		
USGS	12035380	2013-01-23	768.36	A		
USGS	12035380	2013-01-24	768.86	A		
USGS	12035380	2013-01-25	769.25	A		
USGS	12035380	2013-01-26	769.62	A		
USGS	12035380	2013-01-27	769.81	A		
USGS	12035380	2013-01-28	769.95	A		
USGS	12035380	2013-01-29	770.09	A		
USGS	12035380	2013-01-30	770.29	A		
USGS	12035380	2013-01-31	770.59	A		
USGS	12035380	2013-02-01	770.86	A		
USGS	12035380	2013-02-02	771.03	A		
USGS	12035380	2013-02-03	771.00	A		
USGS	12035380	2013-02-04	770.81	A		
USGS	12035380	2013-02-05	771.03	A		
USGS	12035380	2013-02-06	771.70	A		
USGS	12035380	2013-02-07	772.33	A		
USGS	12035380	2013-02-08	772.52	A		
USGS	12035380	2013-02-09	772.52	A		
USGS	12035380	2013-02-10	772.38	A		
USGS	12035380	2013-02-11	772.15	A		
USGS	12035380	2013-02-12	771.88	A		
USGS	12035380	2013-02-13	771.62	A		
USGS	12035380	2013-02-14	771.32	A		
USGS	12035380	2013-02-15	770.99	A		
USGS	12035380	2013-02-16	770.73	A		
USGS	12035380	2013-02-17	770.44	A		
USGS	12035380	2013-02-18	770.14	A		
USGS	12035380	2013-02-19	769.78	A		
USGS	12035380	2013-02-20	769.08	A		
USGS	12035380	2013-02-21	767.72	A		
USGS	12035380	2013-02-22	767.10	A		
USGS	12035380	2013-02-23	766.60	A		
USGS	12035380	2013-02-24	766.10	A		
USGS	12035380	2013-02-25	765.70	A		
USGS	12035380	2013-02-26	765.15	A		
USGS	12035380	2013-02-27	764.51	A		
USGS	12035380	2013-02-28	764.75	A		
USGS	12035380	2013-03-01	766.70	A		
USGS	12035380	2013-03-02	769.24	A		
USGS	12035380	2013-03-03	770.63	A		
USGS	12035380	2013-03-04	771.26	A		
USGS	12035380	2013-03-05	771.66	A		
USGS	12035380	2013-03-06	771.87	A		
USGS	12035380	2013-03-07	771.62	A		
USGS	12035380	2013-03-08	770.61	A		
USGS	12035380	2013-03-09	769.52	A		
USGS	12035380	2013-03-10	768.45	A		
USGS	12035380	2013-03-11	767.32	A		
USGS	12035380	2013-03-12	767.18	A		
USGS	12035380	2013-03-13	768.32	A		
USGS	12035380	2013-03-14	768.56	A		
USGS	12035380	2013-03-15	769.12	A		
USGS	12035380	2013-03-16	769.34	A		
USGS	12035380	2013-03-17	769.17	A		
USGS	12035380	2013-03-18	768.66	A		
USGS	12035380	2013-03-19	768.09	A		
USGS	12035380	2013-03-20	769.92	A		
USGS	12035380	2013-03-21	769.51	A		
USGS	12035380	2013-03-22	768.24	A		
USGS	12035380	2013-03-23	766.57	A		
USGS	12035380	2013-03-24	765.16	A		
USGS	12035380	2013-03-25	764.14	A		
USGS	12035380	2013-03-26	764.13	A		
USGS	12035380	2013-03-27	764.38	A		
USGS	12035380	2013-03-28	764.64	A		
USGS	12035380	2013-03-29	764.89	A		
USGS	12035380	2013-03-30	765.17	A		
USGS	12035380	2013-03-31	765.54	A		
USGS	12035380	2013-04-01	766.04	A		
USGS	12035380	2013-04-02	766.46	A		
USGS	12035380	2013-04-03	766.74	A		
USGS	12035380	2013-04-04	767.53	A		
USGS	12035380	2013-04-05	772.33	A		
USGS	12035380	2013-04-06	776.79	A		
USGS	12035380	2013-04-07	778.93	A		
USGS	12035380	2013-04-08	779.08	A		
USGS	12035380	2013-04-09	777.85	A		
USGS	12035380	2013-04-10	777.24	A		
USGS	12035380	2013-04-11	776.19	A		
USGS	12035380	2013-04-12	775.82	A		
USGS	12035380	2013-04-13	775.42	A		
USGS	12035380	2013-04-14	775.80	A		
USGS	12035380	2013-04-15	776.41	A		
USGS	12035380	2013-04-16	776.91	A		
USGS	12035380	2013-04-17	777.34	A		
USGS	12035380	2013-04-18	777.75	A		
