agency_cd	site_no	datetime	247237_62614_00003	247237_62614_00003_cd
5s	15s	20d	14n	10s
USGS	14218480	2016-10-20	485.96	P
USGS	14218480	2016-10-21	485.92	P
USGS	14218480	2016-10-22	486.59	P
USGS	14218480	2016-10-23	486.48	P
USGS	14218480	2016-10-24	484.86	P
USGS	14218480	2016-10-25	483.05	P
USGS	14218480	2016-10-26	481.17	P
USGS	14218480	2016-10-27	479.66	P
USGS	14218480	2016-10-28	478.06	P
USGS	14218480	2016-10-29	477.06	P
USGS	14218480	2016-10-30	476.13	P
USGS	14218480	2016-10-31	474.63	P
USGS	14218480	2016-11-01	474.09	P
USGS	14218480	2016-11-02	473.36	P
USGS	14218480	2016-11-03	472.36	P
USGS	14218480	2016-11-04	471.21	P
USGS	14218480	2016-11-05	471.72	P
USGS	14218480	2016-11-06	473.03	P
USGS	14218480	2016-11-07	473.32	P
USGS	14218480	2016-11-08	472.94	P
USGS	14218480	2016-11-09	472.89	P
USGS	14218480	2016-11-10	473.01	P
USGS	14218480	2016-11-11	473.36	P
USGS	14218480	2016-11-12	472.87	P
USGS	14218480	2016-11-13	472.54	P
USGS	14218480	2016-11-14	472.33	P
USGS	14218480	2016-11-15	471.74	P
USGS	14218480	2016-11-16	471.83	P
USGS	14218480	2016-11-17	471.98	P
USGS	14218480	2016-11-18	472.04	P
USGS	14218480	2016-11-19	472.09	P
USGS	14218480	2016-11-20	471.83	P
USGS	14218480	2016-11-21	470.69	P
USGS	14218480	2016-11-22	469.87	P
USGS	14218480	2016-11-23	471.22	P
USGS	14218480	2016-11-24	474.08	P
USGS	14218480	2016-11-25	476.44	P
USGS	14218480	2016-11-26	477.73	P
USGS	14218480	2016-11-27	478.20	P
USGS	14218480	2016-11-28	479.18	P
USGS	14218480	2016-11-29	479.74	P
USGS	14218480	2016-11-30	479.96	P
USGS	14218480	2016-12-01	479.15	P
USGS	14218480	2016-12-02	478.54	P
USGS	14218480	2016-12-03	476.95	P
USGS	14218480	2016-12-04	474.37	P
USGS	14218480	2016-12-05	472.97	P
USGS	14218480	2016-12-06	476.24	P
USGS	14218480	2016-12-07	479.38	P
USGS	14218480	2016-12-08	482.44	P
USGS	14218480	2016-12-09	485.06	P
USGS	14218480	2016-12-10	484.40	P
USGS	14218480	2016-12-11	483.36	P
USGS	14218480	2016-12-12	482.03	P
USGS	14218480	2016-12-13	481.44	P
USGS	14218480	2016-12-14	480.07	P
USGS	14218480	2016-12-15	478.17	P
