,datetime,213160_00054_32400
0,2013-01-01,23500
1,2013-01-02,23500
2,2013-01-03,23500
3,2013-01-04,23600
4,2013-01-05,23600
5,2013-01-06,23700
6,2013-01-07,23700
7,2013-01-08,23800
8,2013-01-09,23900
9,2013-01-10,23900
10,2013-01-11,23900
11,2013-01-12,24000
12,2013-01-13,24000
13,2013-01-14,24000
14,2013-01-15,24100
15,2013-01-16,24100
16,2013-01-17,24200
17,2013-01-18,24200
18,2013-01-19,24200
19,2013-01-20,24300
20,2013-01-21,24300
21,2013-01-22,24400
22,2013-01-23,24400
23,2013-01-24,24600
24,2013-01-25,24800
25,2013-01-26,25000
26,2013-01-27,25200
27,2013-01-28,25300
28,2013-01-29,25400
29,2013-01-30,25500
30,2013-01-31,25500
31,2013-02-01,25600
32,2013-02-02,25700
33,2013-02-03,25800
34,2013-02-04,25900
35,2013-02-05,26000
36,2013-02-06,26100
37,2013-02-07,26200
38,2013-02-08,26300
39,2013-02-09,26300
40,2013-02-10,26400
41,2013-02-11,26400
42,2013-02-12,26500
43,2013-02-13,26500
44,2013-02-14,26500
45,2013-02-15,26600
46,2013-02-16,26600
47,2013-02-17,26700
48,2013-02-18,26700
49,2013-02-19,26800
50,2013-02-20,26800
51,2013-02-21,26900
52,2013-02-22,26900
53,2013-02-23,27000
54,2013-02-24,27000
55,2013-02-25,27000
56,2013-02-26,27100
57,2013-02-27,27100
58,2013-02-28,27200
59,2013-03-01,27200
60,2013-03-02,27300
61,2013-03-03,27300
62,2013-03-04,27400
63,2013-03-05,27400
64,2013-03-06,27600
65,2013-03-07,27700
66,2013-03-08,27800
67,2013-03-09,27900
68,2013-03-10,28000
69,2013-03-11,28100
70,2013-03-12,28200
71,2013-03-13,28300
72,2013-03-14,28400
73,2013-03-15,28500
74,2013-03-16,28600
75,2013-03-17,28700
76,2013-03-18,28900
77,2013-03-19,29000
78,2013-03-20,29100
79,2013-03-21,29200
80,2013-03-22,29300
81,2013-03-23,29400
82,2013-03-24,29600
83,2013-03-25,29700
84,2013-03-26,29800
85,2013-03-27,29900
86,2013-03-28,30000
87,2013-03-29,30100
88,2013-03-30,30200
89,2013-03-31,30400
90,2013-04-01,30600
91,2013-04-02,30700
92,2013-04-03,30900
93,2013-04-04,31000
94,2013-04-05,31200
95,2013-04-06,31300
96,2013-04-07,31400
97,2013-04-08,31600
98,2013-04-09,31700
99,2013-04-10,31800
100,2013-04-11,32000
101,2013-04-12,32100
102,2013-04-13,32200
103,2013-04-14,32300
104,2013-04-15,32500
105,2013-04-16,32600
106,2013-04-17,32700
107,2013-04-18,32800
108,2013-04-19,32900
109,2013-04-20,33000
110,2013-04-21,33200
111,2013-04-22,33300
112,2013-04-23,33400
113,2013-04-24,33500
114,2013-04-25,33600
115,2013-04-26,33700
