,datetime,113527_62614_32400
0,2013-01-01,3174.57
1,2013-01-02,3174.49
2,2013-01-03,3174.43
3,2013-01-04,3174.36
4,2013-01-05,3174.29
5,2013-01-06,3174.26
6,2013-01-07,3174.5
7,2013-01-08,3174.67
8,2013-01-09,3174.79
9,2013-01-10,3174.86
10,2013-01-11,3174.83
11,2013-01-12,3174.79
12,2013-01-13,3174.74
13,2013-01-14,3174.69
14,2013-01-15,3174.61
15,2013-01-16,3174.56
16,2013-01-17,3174.49
17,2013-01-18,3174.43
18,2013-01-19,3174.38
19,2013-01-20,3174.32
20,2013-01-21,3174.27
21,2013-01-22,3174.25
22,2013-01-23,3174.19
23,2013-01-24,3174.15
24,2013-01-25,3174.24
25,2013-01-26,3174.29
26,2013-01-27,3174.33
27,2013-01-28,3174.43
28,2013-01-29,3174.53
29,2013-01-30,3174.6
30,2013-01-31,3174.65
31,2013-02-01,3174.71
32,2013-02-02,3174.65
33,2013-02-03,3174.63
34,2013-02-04,3174.59
35,2013-02-05,3174.66
36,2013-02-06,3174.58
37,2013-02-07,3174.58
38,2013-02-08,3174.52
39,2013-02-09,3174.47
40,2013-02-10,3174.39
41,2013-02-11,3174.35
42,2013-02-12,3174.32
43,2013-02-13,3174.35
44,2013-02-14,3174.31
45,2013-02-15,3174.28
46,2013-02-16,3174.3
47,2013-02-17,3174.26
48,2013-02-18,3174.22
49,2013-02-19,3174.16
50,2013-02-20,3174.13
51,2013-02-21,3174.14
52,2013-02-22,3174.22
53,2013-02-23,3174.21
54,2013-02-24,3174.14
55,2013-02-25,3174.22
56,2013-02-26,3174.13
57,2013-02-27,3174.07
58,2013-02-28,3174.29
59,2013-03-01,3174.47
60,2013-03-02,3174.61
61,2013-03-03,3174.65
62,2013-03-04,3174.65
63,2013-03-05,3174.68
64,2013-03-06,3174.73
65,2013-03-07,3174.67
66,2013-03-08,3174.62
67,2013-03-09,3174.57
68,2013-03-10,3174.53
69,2013-03-11,3174.5
70,2013-03-12,3174.48
71,2013-03-13,3174.47
72,2013-03-14,3174.5
73,2013-03-15,3174.61
74,2013-03-16,3174.89
75,2013-03-17,3174.96
76,2013-03-18,3174.97
77,2013-03-19,3175.01
78,2013-03-20,3175.27
79,2013-03-21,3175.39
80,2013-03-22,3175.44
81,2013-03-23,3175.42
82,2013-03-24,3175.39
83,2013-03-25,3175.36
84,2013-03-26,3175.31
85,2013-03-27,3175.27
86,2013-03-28,3175.23
87,2013-03-29,3175.2
88,2013-03-30,3175.21
89,2013-03-31,3175.25
90,2013-04-01,3175.31
91,2013-04-02,3175.39
92,2013-04-03,3175.46
93,2013-04-04,3175.64
94,2013-04-05,3175.93
