,datetime,113584_62614_32400
0,2013-01-01,860.07
1,2013-01-02,860.01
2,2013-01-03,859.93
3,2013-01-04,860.14
4,2013-01-05,860.3
5,2013-01-06,860.06
6,2013-01-07,861.41
7,2013-01-08,861.57
8,2013-01-09,861.14
9,2013-01-10,860.8
10,2013-01-11,860.53
11,2013-01-12,860.47
12,2013-01-13,860.27
13,2013-01-14,860.23
14,2013-01-15,860.24
15,2013-01-16,860.15
16,2013-01-17,860.11
17,2013-01-18,860.07
18,2013-01-19,860.19
19,2013-01-20,860.29
20,2013-01-21,860.28
21,2013-01-22,860.17
22,2013-01-23,860.29
23,2013-01-24,860.3
24,2013-01-25,861.29
25,2013-01-26,860.85
26,2013-01-27,860.81
27,2013-01-28,861.07
28,2013-01-29,861.38
29,2013-01-30,861.64
30,2013-01-31,861.35
31,2013-02-01,860.95
32,2013-02-02,860.83
33,2013-02-03,860.68
34,2013-02-04,860.43
35,2013-02-05,860.79
36,2013-02-06,860.77
37,2013-02-07,860.63
38,2013-02-08,860.48
39,2013-02-09,860.38
40,2013-02-10,860.26
41,2013-02-11,860.23
42,2013-02-12,860.55
43,2013-02-13,860.87
44,2013-02-14,860.78
45,2013-02-15,860.41
46,2013-02-16,860.55
47,2013-02-17,860.53
48,2013-02-18,860.49
49,2013-02-19,860.41
50,2013-02-20,860.46
51,2013-02-21,860.32
52,2013-02-22,860.68
53,2013-02-23,860.53
54,2013-02-24,860.41
55,2013-02-25,860.58
56,2013-02-26,860.49
57,2013-02-27,860.4
58,2013-02-28,861.53
59,2013-03-01,861.42
60,2013-03-02,861.07
61,2013-03-03,860.83
62,2013-03-04,860.74
63,2013-03-05,860.49
64,2013-03-06,860.45
65,2013-03-07,860.39
66,2013-03-08,860.47
67,2013-03-09,860.47
68,2013-03-10,860.35
69,2013-03-11,860.5
70,2013-03-12,860.74
71,2013-03-13,860.58
72,2013-03-14,860.76
73,2013-03-15,860.88
74,2013-03-16,861.13
75,2013-03-17,860.77
76,2013-03-18,860.7
77,2013-03-19,860.67
78,2013-03-20,861.02
79,2013-03-21,860.78
80,2013-03-22,860.7
81,2013-03-23,860.48
82,2013-03-24,860.36
83,2013-03-25,860.23
84,2013-03-26,860.39
85,2013-03-27,860.58
86,2013-03-28,860.26
87,2013-03-29,860.52
88,2013-03-30,860.67
89,2013-03-31,860.73
90,2013-04-01,860.66
91,2013-04-02,860.62
92,2013-04-03,860.61
93,2013-04-04,860.82
94,2013-04-05,861.23
95,2013-04-06,861.43
96,2013-04-07,861.65
97,2013-04-08,861.14
98,2013-04-09,860.83
99,2013-04-10,861.15
100,2013-04-11,860.81
101,2013-04-12,860.77
102,2013-04-13,860.77
103,2013-04-14,860.76
104,2013-04-15,860.62
105,2013-04-16,860.57
106,2013-04-17,860.44
107,2013-04-18,860.43
108,2013-04-19,861.59
109,2013-04-20,861.47
110,2013-04-21,860.94
111,2013-04-22,860.78
112,2013-04-23,860.7
113,2013-04-24,860.49
114,2013-04-25,860.62
115,2013-04-26,860.44
116,2013-04-27,860.47
117,2013-04-28,860.47
118,2013-04-29,860.74
119,2013-04-30,860.37
120,2013-05-01,859.99
121,2013-05-02,859.96
122,2013-05-03,860.28
123,2013-05-04,859.9
124,2013-05-05,859.96
125,2013-05-06,860.28
126,2013-05-07,860.33
127,2013-05-08,860.32
128,2013-05-09,860.14
129,2013-05-10,859.68
130,2013-05-11,859.34
131,2013-05-12,859.2
132,2013-05-13,858.86
133,2013-05-14,858.7
134,2013-05-15,858.84
135,2013-05-16,858.47
136,2013-05-17,858.56
137,2013-05-18,858.71
138,2013-05-19,858.87
139,2013-05-20,859.19
140,2013-05-21,859.84
141,2013-05-22,859.05
142,2013-05-23,860.73
143,2013-05-24,860.93
144,2013-05-25,860.75
145,2013-05-26,860.74
146,2013-05-27,861.24
147,2013-05-28,861.06
148,2013-05-29,861.43
149,2013-05-30,860.97
150,2013-05-31,860.77
151,2013-06-01,860.72
152,2013-06-02,860.42
153,2013-06-03,860.39
154,2013-06-04,860.59
155,2013-06-05,860.18
156,2013-06-06,859.75
157,2013-06-07,859.39
158,2013-06-08,858.96
159,2013-06-09,859.18
160,2013-06-10,859.21
