,datetime,218237_00065_00011
0,2013-01-01,1533.3
1,2013-01-02,1533.3
2,2013-01-03,1530.9
3,2013-01-04,1529.72
4,2013-01-05,1528.4
5,2013-01-06,1527.0
6,2013-01-07,1526.1
7,2013-01-08,1540.0
8,2013-01-09,1546.1
9,2013-01-10,1549.7
10,2013-01-11,1550.51
11,2013-01-12,1550.7
12,2013-01-13,1550.7
13,2013-01-14,1550.6
14,2013-01-15,1550.5
15,2013-01-16,1549.3
16,2013-01-17,1548.0
17,2013-01-18,1546.0
18,2013-01-19,1545.0
19,2013-01-20,1544.8
20,2013-01-21,1544.6
21,2013-01-22,1543.9
22,2013-01-23,1543.55
23,2013-01-24,1543.0
24,2013-01-25,1542.75
25,2013-01-26,1543.1
26,2013-01-27,1543.8
27,2013-01-28,1544.5
28,2013-01-29,1548.9
29,2013-01-30,1550.3
30,2013-01-31,1551.0
31,2013-02-01,1551.35
32,2013-02-02,1551.81
33,2013-02-03,1552.0
34,2013-02-04,1552.05
35,2013-02-05,1552.1
36,2013-02-06,1552.2
37,2013-02-07,1552.4
38,2013-02-08,1552.4
39,2013-02-09,1552.34
40,2013-02-10,1552.2
41,2013-02-11,1552.0
42,2013-02-12,1551.85
43,2013-02-13,1551.7
44,2013-02-14,1552.0
45,2013-02-15,1551.51
46,2013-02-16,1551.41
47,2013-02-17,1551.4
48,2013-02-18,1551.35
49,2013-02-19,1551.25
50,2013-02-20,1551.05
51,2013-02-21,1550.7
52,2013-02-22,1550.57
53,2013-02-23,1550.52
54,2013-02-24,1550.5
55,2013-02-25,1550.1
56,2013-02-26,1550.0
57,2013-02-27,1549.6
58,2013-02-28,1549.0
59,2013-03-01,1549.2
60,2013-03-02,1550.62
61,2013-03-03,1551.5
62,2013-03-04,1551.9
63,2013-03-05,1552.2
64,2013-03-06,1552.0
65,2013-03-07,1552.1
66,2013-03-08,1551.81
67,2013-03-09,1551.38
68,2013-03-10,1550.8
69,2013-03-11,1550.65
70,2013-03-12,1550.5
71,2013-03-13,1551.0
72,2013-03-14,1552.0
73,2013-03-15,1552.49
74,2013-03-16,1552.0
75,2013-03-17,1554.2
76,2013-03-18,1554.5
77,2013-03-19,1554.2
78,2013-03-20,1553.7
79,2013-03-21,1553.35
80,2013-03-22,1553.18
81,2013-03-23,1552.8
82,2013-03-24,1552.3
83,2013-03-25,1551.75
84,2013-03-26,1551.2
85,2013-03-27,1550.65
86,2013-03-28,1550.4
87,2013-03-29,1550.6
88,2013-03-30,1550.54
89,2013-03-31,1550.58
90,2013-04-01,1551.0
91,2013-04-02,1551.4
92,2013-04-03,1551.95
93,2013-04-04,1552.3
94,2013-04-05,1552.89
95,2013-04-06,1554.8
96,2013-04-07,1556.25
97,2013-04-08,1557.3
98,2013-04-09,1557.6
99,2013-04-10,1557.65
100,2013-04-11,1558.5
101,2013-04-12,1558.98
102,2013-04-13,1559.0
103,2013-04-14,1558.9
104,2013-04-15,1558.55
105,2013-04-16,1558.1
106,2013-04-17,1557.48
107,2013-04-18,1556.75
108,2013-04-19,1556.55
109,2013-04-20,1557.6
110,2013-04-21,1558.6
111,2013-04-22,1559.2
112,2013-04-23,1559.3
113,2013-04-24,1559.0
114,2013-04-25,1558.6
115,2013-04-26,1558.25
116,2013-04-27,1558.06
117,2013-04-28,1558.0
118,2013-04-29,1558.3
119,2013-04-30,1558.8
120,2013-05-01,1558.8
121,2013-05-02,1558.4
122,2013-05-03,1558.1
123,2013-05-04,1557.7
124,2013-05-05,1557.55
