,datetime,148982_62614_30800
0,2013-01-01,1550.72
1,2013-01-02,1550.73
2,2013-01-03,1550.72
3,2013-01-04,1550.62
4,2013-01-05,1550.66
5,2013-01-06,1550.62
6,2013-01-07,1550.78
7,2013-01-08,1550.59
8,2013-01-09,1550.81
9,2013-01-10,1551.1
10,2013-01-11,1551.2
11,2013-01-12,1551.2
12,2013-01-13,1551.13
13,2013-01-14,1551.03
14,2013-01-15,1550.93
15,2013-01-16,1550.91
16,2013-01-17,1550.9
17,2013-01-18,1550.89
18,2013-01-19,1550.86
19,2013-01-20,1550.85
20,2013-01-21,1550.86
21,2013-01-22,1550.87
22,2013-01-23,1550.87
23,2013-01-24,1550.88
24,2013-01-25,1550.93
25,2013-01-26,1551.0
26,2013-01-27,1551.06
27,2013-01-28,1551.08
28,2013-01-29,1550.82
29,2013-01-30,1551.0
30,2013-01-31,1551.41
31,2013-02-01,1551.8
32,2013-02-02,1552.14
33,2013-02-03,1552.25
34,2013-02-04,1552.34
35,2013-02-05,1552.39
36,2013-02-06,1552.52
37,2013-02-07,1552.61
38,2013-02-08,1552.63
39,2013-02-09,1552.56
40,2013-02-10,1552.43
41,2013-02-11,1552.26
42,2013-02-12,1552.06
43,2013-02-13,1551.98
44,2013-02-14,1551.92
45,2013-02-15,1551.83
46,2013-02-16,1551.76
47,2013-02-17,1551.73
48,2013-02-18,1551.66
49,2013-02-19,1551.58
50,2013-02-20,1551.44
51,2013-02-21,1551.27
52,2013-02-22,1551.19
53,2013-02-23,1551.16
54,2013-02-24,1551.1
55,2013-02-25,1550.98
56,2013-02-26,1550.88
57,2013-02-27,1550.75
58,2013-02-28,1550.64
59,2013-03-01,1550.89
60,2013-03-02,1551.34
61,2013-03-03,1551.87
62,2013-03-04,1552.19
63,2013-03-05,1552.37
64,2013-03-06,1552.36
65,2013-03-07,1552.37
66,2013-03-08,1552.17
67,2013-03-09,1551.84
68,2013-03-10,1551.5
69,2013-03-11,1551.22
70,2013-03-12,1551.11
71,2013-03-13,1551.5
72,2013-03-14,1552.32
73,2013-03-15,1552.89
74,2013-03-16,1553.55
75,2013-03-17,1554.38
76,2013-03-18,1554.67
77,2013-03-19,1554.46
78,2013-03-20,1553.97
79,2013-03-21,1553.72
80,2013-03-22,1553.49
81,2013-03-23,1553.13
82,2013-03-24,1552.72
83,2013-03-25,1552.26
84,2013-03-26,1551.76
85,2013-03-27,1551.39
86,2013-03-28,1551.19
87,2013-03-29,1551.11
88,2013-03-30,1551.09
89,2013-03-31,1551.13
90,2013-04-01,1551.36
91,2013-04-02,1551.76
92,2013-04-03,1552.2
93,2013-04-04,1552.54
94,2013-04-05,1553.12
95,2013-04-06,1554.94
96,2013-04-07,1556.44
97,2013-04-08,1557.42
98,2013-04-09,1557.72
99,2013-04-10,1557.76
100,2013-04-11,1558.64
101,2013-04-12,1559.12
102,2013-04-13,1559.11
103,2013-04-14,1558.99
104,2013-04-15,1558.64
105,2013-04-16,1558.2
106,2013-04-17,1557.56
107,2013-04-18,1556.86
108,2013-04-19,1556.65
109,2013-04-20,1557.67
110,2013-04-21,1558.72
111,2013-04-22,1559.36
112,2013-04-23,1559.39
