,datetime,113075_62614_00003
0,2013-01-01,6172.94
1,2013-01-02,6172.92
2,2013-01-03,6172.9
3,2013-01-04,6172.89
4,2013-01-05,6172.88
5,2013-01-06,6172.88
6,2013-01-07,6172.88
7,2013-01-08,6172.87
8,2013-01-09,6172.89
9,2013-01-10,6172.91
10,2013-01-11,6172.91
11,2013-01-12,6172.89
12,2013-01-13,6172.87
13,2013-01-14,6172.85
14,2013-01-15,6172.84
15,2013-01-16,6172.83
16,2013-01-17,6172.82
17,2013-01-18,6172.8
18,2013-01-19,6172.79
19,2013-01-20,6172.78
20,2013-01-21,6172.77
21,2013-01-22,6172.75
22,2013-01-23,6172.73
23,2013-01-24,6172.76
24,2013-01-25,6172.78
25,2013-01-26,6172.82
26,2013-01-27,6172.82
27,2013-01-28,6172.85
28,2013-01-29,6172.87
29,2013-01-30,6172.84
30,2013-01-31,6172.83
31,2013-02-01,6172.82
32,2013-02-02,6172.81
33,2013-02-03,6172.8
34,2013-02-04,6172.78
35,2013-02-05,6172.78
36,2013-02-06,6172.77
37,2013-02-07,6172.76
38,2013-02-08,6172.75
39,2013-02-09,6172.72
40,2013-02-10,6172.71
41,2013-02-11,6172.69
42,2013-02-12,6172.68
43,2013-02-13,6172.66
44,2013-02-14,6172.65
45,2013-02-15,6172.63
46,2013-02-16,6172.62
47,2013-02-17,6172.6
48,2013-02-18,6172.59
49,2013-02-19,6172.58
50,2013-02-20,6172.57
51,2013-02-21,6172.56
52,2013-02-22,6172.58
53,2013-02-23,6172.61
54,2013-02-24,6172.59
55,2013-02-25,6172.6
56,2013-02-26,6172.59
57,2013-02-27,6172.57
58,2013-02-28,6172.59
59,2013-03-01,6172.59
60,2013-03-02,6172.58
61,2013-03-03,6172.57
62,2013-03-04,6172.56
63,2013-03-05,6172.54
64,2013-03-06,6172.64
65,2013-03-07,6172.65
66,2013-03-08,6172.64
67,2013-03-09,6172.63
68,2013-03-10,6172.62
69,2013-03-11,6172.6
70,2013-03-12,6172.59
71,2013-03-13,6172.58
72,2013-03-14,6172.56
73,2013-03-15,6172.55
74,2013-03-16,6172.55
75,2013-03-17,6172.57
76,2013-03-18,6172.55
77,2013-03-19,6172.54
78,2013-03-20,6172.63
79,2013-03-21,6172.66
80,2013-03-22,6172.64
81,2013-03-23,6172.62
82,2013-03-24,6172.61
83,2013-03-25,6172.59
84,2013-03-26,6172.59
85,2013-03-27,6172.58
86,2013-03-28,6172.58
87,2013-03-29,6172.57
88,2013-03-30,6172.56
89,2013-03-31,6172.56
90,2013-04-01,6172.58
91,2013-04-02,6172.58
92,2013-04-03,6172.56
93,2013-04-04,6172.58
94,2013-04-05,6172.62
95,2013-04-06,6172.66
96,2013-04-07,6172.75
97,2013-04-08,6172.78
98,2013-04-09,6172.76
99,2013-04-10,6172.76
100,2013-04-11,6172.75
101,2013-04-12,6172.75
102,2013-04-13,6172.74
103,2013-04-14,6172.72
104,2013-04-15,6172.72
105,2013-04-16,6172.71
106,2013-04-17,6172.7
107,2013-04-18,6172.68
108,2013-04-19,6172.7
109,2013-04-20,6172.7
110,2013-04-21,6172.69
111,2013-04-22,6172.68
112,2013-04-23,6172.66
113,2013-04-24,6172.64
114,2013-04-25,6172.63
115,2013-04-26,6172.62
116,2013-04-27,6172.61
117,2013-04-28,6172.6
118,2013-04-29,6172.6
119,2013-04-30,6172.58
120,2013-05-01,6172.56
121,2013-05-02,6172.55
122,2013-05-03,6172.54
123,2013-05-04,6172.53
124,2013-05-05,6172.51
125,2013-05-06,6172.53
126,2013-05-07,6172.59
127,2013-05-08,6172.61
128,2013-05-09,6172.64
129,2013-05-10,6172.64
130,2013-05-11,6172.64
131,2013-05-12,6172.64
132,2013-05-13,6172.64
133,2013-05-14,6172.63
134,2013-05-15,6172.63
135,2013-05-16,6172.63
136,2013-05-17,6172.63
137,2013-05-18,6172.63
138,2013-05-19,6172.62
139,2013-05-20,6172.62
140,2013-05-21,6172.64
141,2013-05-22,6172.67
142,2013-05-23,6172.65
143,2013-05-24,6172.64
144,2013-05-25,6172.63
145,2013-05-26,6172.64
146,2013-05-27,6172.67
147,2013-05-28,6172.73
148,2013-05-29,6172.77
149,2013-05-30,6172.78
150,2013-05-31,6172.77
151,2013-06-01,6172.76
152,2013-06-02,6172.75
153,2013-06-03,6172.74
154,2013-06-04,6172.74
155,2013-06-05,6172.74
156,2013-06-06,6172.73
157,2013-06-07,6172.72
158,2013-06-08,6172.71
159,2013-06-09,6172.71
160,2013-06-10,6172.7
161,2013-06-11,6172.68
162,2013-06-12,6172.66
163,2013-06-13,6172.64
164,2013-06-14,6172.63
