,datetime,149332_62614_32400
0,2013-01-01,1200.56
1,2013-01-02,1201.72
2,2013-01-03,1200.91
3,2013-01-04,1201.61
4,2013-01-05,1201.28
5,2013-01-06,1202.07
6,2013-01-07,1200.86
7,2013-01-08,1200.49
8,2013-01-09,1200.64
9,2013-01-10,1201.09
10,2013-01-11,1200.94
11,2013-01-12,1202.03
12,2013-01-13,1201.38
13,2013-01-14,1201.65
14,2013-01-15,1200.56
15,2013-01-16,1201.34
16,2013-01-17,1201.36
17,2013-01-18,1201.39
18,2013-01-19,1201.85
19,2013-01-20,1201.36
20,2013-01-21,1202.27
21,2013-01-22,1202.67
22,2013-01-23,1201.6
23,2013-01-24,1201.6
24,2013-01-25,1200.88
25,2013-01-26,1201.34
26,2013-01-27,1201.43
27,2013-01-28,1201.13
28,2013-01-29,1201.71
29,2013-01-30,1201.8
30,2013-01-31,1201.18
31,2013-02-01,1201.88
32,2013-02-02,1202.91
33,2013-02-03,1201.57
34,2013-02-04,1201.17
35,2013-02-05,1201.42
36,2013-02-06,1200.43
37,2013-02-07,1200.57
38,2013-02-08,1200.61
39,2013-02-09,1201.43
40,2013-02-10,1201.24
41,2013-02-11,1201.05
42,2013-02-12,1200.92
43,2013-02-13,1200.47
44,2013-02-14,1201.19
45,2013-02-15,1200.81
46,2013-02-16,1201.4
47,2013-02-17,1201.48
48,2013-02-18,1201.25
49,2013-02-19,1200.88
50,2013-02-20,1202.0
51,2013-02-21,1202.18
52,2013-02-22,1200.6
53,2013-02-23,1200.2
54,2013-02-24,1200.06
55,2013-02-25,1201.41
56,2013-02-26,1201.88
57,2013-02-27,1201.58
58,2013-02-28,1201.43
59,2013-03-01,1201.38
60,2013-03-02,1202.14
61,2013-03-03,1201.95
62,2013-03-04,1200.8
63,2013-03-05,1201.05
64,2013-03-06,1200.74
65,2013-03-07,1200.6
66,2013-03-08,1200.99
67,2013-03-09,1201.6
68,2013-03-10,1201.1
69,2013-03-11,1201.14
70,2013-03-12,1200.68
71,2013-03-13,1200.64
72,2013-03-14,1200.97
73,2013-03-15,1200.94
74,2013-03-16,1201.36
75,2013-03-17,1200.78
76,2013-03-18,1200.7
77,2013-03-19,1201.08
78,2013-03-20,1200.32
79,2013-03-21,1200.08
80,2013-03-22,1200.33
81,2013-03-23,1200.69
82,2013-03-24,1200.66
83,2013-03-25,1199.82
84,2013-03-26,1199.9
85,2013-03-27,1200.34
86,2013-03-28,1200.22
87,2013-03-29,1200.07
88,2013-03-30,1201.01
89,2013-03-31,1200.81
90,2013-04-01,1200.93
91,2013-04-02,1200.54
92,2013-04-03,1200.75
93,2013-04-04,1200.45
94,2013-04-05,1200.74
95,2013-04-06,1200.86
96,2013-04-07,1200.83
97,2013-04-08,1200.39
98,2013-04-09,1200.63
99,2013-04-10,1200.16
100,2013-04-11,1201.0
101,2013-04-12,1201.99
102,2013-04-13,1200.6
103,2013-04-14,1201.34
104,2013-04-15,1201.31
105,2013-04-16,1200.78
106,2013-04-17,1201.19
107,2013-04-18,1201.02
108,2013-04-19,1200.88
109,2013-04-20,1200.46
110,2013-04-21,1200.63
111,2013-04-22,1200.96
112,2013-04-23,1200.65
113,2013-04-24,1201.08
114,2013-04-25,1200.1
115,2013-04-26,1201.16
116,2013-04-27,1201.42
117,2013-04-28,1201.08
118,2013-04-29,1200.89
119,2013-04-30,1201.3
120,2013-05-01,1200.26
121,2013-05-02,1200.64
122,2013-05-03,1201.59
123,2013-05-04,1202.23
124,2013-05-05,1201.89
125,2013-05-06,1202.49
126,2013-05-07,1202.37
127,2013-05-08,1201.68
128,2013-05-09,1201.36
129,2013-05-10,1200.29
130,2013-05-11,1200.35
131,2013-05-12,1202.12
132,2013-05-13,1201.57
133,2013-05-14,1200.46
134,2013-05-15,1200.73
135,2013-05-16,1201.43
136,2013-05-17,1201.37
137,2013-05-18,1202.32
138,2013-05-19,1201.95
139,2013-05-20,1201.15
140,2013-05-21,1202.07
141,2013-05-22,1201.61
142,2013-05-23,1201.06
143,2013-05-24,1201.26
144,2013-05-25,1201.38
145,2013-05-26,1200.65
146,2013-05-27,1201.27
147,2013-05-28,1199.89
148,2013-05-29,1199.93
149,2013-05-30,1200.65
150,2013-05-31,1202.04
151,2013-06-01,1201.6
152,2013-06-02,1201.18
153,2013-06-03,1202.48
154,2013-06-04,1202.61
155,2013-06-05,1202.52
156,2013-06-06,1202.68
157,2013-06-07,1202.04
158,2013-06-08,1200.61
159,2013-06-09,1201.62
160,2013-06-10,1202.29
161,2013-06-11,1201.14
162,2013-06-12,1200.71
163,2013-06-13,1201.01
164,2013-06-14,1201.69
165,2013-06-15,1202.79
166,2013-06-16,1201.34
167,2013-06-17,1202.45
168,2013-06-18,1200.94
169,2013-06-19,1200.66
170,2013-06-20,1201.61
171,2013-06-21,1201.71
172,2013-06-22,1200.89
173,2013-06-23,1202.08
174,2013-06-24,1200.99
175,2013-06-25,1200.35
176,2013-06-26,1200.02
177,2013-06-27,1201.37
178,2013-06-28,1200.89
179,2013-06-29,1202.01
180,2013-06-30,1201.23
181,2013-07-01,1202.39
182,2013-07-02,1201.83
183,2013-07-03,1200.99
184,2013-07-04,1200.94
185,2013-07-05,1201.53
186,2013-07-06,1201.34
187,2013-07-07,1201.96
