,datetime,114583_62614_32400
0,2013-01-01,5183.62
1,2013-01-02,5183.58
2,2013-01-03,5183.55
3,2013-01-04,5183.51
4,2013-01-05,5183.49
5,2013-01-06,5183.47
6,2013-01-07,5183.45
7,2013-01-08,5183.44
8,2013-01-09,5183.44
9,2013-01-10,5183.44
10,2013-01-11,5183.43
11,2013-01-12,5183.41
12,2013-01-13,5183.37
13,2013-01-14,5183.35
14,2013-01-15,5183.32
15,2013-01-16,5183.32
16,2013-01-17,5183.28
17,2013-01-18,5183.27
18,2013-01-19,5183.24
19,2013-01-20,5183.23
20,2013-01-21,5183.2
21,2013-01-22,5183.17
22,2013-01-23,5183.19
23,2013-01-24,5183.2
24,2013-01-25,5183.24
25,2013-01-26,5183.24
26,2013-01-27,5183.23
27,2013-01-28,5183.26
28,2013-01-29,5183.26
29,2013-01-30,5183.24
30,2013-01-31,5183.22
31,2013-02-01,5183.21
32,2013-02-02,5183.18
33,2013-02-03,5183.17
34,2013-02-04,5183.14
35,2013-02-05,5183.15
36,2013-02-06,5183.13
37,2013-02-07,5183.11
38,2013-02-08,5183.11
39,2013-02-09,5183.09
40,2013-02-10,5183.07
41,2013-02-11,5183.07
42,2013-02-12,5183.03
43,2013-02-13,5183.03
44,2013-02-14,5183.04
45,2013-02-15,5183.02
46,2013-02-16,5183.01
47,2013-02-17,5182.99
48,2013-02-18,5182.97
49,2013-02-19,5182.97
50,2013-02-20,5182.95
51,2013-02-21,5182.97
52,2013-02-22,5183.01
53,2013-02-23,5183.01
54,2013-02-24,5182.99
55,2013-02-25,5183.01
56,2013-02-26,5183.0
57,2013-02-27,5183.01
58,2013-02-28,5183.01
59,2013-03-01,5183.0
60,2013-03-02,5182.99
61,2013-03-03,5182.99
62,2013-03-04,5182.99
63,2013-03-05,5182.99
64,2013-03-06,5183.03
65,2013-03-07,5183.02
66,2013-03-08,5183.0
67,2013-03-09,5183.0
68,2013-03-10,5182.97
69,2013-03-11,5182.97
70,2013-03-12,5182.96
71,2013-03-13,5182.95
72,2013-03-14,5182.94
73,2013-03-15,5182.93
74,2013-03-16,5182.97
75,2013-03-17,5182.93
76,2013-03-18,5182.91
77,2013-03-19,5182.92
78,2013-03-20,5183.03
79,2013-03-21,5183.01
80,2013-03-22,5183.0
81,2013-03-23,5182.99
82,2013-03-24,5182.98
83,2013-03-25,5182.97
84,2013-03-26,5182.98
85,2013-03-27,5182.97
86,2013-03-28,5182.96
87,2013-03-29,5182.95
88,2013-03-30,5182.95
89,2013-03-31,5182.96
90,2013-04-01,5183.0
91,2013-04-02,5182.98
92,2013-04-03,5183.0
93,2013-04-04,5183.07
94,2013-04-05,5183.11
95,2013-04-06,5183.17
96,2013-04-07,5183.24
97,2013-04-08,5183.23
98,2013-04-09,5183.22
99,2013-04-10,5183.215
100,2013-04-11,5183.21
101,2013-04-12,5183.23
102,2013-04-13,5183.2
103,2013-04-14,5183.18
104,2013-04-15,5183.18
105,2013-04-16,5183.18
106,2013-04-17,5183.18
107,2013-04-18,5183.18
108,2013-04-19,5183.21
