,datetime,114059_62614_32400
0,2013-08-01,635.1
1,2013-08-02,635.16
2,2013-08-03,635.19
3,2013-08-04,635.16
4,2013-08-05,635.16
5,2013-08-06,635.16
6,2013-08-07,635.19
7,2013-08-08,635.22
8,2013-08-09,635.22
9,2013-08-10,635.22
10,2013-08-11,635.25
11,2013-08-12,635.28
12,2013-08-13,635.31
13,2013-08-14,635.31
14,2013-08-15,635.34
15,2013-08-16,635.31
16,2013-08-17,635.22
17,2013-08-18,635.25
18,2013-08-19,635.19
19,2013-08-20,635.22
20,2013-08-21,635.16
21,2013-08-22,635.22
22,2013-08-23,635.31
23,2013-08-24,635.31
24,2013-08-25,635.34
25,2013-08-26,635.34
26,2013-08-27,635.34
27,2013-08-28,635.43
28,2013-08-29,635.46
29,2013-08-30,635.54
30,2013-08-31,635.6
31,2013-09-01,635.36
32,2013-09-02,635.33
33,2013-09-03,635.58
34,2013-09-04,635.65
35,2013-09-05,635.6
36,2013-09-06,635.98
37,2013-09-07,635.84
38,2013-09-08,635.85
39,2013-09-09,635.58
40,2013-09-10,635.45
41,2013-09-11,635.38
42,2013-09-12,635.38
43,2013-09-13,635.4
44,2013-09-14,635.43
45,2013-09-15,635.57
46,2013-09-16,635.7
47,2013-09-17,635.7
48,2013-09-18,635.51
49,2013-09-19,635.52
50,2013-09-20,635.53
51,2013-09-21,635.59
52,2013-09-22,635.73
53,2013-09-23,635.91
54,2013-09-24,635.49
55,2013-09-25,635.47
56,2013-09-26,635.63
57,2013-09-27,634.5
58,2013-09-28,631.31
59,2013-09-29,632.26
60,2013-09-30,634.94
61,2013-10-01,634.96
62,2013-10-02,634.48
63,2013-10-03,633.86
64,2013-10-04,630.65
65,2013-10-05,626.87
66,2013-10-06,622.61
67,2013-10-07,622.13
68,2013-10-08,622.35
69,2013-10-09,623.03
70,2013-10-10,623.41
71,2013-10-11,622.63
72,2013-10-12,620.76
73,2013-10-13,617.88
74,2013-10-14,617.51
75,2013-10-15,616.93
76,2013-10-16,616.57
77,2013-10-17,616.5
78,2013-10-18,616.42
79,2013-10-19,616.39
80,2013-10-20,616.39
81,2013-10-21,616.37
82,2013-10-22,616.24
83,2013-10-23,616.31
84,2013-10-24,616.24
85,2013-10-25,616.36
86,2013-10-26,616.5
87,2013-10-27,616.47
88,2013-10-28,616.45
89,2013-10-29,616.45
90,2013-10-30,616.48
91,2013-10-31,616.09
92,2013-11-01,616.03
93,2013-11-02,616.06
94,2013-11-03,615.98
95,2013-11-04,616.06
96,2013-11-05,616.11
97,2013-11-06,615.96
98,2013-11-07,616.09
99,2013-11-08,615.96
100,2013-11-09,615.93
101,2013-11-10,615.93
102,2013-11-11,615.84
103,2013-11-12,615.85
104,2013-11-13,615.91
105,2013-11-14,616.06
106,2013-11-15,616.01
107,2013-11-16,616.06
108,2013-11-17,616.09
109,2013-11-18,615.88
110,2013-11-19,616.21
111,2013-11-20,616.62
112,2013-11-21,616.42
113,2013-11-22,616.27
114,2013-11-23,615.92
115,2013-11-24,615.89
116,2013-11-25,615.77
117,2013-11-26,616.33
118,2013-11-27,616.25
119,2013-11-28,616.19
120,2013-11-29,616.12
121,2013-11-30,616.17
122,2013-12-01,616.18
123,2013-12-02,617.26
124,2013-12-03,616.22
125,2013-12-04,615.61
126,2013-12-05,616.25
127,2013-12-06,616.42
128,2013-12-07,616.2
129,2013-12-08,616.13
130,2013-12-09,616.21
131,2013-12-10,616.2
132,2013-12-11,616.18
133,2013-12-12,616.35
134,2013-12-13,616.37
135,2013-12-14,616.31
136,2013-12-15,616.46
137,2013-12-16,616.61
138,2013-12-17,616.65
139,2013-12-18,616.57
140,2013-12-19,616.52
141,2013-12-20,616.32
142,2013-12-21,616.43
143,2013-12-22,616.3
144,2013-12-23,616.41
145,2013-12-24,616.42
146,2013-12-25,616.19
147,2013-12-26,616.03
148,2013-12-27,616.19
149,2013-12-28,615.66
150,2013-12-29,615.82
151,2013-12-30,615.93
152,2013-12-31,615.91
153,2014-01-01,615.88
154,2014-01-02,615.92
155,2014-01-03,616.1
156,2014-01-04,615.99
157,2014-01-05,615.9
158,2014-01-06,615.96
159,2014-01-07,616.13
160,2014-01-08,616.23
161,2014-01-09,616.35
162,2014-01-10,616.85
163,2014-01-11,617.2
164,2014-01-12,619.41
165,2014-01-13,622.96
166,2014-01-14,623.88
167,2014-01-15,623.44
168,2014-01-16,622.44
169,2014-01-17,620.13
170,2014-01-18,618.65
