,datetime,11070_62614_32400,11071_00054_32400
0,2013-01-01,1425.19,107000.0
1,2013-01-02,1425.35,107300.0
2,2013-01-03,1425.48,107700.0
3,2013-01-04,1425.61,108000.0
4,2013-01-05,1425.79,108400.0
5,2013-01-06,1425.96,108800.0
6,2013-01-07,1426.09,109100.0
7,2013-01-08,1426.22,109400.0
8,2013-01-09,1426.35,109700.0
9,2013-01-10,1426.47,110000.0
10,2013-01-11,1426.56,110200.0
11,2013-01-12,1426.66,110500.0
12,2013-01-13,1426.75,110700.0
13,2013-01-14,1426.82,110900.0
14,2013-01-15,1426.91,111100.0
15,2013-01-16,1426.95,111200.0
16,2013-01-17,1427.02,111400.0
17,2013-01-18,1427.09,111500.0
18,2013-01-19,1427.14,111700.0
19,2013-01-20,1427.2,111800.0
20,2013-01-21,1427.27,112000.0
21,2013-01-22,1427.32,112100.0
22,2013-01-23,1427.44,112400.0
23,2013-01-24,1427.52,112600.0
24,2013-01-25,1427.58,112700.0
25,2013-01-26,1427.66,112900.0
26,2013-01-27,1427.71,113100.0
27,2013-01-28,1427.76,113200.0
28,2013-01-29,1427.81,113300.0
29,2013-01-30,1427.87,113500.0
30,2013-01-31,1427.91,113600.0
31,2013-02-01,1427.96,113700.0
32,2013-02-02,1428.0,113800.0
33,2013-02-03,1428.05,113900.0
34,2013-02-04,1428.09,114000.0
35,2013-02-05,1428.14,114100.0
36,2013-02-06,1428.16,114200.0
37,2013-02-07,1428.21,114300.0
38,2013-02-08,1428.23,114400.0
39,2013-02-09,1428.26,114400.0
40,2013-02-10,1428.28,114500.0
41,2013-02-11,1428.31,114600.0
42,2013-02-12,1428.33,114600.0
43,2013-02-13,1428.37,114700.0
44,2013-02-14,1428.37,114700.0
45,2013-02-15,1428.41,114800.0
46,2013-02-16,1428.44,114900.0
47,2013-02-17,1428.46,114900.0
48,2013-02-18,1428.47,115000.0
49,2013-02-19,1428.53,115100.0
50,2013-02-20,1428.54,115100.0
51,2013-02-21,1428.57,115200.0
52,2013-02-22,1428.57,115200.0
53,2013-02-23,1428.6,115300.0
54,2013-02-24,1428.61,115300.0
55,2013-02-25,1428.63,115400.0
56,2013-02-26,1428.64,115400.0
57,2013-02-27,1428.66,115500.0
58,2013-02-28,1428.67,115500.0
59,2013-03-01,1428.69,115500.0
60,2013-03-02,1428.7,115600.0
61,2013-03-03,1428.72,115600.0
62,2013-03-04,1428.74,115700.0
63,2013-03-05,1428.79,115800.0
64,2013-03-06,1428.91,116100.0
65,2013-03-07,1428.97,116200.0
66,2013-03-08,1429.0,116300.0
67,2013-03-09,1429.02,116400.0
68,2013-03-10,1429.06,116500.0
69,2013-03-11,1429.08,116500.0
70,2013-03-12,1429.1,116600.0
71,2013-03-13,1429.08,116500.0
72,2013-03-14,1429.0,116300.0
73,2013-03-15,1428.85,115900.0
74,2013-03-16,1428.71,115600.0
75,2013-03-17,1428.53,115100.0
76,2013-03-18,1428.31,114600.0
77,2013-03-19,1428.04,113900.0
78,2013-03-20,1427.75,113200.0
79,2013-03-21,1427.41,112300.0
80,2013-03-22,1427.05,111400.0
81,2013-03-23,1426.7,110600.0
82,2013-03-24,1426.35,109700.0
83,2013-03-25,1426.0,108900.0
84,2013-03-26,1425.67,108100.0
85,2013-03-27,1425.28,107200.0
86,2013-03-28,1424.93,106400.0
87,2013-03-29,1424.61,105600.0
88,2013-03-30,1424.34,105000.0
89,2013-03-31,1424.11,104500.0
90,2013-04-01,1423.89,104000.0
91,2013-04-02,1423.7,103500.0
92,2013-04-03,1423.51,103100.0
93,2013-04-04,1423.42,102900.0
94,2013-04-05,1423.33,102700.0
95,2013-04-06,1423.24,102500.0
96,2013-04-07,1423.21,102400.0
97,2013-04-08,1423.12,102200.0
98,2013-04-09,1423.05,102000.0
99,2013-04-10,1422.98,101900.0
100,2013-04-11,1422.84,101600.0
101,2013-04-12,1422.67,101200.0
102,2013-04-13,1422.49,100800.0
103,2013-04-14,1422.3,100400.0
104,2013-04-15,1422.14,100000.0
105,2013-04-16,1421.96,99620.0
106,2013-04-17,1421.72,99090.0
107,2013-04-18,1421.43,98460.0
108,2013-04-19,1421.13,97810.0
109,2013-04-20,1420.85,97210.0
110,2013-04-21,1420.55,96570.0
111,2013-04-22,1420.21,95840.0
112,2013-04-23,1419.81,94990.0
113,2013-04-24,1419.38,94070.0
114,2013-04-25,1418.96,93180.0
115,2013-04-26,1418.48,92170.0
116,2013-04-27,1418.01,91190.0
117,2013-04-28,1417.52,90180.0
118,2013-04-29,1417.03,89190.0
119,2013-04-30,1416.54,88200.0
120,2013-05-01,1415.99,87100.0
121,2013-05-02,1415.48,86100.0
122,2013-05-03,1414.97,85110.0
123,2013-05-04,1414.45,84110.0
124,2013-05-05,1413.95,83160.0
125,2013-05-06,1413.5,82310.0
126,2013-05-07,1413.08,81530.0
127,2013-05-08,1412.7,80820.0
128,2013-05-09,1412.22,79950.0
129,2013-05-10,1411.95,79460.0
130,2013-05-11,1411.64,78900.0
131,2013-05-12,1411.31,78300.0
132,2013-05-13,1410.83,77450.0
133,2013-05-14,1410.31,76540.0
134,2013-05-15,1409.82,75660.0
135,2013-05-16,1409.53,75100.0
136,2013-05-17,1409.29,74650.0
137,2013-05-18,1409.03,74160.0
138,2013-05-19,1408.78,73700.0
139,2013-05-20,1408.53,73230.0
140,2013-05-21,1408.27,72750.0
141,2013-05-22,1408.0,72260.0
142,2013-05-23,1407.72,71750.0
143,2013-05-24,1407.47,71300.0
144,2013-05-25,1407.22,70850.0
145,2013-05-26,1406.97,70400.0
146,2013-05-27,1406.69,69900.0
147,2013-05-28,1406.42,69430.0
148,2013-05-29,1406.18,69010.0
149,2013-05-30,1405.91,68540.0
150,2013-05-31,1405.64,68070.0
151,2013-06-01,1405.39,67640.0
152,2013-06-02,1405.13,67200.0
153,2013-06-03,1404.85,66720.0
154,2013-06-04,1404.57,66250.0
155,2013-06-05,1404.31,65820.0
156,2013-06-06,1404.02,65340.0
157,2013-06-07,1403.71,64820.0
158,2013-06-08,1403.38,64280.0
159,2013-06-09,1403.04,63730.0
160,2013-06-10,1402.67,63140.0
161,2013-06-11,1402.28,62520.0
162,2013-06-12,1401.86,61850.0
163,2013-06-13,1401.49,61280.0
164,2013-06-14,1401.16,60760.0
165,2013-06-15,1400.85,60290.0
166,2013-06-16,1400.54,59820.0
167,2013-06-17,1400.23,59350.0
168,2013-06-18,1399.92,58870.0
169,2013-06-19,1399.63,58420.0
170,2013-06-20,1399.32,57940.0
171,2013-06-21,1399.0,57450.0
172,2013-06-22,1398.7,57000.0
173,2013-06-23,1398.38,56510.0
174,2013-06-24,1398.09,56080.0
175,2013-06-25,1397.78,55620.0
176,2013-06-26,1397.5,55210.0
177,2013-06-27,1397.17,54730.0
178,2013-06-28,1396.87,54290.0
179,2013-06-29,1396.54,53820.0
180,2013-06-30,1396.22,53360.0
181,2013-07-01,1395.91,52920.0
182,2013-07-02,1395.59,52470.0
183,2013-07-03,1395.25,52000.0
184,2013-07-04,1394.93,51560.0
185,2013-07-05,1394.58,51080.0
186,2013-07-06,1394.25,50630.0
187,2013-07-07,1393.91,50170.0
188,2013-07-08,1393.61,49770.0
189,2013-07-09,1393.26,49310.0
190,2013-07-10,1392.92,48870.0
191,2013-07-11,1392.59,48440.0
192,2013-07-12,1392.26,48010.0
193,2013-07-13,1391.92,47580.0
194,2013-07-14,1391.59,47160.0
195,2013-07-15,1391.12,46570.0
196,2013-07-16,1390.6,45930.0
197,2013-07-17,1390.1,45320.0
198,2013-07-18,1389.6,44730.0
199,2013-07-19,1389.08,44120.0
200,2013-07-20,1388.58,43540.0
201,2013-07-21,1388.07,42960.0
202,2013-07-22,1387.62,42450.0
203,2013-07-23,1387.16,41940.0
204,2013-07-24,1386.62,41350.0
205,2013-07-25,1385.97,40640.0
206,2013-07-26,1385.34,39970.0
207,2013-07-27,1384.71,39310.0
208,2013-07-28,1384.07,38650.0
209,2013-07-29,1383.42,37990.0
210,2013-07-30,1382.76,37330.0
211,2013-07-31,1382.19,36770.0
212,2013-08-01,1381.71,36310.0
213,2013-08-02,1381.29,35910.0
214,2013-08-03,1380.86,35500.0
215,2013-08-04,1380.44,35110.0
216,2013-08-05,1380.0,34700.0
217,2013-08-06,1379.53,34180.0
218,2013-08-07,1379.05,33660.0
219,2013-08-08,1378.53,33110.0
220,2013-08-09,1377.92,32470.0
221,2013-08-10,1377.35,31890.0
222,2013-08-11,1376.93,31460.0
223,2013-08-12,1376.51,31040.0
224,2013-08-13,1376.11,30650.0
225,2013-08-14,1375.6,30150.0
226,2013-08-15,1374.99,29570.0
227,2013-08-16,1374.41,29030.0
228,2013-08-17,1373.8,28470.0
229,2013-08-18,1373.25,27970.0
230,2013-08-19,1372.65,27440.0
231,2013-08-20,1372.17,27020.0
232,2013-08-21,1371.62,26540.0
233,2013-08-22,1371.12,26120.0
234,2013-08-23,1370.59,25680.0
235,2013-08-24,1370.15,25320.0
236,2013-08-25,1369.76,25010.0
237,2013-08-26,1369.4,24720.0
238,2013-08-27,1369.04,24440.0
239,2013-08-28,1368.74,24200.0
240,2013-08-29,1368.38,23930.0
241,2013-08-30,1367.94,23590.0
242,2013-08-31,1367.48,23250.0
243,2013-09-01,1367.03,22910.0
244,2013-09-02,1366.64,22630.0
245,2013-09-03,1366.18,22300.0
246,2013-09-04,1365.61,21890.0
247,2013-09-05,1364.91,21410.0
248,2013-09-06,1364.17,20900.0
249,2013-09-07,1363.4,20390.0
250,2013-09-08,1362.58,19860.0
251,2013-09-09,1361.74,19330.0
252,2013-09-10,1360.87,18800.0
253,2013-09-11,1360.22,18410.0
254,2013-09-12,1359.59,17900.0
255,2013-09-13,1359.06,17430.0
256,2013-09-14,1358.67,17090.0
257,2013-09-15,1358.44,16890.0
258,2013-09-16,1358.34,16800.0
259,2013-09-17,1358.29,16760.0
260,2013-09-18,1358.26,16730.0
261,2013-09-19,1358.22,16700.0
262,2013-09-20,1358.16,16650.0
263,2013-09-21,1358.16,16650.0
264,2013-09-22,1358.12,16610.0
265,2013-09-23,1358.09,16590.0
266,2013-09-24,1358.06,16560.0
267,2013-09-25,1357.96,16480.0
268,2013-09-26,1357.9,16430.0
269,2013-09-27,1357.84,16380.0
270,2013-09-28,1357.79,16340.0
271,2013-09-29,1357.77,16320.0
272,2013-09-30,1357.74,16300.0
273,2013-10-01,1357.71,16270.0
274,2013-10-02,1357.67,16240.0
275,2013-10-03,1357.61,16190.0
276,2013-10-04,1357.52,16110.0
277,2013-10-05,1357.45,16060.0
278,2013-10-06,1357.4,16020.0
279,2013-10-07,1357.38,16000.0
280,2013-10-08,1357.35,15980.0
281,2013-10-09,1357.32,15950.0
282,2013-10-10,1357.29,15930.0
283,2013-10-11,1357.28,15920.0
284,2013-10-12,1357.26,15900.0
285,2013-10-13,1357.21,15860.0
286,2013-10-14,1357.12,15790.0
287,2013-10-15,1357.05,15730.0
288,2013-10-16,1357.03,15720.0
289,2013-10-17,1356.99,15690.0
290,2013-10-18,1356.95,15650.0
291,2013-10-19,1356.94,15650.0
292,2013-10-20,1356.87,15590.0
293,2013-10-21,1356.83,15560.0
294,2013-10-22,1356.81,15890.0
295,2013-10-23,1356.79,15870.0
296,2013-10-24,1356.76,15850.0
