,datetime,149826_00062_00003
0,2013-01-01,1091.09
1,2013-01-02,1090.97
2,2013-01-03,1090.85
3,2013-01-04,1090.73
4,2013-01-05,1090.61
5,2013-01-06,1090.49
6,2013-01-07,1090.39
7,2013-01-08,1090.29
8,2013-01-09,1090.22
9,2013-01-10,1090.09
10,2013-01-11,1089.96
11,2013-01-12,1089.83
12,2013-01-13,1089.69
13,2013-01-14,1089.56
14,2013-01-15,1089.43
15,2013-01-16,1089.31
16,2013-01-17,1089.18
17,2013-01-18,1089.06
18,2013-01-19,1088.94
19,2013-01-20,1088.81
20,2013-01-21,1088.68
21,2013-01-22,1088.55
22,2013-01-23,1088.44
23,2013-01-24,1088.31
24,2013-01-25,1088.21
25,2013-01-26,1088.16
26,2013-01-27,1088.09
27,2013-01-28,1088.02
28,2013-01-29,1087.92
29,2013-01-30,1087.82
30,2013-01-31,1087.69
31,2013-02-01,1087.6
32,2013-02-02,1087.56
33,2013-02-03,1087.53
34,2013-02-04,1087.49
35,2013-02-05,1087.4
36,2013-02-06,1087.29
37,2013-02-07,1087.17
38,2013-02-08,1087.08
39,2013-02-09,1087.02
40,2013-02-10,1086.99
41,2013-02-11,1086.96
42,2013-02-12,1086.86
43,2013-02-13,1086.75
44,2013-02-14,1086.63
45,2013-02-15,1086.57
46,2013-02-16,1086.56
47,2013-02-17,1086.58
48,2013-02-18,1086.57
49,2013-02-19,1086.49
50,2013-02-20,1086.37
51,2013-02-21,1086.26
52,2013-02-22,1086.19
53,2013-02-23,1086.21
54,2013-02-24,1086.21
55,2013-02-25,1086.19
56,2013-02-26,1086.14
57,2013-02-27,1086.11
58,2013-02-28,1086.11
59,2013-03-01,1086.12
60,2013-03-02,1086.14
61,2013-03-03,1086.17
62,2013-03-04,1086.18
63,2013-03-05,1086.19
64,2013-03-06,1086.22
65,2013-03-07,1086.26
66,2013-03-08,1086.28
67,2013-03-09,1086.3
68,2013-03-10,1086.32
69,2013-03-11,1086.34
70,2013-03-12,1086.36
71,2013-03-13,1086.39
72,2013-03-14,1086.43
73,2013-03-15,1086.5
74,2013-03-16,1086.58
75,2013-03-17,1086.68
76,2013-03-18,1086.75
77,2013-03-19,1086.81
78,2013-03-20,1086.9
79,2013-03-21,1086.96
80,2013-03-22,1086.94
81,2013-03-23,1086.89
82,2013-03-24,1086.8
83,2013-03-25,1086.7
84,2013-03-26,1086.62
85,2013-03-27,1086.54
86,2013-03-28,1086.46
87,2013-03-29,1086.39
88,2013-03-30,1086.31
89,2013-03-31,1086.24
90,2013-04-01,1086.18
91,2013-04-02,1086.16
92,2013-04-03,1086.16
93,2013-04-04,1086.17
94,2013-04-05,1086.24
95,2013-04-06,1086.33
96,2013-04-07,1086.44
97,2013-04-08,1086.52
98,2013-04-09,1086.58
99,2013-04-10,1086.62
100,2013-04-11,1086.66
101,2013-04-12,1086.68
102,2013-04-13,1086.71
103,2013-04-14,1086.71
104,2013-04-15,1086.68
105,2013-04-16,1086.68
106,2013-04-17,1086.66
107,2013-04-18,1086.64
108,2013-04-19,1086.73
109,2013-04-20,1086.84
110,2013-04-21,1086.94
111,2013-04-22,1087.05
112,2013-04-23,1087.14
113,2013-04-24,1087.18
114,2013-04-25,1087.24
115,2013-04-26,1087.27
116,2013-04-27,1087.31
117,2013-04-28,1087.4
118,2013-04-29,1087.58
119,2013-04-30,1087.68
120,2013-05-01,1087.78
121,2013-05-02,1087.9
122,2013-05-03,1088.03
123,2013-05-04,1088.1
124,2013-05-05,1088.2
125,2013-05-06,1088.34
126,2013-05-07,1088.59
127,2013-05-08,1088.98
128,2013-05-09,1089.54
129,2013-05-10,1090.14
130,2013-05-11,1090.7
131,2013-05-12,1091.28
132,2013-05-13,1091.88
133,2013-05-14,1092.4
134,2013-05-15,1092.74
135,2013-05-16,1092.98
136,2013-05-17,1093.18
137,2013-05-18,1093.4
138,2013-05-19,1093.61
139,2013-05-20,1093.76
140,2013-05-21,1094.0
141,2013-05-22,1094.28
142,2013-05-23,1094.48
143,2013-05-24,1094.61
144,2013-05-25,1094.71
145,2013-05-26,1094.81
146,2013-05-27,1094.87
147,2013-05-28,1094.94
148,2013-05-29,1095.01
149,2013-05-30,1095.11
150,2013-05-31,1095.18
151,2013-06-01,1095.24
152,2013-06-02,1095.31
153,2013-06-03,1095.42
154,2013-06-04,1095.54
155,2013-06-05,1095.72
156,2013-06-06,1095.97
157,2013-06-07,1096.27
158,2013-06-08,1096.53
159,2013-06-09,1096.75
160,2013-06-10,1096.93
161,2013-06-11,1097.1
162,2013-06-12,1097.21
163,2013-06-13,1097.3
164,2013-06-14,1097.38
165,2013-06-15,1097.45
166,2013-06-16,1097.54
167,2013-06-17,1097.69
168,2013-06-18,1097.86
169,2013-06-19,1098.05
170,2013-06-20,1098.2
171,2013-06-21,1098.28
172,2013-06-22,1098.36
173,2013-06-23,1098.44
174,2013-06-24,1098.56
175,2013-06-25,1098.71
176,2013-06-26,1098.8
177,2013-06-27,1098.84
178,2013-06-28,1098.86
179,2013-06-29,1098.9
180,2013-06-30,1098.99
181,2013-07-01,1099.09
182,2013-07-02,1099.3
183,2013-07-03,1099.43
184,2013-07-04,1099.5
185,2013-07-05,1099.51
186,2013-07-06,1099.51
187,2013-07-07,1099.57
188,2013-07-08,1099.64
189,2013-07-09,1099.75
190,2013-07-10,1099.86
191,2013-07-11,1099.89
192,2013-07-12,1099.85
193,2013-07-13,1099.78
194,2013-07-14,1099.75
195,2013-07-15,1099.69
196,2013-07-16,1099.65
197,2013-07-17,1099.63
198,2013-07-18,1099.64
199,2013-07-19,1099.66
200,2013-07-20,1099.65
201,2013-07-21,1099.65
202,2013-07-22,1099.63
203,2013-07-23,1099.62
204,2013-07-24,1099.61
205,2013-07-25,1099.6
206,2013-07-26,1099.6
207,2013-07-27,1099.58
208,2013-07-28,1099.55
209,2013-07-29,1099.56
210,2013-07-30,1099.53
211,2013-07-31,1099.54
212,2013-08-01,1099.54
213,2013-08-02,1099.51
214,2013-08-03,1099.49
215,2013-08-04,1099.53
216,2013-08-05,1099.61
217,2013-08-06,1099.63
218,2013-08-07,1099.63
219,2013-08-08,1099.66
220,2013-08-09,1099.62
221,2013-08-10,1099.63
222,2013-08-11,1099.72
223,2013-08-12,1099.75
224,2013-08-13,1099.73
225,2013-08-14,1099.73
226,2013-08-15,1099.73
227,2013-08-16,1099.69
228,2013-08-17,1099.64
229,2013-08-18,1099.67
230,2013-08-19,1099.7
231,2013-08-20,1099.63
232,2013-08-21,1099.53
233,2013-08-22,1099.46
234,2013-08-23,1099.4
235,2013-08-24,1099.32
236,2013-08-25,1099.31
237,2013-08-26,1099.27
238,2013-08-27,1099.24
239,2013-08-28,1099.23
240,2013-08-29,1099.22
241,2013-08-30,1099.23
242,2013-08-31,1099.21
243,2013-09-01,1099.2
244,2013-09-02,1099.26
245,2013-09-03,1099.28
246,2013-09-04,1099.23
247,2013-09-05,1099.17
248,2013-09-06,1099.21
249,2013-09-07,1099.26
250,2013-09-08,1099.28
251,2013-09-09,1099.28
252,2013-09-10,1099.18
253,2013-09-11,1099.11
254,2013-09-12,1099.04
255,2013-09-13,1098.95
256,2013-09-14,1098.87
257,2013-09-15,1098.78
258,2013-09-16,1098.75
259,2013-09-17,1098.68
260,2013-09-18,1098.6
261,2013-09-19,1098.45
262,2013-09-20,1098.32
263,2013-09-21,1098.22
264,2013-09-22,1098.07
265,2013-09-23,1097.92
266,2013-09-24,1097.86
267,2013-09-25,1097.74
268,2013-09-26,1097.64
269,2013-09-27,1097.56
270,2013-09-28,1097.47
271,2013-09-29,1097.47
272,2013-09-30,1097.5
273,2013-10-01,1097.45
274,2013-10-02,1097.36
275,2013-10-03,1097.29
276,2013-10-04,1097.21
277,2013-10-05,1097.11
278,2013-10-06,1097.02
