,datetime,150401_62614_32400,150402_00054_32400,150402_00054_32400_cd
0,2013-01-01,237.12,364300.0,
1,2013-01-02,236.5,364300.0,
2,2013-01-03,236.72,364300.0,
3,2013-01-04,235.86,364300.0,
4,2013-01-05,235.85,364300.0,
5,2013-01-06,235.76,364300.0,
6,2013-01-07,235.66,364300.0,
7,2013-01-08,235.72,364300.0,
8,2013-01-09,236.82,364300.0,
9,2013-01-10,237.26,364300.0,
10,2013-01-11,234.69,364300.0,
11,2013-01-12,233.33,364300.0,
12,2013-01-13,232.44,364300.0,
13,2013-01-14,233.11,364300.0,
14,2013-01-15,233.43,364300.0,
15,2013-01-16,234.44,364300.0,
16,2013-01-17,234.33,364300.0,
17,2013-01-18,234.04,364300.0,
18,2013-01-19,233.98,364300.0,
19,2013-01-20,233.91,364300.0,
20,2013-01-21,233.12,364300.0,
21,2013-01-22,233.87,364300.0,
22,2013-01-23,235.37,364300.0,
23,2013-01-24,234.98,364300.0,
24,2013-01-25,234.59,364300.0,
25,2013-01-26,234.29,364300.0,
26,2013-01-27,233.84,364300.0,
27,2013-01-28,232.77,364300.0,
28,2013-01-29,232.88,364300.0,
29,2013-01-30,234.53,364300.0,
30,2013-01-31,236.34,364300.0,
31,2013-02-01,236.94,364300.0,
32,2013-02-02,236.11,364300.0,
33,2013-02-03,233.93,364300.0,
34,2013-02-04,233.38,364300.0,
35,2013-02-05,234.46,364300.0,
36,2013-02-06,235.47,364300.0,
37,2013-02-07,235.27,364300.0,
38,2013-02-08,235.15,364300.0,
39,2013-02-09,234.93,364300.0,
40,2013-02-10,235.12,364300.0,
41,2013-02-11,236.12,364300.0,
42,2013-02-12,234.71,364300.0,
43,2013-02-13,234.96,364300.0,
44,2013-02-14,235.23,364300.0,
45,2013-02-15,234.9,364300.0,
46,2013-02-16,235.35,364300.0,
47,2013-02-17,235.38,364300.0,
48,2013-02-18,235.4,364300.0,
49,2013-02-19,235.71,364300.0,
50,2013-02-20,236.0,364300.0,
51,2013-02-21,236.66,364300.0,
52,2013-02-22,237.62,364300.0,
53,2013-02-23,238.67,364300.0,
54,2013-02-24,237.97,364300.0,
55,2013-02-25,237.15,364300.0,
56,2013-02-26,236.44,364300.0,
57,2013-02-27,236.18,364300.0,
58,2013-02-28,237.04,364300.0,
59,2013-03-01,238.09,364300.0,
60,2013-03-02,236.93,364300.0,
61,2013-03-03,238.06,364300.0,
62,2013-03-04,237.72,364300.0,
63,2013-03-05,237.97,364300.0,
64,2013-03-06,237.54,364300.0,
65,2013-03-07,238.19,364300.0,
66,2013-03-08,238.21,364300.0,
67,2013-03-09,237.32,364300.0,
68,2013-03-10,237.2,364300.0,
69,2013-03-11,237.4,364300.0,
70,2013-03-12,236.44,364300.0,
71,2013-03-13,235.96,364300.0,
72,2013-03-14,236.46,364300.0,
73,2013-03-15,237.36,364300.0,
74,2013-03-16,237.74,364300.0,
75,2013-03-17,237.91,364300.0,
76,2013-03-18,238.01,364300.0,
77,2013-03-19,237.48,364300.0,
78,2013-03-20,236.91,364300.0,
79,2013-03-21,236.72,364300.0,
80,2013-03-22,237.53,364300.0,
81,2013-03-23,237.89,364300.0,
82,2013-03-24,238.33,364300.0,
83,2013-03-25,238.65,364300.0,
84,2013-03-26,238.66,364300.0,
85,2013-03-27,237.83,364300.0,
86,2013-03-28,237.61,364300.0,
87,2013-03-29,237.47,364300.0,
88,2013-03-30,236.71,364300.0,
89,2013-03-31,235.79,364300.0,
90,2013-04-01,235.62,364300.0,
91,2013-04-02,234.74,364300.0,
92,2013-04-03,234.16,364300.0,
93,2013-04-04,234.17,364300.0,
94,2013-04-05,234.79,364300.0,
95,2013-04-06,235.18,364300.0,
96,2013-04-07,235.25,364300.0,
97,2013-04-08,235.8,364300.0,
98,2013-04-09,235.95,364300.0,
99,2013-04-10,235.01,364300.0,
100,2013-04-11,235.77,364300.0,
101,2013-04-12,235.77,364300.0,
102,2013-04-13,235.32,364300.0,
103,2013-04-14,235.98,364300.0,
104,2013-04-15,236.59,364300.0,
105,2013-04-16,237.35,364300.0,
106,2013-04-17,237.76,364300.0,
107,2013-04-18,236.44,364300.0,
