,datetime,7587_00065_32400
0,2013-01-01,6.14
1,2013-01-02,6.14
2,2013-01-03,6.14
3,2013-01-04,6.13
4,2013-01-05,6.13
5,2013-01-06,6.12
6,2013-01-07,6.12
7,2013-01-08,6.13
8,2013-01-09,6.14
9,2013-01-10,6.13
10,2013-01-11,6.11
11,2013-01-12,6.1
12,2013-01-13,6.08
13,2013-01-14,6.06
14,2013-01-15,6.05
15,2013-01-16,6.05
16,2013-01-17,6.04
17,2013-01-18,6.04
18,2013-01-19,6.04
19,2013-01-20,6.04
20,2013-01-21,6.04
21,2013-01-22,6.03
22,2013-01-23,6.02
23,2013-01-24,6.04
24,2013-01-25,6.03
25,2013-01-26,6.04
26,2013-01-27,6.03
27,2013-01-28,6.02
28,2013-01-29,6.02
29,2013-01-30,6.02
30,2013-01-31,6.02
31,2013-02-01,6.02
32,2013-02-02,6.01
33,2013-02-03,6.01
34,2013-02-04,5.98
35,2013-02-05,5.96
36,2013-02-06,5.96
37,2013-02-07,5.95
38,2013-02-08,5.94
39,2013-02-09,5.94
40,2013-02-10,5.95
41,2013-02-11,5.92
42,2013-02-12,5.91
43,2013-02-13,5.91
44,2013-02-14,5.9
45,2013-02-15,5.9
46,2013-02-16,5.9
47,2013-02-17,5.9
48,2013-02-18,5.9
49,2013-02-19,5.88
50,2013-02-20,5.87
51,2013-02-21,5.86
52,2013-02-22,5.87
53,2013-02-23,5.85
54,2013-02-24,5.84
55,2013-02-25,5.83
56,2013-02-26,5.82
57,2013-02-27,5.82
58,2013-02-28,5.82
59,2013-03-01,5.82
60,2013-03-02,5.81
61,2013-03-03,5.84
62,2013-03-04,5.84
63,2013-03-05,5.82
64,2013-03-06,5.86
65,2013-03-07,5.87
66,2013-03-08,5.87
67,2013-03-09,5.86
68,2013-03-10,5.86
69,2013-03-11,5.86
70,2013-03-12,5.86
71,2013-03-13,5.86
72,2013-03-14,5.87
73,2013-03-15,5.87
74,2013-03-16,5.87
75,2013-03-17,5.87
76,2013-03-18,5.87
77,2013-03-19,5.87
78,2013-03-20,5.89
79,2013-03-21,5.9
80,2013-03-22,5.9
81,2013-03-23,5.9
82,2013-03-24,5.9
83,2013-03-25,5.89
84,2013-03-26,5.89
85,2013-03-27,5.9
86,2013-03-28,5.91
87,2013-03-29,5.92
88,2013-03-30,5.93
89,2013-03-31,5.95
90,2013-04-01,5.96
91,2013-04-02,5.96
92,2013-04-03,5.97
93,2013-04-04,5.98
94,2013-04-05,5.97
95,2013-04-06,5.98
96,2013-04-07,5.99
97,2013-04-08,5.98
98,2013-04-09,5.99
99,2013-04-10,5.98
100,2013-04-11,5.98
101,2013-04-12,5.99
102,2013-04-13,5.98
103,2013-04-14,5.98
104,2013-04-15,6.01
105,2013-04-16,5.99
106,2013-04-17,6.0
107,2013-04-18,6.0
108,2013-04-19,6.0
109,2013-04-20,6.0
110,2013-04-21,6.01
111,2013-04-22,6.01
112,2013-04-23,6.01
113,2013-04-24,6.01
114,2013-04-25,6.01
115,2013-04-26,6.02
116,2013-04-27,6.02
117,2013-04-28,6.03
118,2013-04-29,6.03
119,2013-04-30,6.07
120,2013-05-01,6.07
121,2013-05-02,6.06
122,2013-05-03,6.06
123,2013-05-04,6.08
124,2013-05-05,6.08
125,2013-05-06,6.17
126,2013-05-07,6.22
127,2013-05-08,6.24
128,2013-05-09,6.25
129,2013-05-10,6.27
130,2013-05-11,6.28
131,2013-05-12,6.29
132,2013-05-13,6.29
133,2013-05-14,6.31
134,2013-05-15,6.3
135,2013-05-16,6.31
136,2013-05-17,6.31
137,2013-05-18,6.32
138,2013-05-19,6.32
139,2013-05-20,6.32
140,2013-05-21,6.29
141,2013-05-22,6.3
142,2013-05-23,6.29
143,2013-05-24,6.29
144,2013-05-25,6.29
145,2013-05-26,6.28
146,2013-05-27,6.28
147,2013-05-28,6.3
148,2013-05-29,6.3
149,2013-05-30,6.29
150,2013-05-31,6.3
151,2013-06-01,6.3
152,2013-06-02,6.3
153,2013-06-03,6.3
154,2013-06-04,6.31
155,2013-06-05,6.31
156,2013-06-06,6.31
157,2013-06-07,6.31
158,2013-06-08,6.31
159,2013-06-09,6.32
160,2013-06-10,6.32
161,2013-06-11,6.3
162,2013-06-12,6.29
163,2013-06-13,6.28
164,2013-06-14,6.28
165,2013-06-15,6.27
166,2013-06-16,6.27
167,2013-06-17,6.22
168,2013-06-18,6.19
169,2013-06-19,6.18
170,2013-06-20,6.15
171,2013-06-21,6.16
172,2013-06-22,6.15
173,2013-06-23,6.12
174,2013-06-24,6.15
175,2013-06-25,6.14
176,2013-06-26,6.14
177,2013-06-27,6.15
178,2013-06-28,6.16
179,2013-06-29,6.15
180,2013-06-30,6.14
181,2013-07-01,6.14
182,2013-07-02,6.14
183,2013-07-03,6.13
184,2013-07-04,6.12
185,2013-07-05,6.09
186,2013-07-06,6.08
187,2013-07-07,6.06
188,2013-07-08,6.05
189,2013-07-09,6.02
190,2013-07-10,6.01
191,2013-07-11,6.0
192,2013-07-12,5.97
193,2013-07-13,5.97
194,2013-07-14,5.95
195,2013-07-15,5.95
196,2013-07-16,5.91
197,2013-07-17,5.91
198,2013-07-18,5.9
199,2013-07-19,5.89
200,2013-07-20,5.89
201,2013-07-21,5.87
202,2013-07-22,5.85
203,2013-07-23,5.85
204,2013-07-24,5.84
205,2013-07-25,5.84
206,2013-07-26,5.82
207,2013-07-27,5.82
208,2013-07-28,5.79
209,2013-07-29,5.76
210,2013-07-30,5.75
211,2013-07-31,5.72
212,2013-08-01,5.69
213,2013-08-02,5.66
214,2013-08-03,5.65
215,2013-08-04,5.62
216,2013-08-05,5.61
217,2013-08-06,5.58
218,2013-08-07,5.55
219,2013-08-08,5.53
220,2013-08-09,5.51
221,2013-08-10,5.48
222,2013-08-11,5.47
223,2013-08-12,5.45
224,2013-08-13,5.43
225,2013-08-14,5.41
226,2013-08-15,5.4
227,2013-08-16,5.38
228,2013-08-17,5.37
229,2013-08-18,5.36
230,2013-08-19,5.34
231,2013-08-20,5.34
232,2013-08-21,5.32
233,2013-08-22,5.32
