,datetime,148811_00065_32400,148812_62614_32400,148813_00054_32400
0,2013-01-01,538.82,538.32,36550.0
1,2013-01-02,538.78,538.28,36460.0
2,2013-01-03,538.75,538.25,36390.0
3,2013-01-04,538.71,538.21,36300.0
4,2013-01-05,538.69,538.19,36250.0
5,2013-01-06,538.65,538.15,36160.0
6,2013-01-07,538.64,538.14,36140.0
7,2013-01-08,538.61,538.11,36070.0
8,2013-01-09,538.45,537.95,35700.0
9,2013-01-10,538.13,537.63,34970.0
10,2013-01-11,537.77,537.27,34150.0
11,2013-01-12,537.42,536.92,33360.0
12,2013-01-13,537.07,536.57,32570.0
13,2013-01-14,536.71,536.21,31780.0
14,2013-01-15,536.34,535.84,30960.0
15,2013-01-16,535.97,535.47,30150.0
16,2013-01-17,535.6,535.1,29360.0
17,2013-01-18,535.23,534.73,28570.0
18,2013-01-19,534.85,534.35,27770.0
19,2013-01-20,534.47,533.97,26990.0
20,2013-01-21,534.07,533.57,26160.0
21,2013-01-22,533.67,533.17,25360.0
22,2013-01-23,533.53,533.03,25080.0
23,2013-01-24,533.52,533.02,25060.0
24,2013-01-25,533.51,533.01,25040.0
25,2013-01-26,533.49,532.99,25010.0
26,2013-01-27,533.51,533.01,25040.0
27,2013-01-28,533.55,533.05,25120.0
28,2013-01-29,533.61,533.11,25240.0
29,2013-01-30,533.64,533.14,25300.0
30,2013-01-31,533.65,533.15,25320.0
31,2013-02-01,533.61,533.11,25240.0
32,2013-02-02,533.57,533.07,25160.0
33,2013-02-03,533.53,533.03,25080.0
34,2013-02-04,533.47,532.97,24970.0
35,2013-02-05,533.47,532.97,24970.0
36,2013-02-06,533.46,532.96,24950.0
37,2013-02-07,533.44,532.94,24910.0
38,2013-02-08,533.42,532.92,24870.0
39,2013-02-09,533.37,532.87,24770.0
40,2013-02-10,533.37,532.87,24770.0
41,2013-02-11,533.41,532.91,24850.0
42,2013-02-12,533.45,532.95,24930.0
43,2013-02-13,533.45,532.95,24930.0
44,2013-02-14,533.48,532.98,24990.0
45,2013-02-15,533.48,532.98,24990.0
46,2013-02-16,533.44,532.94,24910.0
47,2013-02-17,533.48,532.98,24990.0
48,2013-02-18,533.46,532.96,24950.0
49,2013-02-19,533.45,532.95,24930.0
50,2013-02-20,533.48,532.98,24990.0
51,2013-02-21,533.49,532.99,25010.0
52,2013-02-22,533.54,533.04,25100.0
53,2013-02-23,533.55,533.05,25120.0
54,2013-02-24,533.66,533.16,25340.0
55,2013-02-25,533.66,533.16,25340.0
56,2013-02-26,533.66,533.16,25340.0
57,2013-02-27,533.7,533.2,25420.0
58,2013-02-28,533.73,533.23,25480.0
59,2013-03-01,533.78,533.28,25580.0
60,2013-03-02,533.8,533.3,25620.0
61,2013-03-03,533.89,533.39,25800.0
62,2013-03-04,533.89,533.39,25800.0
63,2013-03-05,533.89,533.39,25800.0
64,2013-03-06,534.06,533.56,26140.0
65,2013-03-07,534.31,533.81,26660.0
66,2013-03-08,534.54,534.04,27130.0
67,2013-03-09,534.83,534.33,27730.0
