,datetime,150459_62614_32400,150460_00054_32400
0,2013-01-01,423.11,129500
1,2013-01-02,422.81,128800
2,2013-01-03,422.49,128100
3,2013-01-04,421.85,126700
4,2013-01-05,422.26,127600
5,2013-01-06,420.99,124900
6,2013-01-07,421.3,125600
7,2013-01-08,422.37,127900
8,2013-01-09,421.15,125200
9,2013-01-10,421.75,126500
10,2013-01-11,424.0,131500
11,2013-01-12,424.61,132800
12,2013-01-13,423.66,130700
13,2013-01-14,423.49,130300
14,2013-01-15,422.71,128600
15,2013-01-16,423.23,129800
16,2013-01-17,423.32,130000
17,2013-01-18,423.3,129900
18,2013-01-19,423.25,129800
19,2013-01-20,422.76,128700
20,2013-01-21,423.45,130300
21,2013-01-22,422.55,128300
22,2013-01-23,422.25,127600
23,2013-01-24,420.81,124500
24,2013-01-25,420.78,124400
25,2013-01-26,421.53,126100
26,2013-01-27,421.28,125500
27,2013-01-28,421.94,126900
28,2013-01-29,421.3,125600
29,2013-01-30,420.9,124700
30,2013-01-31,420.47,123800
31,2013-02-01,420.45,123700
32,2013-02-02,421.62,126200
33,2013-02-03,421.26,125500
34,2013-02-04,422.25,127600
35,2013-02-05,422.09,127300
36,2013-02-06,422.55,128300
37,2013-02-07,422.69,128600
38,2013-02-08,423.95,131400
39,2013-02-09,422.6,128400
40,2013-02-10,423.15,129600
41,2013-02-11,422.33,127800
42,2013-02-12,422.29,127700
43,2013-02-13,421.03,125000
44,2013-02-14,421.25,125400
45,2013-02-15,421.64,126300
46,2013-02-16,421.37,125700
47,2013-02-17,420.53,123900
48,2013-02-18,420.99,124900
49,2013-02-19,423.02,129300
50,2013-02-20,423.71,130800
51,2013-02-21,423.95,131400
52,2013-02-22,423.78,131000
53,2013-02-23,422.02,127100
54,2013-02-24,421.65,126300
55,2013-02-25,422.19,127500
56,2013-02-26,423.73,130900
57,2013-02-27,422.91,129100
58,2013-02-28,421.46,125900
59,2013-03-01,421.41,125800
60,2013-03-02,422.15,127400
61,2013-03-03,422.23,127600
62,2013-03-04,424.63,132900
63,2013-03-05,424.43,132400
64,2013-03-06,424.01,131500
65,2013-03-07,422.54,128300
66,2013-03-08,424.23,132000
67,2013-03-09,423.59,130600
68,2013-03-10,420.71,124300
69,2013-03-11,420.83,124500
70,2013-03-12,420.69,124200
71,2013-03-13,421.89,126800
72,2013-03-14,422.15,127400
73,2013-03-15,421.96,127000
74,2013-03-16,422.09,127300
75,2013-03-17,422.15,127400
76,2013-03-18,422.55,128300
77,2013-03-19,424.23,132000
78,2013-03-20,421.98,127000
79,2013-03-21,422.93,129100
80,2013-03-22,424.29,132100
81,2013-03-23,424.62,132900
82,2013-03-24,422.7,128600
83,2013-03-25,422.32,127800
84,2013-03-26,420.79,124400
85,2013-03-27,420.51,123800
86,2013-03-28,421.82,126700
87,2013-03-29,422.66,128500
88,2013-03-30,422.26,127600
89,2013-03-31,421.54,126100
90,2013-04-01,422.06,127200
91,2013-04-02,421.15,125200
92,2013-04-03,422.81,128800
93,2013-04-04,422.99,129200
94,2013-04-05,424.11,131700
95,2013-04-06,422.77,128800
96,2013-04-07,421.39,125700
97,2013-04-08,422.69,128600
98,2013-04-09,422.93,129100
99,2013-04-10,422.21,127500
100,2013-04-11,423.51,130400
101,2013-04-12,424.17,131900
102,2013-04-13,422.55,128300
103,2013-04-14,423.19,129700
104,2013-04-15,423.75,130900
105,2013-04-16,422.83,128900
106,2013-04-17,421.81,126700
107,2013-04-18,422.73,128700
108,2013-04-19,424.13,131800
109,2013-04-20,423.37,130100
110,2013-04-21,422.37,127900
111,2013-04-22,421.93,126900
112,2013-04-23,421.97,127000
113,2013-04-24,421.87,126800
114,2013-04-25,421.65,126300
115,2013-04-26,423.67,130700
116,2013-04-27,423.07,129400
117,2013-04-28,421.25,125400
118,2013-04-29,422.08,127200
119,2013-04-30,422.45,128100
120,2013-05-01,423.72,130900
121,2013-05-02,424.11,131700
122,2013-05-03,423.76,130900
123,2013-05-04,422.5,128200
124,2013-05-05,423.25,129800
125,2013-05-06,423.63,130700
126,2013-05-07,423.14,129600
127,2013-05-08,423.51,130400
128,2013-05-09,422.93,129100
129,2013-05-10,423.87,131200
130,2013-05-11,424.13,131800
131,2013-05-12,422.24,127600
132,2013-05-13,421.95,127000
133,2013-05-14,422.66,128500
134,2013-05-15,422.86,129000
135,2013-05-16,423.04,129300
136,2013-05-17,422.73,128700
137,2013-05-18,421.51,126000
138,2013-05-19,421.77,126600
139,2013-05-20,424.24,132000
140,2013-05-21,423.52,130400
141,2013-05-22,423.86,131200
142,2013-05-23,423.89,131200
143,2013-05-24,423.35,130000
144,2013-05-25,423.77,131000
145,2013-05-26,423.13,129500
146,2013-05-27,424.21,132000
147,2013-05-28,423.71,130800
148,2013-05-29,423.41,130200
149,2013-05-30,422.91,129100
150,2013-05-31,423.82,131100
151,2013-06-01,424.14,131800
152,2013-06-02,423.13,129500
153,2013-06-03,424.05,131600
154,2013-06-04,424.18,131900
155,2013-06-05,423.7,130800
156,2013-06-06,423.63,130700
157,2013-06-07,424.11,131700
158,2013-06-08,423.66,130700
159,2013-06-09,423.03,129300
160,2013-06-10,424.04,131600
161,2013-06-11,423.02,129300
162,2013-06-12,423.23,129800
163,2013-06-13,423.62,130600
164,2013-06-14,424.37,132300
165,2013-06-15,424.48,132600
166,2013-06-16,423.35,130000
167,2013-06-17,424.12,131700
168,2013-06-18,424.03,131500
169,2013-06-19,423.52,130400
170,2013-06-20,423.31,129900
171,2013-06-21,424.05,131600
172,2013-06-22,424.25,132000
173,2013-06-23,424.41,132400
174,2013-06-24,423.85,131100
175,2013-06-25,423.66,130700
176,2013-06-26,423.91,131300
177,2013-06-27,423.97,131400
178,2013-06-28,424.02,131500
179,2013-06-29,424.03,131500
180,2013-06-30,423.59,130600
181,2013-07-01,423.93,131300
182,2013-07-02,423.73,130900
183,2013-07-03,423.32,130000
184,2013-07-04,422.5,128200
185,2013-07-05,423.34,130000
186,2013-07-06,423.43,130200
187,2013-07-07,423.69,130800
188,2013-07-08,424.02,131500
189,2013-07-09,423.87,131200
190,2013-07-10,423.39,130100
191,2013-07-11,423.16,129600
192,2013-07-12,424.34,132200
193,2013-07-13,424.14,131800
194,2013-07-14,422.9,129000
195,2013-07-15,424.11,131700
196,2013-07-16,423.73,130900
197,2013-07-17,422.95,129200
198,2013-07-18,423.73,130900
199,2013-07-19,423.9,131300
200,2013-07-20,423.49,130300
201,2013-07-21,423.11,129500
202,2013-07-22,424.15,131800
203,2013-07-23,424.45,132500
204,2013-07-24,424.03,131500
205,2013-07-25,424.19,131900
206,2013-07-26,424.02,131500
207,2013-07-27,423.05,129400
208,2013-07-28,422.43,128000
209,2013-07-29,422.93,129100
210,2013-07-30,423.08,129400
211,2013-07-31,423.17,129600
212,2013-08-01,423.75,130900
213,2013-08-02,424.09,131700
214,2013-08-03,423.96,131400
215,2013-08-04,423.0,129300
216,2013-08-05,424.03,131500
217,2013-08-06,424.28,132100
218,2013-08-07,424.12,131700
219,2013-08-08,424.15,131800
220,2013-08-09,424.28,132100
221,2013-08-10,424.19,131900
222,2013-08-11,423.33,130000
223,2013-08-12,423.32,130000
224,2013-08-13,423.33,130000
225,2013-08-14,423.7,130800
226,2013-08-15,424.35,132300
227,2013-08-16,424.25,132000
228,2013-08-17,423.87,131200
229,2013-08-18,423.29,129900
230,2013-08-19,423.49,130300
231,2013-08-20,424.33,132200
232,2013-08-21,423.32,130000
233,2013-08-22,423.07,129400
234,2013-08-23,423.6,130600
235,2013-08-24,423.11,129500
236,2013-08-25,423.7,130800
237,2013-08-26,424.09,131700
238,2013-08-27,424.05,131600
239,2013-08-28,424.05,131600
240,2013-08-29,423.96,131400
241,2013-08-30,424.21,132000
242,2013-08-31,423.72,130900
243,2013-09-01,423.69,130800
244,2013-09-02,423.7,130800
245,2013-09-03,423.77,131000
246,2013-09-04,423.83,131100
247,2013-09-05,423.57,130500
248,2013-09-06,424.15,131800
249,2013-09-07,423.71,130800
250,2013-09-08,423.33,130000
251,2013-09-09,423.31,129900
252,2013-09-10,422.75,128700
253,2013-09-11,422.82,128900
254,2013-09-12,423.13,129500
255,2013-09-13,423.19,129700
256,2013-09-14,421.91,126900
257,2013-09-15,420.54,123900
258,2013-09-16,421.3,125600
259,2013-09-17,422.02,127100
260,2013-09-18,422.69,128600
261,2013-09-19,423.09,129500
