,datetime,149882_62614_00003
0,2013-01-01,1042.37
1,2013-01-02,1042.36
2,2013-01-03,1042.34
3,2013-01-04,1042.33
4,2013-01-05,1042.33
5,2013-01-06,1042.32
6,2013-01-07,1042.32
7,2013-01-08,1042.33
8,2013-01-09,1042.33
9,2013-01-10,1042.34
10,2013-01-11,1042.33
11,2013-01-12,1042.3
12,2013-01-13,1042.29
13,2013-01-14,1042.29
14,2013-01-15,1042.28
15,2013-01-16,1042.26
16,2013-01-17,1042.26
17,2013-01-18,1042.25
18,2013-01-19,1042.24
19,2013-01-20,1042.24
20,2013-01-21,1042.24
21,2013-01-22,1042.23
22,2013-01-23,1042.22
23,2013-01-24,1042.21
24,2013-01-25,1042.21
25,2013-01-26,1042.21
26,2013-01-27,1042.22
27,2013-01-28,1042.22
28,2013-01-29,1042.23
29,2013-01-30,1042.23
30,2013-01-31,1042.25
31,2013-02-01,1042.26
32,2013-02-02,1042.28
33,2013-02-03,1042.32
34,2013-02-04,1042.35
35,2013-02-05,1042.39
36,2013-02-06,1042.42
37,2013-02-07,1042.46
38,2013-02-08,1042.5
39,2013-02-09,1042.53
40,2013-02-10,1042.55
41,2013-02-11,1042.58
42,2013-02-12,1042.61
43,2013-02-13,1042.66
44,2013-02-14,1042.69
45,2013-02-15,1042.72
46,2013-02-16,1042.76
47,2013-02-17,1042.8
48,2013-02-18,1042.83
49,2013-02-19,1042.86
50,2013-02-20,1042.89
51,2013-02-21,1042.92
52,2013-02-22,1042.96
53,2013-02-23,1043.01
54,2013-02-24,1043.02
55,2013-02-25,1043.06
56,2013-02-26,1043.08
57,2013-02-27,1043.1
58,2013-02-28,1043.13
59,2013-03-01,1043.18
60,2013-03-02,1043.22
61,2013-03-03,1043.25
62,2013-03-04,1043.26
63,2013-03-05,1043.26
64,2013-03-06,1043.26
65,2013-03-07,1043.3
66,2013-03-08,1043.3
67,2013-03-09,1043.31
68,2013-03-10,1043.32
69,2013-03-11,1043.31
70,2013-03-12,1043.29
71,2013-03-13,1043.3
72,2013-03-14,1043.29
73,2013-03-15,1043.28
74,2013-03-16,1043.27
75,2013-03-17,1043.26
76,2013-03-18,1043.23
77,2013-03-19,1043.18
78,2013-03-20,1043.15
79,2013-03-21,1043.19
80,2013-03-22,1043.24
81,2013-03-23,1043.32
82,2013-03-24,1043.49
83,2013-03-25,1043.62
84,2013-03-26,1043.79
85,2013-03-27,1044.02
