,datetime,149696_62614_00003,149697_00010_00001,149698_00010_00002,149699_00010_00003
0,2013-01-01,909.52,2.7,1.7,2.2
1,2013-01-02,909.5,2.2,1.4,1.8
2,2013-01-03,909.48,2.2,1.5,1.8
3,2013-01-04,909.47,1.8,1.1,1.5
4,2013-01-05,909.46,1.7,1.0,1.3
5,2013-01-06,909.45,1.5,1.1,1.3
6,2013-01-07,909.46,1.4,0.9,1.2
7,2013-01-08,909.46,1.4,0.8,1.2
8,2013-01-09,909.5,1.5,0.7,1.3
9,2013-01-10,909.56,1.3,0.0,0.5
10,2013-01-11,909.62,0.8,0.0,0.0
11,2013-01-12,909.62,1.1,0.5,0.8
12,2013-01-13,909.65,1.4,1.0,1.1
13,2013-01-14,909.67,1.0,0.6,0.7
14,2013-01-15,909.69,0.8,0.7,0.7
15,2013-01-16,909.7,0.8,0.5,0.7
16,2013-01-17,909.7,0.5,0.4,0.5
17,2013-01-18,909.71,0.6,0.3,0.5
18,2013-01-19,909.71,0.7,0.5,0.6
19,2013-01-20,909.71,1.0,0.7,0.8
20,2013-01-21,909.71,1.1,0.9,1.0
21,2013-01-22,909.71,1.1,0.9,1.0
22,2013-01-23,909.71,1.1,1.0,1.0
23,2013-01-24,909.71,1.0,0.8,0.9
24,2013-01-25,909.71,0.8,0.8,0.8
25,2013-01-26,909.71,0.9,0.8,0.9
26,2013-01-27,909.7,1.0,0.8,0.9
27,2013-01-28,909.7,0.9,0.9,0.9
28,2013-01-29,909.71,1.0,0.9,1.0
29,2013-01-30,909.71,1.1,0.8,1.0
30,2013-01-31,909.7,1.1,0.9,1.0
31,2013-02-01,909.7,1.0,0.8,0.9
32,2013-02-02,909.69,1.0,0.9,0.9
33,2013-02-03,909.69,1.0,0.9,1.0
34,2013-02-04,909.68,1.1,0.9,1.0
35,2013-02-05,909.68,1.5,1.0,1.2
36,2013-02-06,909.68,2.0,1.4,1.7
37,2013-02-07,909.71,2.3,1.6,1.9
38,2013-02-08,909.74,2.7,1.9,2.2
39,2013-02-09,909.76,2.5,2.0,2.2
40,2013-02-10,909.77,2.8,2.1,2.4
41,2013-02-11,909.78,2.7,2.1,2.4
42,2013-02-12,909.78,2.7,2.2,2.3
43,2013-02-13,909.77,3.2,2.0,2.6
44,2013-02-14,909.77,3.2,2.5,2.8
45,2013-02-15,909.76,3.4,2.7,3.0
46,2013-02-16,909.76,3.4,3.0,3.2
47,2013-02-17,909.75,3.5,2.8,3.2
48,2013-02-18,909.75,3.9,3.0,3.4
49,2013-02-19,909.75,4.3,3.3,3.7
50,2013-02-20,909.74,5.2,3.6,4.4
51,2013-02-21,909.7,5.2,4.3,4.6
52,2013-02-22,909.67,5.1,4.3,4.6
53,2013-02-23,909.7,5.9,4.4,4.9
54,2013-02-24,909.72,5.2,4.4,4.8
55,2013-02-25,909.74,5.0,4.5,4.7
56,2013-02-26,909.76,5.7,4.6,5.0
57,2013-02-27,909.77,5.9,4.6,5.2
58,2013-02-28,909.79,5.5,4.9,5.2
59,2013-03-01,909.8,5.8,4.9,5.3
60,2013-03-02,909.81,6.0,5.0,5.5
61,2013-03-03,909.82,5.7,4.4,5.0
62,2013-03-04,909.82,5.4,3.3,4.5
63,2013-03-05,909.83,5.4,3.4,4.5
64,2013-03-06,909.84,4.6,3.3,4.2
65,2013-03-07,909.87,5.8,4.1,4.9
66,2013-03-08,909.87,6.8,4.7,5.6
67,2013-03-09,909.87,7.8,5.2,6.3
68,2013-03-10,909.87,6.3,5.0,5.5
69,2013-03-11,909.88,7.0,5.0,5.8
70,2013-03-12,909.88,7.2,5.4,6.1
71,2013-03-13,909.91,7.7,5.6,6.5
72,2013-03-14,909.94,7.1,6.0,6.3
73,2013-03-15,909.99,8.9,5.7,6.9
74,2013-03-16,910.04,7.9,6.3,7.0
75,2013-03-17,910.1,8.5,6.0,6.9
76,2013-03-18,910.13,9.0,6.1,7.2
77,2013-03-19,910.15,7.5,6.2,6.8
78,2013-03-20,910.19,7.4,6.6,6.8
79,2013-03-21,910.23,9.1,6.3,7.5
80,2013-03-22,910.24,8.6,6.6,7.4
81,2013-03-23,910.23,9.2,6.4,7.5
82,2013-03-24,910.21,8.9,7.1,7.7
83,2013-03-25,910.21,8.9,6.5,7.6
84,2013-03-26,910.24,10.0,7.0,8.4
85,2013-03-27,910.25,10.7,8.1,8.9
86,2013-03-28,910.27,11.3,7.8,9.0
87,2013-03-29,910.3,10.9,7.3,8.8
88,2013-03-30,910.32,12.0,9.1,10.4
89,2013-03-31,910.35,12.6,9.5,11.0
90,2013-04-01,910.39,13.8,11.4,12.8
91,2013-04-02,910.43,15.3,11.8,13.3
92,2013-04-03,910.47,15.5,12.3,13.4
93,2013-04-04,910.53,13.7,12.5,13.1
94,2013-04-05,910.58,12.6,8.2,9.5
95,2013-04-06,910.64,10.6,8.0,8.8
96,2013-04-07,910.72,9.4,8.5,8.9
97,2013-04-08,910.77,12.6,9.2,10.6
98,2013-04-09,910.74,11.8,10.1,10.6
99,2013-04-10,910.71,11.4,10.0,10.4
100,2013-04-11,910.73,12.1,9.6,10.8
101,2013-04-12,910.75,10.8,9.5,9.9
102,2013-04-13,910.8,11.4,9.2,10.2
103,2013-04-14,910.8,11.4,9.2,10.2
104,2013-04-15,910.83,12.0,9.8,10.6
105,2013-04-16,910.82,11.2,9.5,10.4
106,2013-04-17,910.82,11.3,9.7,10.5
107,2013-04-18,910.91,11.4,10.0,10.6
108,2013-04-19,911.01,12.1,10.5,11.1
109,2013-04-20,911.08,14.1,10.8,12.0
110,2013-04-21,911.08,11.6,10.2,10.7
111,2013-04-22,910.95,13.0,10.0,11.4
112,2013-04-23,910.86,13.3,11.2,12.0
113,2013-04-24,910.85,12.9,11.0,11.8
114,2013-04-25,910.87,14.2,11.2,12.2
115,2013-04-26,910.91,13.6,11.6,12.4
116,2013-04-27,910.97,14.2,12.7,13.3
117,2013-04-28,911.03,13.5,12.0,12.8
118,2013-04-29,911.09,12.9,11.6,12.3
119,2013-04-30,911.11,13.1,11.1,12.1
120,2013-05-01,911.11,13.0,11.5,12.1
121,2013-05-02,911.14,12.8,11.5,12.0
122,2013-05-03,911.25,13.7,11.6,12.7
123,2013-05-04,911.3,15.2,12.3,13.6
124,2013-05-05,911.31,16.3,13.7,15.0
125,2013-05-06,911.35,16.8,15.3,15.9
126,2013-05-07,911.45,18.1,14.9,16.4
127,2013-05-08,911.68,18.1,16.3,17.1
128,2013-05-09,912.06,19.6,16.4,17.7
129,2013-05-10,912.52,20.0,17.1,18.1
130,2013-05-11,912.95,18.2,16.3,17.1
131,2013-05-12,913.36,16.7,14.3,15.5
132,2013-05-13,913.74,15.4,13.7,14.4
133,2013-05-14,914.09,15.7,13.5,14.5
134,2013-05-15,914.17,16.1,15.4,15.7
135,2013-05-16,914.0,17.5,15.5,16.5
136,2013-05-17,913.76,17.4,15.1,16.3
137,2013-05-18,913.55,17.3,16.2,16.7
138,2013-05-19,913.38,18.1,16.8,17.3
139,2013-05-20,913.18,17.5,16.0,16.9
140,2013-05-21,913.0,17.4,16.2,16.7
141,2013-05-22,912.9,16.3,15.7,16.0
142,2013-05-23,912.88,15.7,15.2,15.5
143,2013-05-24,912.83,16.8,15.2,15.8
144,2013-05-25,912.76,15.6,15.0,15.3
145,2013-05-26,912.67,16.0,15.0,15.4
146,2013-05-27,912.59,16.4,15.5,15.9
147,2013-05-28,912.53,16.5,15.7,16.0
148,2013-05-29,912.5,16.8,16.0,16.4
149,2013-05-30,912.5,17.4,16.2,16.8
150,2013-05-31,912.52,18.9,16.8,17.5
151,2013-06-01,912.5,18.4,16.9,17.6
152,2013-06-02,912.5,18.6,17.8,18.1
153,2013-06-03,912.48,19.1,17.2,18.1
154,2013-06-04,912.47,19.8,17.8,18.4
155,2013-06-05,912.47,18.9,17.7,18.1
156,2013-06-06,912.47,21.1,18.4,19.5
157,2013-06-07,912.49,21.2,19.0,19.9
158,2013-06-08,912.49,20.5,19.4,19.8
159,2013-06-09,912.48,20.6,19.0,19.8
