,datetime,150443_62614_32400
0,2013-01-01,728.65
1,2013-01-02,727.6
2,2013-01-03,726.44
3,2013-01-04,725.66
4,2013-01-05,724.99
5,2013-01-06,724.78
6,2013-01-07,724.6
7,2013-01-08,724.62
8,2013-01-09,725.34
9,2013-01-10,725.34
10,2013-01-11,724.94
11,2013-01-12,724.51
12,2013-01-13,724.08
13,2013-01-14,723.11
14,2013-01-15,722.22
15,2013-01-16,720.93
16,2013-01-17,719.75
17,2013-01-18,718.86
18,2013-01-19,717.88
19,2013-01-20,717.02
20,2013-01-21,716.0
21,2013-01-22,714.86
22,2013-01-23,714.02
23,2013-01-24,713.6
24,2013-01-25,713.22
25,2013-01-26,713.02
26,2013-01-27,713.09
27,2013-01-28,713.15
28,2013-01-29,713.97
29,2013-01-30,715.28
30,2013-01-31,716.98
31,2013-02-01,718.43
32,2013-02-02,719.26
33,2013-02-03,720.23
34,2013-02-04,720.66
35,2013-02-05,721.28
36,2013-02-06,721.67
37,2013-02-07,722.02
38,2013-02-08,721.98
39,2013-02-09,722.44
40,2013-02-10,722.32
41,2013-02-11,722.35
42,2013-02-12,722.3
43,2013-02-13,722.56
44,2013-02-14,722.51
45,2013-02-15,722.34
46,2013-02-16,722.33
47,2013-02-17,722.49
48,2013-02-18,722.33
49,2013-02-19,721.71
50,2013-02-20,721.13
51,2013-02-21,720.42
52,2013-02-22,720.18
53,2013-02-23,720.36
54,2013-02-24,720.08
55,2013-02-25,719.64
56,2013-02-26,718.5
57,2013-02-27,717.71
58,2013-02-28,717.45
59,2013-03-01,717.62
60,2013-03-02,718.09
61,2013-03-03,718.63
62,2013-03-04,718.41
63,2013-03-05,718.13
64,2013-03-06,717.78
65,2013-03-07,717.63
66,2013-03-08,717.0
67,2013-03-09,716.84
68,2013-03-10,716.9
69,2013-03-11,716.25
70,2013-03-12,715.73
71,2013-03-13,715.44
72,2013-03-14,715.46
73,2013-03-15,715.84
74,2013-03-16,716.4
75,2013-03-17,717.04
76,2013-03-18,717.35
77,2013-03-19,716.65
78,2013-03-20,716.98
79,2013-03-21,717.46
80,2013-03-22,717.7
81,2013-03-23,717.69
82,2013-03-24,717.76
83,2013-03-25,717.1
84,2013-03-26,716.86
85,2013-03-27,716.66
86,2013-03-28,716.48
87,2013-03-29,716.44
88,2013-03-30,716.72
89,2013-03-31,717.26
90,2013-04-01,717.87
91,2013-04-02,719.04
92,2013-04-03,719.65
93,2013-04-04,720.34
94,2013-04-05,722.07
95,2013-04-06,725.4
96,2013-04-07,728.5
97,2013-04-08,730.38
98,2013-04-09,731.56
99,2013-04-10,732.74
100,2013-04-11,733.83
101,2013-04-12,734.68
102,2013-04-13,736.13
103,2013-04-14,736.87
104,2013-04-15,737.17
105,2013-04-16,737.41
106,2013-04-17,737.42
107,2013-04-18,737.09
108,2013-04-19,737.44
109,2013-04-20,738.76
110,2013-04-21,740.1
111,2013-04-22,740.0
112,2013-04-23,740.04
113,2013-04-24,740.03
114,2013-04-25,740.07
115,2013-04-26,739.93
116,2013-04-27,740.79
117,2013-04-28,742.1
118,2013-04-29,742.61
119,2013-04-30,742.97
120,2013-05-01,742.86
121,2013-05-02,742.57
122,2013-05-03,742.47
123,2013-05-04,742.92
124,2013-05-05,743.44
125,2013-05-06,743.7
126,2013-05-07,744.6
127,2013-05-08,745.8
128,2013-05-09,747.24
129,2013-05-10,748.56
130,2013-05-11,750.3
131,2013-05-12,752.56
132,2013-05-13,754.55
133,2013-05-14,755.88
134,2013-05-15,756.92
135,2013-05-16,757.59
136,2013-05-17,758.4
137,2013-05-18,759.34
138,2013-05-19,759.84
139,2013-05-20,759.7
140,2013-05-21,760.44
141,2013-05-22,760.82
142,2013-05-23,761.37
143,2013-05-24,762.01
144,2013-05-25,762.36
145,2013-05-26,762.83
146,2013-05-27,763.03
147,2013-05-28,763.65
148,2013-05-29,764.64
149,2013-05-30,765.87
150,2013-05-31,766.62
151,2013-06-01,767.19
152,2013-06-02,768.01
153,2013-06-03,768.06
154,2013-06-04,768.07
