,datetime,149327_62614_32400
0,2013-01-01,1573.49
1,2013-01-02,1572.55
2,2013-01-03,1571.62
3,2013-01-04,1570.7
4,2013-01-05,1569.83
5,2013-01-06,1568.91
6,2013-01-07,1568.31
7,2013-01-08,1567.72
8,2013-01-09,1567.39
9,2013-01-10,1566.57
10,2013-01-11,1565.83
11,2013-01-12,1564.87
12,2013-01-13,1563.92
13,2013-01-14,1563.1
14,2013-01-15,1562.25
15,2013-01-16,1561.17
16,2013-01-17,1560.12
17,2013-01-18,1559.06
18,2013-01-19,1557.87
19,2013-01-20,1556.73
20,2013-01-21,1555.46
21,2013-01-22,1554.22
22,2013-01-23,1553.14
23,2013-01-24,1552.25
24,2013-01-25,1551.33
25,2013-01-26,1550.37
26,2013-01-27,1549.55
27,2013-01-28,1548.76
28,2013-01-29,1547.93
29,2013-01-30,1547.16
30,2013-01-31,1546.44
31,2013-02-01,1545.59
32,2013-02-02,1544.5
33,2013-02-03,1543.72
34,2013-02-04,1542.92
35,2013-02-05,1542.03
36,2013-02-06,1541.14
37,2013-02-07,1539.97
38,2013-02-08,1538.84
39,2013-02-09,1537.74
40,2013-02-10,1536.75
41,2013-02-11,1535.9
42,2013-02-12,1534.9
43,2013-02-13,1534.16
44,2013-02-14,1533.18
45,2013-02-15,1532.45
46,2013-02-16,1531.48
47,2013-02-17,1530.65
48,2013-02-18,1529.77
49,2013-02-19,1528.93
50,2013-02-20,1527.88
51,2013-02-21,1526.9
52,2013-02-22,1526.15
53,2013-02-23,1525.33
54,2013-02-24,1524.44
55,2013-02-25,1523.54
56,2013-02-26,1522.59
57,2013-02-27,1521.63
58,2013-02-28,1520.71
59,2013-03-01,1520.27
60,2013-03-02,1520.08
61,2013-03-03,1519.95
62,2013-03-04,1519.73
63,2013-03-05,1519.37
64,2013-03-06,1519.08
65,2013-03-07,1518.71
66,2013-03-08,1518.24
67,2013-03-09,1517.67
68,2013-03-10,1517.23
69,2013-03-11,1516.67
70,2013-03-12,1516.3
71,2013-03-13,1516.19
72,2013-03-14,1516.39
73,2013-03-15,1516.64
74,2013-03-16,1517.02
75,2013-03-17,1517.34
76,2013-03-18,1517.38
77,2013-03-19,1517.29
78,2013-03-20,1517.3
79,2013-03-21,1517.23
80,2013-03-22,1516.97
81,2013-03-23,1516.57
82,2013-03-24,1516.12
83,2013-03-25,1515.78
84,2013-03-26,1515.25
85,2013-03-27,1514.56
86,2013-03-28,1513.91
87,2013-03-29,1513.31
88,2013-03-30,1512.68
89,2013-03-31,1512.3
90,2013-04-01,1512.43
91,2013-04-02,1512.89
92,2013-04-03,1513.46
93,2013-04-04,1514.19
94,2013-04-05,1515.46
95,2013-04-06,1516.93
96,2013-04-07,1518.01
97,2013-04-08,1518.78
98,2013-04-09,1519.19
99,2013-04-10,1519.8
100,2013-04-11,1520.29
101,2013-04-12,1520.52
102,2013-04-13,1520.92
103,2013-04-14,1520.93
104,2013-04-15,1520.84
105,2013-04-16,1520.77
106,2013-04-17,1520.43
107,2013-04-18,1520.16
108,2013-04-19,1519.97
109,2013-04-20,1519.71
110,2013-04-21,1519.59
111,2013-04-22,1519.24
112,2013-04-23,1518.93
113,2013-04-24,1518.6
114,2013-04-25,1518.47
115,2013-04-26,1518.12
116,2013-04-27,1518.33
117,2013-04-28,1518.64
118,2013-04-29,1519.16
119,2013-04-30,1519.5
120,2013-05-01,1519.79
121,2013-05-02,1519.93
122,2013-05-03,1520.08
123,2013-05-04,1520.64
124,2013-05-05,1521.9
125,2013-05-06,1524.13
126,2013-05-07,1527.31
127,2013-05-08,1531.05
128,2013-05-09,1534.78
129,2013-05-10,1538.3
130,2013-05-11,1541.89
131,2013-05-12,1546.12
132,2013-05-13,1550.65
133,2013-05-14,1554.07
134,2013-05-15,1556.22
135,2013-05-16,1557.81
136,2013-05-17,1559.34
137,2013-05-18,1560.67
138,2013-05-19,1561.91
139,2013-05-20,1563.07
140,2013-05-21,1564.53
141,2013-05-22,1565.73
142,2013-05-23,1566.67
143,2013-05-24,1567.38
144,2013-05-25,1567.94
145,2013-05-26,1568.5
146,2013-05-27,1568.94
147,2013-05-28,1569.65
148,2013-05-29,1570.31
149,2013-05-30,1570.93
150,2013-05-31,1571.45
151,2013-06-01,1572.03
152,2013-06-02,1572.69
153,2013-06-03,1573.42
154,2013-06-04,1574.38
155,2013-06-05,1575.69
156,2013-06-06,1577.15
157,2013-06-07,1578.75
158,2013-06-08,1580.17
159,2013-06-09,1581.23
160,2013-06-10,1582.15
161,2013-06-11,1583.04
162,2013-06-12,1583.69
163,2013-06-13,1584.2
164,2013-06-14,1584.62
165,2013-06-15,1585.01
166,2013-06-16,1585.36
167,2013-06-17,1586.06
168,2013-06-18,1586.83
169,2013-06-19,1587.57
170,2013-06-20,1588.49
171,2013-06-21,1589.27
172,2013-06-22,1590.0
173,2013-06-23,1590.56
174,2013-06-24,1591.5
175,2013-06-25,1592.2
176,2013-06-26,1592.6
177,2013-06-27,1592.96
178,2013-06-28,1593.53
179,2013-06-29,1594.45
180,2013-06-30,1595.46
181,2013-07-01,1596.56
182,2013-07-02,1597.92
183,2013-07-03,1598.91
184,2013-07-04,1599.51
185,2013-07-05,1599.79
186,2013-07-06,1600.05
187,2013-07-07,1600.26
188,2013-07-08,1600.5
189,2013-07-09,1600.67
190,2013-07-10,1600.77
191,2013-07-11,1600.8
192,2013-07-12,1600.69
193,2013-07-13,1600.52
194,2013-07-14,1600.35
195,2013-07-15,1600.39
196,2013-07-16,1600.44
197,2013-07-17,1600.73
198,2013-07-18,1601.02
199,2013-07-19,1601.19
200,2013-07-20,1601.41
201,2013-07-21,1601.56
202,2013-07-22,1601.68
203,2013-07-23,1601.82
204,2013-07-24,1601.93
205,2013-07-25,1601.86
206,2013-07-26,1601.76
207,2013-07-27,1601.65
208,2013-07-28,1601.6
209,2013-07-29,1601.45
210,2013-07-30,1601.33
211,2013-07-31,1601.34
212,2013-08-01,1601.36
213,2013-08-02,1601.44
214,2013-08-03,1601.43
215,2013-08-04,1601.5
216,2013-08-05,1601.58
217,2013-08-06,1601.64
218,2013-08-07,1601.61
219,2013-08-08,1601.58
220,2013-08-09,1601.56
221,2013-08-10,1601.52
222,2013-08-11,1601.83
223,2013-08-12,1601.82
224,2013-08-13,1601.71
225,2013-08-14,1601.47
226,2013-08-15,1601.25
227,2013-08-16,1601.09
228,2013-08-17,1600.85
229,2013-08-18,1600.68
230,2013-08-19,1600.52
231,2013-08-20,1600.37
232,2013-08-21,1600.2
233,2013-08-22,1600.12
234,2013-08-23,1600.06
235,2013-08-24,1600.09
236,2013-08-25,1600.09
237,2013-08-26,1600.03
238,2013-08-27,1600.07
239,2013-08-28,1600.11
240,2013-08-29,1600.4
241,2013-08-30,1600.64
242,2013-08-31,1600.69
243,2013-09-01,1600.73
244,2013-09-02,1600.68
245,2013-09-03,1600.62
246,2013-09-04,1600.51
247,2013-09-05,1600.51
248,2013-09-06,1601.08
249,2013-09-07,1601.39
250,2013-09-08,1601.52
251,2013-09-09,1601.53
252,2013-09-10,1601.45
253,2013-09-11,1601.31
254,2013-09-12,1601.27
255,2013-09-13,1601.19
256,2013-09-14,1601.16
257,2013-09-15,1601.14
258,2013-09-16,1601.2
259,2013-09-17,1601.08
260,2013-09-18,1600.92
261,2013-09-19,1600.63
262,2013-09-20,1600.18
263,2013-09-21,1599.94
264,2013-09-22,1599.66
265,2013-09-23,1599.8
266,2013-09-24,1599.77
267,2013-09-25,1599.55
268,2013-09-26,1599.26
269,2013-09-27,1598.92
270,2013-09-28,1599.38
271,2013-09-29,1600.57
272,2013-09-30,1601.49
273,2013-10-01,1601.87
274,2013-10-02,1601.9
275,2013-10-03,1601.57
276,2013-10-04,1601.09
277,2013-10-05,1600.55
278,2013-10-06,1600.06
279,2013-10-07,1599.95
280,2013-10-08,1599.91
281,2013-10-09,1599.69
282,2013-10-10,1599.48
283,2013-10-11,1599.15
284,2013-10-12,1598.76
285,2013-10-13,1598.4
286,2013-10-14,1598.02
287,2013-10-15,1597.58
288,2013-10-16,1596.99
289,2013-10-17,1596.93
290,2013-10-18,1596.41
291,2013-10-19,1595.92
292,2013-10-20,1595.49
293,2013-10-21,1595.03
294,2013-10-22,1594.63
295,2013-10-23,1594.26
296,2013-10-24,1593.86
297,2013-10-25,1593.51
298,2013-10-26,1593.11
299,2013-10-27,1592.82
300,2013-10-28,1592.33
301,2013-10-29,1591.83
302,2013-10-30,1591.42
303,2013-10-31,1590.95
304,2013-11-01,1590.57
305,2013-11-02,1590.29
306,2013-11-03,1589.87
307,2013-11-04,1589.58
308,2013-11-05,1589.13
309,2013-11-06,1588.76
310,2013-11-07,1588.44
311,2013-11-08,1588.09
312,2013-11-09,1587.7
313,2013-11-10,1587.25
314,2013-11-11,1586.85
315,2013-11-12,1586.53
316,2013-11-13,1586.38
317,2013-11-14,1586.05
318,2013-11-15,1585.73
319,2013-11-16,1585.37
320,2013-11-17,1585.05
321,2013-11-18,1584.88
322,2013-11-19,1584.85
323,2013-11-20,1584.51
324,2013-11-21,1584.23
325,2013-11-22,1584.02
326,2013-11-23,1583.68
327,2013-11-24,1583.36
328,2013-11-25,1582.97
329,2013-11-26,1582.73
330,2013-11-27,1582.4
331,2013-11-28,1582.02
332,2013-11-29,1581.62
333,2013-11-30,1581.25
334,2013-12-01,1581.16
335,2013-12-02,1581.1
336,2013-12-03,1580.65
337,2013-12-04,1580.42
338,2013-12-05,1580.07
339,2013-12-06,1579.55
340,2013-12-07,1578.95
341,2013-12-08,1578.41
342,2013-12-09,1577.89
343,2013-12-10,1577.4
344,2013-12-11,1576.83
345,2013-12-12,1576.34
346,2013-12-13,1575.87
347,2013-12-14,1575.28
348,2013-12-15,1574.82
349,2013-12-16,1574.32
350,2013-12-17,1573.83
351,2013-12-18,1573.32
352,2013-12-19,1572.7
353,2013-12-20,1572.13
354,2013-12-21,1571.6
