,datetime,149046_62614_00003
0,2013-01-01,27.56
1,2013-01-02,27.49
2,2013-01-03,27.42
3,2013-01-04,27.37
4,2013-01-05,27.31
5,2013-01-06,27.27
6,2013-01-07,27.28
7,2013-01-08,27.32
8,2013-01-09,27.56
9,2013-01-10,27.74
10,2013-01-11,27.75
11,2013-01-12,27.7
12,2013-01-13,27.64
13,2013-01-14,27.56
14,2013-01-15,27.49
15,2013-01-16,27.42
16,2013-01-17,27.35
17,2013-01-18,27.28
18,2013-01-19,27.22
19,2013-01-20,27.16
20,2013-01-21,27.12
21,2013-01-22,27.06
22,2013-01-23,27.02
23,2013-01-24,27.0
24,2013-01-25,27.02
25,2013-01-26,27.01
26,2013-01-27,27.0
27,2013-01-28,27.02
28,2013-01-29,27.13
29,2013-01-30,27.37
30,2013-01-31,27.59
31,2013-02-01,27.71
32,2013-02-02,27.73
33,2013-02-03,27.69
34,2013-02-04,27.64
35,2013-02-05,27.605
36,2013-02-06,27.57
37,2013-02-07,27.535
38,2013-02-08,27.5
39,2013-02-09,27.44
40,2013-02-10,27.38
41,2013-02-11,27.32
42,2013-02-12,27.27
43,2013-02-13,27.22
44,2013-02-14,27.18
45,2013-02-15,27.14
46,2013-02-16,27.11
47,2013-02-17,27.11
48,2013-02-18,27.07
49,2013-02-19,27.03
50,2013-02-20,26.99
51,2013-02-21,26.96
52,2013-02-22,26.94
53,2013-02-23,26.96
54,2013-02-24,26.95
55,2013-02-25,26.94
56,2013-02-26,26.92
57,2013-02-27,26.91
58,2013-02-28,26.95
59,2013-03-01,26.98
60,2013-03-02,27.0
61,2013-03-03,27.07
62,2013-03-04,27.08
63,2013-03-05,27.07
64,2013-03-06,27.07
65,2013-03-07,27.19
66,2013-03-08,27.24
67,2013-03-09,27.24
68,2013-03-10,27.23
69,2013-03-11,27.2
70,2013-03-12,27.17
71,2013-03-13,27.15
72,2013-03-14,27.14
73,2013-03-15,27.12
74,2013-03-16,27.1
75,2013-03-17,27.07
76,2013-03-18,27.04
77,2013-03-19,27.02
78,2013-03-20,27.06
79,2013-03-21,27.1
80,2013-03-22,27.11
81,2013-03-23,27.09
82,2013-03-24,27.07
83,2013-03-25,27.03
84,2013-03-26,27.01
85,2013-03-27,26.98
86,2013-03-28,26.95
87,2013-03-29,26.92
88,2013-03-30,26.88
89,2013-03-31,26.85
90,2013-04-01,26.82
91,2013-04-02,26.79
92,2013-04-03,26.76
93,2013-04-04,26.74
94,2013-04-05,26.79
95,2013-04-06,26.92
96,2013-04-07,27.13
97,2013-04-08,27.38
98,2013-04-09,27.47
99,2013-04-10,27.5
100,2013-04-11,27.52
101,2013-04-12,27.51
102,2013-04-13,27.51
103,2013-04-14,27.57
104,2013-04-15,27.61
105,2013-04-16,27.6
106,2013-04-17,27.55
107,2013-04-18,27.5
108,2013-04-19,27.52
109,2013-04-20,27.65
110,2013-04-21,27.7
111,2013-04-22,27.68
112,2013-04-23,27.63
113,2013-04-24,27.56
114,2013-04-25,27.49
115,2013-04-26,27.43
116,2013-04-27,27.36
117,2013-04-28,27.3
118,2013-04-29,27.29
119,2013-04-30,27.34
120,2013-05-01,27.31
121,2013-05-02,27.27
122,2013-05-03,27.23
123,2013-05-04,27.18
124,2013-05-05,27.13
125,2013-05-06,27.08
126,2013-05-07,27.04
127,2013-05-08,27.0
128,2013-05-09,26.96
129,2013-05-10,26.92
130,2013-05-11,26.88
131,2013-05-12,26.85
132,2013-05-13,26.84
133,2013-05-14,26.83
134,2013-05-15,26.8
135,2013-05-16,26.78
136,2013-05-17,26.75
137,2013-05-18,26.73
138,2013-05-19,26.7
139,2013-05-20,26.68
140,2013-05-21,26.68
141,2013-05-22,26.69
142,2013-05-23,26.7
143,2013-05-24,26.69
144,2013-05-25,26.68
145,2013-05-26,26.67
146,2013-05-27,26.67
147,2013-05-28,26.69
148,2013-05-29,26.7
149,2013-05-30,26.7
150,2013-05-31,26.69
151,2013-06-01,26.68
152,2013-06-02,26.68
153,2013-06-03,26.67
154,2013-06-04,26.65
155,2013-06-05,26.63
156,2013-06-06,26.61
157,2013-06-07,26.58
158,2013-06-08,26.54
159,2013-06-09,26.52
160,2013-06-10,26.49
161,2013-06-11,26.46
162,2013-06-12,26.44
163,2013-06-13,26.42
164,2013-06-14,26.41
165,2013-06-15,26.39
166,2013-06-16,26.39
167,2013-06-17,26.38
168,2013-06-18,26.37
169,2013-06-19,26.35
170,2013-06-20,26.36
171,2013-06-21,26.45
172,2013-06-22,26.45
173,2013-06-23,26.44
174,2013-06-24,26.45
175,2013-06-25,26.46
176,2013-06-26,26.5
177,2013-06-27,26.51
178,2013-06-28,26.5
179,2013-06-29,26.48
180,2013-06-30,26.46
181,2013-07-01,26.45
182,2013-07-02,26.43
183,2013-07-03,26.41
184,2013-07-04,26.38
185,2013-07-05,26.35
186,2013-07-06,26.33
187,2013-07-07,26.31
188,2013-07-08,26.29
189,2013-07-09,26.28
190,2013-07-10,26.26
191,2013-07-11,26.25
192,2013-07-12,26.23
193,2013-07-13,26.21
194,2013-07-14,26.2
195,2013-07-15,26.19
196,2013-07-16,26.17
197,2013-07-17,26.17
198,2013-07-18,26.15
199,2013-07-19,26.15
200,2013-07-20,26.14
201,2013-07-21,26.14
202,2013-07-22,26.13
203,2013-07-23,26.12
204,2013-07-24,26.11
205,2013-07-25,26.1
206,2013-07-26,26.09
207,2013-07-27,26.07
208,2013-07-28,26.06
209,2013-07-29,26.05
210,2013-07-30,26.05
211,2013-07-31,26.04
212,2013-08-01,26.04
213,2013-08-02,26.04
214,2013-08-03,26.05
215,2013-08-04,26.04
216,2013-08-05,26.04
217,2013-08-06,26.04
218,2013-08-07,26.04
219,2013-08-08,26.03
220,2013-08-09,26.02
221,2013-08-10,26.03
222,2013-08-11,26.02
223,2013-08-12,26.01
224,2013-08-13,26.0
225,2013-08-14,26.0
226,2013-08-15,26.0
227,2013-08-16,26.01
228,2013-08-17,26.0
229,2013-08-18,25.99
230,2013-08-19,25.98
231,2013-08-20,25.97
232,2013-08-21,25.96
233,2013-08-22,25.95
234,2013-08-23,25.94
235,2013-08-24,25.93
236,2013-08-25,25.92
237,2013-08-26,25.92
238,2013-08-27,25.92
239,2013-08-28,25.95
240,2013-08-29,26.01
241,2013-08-30,26.1
242,2013-08-31,26.1
243,2013-09-01,26.1
244,2013-09-02,26.09
245,2013-09-03,26.11
246,2013-09-04,26.11
247,2013-09-05,26.11
248,2013-09-06,26.32
249,2013-09-07,26.37
250,2013-09-08,26.37
251,2013-09-09,26.35
252,2013-09-10,26.33
253,2013-09-11,26.32
254,2013-09-12,26.3
255,2013-09-13,26.29
256,2013-09-14,26.27
257,2013-09-15,26.26
258,2013-09-16,26.27
259,2013-09-17,26.26
260,2013-09-18,26.24
261,2013-09-19,26.23
262,2013-09-20,26.21
263,2013-09-21,26.2
264,2013-09-22,26.2
265,2013-09-23,26.21
266,2013-09-24,26.22
267,2013-09-25,26.22
268,2013-09-26,26.21
269,2013-09-27,26.21
270,2013-09-28,26.29
271,2013-09-29,26.53
272,2013-09-30,26.73
273,2013-10-01,26.93
274,2013-10-02,26.99
275,2013-10-03,27.04
276,2013-10-04,27.02
277,2013-10-05,26.98
278,2013-10-06,26.94
279,2013-10-07,26.9
280,2013-10-08,26.87
281,2013-10-09,26.84
282,2013-10-10,26.8
283,2013-10-11,26.8
284,2013-10-12,26.78
285,2013-10-13,26.76
286,2013-10-14,26.73
287,2013-10-15,26.69
288,2013-10-16,26.66
289,2013-10-17,26.64
290,2013-10-18,26.61
291,2013-10-19,26.58
292,2013-10-20,26.55
293,2013-10-21,26.53
294,2013-10-22,26.5
295,2013-10-23,26.48
296,2013-10-24,26.46
297,2013-10-25,26.44
298,2013-10-26,26.42
299,2013-10-27,26.41
300,2013-10-28,26.4
301,2013-10-29,26.38
302,2013-10-30,26.37
303,2013-10-31,26.35
304,2013-11-01,26.34
305,2013-11-02,26.34
306,2013-11-03,26.36
307,2013-11-04,26.35
308,2013-11-05,26.35
309,2013-11-06,26.35
310,2013-11-07,26.43
311,2013-11-08,26.58
312,2013-11-09,26.62
313,2013-11-10,26.63
314,2013-11-11,26.62
315,2013-11-12,26.62
316,2013-11-13,26.6
317,2013-11-14,26.59
318,2013-11-15,26.58
319,2013-11-16,26.65
320,2013-11-17,26.66
321,2013-11-18,26.7
322,2013-11-19,26.88
323,2013-11-20,26.97
324,2013-11-21,26.98
325,2013-11-22,26.96
326,2013-11-23,26.93
327,2013-11-24,26.89
328,2013-11-25,26.85
329,2013-11-26,26.81
330,2013-11-27,26.77
331,2013-11-28,26.74
332,2013-11-29,26.7
333,2013-11-30,26.67
334,2013-12-01,26.66
