,datetime,7737_00054_32400
0,2013-01-01,38880
1,2013-01-02,38860
2,2013-01-03,38870
3,2013-01-04,38870
4,2013-01-05,38860
5,2013-01-06,38880
6,2013-01-07,38870
7,2013-01-08,38870
8,2013-01-09,38870
9,2013-01-10,38880
10,2013-01-11,38900
11,2013-01-12,38860
12,2013-01-13,38870
13,2013-01-14,38950
14,2013-01-15,38900
15,2013-01-16,38890
16,2013-01-17,38890
17,2013-01-18,38820
18,2013-01-19,38840
19,2013-01-20,38840
20,2013-01-21,38830
21,2013-01-22,38840
22,2013-01-23,38810
23,2013-01-24,38810
24,2013-01-25,38900
25,2013-01-26,38900
26,2013-01-27,38910
27,2013-01-28,38900
28,2013-01-29,38900
29,2013-01-30,38920
30,2013-01-31,38900
31,2013-02-01,38890
32,2013-02-02,38900
33,2013-02-03,38900
34,2013-02-04,38890
35,2013-02-05,38920
36,2013-02-06,38900
37,2013-02-07,38890
38,2013-02-08,38920
39,2013-02-09,38900
40,2013-02-10,38890
41,2013-02-11,38880
42,2013-02-12,38880
43,2013-02-13,38910
44,2013-02-14,38900
45,2013-02-15,38900
46,2013-02-16,38890
47,2013-02-17,38860
48,2013-02-18,38860
49,2013-02-19,38880
50,2013-02-20,38900
51,2013-02-21,38930
52,2013-02-22,38920
53,2013-02-23,38880
54,2013-02-24,38890
55,2013-02-25,38880
56,2013-02-26,38900
57,2013-02-27,38840
58,2013-02-28,38840
59,2013-03-01,38840
60,2013-03-02,38850
61,2013-03-03,38850
62,2013-03-04,38840
63,2013-03-05,38820
64,2013-03-06,38810
65,2013-03-07,38850
66,2013-03-08,38950
67,2013-03-09,38960
68,2013-03-10,38950
69,2013-03-11,38960
70,2013-03-12,38970
71,2013-03-13,38950
72,2013-03-14,38930
73,2013-03-15,38950
74,2013-03-16,38950
75,2013-03-17,38950
76,2013-03-18,38950
77,2013-03-19,38990
78,2013-03-20,38950
79,2013-03-21,39020
80,2013-03-22,38960
81,2013-03-23,38920
82,2013-03-24,38920
83,2013-03-25,38910
84,2013-03-26,38920
85,2013-03-27,38920
86,2013-03-28,38920
87,2013-03-29,38920
88,2013-03-30,38870
89,2013-03-31,38870
90,2013-04-01,38870
91,2013-04-02,38850
92,2013-04-03,38810
93,2013-04-04,38890
94,2013-04-05,38810
95,2013-04-06,38810
96,2013-04-07,38790
97,2013-04-08,38810
98,2013-04-09,38780
99,2013-04-10,38780
100,2013-04-11,38790
101,2013-04-12,38740
102,2013-04-13,38740
103,2013-04-14,38740
104,2013-04-15,38750
105,2013-04-16,38720
106,2013-04-17,38700
107,2013-04-18,38700
108,2013-04-19,38680
109,2013-04-20,38670
110,2013-04-21,38670
111,2013-04-22,38690
112,2013-04-23,38670
113,2013-04-24,38700
114,2013-04-25,38670
115,2013-04-26,38710
116,2013-04-27,38570
117,2013-04-28,38610
118,2013-04-29,38580
119,2013-04-30,38680
120,2013-05-01,38580
121,2013-05-02,38580
122,2013-05-03,38630
123,2013-05-04,38530
124,2013-05-05,38510
125,2013-05-06,38540
126,2013-05-07,38550
127,2013-05-08,38540
128,2013-05-09,38530
129,2013-05-10,38540
130,2013-05-11,38530
131,2013-05-12,38500
132,2013-05-13,38510
133,2013-05-14,38500
134,2013-05-15,38500
135,2013-05-16,38450
136,2013-05-17,38450
137,2013-05-18,38470
138,2013-05-19,38440
139,2013-05-20,38420
140,2013-05-21,38420
141,2013-05-22,38390
142,2013-05-23,38390
143,2013-05-24,38400
144,2013-05-25,38390
145,2013-05-26,38350
146,2013-05-27,38350
147,2013-05-28,38350
148,2013-05-29,38350
149,2013-05-30,38330
150,2013-05-31,38340
151,2013-06-01,38310
152,2013-06-02,38350
153,2013-06-03,38380
154,2013-06-04,38380
155,2013-06-05,38370
156,2013-06-06,38290
157,2013-06-07,38260
158,2013-06-08,38230
159,2013-06-09,38220
160,2013-06-10,38170
161,2013-06-11,38170
162,2013-06-12,38160
163,2013-06-13,38190
164,2013-06-14,38150
165,2013-06-15,38120
166,2013-06-16,38110
167,2013-06-17,38100
168,2013-06-18,38090
169,2013-06-19,38120
170,2013-06-20,38140
171,2013-06-21,38070
172,2013-06-22,38070
173,2013-06-23,38030
174,2013-06-24,38140
175,2013-06-25,38040
176,2013-06-26,38010
177,2013-06-27,38030
178,2013-06-28,38060
179,2013-06-29,38010
180,2013-06-30,38010
181,2013-07-01,38000
182,2013-07-02,38000
183,2013-07-03,38000
184,2013-07-04,37980
185,2013-07-05,37960
186,2013-07-06,37940
187,2013-07-07,37960
188,2013-07-08,37960
189,2013-07-09,37930
190,2013-07-10,38040
191,2013-07-11,37970
192,2013-07-12,37960
193,2013-07-13,37970
194,2013-07-14,37910
195,2013-07-15,37890
196,2013-07-16,37870
197,2013-07-17,37850
198,2013-07-18,37830
199,2013-07-19,37860
200,2013-07-20,37820
201,2013-07-21,37830
202,2013-07-22,37820
203,2013-07-23,37830
204,2013-07-24,37840
205,2013-07-25,37800
206,2013-07-26,37800
207,2013-07-27,37770
208,2013-07-28,37780
209,2013-07-29,37770
210,2013-07-30,37780
211,2013-07-31,37770
212,2013-08-01,37770
213,2013-08-02,37750
214,2013-08-03,37790
215,2013-08-04,37730
216,2013-08-05,37730
217,2013-08-06,37720
218,2013-08-07,37740
219,2013-08-08,37710
220,2013-08-09,37680
221,2013-08-10,37720
222,2013-08-11,37680
223,2013-08-12,37670
224,2013-08-13,37660
225,2013-08-14,37640
226,2013-08-15,37650
227,2013-08-16,37620
228,2013-08-17,37620
229,2013-08-18,37620
230,2013-08-19,37610
231,2013-08-20,37620
232,2013-08-21,37620
233,2013-08-22,37640
234,2013-08-23,37680
235,2013-08-24,37670
236,2013-08-25,37740
237,2013-08-26,37750
238,2013-08-27,37770
239,2013-08-28,37720
240,2013-08-29,37710
241,2013-08-30,37700
242,2013-08-31,37750
243,2013-09-01,37700
244,2013-09-02,37680
245,2013-09-03,37800
246,2013-09-04,38060
247,2013-09-05,38290
248,2013-09-06,38540
249,2013-09-07,38810
250,2013-09-08,39150
251,2013-09-09,39470
252,2013-09-10,39820
253,2013-09-11,40150
254,2013-09-12,40490
255,2013-09-13,40790
256,2013-09-14,41140
257,2013-09-15,41490
258,2013-09-16,41870
259,2013-09-17,42270
260,2013-09-18,42670
261,2013-09-19,42920
262,2013-09-20,43170
263,2013-09-21,43440
264,2013-09-22,43820
265,2013-09-23,44040
266,2013-09-24,44320
267,2013-09-25,44440
268,2013-09-26,44600
269,2013-09-27,44840
270,2013-09-28,44990
271,2013-09-29,45110
272,2013-09-30,45380
273,2013-10-01,45480
274,2013-10-02,45570
275,2013-10-03,45720
276,2013-10-04,45840
277,2013-10-05,45780
278,2013-10-06,45890
279,2013-10-07,45910
280,2013-10-08,45930
281,2013-10-09,45950
282,2013-10-10,45940
283,2013-10-11,45930
284,2013-10-12,45890
285,2013-10-13,46030
286,2013-10-14,45950
287,2013-10-15,45900
288,2013-10-16,45930
289,2013-10-17,45880
290,2013-10-18,45870
291,2013-10-19,45840
292,2013-10-20,45910
293,2013-10-21,45840
294,2013-10-22,45800
295,2013-10-23,45800
296,2013-10-24,45800
297,2013-10-25,45820
298,2013-10-26,45870
299,2013-10-27,45840
300,2013-10-28,45800
301,2013-10-29,45800
302,2013-10-30,45820
303,2013-10-31,45820
304,2013-11-01,45830
305,2013-11-02,45830
306,2013-11-03,45830
307,2013-11-04,45860
308,2013-11-05,45810
309,2013-11-06,45800
310,2013-11-07,45780
311,2013-11-08,45820
312,2013-11-09,45760
313,2013-11-10,45770
314,2013-11-11,45760
315,2013-11-12,45780
316,2013-11-13,45760
317,2013-11-14,45760
318,2013-11-15,45780
319,2013-11-16,45780
320,2013-11-17,45760
321,2013-11-18,45760
322,2013-11-19,45780
323,2013-11-20,45790
324,2013-11-21,45820
325,2013-11-22,45800
326,2013-11-23,45780
327,2013-11-24,45770
328,2013-11-25,45760
329,2013-11-26,45760
330,2013-11-27,45760
331,2013-11-28,45760
332,2013-11-29,45770
333,2013-11-30,45780
334,2013-12-01,45770
335,2013-12-02,45820
336,2013-12-03,45780
337,2013-12-04,45790
338,2013-12-05,45830
339,2013-12-06,45800
340,2013-12-07,45830
341,2013-12-08,45800
342,2013-12-09,45800
343,2013-12-10,45780
344,2013-12-11,45790
345,2013-12-12,45780
346,2013-12-13,45760
347,2013-12-14,45750
348,2013-12-15,45760
349,2013-12-16,45760
350,2013-12-17,45760
351,2013-12-18,45760
352,2013-12-19,45790
353,2013-12-20,45780
354,2013-12-21,45790
355,2013-12-22,45770
356,2013-12-23,45780
357,2013-12-24,45780
358,2013-12-25,45770
359,2013-12-26,45760
360,2013-12-27,45770
361,2013-12-28,45760
362,2013-12-29,45760
363,2013-12-30,45760
364,2013-12-31,45760
365,2014-01-01,45750
366,2014-01-02,45760
367,2014-01-03,45760
368,2014-01-04,45760
369,2014-01-05,45760
370,2014-01-06,45760
371,2014-01-07,45760
372,2014-01-08,45790
373,2014-01-09,45780
374,2014-01-10,45770
375,2014-01-11,45760
376,2014-01-12,45760
377,2014-01-13,45760
378,2014-01-14,45780
379,2014-01-15,45780
380,2014-01-16,45770
381,2014-01-17,45770
382,2014-01-18,45770
383,2014-01-19,45770
384,2014-01-20,45760
385,2014-01-21,45760
386,2014-01-22,45760
387,2014-01-23,45760
388,2014-01-24,45770
389,2014-01-25,45770
390,2014-01-26,45760
391,2014-01-27,45790
392,2014-01-28,45790
393,2014-01-29,45800
394,2014-01-30,45800
395,2014-01-31,45800
396,2014-02-01,45800
397,2014-02-02,45800
398,2014-02-03,45810
399,2014-02-04,45810
400,2014-02-05,45820
401,2014-02-06,45830
402,2014-02-07,45840
403,2014-02-08,45840
404,2014-02-09,45840
405,2014-02-10,45840
406,2014-02-11,45820
407,2014-02-12,45800
408,2014-02-13,45750
409,2014-02-14,45760
410,2014-02-15,45760
