,datetime,149161_62614_32400
0,2013-01-01,1753.26
1,2013-01-02,1753.14
2,2013-01-03,1753.04
3,2013-01-04,1752.98
4,2013-01-05,1752.97
5,2013-01-06,1752.99
6,2013-01-07,1753.65
7,2013-01-08,1754.6
8,2013-01-09,1755.83
9,2013-01-10,1756.04
10,2013-01-11,1755.97
11,2013-01-12,1755.77
12,2013-01-13,1755.54
13,2013-01-14,1755.22
14,2013-01-15,1754.96
15,2013-01-16,1754.76
16,2013-01-17,1754.64
17,2013-01-18,1754.58
18,2013-01-19,1754.56
19,2013-01-20,1754.52
20,2013-01-21,1754.5
21,2013-01-22,1754.51
22,2013-01-23,1754.58
23,2013-01-24,1754.63
24,2013-01-25,1754.9
25,2013-01-26,1755.14
26,2013-01-27,1755.3
27,2013-01-28,1755.43
28,2013-01-29,1755.56
29,2013-01-30,1755.87
30,2013-01-31,1756.26
31,2013-02-01,1756.52
32,2013-02-02,1756.52
33,2013-02-03,1756.54
34,2013-02-04,1756.54
35,2013-02-05,1756.61
36,2013-02-06,1756.69
37,2013-02-07,1756.63
38,2013-02-08,1756.47
39,2013-02-09,1756.27
40,2013-02-10,1756.05
41,2013-02-11,1755.78
42,2013-02-12,1755.54
43,2013-02-13,1755.65
44,2013-02-14,1755.59
45,2013-02-15,1755.44
46,2013-02-16,1755.43
47,2013-02-17,1755.35
48,2013-02-18,1755.18
49,2013-02-19,1754.95
50,2013-02-20,1754.92
51,2013-02-21,1754.96
52,2013-02-22,1755.17
53,2013-02-23,1755.22
54,2013-02-24,1755.25
55,2013-02-25,1755.28
56,2013-02-26,1755.28
57,2013-02-27,1755.22
58,2013-02-28,1755.43
59,2013-03-01,1756.48
60,2013-03-02,1756.74
61,2013-03-03,1756.78
62,2013-03-04,1756.6
63,2013-03-05,1756.26
64,2013-03-06,1755.93
65,2013-03-07,1755.62
66,2013-03-08,1755.24
67,2013-03-09,1754.93
68,2013-03-10,1754.77
69,2013-03-11,1754.59
70,2013-03-12,1755.66
71,2013-03-13,1757.9
72,2013-03-14,1758.61
73,2013-03-15,1759.09
74,2013-03-16,1759.59
75,2013-03-17,1759.64
76,2013-03-18,1759.46
77,2013-03-19,1759.18
78,2013-03-20,1759.14
79,2013-03-21,1758.91
80,2013-03-22,1758.61
81,2013-03-23,1758.36
82,2013-03-24,1758.0
83,2013-03-25,1757.65
84,2013-03-26,1757.44
85,2013-03-27,1757.25
86,2013-03-28,1757.3
87,2013-03-29,1757.37
88,2013-03-30,1757.49
89,2013-03-31,1757.67
90,2013-04-01,1757.94
91,2013-04-02,1758.2
92,2013-04-03,1758.32
93,2013-04-04,1758.48
94,2013-04-05,1760.36
95,2013-04-06,1761.41
96,2013-04-07,1761.79
97,2013-04-08,1761.79
98,2013-04-09,1761.55
99,2013-04-10,1762.25
100,2013-04-11,1762.48
101,2013-04-12,1762.3
102,2013-04-13,1762.32
103,2013-04-14,1762.2
104,2013-04-15,1761.95
105,2013-04-16,1761.45
106,2013-04-17,1760.92
107,2013-04-18,1760.9050000000002
108,2013-04-19,1760.89
109,2013-04-20,1761.79
110,2013-04-21,1762.69
111,2013-04-22,1762.53
112,2013-04-23,1762.22
113,2013-04-24,1761.68
114,2013-04-25,1761.06
115,2013-04-26,1760.54
116,2013-04-27,1760.19
117,2013-04-28,1760.29
118,2013-04-29,1760.34
119,2013-04-30,1759.96
120,2013-05-01,1759.4
121,2013-05-02,1758.91
122,2013-05-03,1758.62
123,2013-05-04,1758.51
124,2013-05-05,1758.52
125,2013-05-06,1758.75
126,2013-05-07,1759.1
127,2013-05-08,1759.41
128,2013-05-09,1759.68
129,2013-05-10,1760.02
130,2013-05-11,1760.36
131,2013-05-12,1760.85
132,2013-05-13,1761.61
133,2013-05-14,1761.5749999999998
134,2013-05-15,1761.54
135,2013-05-16,1761.5
136,2013-05-17,1761.62
137,2013-05-18,1761.74
138,2013-05-19,1761.79
139,2013-05-20,1761.8
140,2013-05-21,1761.84
141,2013-05-22,1761.99
142,2013-05-23,1762.04
143,2013-05-24,1762.04
144,2013-05-25,1762.0
145,2013-05-26,1762.01
146,2013-05-27,1762.14
147,2013-05-28,1762.46
148,2013-05-29,1762.71
149,2013-05-30,1763.1
150,2013-05-31,1763.25
151,2013-06-01,1763.31
152,2013-06-02,1763.36
153,2013-06-03,1763.38
154,2013-06-04,1763.35
155,2013-06-05,1763.35
156,2013-06-06,1763.33
157,2013-06-07,1763.33
158,2013-06-08,1763.27
159,2013-06-09,1763.2
160,2013-06-10,1763.08
161,2013-06-11,1762.99
162,2013-06-12,1762.83
163,2013-06-13,1762.73
164,2013-06-14,1762.57
165,2013-06-15,1762.42
166,2013-06-16,1762.3
167,2013-06-17,1762.17
168,2013-06-18,1762.05
169,2013-06-19,1761.94
170,2013-06-20,1762.43
171,2013-06-21,1762.69
172,2013-06-22,1762.71
173,2013-06-23,1762.67
174,2013-06-24,1762.74
175,2013-06-25,1762.76
176,2013-06-26,1762.8
177,2013-06-27,1762.78
178,2013-06-28,1762.79
179,2013-06-29,1762.74
180,2013-06-30,1762.63
181,2013-07-01,1762.49
182,2013-07-02,1762.34
183,2013-07-03,1762.16
184,2013-07-04,1761.96
185,2013-07-05,1761.79
186,2013-07-06,1761.61
187,2013-07-07,1761.42
188,2013-07-08,1761.17
189,2013-07-09,1760.93
190,2013-07-10,1760.68
191,2013-07-11,1760.44
192,2013-07-12,1760.17
193,2013-07-13,1759.93
194,2013-07-14,1759.65
195,2013-07-15,1759.36
196,2013-07-16,1759.05
197,2013-07-17,1758.8
198,2013-07-18,1758.55
199,2013-07-19,1758.28
200,2013-07-20,1757.99
201,2013-07-21,1757.7
202,2013-07-22,1757.45
203,2013-07-23,1757.16
204,2013-07-24,1756.86
205,2013-07-25,1756.55
206,2013-07-26,1756.21
207,2013-07-27,1755.84
208,2013-07-28,1755.52
209,2013-07-29,1755.23
210,2013-07-30,1754.94
211,2013-07-31,1754.63
212,2013-08-01,1754.37
213,2013-08-02,1754.14
214,2013-08-03,1753.89
215,2013-08-04,1753.65
216,2013-08-05,1753.36
217,2013-08-06,1753.05
218,2013-08-07,1752.71
219,2013-08-08,1752.39
220,2013-08-09,1752.06
221,2013-08-10,1751.78
222,2013-08-11,1751.54
223,2013-08-12,1751.25
224,2013-08-13,1750.91
225,2013-08-14,1750.64
226,2013-08-15,1750.36
227,2013-08-16,1750.1
228,2013-08-17,1749.81
229,2013-08-18,1749.5
230,2013-08-19,1749.16
231,2013-08-20,1748.84
232,2013-08-21,1748.53
233,2013-08-22,1748.18
234,2013-08-23,1747.84
235,2013-08-24,1747.52
236,2013-08-25,1747.25
237,2013-08-26,1747.01
238,2013-08-27,1746.68
239,2013-08-28,1746.47
240,2013-08-29,1746.46
241,2013-08-30,1746.49
242,2013-08-31,1746.26
243,2013-09-01,1746.02
244,2013-09-02,1745.76
245,2013-09-03,1745.51
246,2013-09-04,1745.24
247,2013-09-05,1745.03
248,2013-09-06,1745.06
249,2013-09-07,1744.91
250,2013-09-08,1744.72
251,2013-09-09,1744.45
252,2013-09-10,1744.18
253,2013-09-11,1743.9099999999999
254,2013-09-12,1743.6399999999999
255,2013-09-13,1743.37
256,2013-09-14,1743.07
257,2013-09-15,1742.78
258,2013-09-16,1742.51
259,2013-09-17,1742.25
260,2013-09-18,1742.07
261,2013-09-19,1741.85
262,2013-09-20,1741.57
263,2013-09-21,1741.31
264,2013-09-22,1741.24
265,2013-09-23,1741.51
266,2013-09-24,1741.5
267,2013-09-25,1741.38
268,2013-09-26,1741.63
269,2013-09-27,1741.35
270,2013-09-28,1740.48
271,2013-09-29,1739.18
272,2013-09-30,1738.38
273,2013-10-01,1738.37
274,2013-10-02,1738.08
275,2013-10-03,1738.0
276,2013-10-04,1738.61
277,2013-10-05,1739.53
278,2013-10-06,1740.97
279,2013-10-07,1739.3
280,2013-10-08,1738.67
281,2013-10-09,1738.28
282,2013-10-10,1738.77
283,2013-10-11,1738.74
284,2013-10-12,1738.77
285,2013-10-13,1739.14
286,2013-10-14,1739.66
287,2013-10-15,1740.04
288,2013-10-16,1740.01
289,2013-10-17,1741.21
290,2013-10-18,1742.24
291,2013-10-19,1742.49
292,2013-10-20,1742.6
293,2013-10-21,1743.03
294,2013-10-22,1743.84
295,2013-10-23,1744.11
296,2013-10-24,1743.96
297,2013-10-25,1743.82
298,2013-10-26,1743.57
299,2013-10-27,1743.35
300,2013-10-28,1743.13
301,2013-10-29,1742.99
302,2013-10-30,1742.78
303,2013-10-31,1742.61
304,2013-11-01,1742.39
305,2013-11-02,1742.75
306,2013-11-03,1742.88
307,2013-11-04,1742.79
308,2013-11-05,1743.16
309,2013-11-06,1743.3
310,2013-11-07,1744.62
311,2013-11-08,1745.88
312,2013-11-09,1746.13
313,2013-11-10,1746.19
314,2013-11-11,1746.26
315,2013-11-12,1746.49
316,2013-11-13,1746.65
317,2013-11-14,1746.7
318,2013-11-15,1747.06
319,2013-11-16,1747.56
320,2013-11-17,1747.94
321,2013-11-18,1749.54
322,2013-11-19,1751.52
323,2013-11-20,1751.88
324,2013-11-21,1752.0
325,2013-11-22,1751.97
326,2013-11-23,1752.01
327,2013-11-24,1751.96
328,2013-11-25,1751.96
329,2013-11-26,1751.9
330,2013-11-27,1751.85
331,2013-11-28,1751.79
332,2013-11-29,1751.72
333,2013-11-30,1751.64
334,2013-12-01,1752.95
335,2013-12-02,1753.42
336,2013-12-03,1753.47
337,2013-12-04,1753.49
338,2013-12-05,1753.4
339,2013-12-06,1753.28
340,2013-12-07,1753.28
341,2013-12-08,1753.22
342,2013-12-09,1753.14
343,2013-12-10,1753.04
344,2013-12-11,1752.86
345,2013-12-12,1752.82
346,2013-12-13,1753.12
347,2013-12-14,1753.32
348,2013-12-15,1753.69
349,2013-12-16,1754.02
350,2013-12-17,1754.2
351,2013-12-18,1754.28
352,2013-12-19,1754.31
353,2013-12-20,1754.41
354,2013-12-21,1754.67
355,2013-12-22,1755.34
356,2013-12-23,1757.32
357,2013-12-24,1757.54
358,2013-12-25,1757.42
359,2013-12-26,1757.24
360,2013-12-27,1757.09
361,2013-12-28,1756.91
362,2013-12-29,1756.68
363,2013-12-30,1756.45
364,2013-12-31,1756.14
365,2014-01-01,1755.86
366,2014-01-02,1755.73
367,2014-01-03,1755.71
368,2014-01-04,1755.43
369,2014-01-05,1755.12
370,2014-01-06,1754.9
371,2014-01-07,1754.7
372,2014-01-08,1754.9
373,2014-01-09,1755.04
374,2014-01-10,1755.28
375,2014-01-11,1756.48
376,2014-01-12,1757.92
377,2014-01-13,1759.41
378,2014-01-14,1759.52
379,2014-01-15,1759.16
380,2014-01-16,1758.66
381,2014-01-17,1758.12
382,2014-01-18,1757.52
383,2014-01-19,1756.95
384,2014-01-20,1756.29
385,2014-01-21,1755.82
386,2014-01-22,1755.48
387,2014-01-23,1755.2
388,2014-01-24,1755.13
389,2014-01-25,1755.06
390,2014-01-26,1754.97
391,2014-01-27,1754.86
392,2014-01-28,1754.8
393,2014-01-29,1755.44
394,2014-01-30,1755.88
395,2014-01-31,1756.05
396,2014-02-01,1756.1
397,2014-02-02,1756.11
398,2014-02-03,1756.05
399,2014-02-04,1755.93
400,2014-02-05,1755.84
401,2014-02-06,1755.64
402,2014-02-07,1755.6
403,2014-02-08,1755.51
404,2014-02-09,1755.33
405,2014-02-10,1755.38
406,2014-02-11,1755.5
407,2014-02-12,1756.25
408,2014-02-13,1756.6
409,2014-02-14,1756.87
410,2014-02-15,1757.23
411,2014-02-16,1757.5
412,2014-02-17,1757.87
413,2014-02-18,1758.19
