,datetime,149091_62614_32400
0,2013-01-01,1417.6
1,2013-01-02,1417.2
2,2013-01-03,1416.8
3,2013-01-04,1416.7
4,2013-01-05,1416.6
5,2013-01-06,1416.5
6,2013-01-07,1417.9
7,2013-01-08,1420.0
8,2013-01-09,1425.5
9,2013-01-10,1426.6
10,2013-01-11,1427.0
11,2013-01-12,1427.0
12,2013-01-13,1427.0
13,2013-01-14,1426.4
14,2013-01-15,1426.1
15,2013-01-16,1425.6
16,2013-01-17,1425.2
17,2013-01-18,1424.3
18,2013-01-19,1423.2
19,2013-01-20,1422.0
20,2013-01-21,1421.0
21,2013-01-22,1420.0
22,2013-01-23,1419.6
23,2013-01-24,1419.2
24,2013-01-25,1419.2
25,2013-01-26,1419.2
26,2013-01-27,1418.9
27,2013-01-28,1418.6
28,2013-01-29,1418.6
29,2013-01-30,1418.8
30,2013-01-31,1419.4
31,2013-02-01,1419.9
32,2013-02-02,1420.1
33,2013-02-03,1420.5
34,2013-02-04,1420.8
35,2013-02-05,1421.3
36,2013-02-06,1421.8
37,2013-02-07,1422.1
38,2013-02-08,1422.3
39,2013-02-09,1422.3
40,2013-02-10,1422.0
41,2013-02-11,1421.6
42,2013-02-12,1421.2
43,2013-02-13,1421.2
44,2013-02-14,1421.1
45,2013-02-15,1420.8
46,2013-02-16,1421.1
47,2013-02-17,1421.2
48,2013-02-18,1420.7
49,2013-02-19,1420.4
50,2013-02-20,1420.1
51,2013-02-21,1420.3
52,2013-02-22,1420.5
53,2013-02-23,1420.8
54,2013-02-24,1420.6
55,2013-02-25,1420.8
56,2013-02-26,1420.4
57,2013-02-27,1419.8
58,2013-02-28,1419.6
59,2013-03-01,1421.4
60,2013-03-02,1422.9
61,2013-03-03,1423.6
62,2013-03-04,1423.3
63,2013-03-05,1422.5
64,2013-03-06,1421.6
65,2013-03-07,1420.7
66,2013-03-08,1419.8
67,2013-03-09,1419.3
68,2013-03-10,1418.8
69,2013-03-11,1418.1
70,2013-03-12,1419.3
71,2013-03-13,1423.5
72,2013-03-14,1426.0
73,2013-03-15,1428.3
74,2013-03-16,1430.4
75,2013-03-17,1431.6
76,2013-03-18,1431.6
77,2013-03-19,1431.2
78,2013-03-20,1431.4
79,2013-03-21,1431.3
80,2013-03-22,1430.7
81,2013-03-23,1430.0
82,2013-03-24,1429.0
83,2013-03-25,1428.0
84,2013-03-26,1426.8
85,2013-03-27,1425.5
86,2013-03-28,1424.4
87,2013-03-29,1423.8
88,2013-03-30,1423.8
89,2013-03-31,1424.2
90,2013-04-01,1424.2
91,2013-04-02,1424.1
92,2013-04-03,1423.6
93,2013-04-04,1423.6
94,2013-04-05,1428.1
95,2013-04-06,1430.8
96,2013-04-07,1431.8
97,2013-04-08,1431.9
98,2013-04-09,1431.3
99,2013-04-10,1432.4
100,2013-04-11,1433.1
101,2013-04-12,1433.1
102,2013-04-13,1432.8
103,2013-04-14,1432.1
104,2013-04-15,1431.4
105,2013-04-16,1430.5
106,2013-04-17,1429.6
107,2013-04-18,1428.5
108,2013-04-19,1428.7
109,2013-04-20,1429.6
110,2013-04-21,1430.0
111,2013-04-22,1429.6
112,2013-04-23,1429.0
113,2013-04-24,1428.3
114,2013-04-25,1427.7
115,2013-04-26,1427.2
116,2013-04-27,1427.1
117,2013-04-28,1427.9
118,2013-04-29,1429.2
119,2013-04-30,1429.7
120,2013-05-01,1429.8
121,2013-05-02,1429.9
122,2013-05-03,1430.0
123,2013-05-04,1430.7
124,2013-05-05,1431.7
125,2013-05-06,1433.0
126,2013-05-07,1434.3
127,2013-05-08,1435.7
128,2013-05-09,1437.0
129,2013-05-10,1438.0
130,2013-05-11,1439.2
131,2013-05-12,1440.4
132,2013-05-13,1442.9
133,2013-05-14,1443.6
134,2013-05-15,1443.4
135,2013-05-16,1443.2
136,2013-05-17,1443.0
137,2013-05-18,1442.6
138,2013-05-19,1442.1
139,2013-05-20,1441.5
140,2013-05-21,1441.1
141,2013-05-22,1440.5
142,2013-05-23,1439.7
143,2013-05-24,1438.8
144,2013-05-25,1438.0
145,2013-05-26,1437.0
146,2013-05-27,1436.4
147,2013-05-28,1436.1
148,2013-05-29,1435.9
149,2013-05-30,1436.2
150,2013-05-31,1436.1
151,2013-06-01,1436.1
152,2013-06-02,1436.3
153,2013-06-03,1436.4
154,2013-06-04,1436.1
155,2013-06-05,1435.7
156,2013-06-06,1435.3
157,2013-06-07,1435.0
158,2013-06-08,1434.9
159,2013-06-09,1434.9
160,2013-06-10,1434.8
161,2013-06-11,1434.6
162,2013-06-12,1434.6
163,2013-06-13,1434.6
164,2013-06-14,1434.6
165,2013-06-15,1434.4
166,2013-06-16,1434.6
167,2013-06-17,1434.8
168,2013-06-18,1435.0
169,2013-06-19,1435.2
170,2013-06-20,1437.0
171,2013-06-21,1437.9
172,2013-06-22,1438.5
173,2013-06-23,1439.1
174,2013-06-24,1439.9
175,2013-06-25,1440.6
176,2013-06-26,1441.4
177,2013-06-27,1442.0
178,2013-06-28,1442.4
179,2013-06-29,1442.8
180,2013-06-30,1443.4
181,2013-07-01,1443.5
182,2013-07-02,1443.4
183,2013-07-03,1443.2
184,2013-07-04,1442.9
185,2013-07-05,1442.6
186,2013-07-06,1442.3
