,datetime,113129_72275_00003
0,2013-01-01,4139.93
1,2013-01-02,4139.94
2,2013-01-03,4139.95
3,2013-01-04,4139.97
4,2013-01-05,4139.98
5,2013-01-06,4140.01
6,2013-01-07,4140.03
7,2013-01-08,4140.05
8,2013-01-09,4140.08
9,2013-01-10,4140.1
10,2013-01-11,4140.11
11,2013-01-12,4140.13
12,2013-01-13,4140.14
13,2013-01-14,4140.15
14,2013-01-15,4140.14
15,2013-01-16,4140.14
16,2013-01-17,4140.15
17,2013-01-18,4140.16
18,2013-01-19,4140.17
19,2013-01-20,4140.18
20,2013-01-21,4140.19
21,2013-01-22,4140.2
22,2013-01-23,4140.22
23,2013-01-24,4140.25
24,2013-01-25,4140.29
25,2013-01-26,4140.33
26,2013-01-27,4140.36
27,2013-01-28,4140.4
28,2013-01-29,4140.42
29,2013-01-30,4140.46
30,2013-01-31,4140.5
31,2013-02-01,4140.53
32,2013-02-02,4140.55
33,2013-02-03,4140.58
34,2013-02-04,4140.61
35,2013-02-05,4140.64
36,2013-02-06,4140.67
37,2013-02-07,4140.7
38,2013-02-08,4140.72
39,2013-02-09,4140.75
40,2013-02-10,4140.78
41,2013-02-11,4140.81
42,2013-02-12,4140.83
43,2013-02-13,4140.85
44,2013-02-14,4140.88
45,2013-02-15,4140.91
46,2013-02-16,4140.94
47,2013-02-17,4140.96
48,2013-02-18,4140.99
49,2013-02-19,4141.03
50,2013-02-20,4141.06
51,2013-02-21,4141.09
52,2013-02-22,4141.13
53,2013-02-23,4141.16
54,2013-02-24,4141.2
55,2013-02-25,4141.23
56,2013-02-26,4141.26
57,2013-02-27,4141.29
58,2013-02-28,4141.32
59,2013-03-01,4141.34
60,2013-03-02,4141.36
61,2013-03-03,4141.38
62,2013-03-04,4141.4
63,2013-03-05,4141.41
64,2013-03-06,4141.45
65,2013-03-07,4141.46
66,2013-03-08,4141.46
67,2013-03-09,4141.49
68,2013-03-10,4141.51
69,2013-03-11,4141.54
70,2013-03-12,4141.56
71,2013-03-13,4141.58
72,2013-03-14,4141.59
73,2013-03-15,4141.6
74,2013-03-16,4141.56
75,2013-03-17,4141.54
76,2013-03-18,4141.67
77,2013-03-19,4141.72
78,2013-03-20,4141.67
79,2013-03-21,4141.72
80,2013-03-22,4141.74
81,2013-03-23,4141.8
82,2013-03-24,4141.83
83,2013-03-25,4141.85
84,2013-03-26,4141.87
85,2013-03-27,4141.92
86,2013-03-28,4141.92
87,2013-03-29,4141.94
88,2013-03-30,4141.94
89,2013-03-31,4141.92
90,2013-04-01,4141.99
91,2013-04-02,4142.05
92,2013-04-03,4142.06
93,2013-04-04,4142.11
94,2013-04-05,4142.12
95,2013-04-06,4142.14
96,2013-04-07,4142.14
97,2013-04-08,4142.13
98,2013-04-09,4142.24
99,2013-04-10,4142.26
100,2013-04-11,4142.3
101,2013-04-12,4142.31
102,2013-04-13,4142.25
103,2013-04-14,4142.34
104,2013-04-15,4142.36
105,2013-04-16,4142.37
106,2013-04-17,4142.38
107,2013-04-18,4142.38
108,2013-04-19,4142.33
109,2013-04-20,4142.38
110,2013-04-21,4142.39
111,2013-04-22,4142.42
112,2013-04-23,4142.42
113,2013-04-24,4142.41
114,2013-04-25,4142.4
115,2013-04-26,4142.41
116,2013-04-27,4142.4
117,2013-04-28,4142.36
118,2013-04-29,4142.32
119,2013-04-30,4142.34
120,2013-05-01,4142.36
121,2013-05-02,4142.33
122,2013-05-03,4142.28
