,datetime,113131_72275_00003,113132_72275_32400
0,2013-01-01,4139.9,4139.91
1,2013-01-02,4139.91,4139.92
2,2013-01-03,4139.93,4139.92
3,2013-01-04,4139.94,4139.95
4,2013-01-05,4139.96,4139.96
5,2013-01-06,4139.98,4139.97
6,2013-01-07,4139.99,4139.99
7,2013-01-08,4140.01,4140.02
8,2013-01-09,4140.04,4140.06
9,2013-01-10,4140.06,4140.06
10,2013-01-11,4140.08,4140.09
11,2013-01-12,4140.1,4140.11
12,2013-01-13,4140.11,4140.11
13,2013-01-14,4140.11,4140.12
14,2013-01-15,4140.1,4140.1
15,2013-01-16,4140.1,4140.11
16,2013-01-17,4140.1,4140.11
17,2013-01-18,4140.11,4140.12
18,2013-01-19,4140.12,4140.13
19,2013-01-20,4140.13,4140.14
20,2013-01-21,4140.14,4140.14
21,2013-01-22,4140.15,4140.16
22,2013-01-23,4140.16,4140.18
23,2013-01-24,4140.2,4140.22
24,2013-01-25,4140.23,4140.26
25,2013-01-26,4140.29,4140.3
26,2013-01-27,4140.31,4140.33
27,2013-01-28,4140.34,4140.36
28,2013-01-29,4140.38,4140.41
29,2013-01-30,4140.42,4140.44
30,2013-01-31,4140.46,4140.47
31,2013-02-01,4140.49,4140.49
32,2013-02-02,4140.52,4140.52
33,2013-02-03,4140.54,4140.55
34,2013-02-04,4140.57,4140.59
35,2013-02-05,4140.6,4140.61
36,2013-02-06,4140.62,4140.62
37,2013-02-07,4140.66,4140.68
38,2013-02-08,4140.7,4140.71
39,2013-02-09,4140.72,4140.73
40,2013-02-10,4140.75,4140.75
41,2013-02-11,4140.78,4140.79
42,2013-02-12,4140.8,4140.81
43,2013-02-13,4140.82,4140.85
44,2013-02-14,4140.84,4140.85
45,2013-02-15,4140.87,4140.88
46,2013-02-16,4140.9,4140.9
47,2013-02-17,4140.92,4140.94
48,2013-02-18,4140.95,4140.96
49,2013-02-19,4140.99,4141.0
50,2013-02-20,4141.02,4141.04
51,2013-02-21,4141.05,4141.07
52,2013-02-22,4141.07,4141.11
53,2013-02-23,4141.12,4141.15
54,2013-02-24,4141.15,4141.16
55,2013-02-25,4141.18,4141.19
56,2013-02-26,4141.21,4141.23
57,2013-02-27,4141.24,4141.25
58,2013-02-28,4141.26,4141.29
59,2013-03-01,4141.29,4141.3
60,2013-03-02,4141.31,4141.31
61,2013-03-03,4141.33,4141.34
62,2013-03-04,4141.35,4141.35
63,2013-03-05,4141.34,4141.29
64,2013-03-06,4141.35,4141.43
65,2013-03-07,4141.44,4141.51
66,2013-03-08,4141.52,4141.56
67,2013-03-09,4141.5,4141.46
68,2013-03-10,4141.5,4141.49
69,2013-03-11,4141.52,4141.56
70,2013-03-12,4141.54,4141.51
71,2013-03-13,4141.55,4141.56
72,2013-03-14,4141.57,4141.55
73,2013-03-15,4141.61,4141.62
74,2013-03-16,4141.66,4141.71
75,2013-03-17,4141.74,4141.7
76,2013-03-18,4141.66,4141.71
77,2013-03-19,4141.59,4141.45
78,2013-03-20,4141.7,4141.75
79,2013-03-21,4141.84,4141.84
80,2013-03-22,4141.9,4141.81
81,2013-03-23,4141.81,4141.83
82,2013-03-24,4141.83,4141.85
83,2013-03-25,4141.84,4141.81
84,2013-03-26,4141.85,4141.87
85,2013-03-27,4141.82,4141.84
86,2013-03-28,4141.87,4141.87
87,2013-03-29,4141.92,4142.02
88,2013-03-30,4141.95,4141.92
89,2013-03-31,4141.94,4141.92
90,2013-04-01,4142.0,4142.02
91,2013-04-02,4142.02,4142.05
92,2013-04-03,4142.04,4142.02
93,2013-04-04,4141.89,4141.96
94,2013-04-05,4142.0,4141.95
95,2013-04-06,4142.03,4142.02
96,2013-04-07,4142.2,4142.82
97,2013-04-08,4142.52,4142.29
98,2013-04-09,4142.32,4142.31
99,2013-04-10,4142.34,4142.34
100,2013-04-11,4142.36,4142.45
101,2013-04-12,4142.37,4142.45
102,2013-04-13,4142.5,4142.41
103,2013-04-14,4142.43,4142.5
104,2013-04-15,4142.53,4142.68
105,2013-04-16,4142.52,4142.4
106,2013-04-17,4142.46,4142.42
107,2013-04-18,4142.41,4142.41
108,2013-04-19,4142.46,4142.52
109,2013-04-20,4142.42,4142.44
110,2013-04-21,4142.46,4142.46
111,2013-04-22,4142.47,4142.49
112,2013-04-23,4142.48,4142.63
113,2013-04-24,4142.44,4142.51
114,2013-04-25,4142.43,4142.41
115,2013-04-26,4142.43,4142.44
116,2013-04-27,4142.44,4142.47
117,2013-04-28,4142.46,4142.43
118,2013-04-29,4142.5,4142.46
119,2013-04-30,4142.5,4142.46
120,2013-05-01,4142.36,4142.24
121,2013-05-02,4142.34,4142.41
122,2013-05-03,4142.41,4142.4
123,2013-05-04,4142.32,4142.27
124,2013-05-05,4142.26,4142.14
125,2013-05-06,4142.22,4142.35
126,2013-05-07,4142.24,4142.31
127,2013-05-08,4142.23,4142.31
128,2013-05-09,4142.26,4142.19
129,2013-05-10,4142.25,4142.27
130,2013-05-11,4142.21,4142.24
131,2013-05-12,4142.2,4142.24
132,2013-05-13,4142.22,4142.23
133,2013-05-14,4142.27,4142.22
134,2013-05-15,4142.25,4142.14
135,2013-05-16,4142.18,4142.22
136,2013-05-17,4142.21,4142.16
137,2013-05-18,4142.17,4142.15
138,2013-05-19,4142.16,4142.23
139,2013-05-20,4142.12,4142.21
140,2013-05-21,4142.15,4142.09
141,2013-05-22,4142.11,4142.13
142,2013-05-23,4142.1,4142.17
143,2013-05-24,4142.08,4142.12
144,2013-05-25,4142.04,4141.95
145,2013-05-26,4142.04,4141.92
146,2013-05-27,4141.9,4142.04
147,2013-05-28,4142.02,4141.81
148,2013-05-29,4142.07,4142.02
149,2013-05-30,4142.07,4142.14
150,2013-05-31,4142.03,4142.15
151,2013-06-01,4142.04,4142.06
152,2013-06-02,4142.02,4142.1
153,2013-06-03,4142.01,4141.95
154,2013-06-04,4141.95,4141.94
155,2013-06-05,4141.92,4141.9
156,2013-06-06,4141.88,4141.87
157,2013-06-07,4141.88,4141.89
158,2013-06-08,4141.82,4141.86
159,2013-06-09,4141.82,4141.81
160,2013-06-10,4141.82,4141.72
161,2013-06-11,4141.77,4141.83
162,2013-06-12,4141.76,4141.69
163,2013-06-13,4141.66,4141.57
