,datetime,113134_62615_00003,113135_72275_00003
0,2013-01-01,4141.86,4139.86
1,2013-01-02,4141.88,4139.87
2,2013-01-03,4141.89,4139.88
3,2013-01-04,4141.91,4139.9
4,2013-01-05,4141.92,4139.92
5,2013-01-06,4141.95,4139.94
6,2013-01-07,4141.97,4139.96
7,2013-01-08,4142.0,4139.98
8,2013-01-09,4142.02,4140.01
9,2013-01-10,4142.04,4140.03
10,2013-01-11,4142.06,4140.05
11,2013-01-12,4142.07,4140.06
12,2013-01-13,4142.08,4140.07
13,2013-01-14,4142.09,4140.08
14,2013-01-15,4142.08,4140.08
15,2013-01-16,4142.09,4140.08
16,2013-01-17,4142.1,4140.08
17,2013-01-18,4142.11,4140.1
18,2013-01-19,4142.12,4140.11
19,2013-01-20,4142.12,4140.12
20,2013-01-21,4142.13,4140.12
21,2013-01-22,4142.14,4140.13
22,2013-01-23,4142.17,4140.16
23,2013-01-24,4142.21,4140.2
24,2013-01-25,4142.24,4140.23
25,2013-01-26,4142.29,4140.28
26,2013-01-27,4142.32,4140.3
27,2013-01-28,4142.34,4140.33
28,2013-01-29,4142.38,4140.37
29,2013-01-30,4142.41,4140.4
30,2013-01-31,4142.45,4140.44
31,2013-02-01,4142.48,4140.48
32,2013-02-02,4142.51,4140.5
33,2013-02-03,4142.54,4140.53
34,2013-02-04,4142.57,4140.56
35,2013-02-05,4142.6,4140.6
36,2013-02-06,4142.63,4140.62
37,2013-02-07,4142.66,4140.65
38,2013-02-08,4142.69,4140.68
39,2013-02-09,4142.72,4140.71
40,2013-02-10,4142.75,4140.74
41,2013-02-11,4142.78,4140.77
42,2013-02-12,4142.8,4140.79
43,2013-02-13,4142.82,4140.81
44,2013-02-14,4142.85,4140.84
45,2013-02-15,4142.88,4140.87
46,2013-02-16,4142.91,4140.9
47,2013-02-17,4142.94,4140.92
48,2013-02-18,4142.96,4140.95
49,2013-02-19,4143.0,4140.99
50,2013-02-20,4143.03,4141.02
51,2013-02-21,4143.06,4141.05
52,2013-02-22,4143.09,4141.08
53,2013-02-23,4143.13,4141.12
54,2013-02-24,4143.16,4141.15
55,2013-02-25,4143.2,4141.18
56,2013-02-26,4143.22,4141.21
57,2013-02-27,4143.25,4141.24
58,2013-02-28,4143.28,4141.27
59,2013-03-01,4143.3,4141.3
60,2013-03-02,4143.32,4141.31
61,2013-03-03,4143.34,4141.33
62,2013-03-04,4143.36,4141.35
63,2013-03-05,4143.37,4141.36
64,2013-03-06,4143.39,4141.38
65,2013-03-07,4143.43,4141.42
66,2013-03-08,4143.47,4141.46
67,2013-03-09,4143.48,4141.47
68,2013-03-10,4143.49,4141.48
69,2013-03-11,4143.51,4141.5
70,2013-03-12,4143.53,4141.52
71,2013-03-13,4143.55,4141.54
72,2013-03-14,4143.56,4141.56
73,2013-03-15,4143.59,4141.58
74,2013-03-16,4143.6,4141.59
75,2013-03-17,4143.63,4141.62
76,2013-03-18,4143.65,4141.64
77,2013-03-19,4143.65,4141.64
78,2013-03-20,4143.68,4141.67
79,2013-03-21,4143.76,4141.75
80,2013-03-22,4143.79,4141.78
81,2013-03-23,4143.78,4141.77
82,2013-03-24,4143.81,4141.8
83,2013-03-25,4143.83,4141.82
84,2013-03-26,4143.85,4141.84
85,2013-03-27,4143.86,4141.85
86,2013-03-28,4143.89,4141.88
87,2013-03-29,4143.91,4141.9
88,2013-03-30,4143.92,4141.92
89,2013-03-31,4143.92,4141.91
90,2013-04-01,4143.99,4141.98
91,2013-04-02,4144.02,4142.01
92,2013-04-03,4144.05,4142.04
93,2013-04-04,4144.02,4142.02
94,2013-04-05,4144.07,4142.06
95,2013-04-06,4144.11,4142.1
96,2013-04-07,4144.19,4142.18
97,2013-04-08,4144.3,4142.3
98,2013-04-09,4144.28,4142.27
99,2013-04-10,4144.3,4142.29
100,2013-04-11,4144.33,4142.32
101,2013-04-12,4144.35,4142.34
102,2013-04-13,4144.38,4142.38
103,2013-04-14,4144.38,4142.37
104,2013-04-15,4144.42,4142.42
105,2013-04-16,4144.43,4142.42
106,2013-04-17,4144.42,4142.41
107,2013-04-18,4144.4,4142.39
108,2013-04-19,4144.41,4142.4
109,2013-04-20,4144.41,4142.4
110,2013-04-21,4144.43,4142.42
111,2013-04-22,4144.45,4142.44
112,2013-04-23,4144.45,4142.44
113,2013-04-24,4144.44,4142.43
114,2013-04-25,4144.43,4142.42
115,2013-04-26,4144.43,4142.42
116,2013-04-27,4144.43,4142.42
117,2013-04-28,4144.42,4142.42
118,2013-04-29,4144.42,4142.42
119,2013-04-30,4144.42,4142.41
120,2013-05-01,4144.37,4142.36
121,2013-05-02,4144.35,4142.34
122,2013-05-03,4144.35,4142.34
123,2013-05-04,4144.32,4142.31
124,2013-05-05,4144.27,4142.26
125,2013-05-06,4144.24,4142.23
126,2013-05-07,4144.23,4142.22
127,2013-05-08,4144.24,4142.24
128,2013-05-09,4144.27,4142.26
129,2013-05-10,4144.26,4142.25
130,2013-05-11,4144.25,4142.24
131,2013-05-12,4144.23,4142.22
132,2013-05-13,4144.23,4142.22
133,2013-05-14,4144.23,4142.22
134,2013-05-15,4144.2,4142.19
135,2013-05-16,4144.17,4142.16
136,2013-05-17,4144.17,4142.16
137,2013-05-18,4144.14,4142.13
138,2013-05-19,4144.13,4142.12
139,2013-05-20,4144.12,4142.11
140,2013-05-21,4144.1,4142.09
141,2013-05-22,4144.08,4142.07
142,2013-05-23,4144.08,4142.06
143,2013-05-24,4144.05,4142.04
144,2013-05-25,4144.04,4142.03
145,2013-05-26,4144.02,4142.01
146,2013-05-27,4143.99,4141.98
147,2013-05-28,4144.04,4142.03
148,2013-05-29,4144.03,4142.02
149,2013-05-30,4144.04,4142.02
150,2013-05-31,4144.02,4142.01
151,2013-06-01,4144.02,4142.0
152,2013-06-02,4144.0,4141.99
153,2013-06-03,4143.98,4141.97
154,2013-06-04,4143.95,4141.94
155,2013-06-05,4143.92,4141.91
156,2013-06-06,4143.87,4141.86
157,2013-06-07,4143.85,4141.84
158,2013-06-08,4143.81,4141.8
159,2013-06-09,4143.78,4141.77
160,2013-06-10,4143.74,4141.73
161,2013-06-11,4143.66,4141.66
162,2013-06-12,4143.63,4141.62
163,2013-06-13,4143.57,4141.56
164,2013-06-14,4143.5,4141.49
165,2013-06-15,4143.47,4141.46
166,2013-06-16,4143.42,4141.41
167,2013-06-17,4143.37,4141.36
168,2013-06-18,4143.33,4141.32
169,2013-06-19,4143.29,4141.28
170,2013-06-20,4143.25,4141.24
