,datetime,150395_00054_32400,150395_00054_32400_cd,150396_62614_32400
0,2013-01-01,372600.0,,486.79
1,2013-01-02,372600.0,,486.91
2,2013-01-03,372600.0,,485.92
3,2013-01-04,372600.0,,485.72
4,2013-01-05,372600.0,,484.97
5,2013-01-06,372600.0,,484.24
6,2013-01-07,372600.0,,484.55
7,2013-01-08,372600.0,,485.33
8,2013-01-09,372600.0,,486.36
9,2013-01-10,372600.0,,486.27
10,2013-01-11,372600.0,,486.8
11,2013-01-12,372600.0,,485.19
12,2013-01-13,372600.0,,483.77
13,2013-01-14,372600.0,,482.97
14,2013-01-15,372600.0,,481.99
15,2013-01-16,372600.0,,480.96
16,2013-01-17,372600.0,,480.27
17,2013-01-18,372600.0,,479.03
18,2013-01-19,372600.0,,477.45
19,2013-01-20,372600.0,,475.76
20,2013-01-21,372600.0,,474.9
21,2013-01-22,372600.0,,473.44
22,2013-01-23,372600.0,,471.97
23,2013-01-24,372600.0,,472.62
24,2013-01-25,372600.0,,473.82
25,2013-01-26,372600.0,,475.04
26,2013-01-27,372600.0,,476.36
27,2013-01-28,372600.0,,478.14
28,2013-01-29,372600.0,,478.55
29,2013-01-30,372600.0,,480.72
30,2013-01-31,372600.0,,482.25
31,2013-02-01,372600.0,,483.38
32,2013-02-02,372600.0,,483.56
33,2013-02-03,372600.0,,485.14
34,2013-02-04,372600.0,,486.82
35,2013-02-05,372600.0,,487.19
36,2013-02-06,372600.0,,486.74
37,2013-02-07,372600.0,,486.82
38,2013-02-08,372600.0,,486.51
39,2013-02-09,372600.0,,485.17
40,2013-02-10,372600.0,,482.64
41,2013-02-11,372600.0,,479.95
42,2013-02-12,372600.0,,481.26
43,2013-02-13,372600.0,,482.95
44,2013-02-14,372600.0,,485.02
45,2013-02-15,372600.0,,487.34
46,2013-02-16,372600.0,,487.8
47,2013-02-17,372600.0,,487.3
48,2013-02-18,372600.0,,486.45
49,2013-02-19,372600.0,,486.93
50,2013-02-20,372600.0,,487.23
51,2013-02-21,372600.0,,487.4
52,2013-02-22,372600.0,,486.89
53,2013-02-23,372600.0,,485.3
54,2013-02-24,372600.0,,485.61
55,2013-02-25,372600.0,,486.18
56,2013-02-26,372600.0,,486.51
57,2013-02-27,372600.0,,485.69
58,2013-02-28,372600.0,,483.98
59,2013-03-01,372600.0,,483.46
60,2013-03-02,372600.0,,484.38
61,2013-03-03,372600.0,,484.07
62,2013-03-04,372600.0,,484.78
63,2013-03-05,372600.0,,484.4
64,2013-03-06,372600.0,,484.54
65,2013-03-07,372600.0,,483.13
66,2013-03-08,372600.0,,484.14
67,2013-03-09,372600.0,,484.83
68,2013-03-10,372600.0,,485.09
69,2013-03-11,372600.0,,484.6
70,2013-03-12,372600.0,,485.07
71,2013-03-13,372600.0,,485.17
72,2013-03-14,372600.0,,484.5
73,2013-03-15,372600.0,,483.71
74,2013-03-16,372600.0,,483.19
75,2013-03-17,372600.0,,483.42
76,2013-03-18,372600.0,,483.43
77,2013-03-19,372600.0,,483.83
78,2013-03-20,372600.0,,484.72
79,2013-03-21,372600.0,,486.38
80,2013-03-22,372600.0,,485.66
81,2013-03-23,372600.0,,485.31
82,2013-03-24,372600.0,,485.07
83,2013-03-25,372600.0,,484.93
84,2013-03-26,372600.0,,484.88
85,2013-03-27,372600.0,,485.79
86,2013-03-28,372600.0,,485.87
87,2013-03-29,372600.0,,485.4
88,2013-03-30,372600.0,,485.9
89,2013-03-31,372600.0,,486.5
90,2013-04-01,372600.0,,486.2
91,2013-04-02,372600.0,,486.24
92,2013-04-03,372600.0,,485.94
93,2013-04-04,372600.0,,485.06
94,2013-04-05,372600.0,,484.23
95,2013-04-06,372600.0,,483.9
96,2013-04-07,372600.0,,484.33
97,2013-04-08,372600.0,,485.03
98,2013-04-09,372600.0,,484.91
99,2013-04-10,372600.0,,485.89
100,2013-04-11,372600.0,,485.14
101,2013-04-12,372600.0,,485.43
102,2013-04-13,372600.0,,486.74
103,2013-04-14,372600.0,,487.9
104,2013-04-15,372600.0,,488.68
105,2013-04-16,372600.0,,487.45
106,2013-04-17,372600.0,,486.41
107,2013-04-18,372600.0,,486.17
108,2013-04-19,372600.0,,485.17
109,2013-04-20,372600.0,,485.35
110,2013-04-21,372600.0,,486.43
111,2013-04-22,372600.0,,488.47
112,2013-04-23,372600.0,,487.91
113,2013-04-24,372600.0,,486.95
114,2013-04-25,372600.0,,486.61
115,2013-04-26,372600.0,,486.27
116,2013-04-27,372600.0,,485.9
117,2013-04-28,372600.0,,486.1
118,2013-04-29,372600.0,,485.48
119,2013-04-30,372600.0,,485.8
120,2013-05-01,372600.0,,486.52
121,2013-05-02,372600.0,,486.39
122,2013-05-03,372600.0,,485.2
123,2013-05-04,372600.0,,484.17
124,2013-05-05,372600.0,,485.92
125,2013-05-06,372600.0,,486.68
126,2013-05-07,372600.0,,485.68
127,2013-05-08,372600.0,,484.96
128,2013-05-09,372600.0,,486.47
129,2013-05-10,372600.0,,486.55
130,2013-05-11,372600.0,,486.79
131,2013-05-12,372600.0,,487.88
132,2013-05-13,372600.0,,488.97
133,2013-05-14,372600.0,,488.83
134,2013-05-15,372600.0,,488.36
135,2013-05-16,372600.0,,488.0
136,2013-05-17,372600.0,,488.38
137,2013-05-18,372600.0,,488.17
138,2013-05-19,372600.0,,488.05
139,2013-05-20,372600.0,,488.9
140,2013-05-21,372600.0,,488.48
141,2013-05-22,372600.0,,488.76
142,2013-05-23,372600.0,,488.46
143,2013-05-24,372600.0,,488.03
144,2013-05-25,372600.0,,487.67
145,2013-05-26,372600.0,,487.53
146,2013-05-27,372600.0,,488.35
147,2013-05-28,372600.0,,488.92
148,2013-05-29,372600.0,,489.0
149,2013-05-30,372600.0,,488.99
150,2013-05-31,372600.0,,489.31
151,2013-06-01,372600.0,,487.44
152,2013-06-02,372600.0,,486.74
153,2013-06-03,372600.0,,485.8
154,2013-06-04,372600.0,,486.28
155,2013-06-05,372600.0,,486.16
156,2013-06-06,372600.0,,485.49
157,2013-06-07,372600.0,,485.8
158,2013-06-08,372600.0,,486.17
159,2013-06-09,372600.0,,486.0266666666667
160,2013-06-10,372600.0,,485.8833333333333
161,2013-06-11,372600.0,,485.74
162,2013-06-12,372600.0,,486.98
163,2013-06-13,372600.0,,486.69
164,2013-06-14,372600.0,,487.24
165,2013-06-15,372600.0,,487.56
166,2013-06-16,372600.0,,487.39
167,2013-06-17,372600.0,,487.66
168,2013-06-18,372600.0,,487.96
169,2013-06-19,372600.0,,488.15
170,2013-06-20,372600.0,,487.31
171,2013-06-21,372600.0,,486.6
172,2013-06-22,372600.0,,486.52
173,2013-06-23,372600.0,,486.96
174,2013-06-24,372600.0,,487.45
175,2013-06-25,372600.0,,487.39
176,2013-06-26,372600.0,,486.92
177,2013-06-27,372600.0,,487.06
178,2013-06-28,372600.0,,487.06
179,2013-06-29,372600.0,,487.32
180,2013-06-30,372600.0,,487.51
181,2013-07-01,372600.0,,487.48
182,2013-07-02,372600.0,,487.89
183,2013-07-03,372600.0,,488.08
184,2013-07-04,372600.0,,487.88
185,2013-07-05,372600.0,,487.7
186,2013-07-06,372600.0,,486.97
187,2013-07-07,372600.0,,486.37
188,2013-07-08,372600.0,,485.63
189,2013-07-09,372600.0,,485.01
190,2013-07-10,372600.0,,484.13
191,2013-07-11,372600.0,,483.61
192,2013-07-12,372600.0,,483.17
193,2013-07-13,372600.0,,483.26
194,2013-07-14,372600.0,,483.6
195,2013-07-15,372600.0,,482.56
196,2013-07-16,372600.0,,482.56
197,2013-07-17,372600.0,,482.02
198,2013-07-18,372600.0,,481.69
199,2013-07-19,372600.0,,481.49
200,2013-07-20,372600.0,,480.9
201,2013-07-21,372600.0,,480.62
202,2013-07-22,372600.0,,480.99
203,2013-07-23,372600.0,,480.36
204,2013-07-24,372600.0,,479.33
205,2013-07-25,372600.0,,479.06
206,2013-07-26,372600.0,,478.85
207,2013-07-27,372600.0,,478.95
208,2013-07-28,372600.0,,479.51
209,2013-07-29,372600.0,,479.53
210,2013-07-30,372600.0,,479.63
211,2013-07-31,372600.0,,479.89
212,2013-08-01,372600.0,,480.32
213,2013-08-02,372600.0,,480.02
214,2013-08-03,372600.0,,480.42
215,2013-08-04,372600.0,,480.84
216,2013-08-05,372600.0,,481.58
217,2013-08-06,372600.0,,481.19
218,2013-08-07,372600.0,,481.12
219,2013-08-08,372600.0,,481.49
220,2013-08-09,372600.0,,482.06
221,2013-08-10,372600.0,,481.04
222,2013-08-11,372600.0,,480.07
223,2013-08-12,372600.0,,479.63
224,2013-08-13,372600.0,,479.19
225,2013-08-14,372600.0,,479.63
226,2013-08-15,372600.0,,480.05
227,2013-08-16,372600.0,,480.6
228,2013-08-17,372600.0,,480.53
229,2013-08-18,372600.0,,480.6
230,2013-08-19,372600.0,,481.0
231,2013-08-20,372600.0,,481.17
232,2013-08-21,372600.0,,480.96
233,2013-08-22,372600.0,,481.46
234,2013-08-23,372600.0,,481.71500000000003
235,2013-08-24,372600.0,,481.97
236,2013-08-25,372600.0,,482.72333333333336
237,2013-08-26,372600.0,,483.4766666666667
238,2013-08-27,372600.0,,484.23
239,2013-08-28,372600.0,,485.03
240,2013-08-29,372600.0,,485.84
241,2013-08-30,372600.0,,486.97
242,2013-08-31,372600.0,,487.87
243,2013-09-01,372600.0,,488.05
244,2013-09-02,372600.0,,488.18
245,2013-09-03,372600.0,,488.57
246,2013-09-04,372600.0,,488.53
247,2013-09-05,372600.0,,488.64
248,2013-09-06,372600.0,,489.02
249,2013-09-07,372600.0,,489.13
250,2013-09-08,372600.0,,488.4
251,2013-09-09,372600.0,,488.52
252,2013-09-10,372600.0,,488.52
253,2013-09-11,372600.0,,488.18
254,2013-09-12,372600.0,,487.45
255,2013-09-13,372600.0,,486.7
256,2013-09-14,372600.0,,485.71
257,2013-09-15,372600.0,,485.11
258,2013-09-16,372600.0,,485.83
259,2013-09-17,372600.0,,485.9
260,2013-09-18,372600.0,,486.19
261,2013-09-19,372600.0,,486.29
262,2013-09-20,372600.0,,487.17
263,2013-09-21,372600.0,,487.24
264,2013-09-22,372600.0,,487.62
265,2013-09-23,372600.0,,487.44
266,2013-09-24,372600.0,,487.63
267,2013-09-25,372600.0,,487.55
268,2013-09-26,372600.0,,486.66
269,2013-09-27,372600.0,,486.22
270,2013-09-28,372600.0,,485.12
271,2013-09-29,372600.0,,485.75
272,2013-09-30,372600.0,,486.27
273,2013-10-01,372600.0,,486.41
274,2013-10-02,372600.0,,487.37
275,2013-10-03,372600.0,,488.87
276,2013-10-04,372600.0,,488.07
277,2013-10-05,372600.0,,486.8
278,2013-10-06,372600.0,,486.11
279,2013-10-07,372600.0,,485.62
280,2013-10-08,372600.0,,485.69
281,2013-10-09,372600.0,,486.38
282,2013-10-10,372600.0,,485.83
283,2013-10-11,372600.0,,484.34
284,2013-10-12,372600.0,,483.71
285,2013-10-13,372600.0,,482.92
286,2013-10-14,372600.0,,482.02
287,2013-10-15,372600.0,,481.4
288,2013-10-16,372600.0,,480.23
289,2013-10-17,372600.0,,480.97
290,2013-10-18,372600.0,,480.76
291,2013-10-19,372600.0,,480.91
292,2013-10-20,372600.0,,480.74
293,2013-10-21,372600.0,,481.25
294,2013-10-22,372600.0,,482.0
295,2013-10-23,372600.0,,482.12
296,2013-10-24,372600.0,,482.63
297,2013-10-25,372600.0,,483.14
298,2013-10-26,372600.0,,483.63
299,2013-10-27,372600.0,,483.72
300,2013-10-28,372600.0,,482.39
301,2013-10-29,372600.0,,482.63
302,2013-10-30,372600.0,,482.5
