,datetime,AGENCY_LAKE_NEAR_KLAMATH_AGENCY__OR.tsv
0,2013-12-24,4139.53
1,2013-12-25,4139.55
2,2013-12-26,4139.56
3,2013-12-27,4139.58
4,2013-12-28,4139.6
5,2013-12-29,4139.62
6,2013-12-30,4139.64
7,2013-12-31,4139.65
8,2014-01-01,4139.67
9,2014-01-02,4139.69
10,2014-01-03,4139.7
11,2014-01-04,4139.72
12,2014-01-05,4139.74
13,2014-01-06,4139.76
14,2014-01-07,4139.78
15,2014-01-08,4139.82
16,2014-01-09,4139.84
17,2014-01-10,4139.87
18,2014-01-11,4139.92
19,2014-01-12,4139.96
20,2014-01-13,4139.96
21,2014-01-14,4139.98
22,2014-01-15,4140.0
23,2014-01-16,4140.02
24,2014-01-17,4140.04
25,2014-01-18,4140.06
26,2014-01-19,4140.08
27,2014-01-20,4140.1
28,2014-01-21,4140.12
29,2014-01-22,4140.13
30,2014-01-23,4140.13
31,2014-01-24,4140.16
32,2014-01-25,4140.19
33,2014-01-26,4140.21
34,2014-01-27,4140.22
35,2014-01-28,4140.25
36,2014-01-29,4140.32
37,2014-01-30,4140.32
38,2014-01-31,4140.34
39,2014-02-01,4140.37
40,2014-02-02,4140.39
41,2014-02-03,4140.38
42,2014-02-04,4140.42
43,2014-02-05,4140.41
44,2014-02-06,4140.49
45,2014-02-07,4140.63
46,2014-02-08,4140.67
47,2014-02-09,4140.59
48,2014-02-10,4140.61
49,2014-02-11,4140.71
50,2014-02-12,4140.84
51,2014-02-13,4140.87
52,2014-02-14,4140.97
53,2014-02-15,4141.26
54,2014-02-16,4141.21
55,2014-02-17,4141.32
56,2014-02-18,4141.37
57,2014-02-19,4141.3
58,2014-02-20,4141.39
59,2014-02-21,4141.37
60,2014-02-22,4141.4
61,2014-02-23,4141.43
62,2014-02-24,4141.46
63,2014-02-25,4141.48
64,2014-02-26,4141.55
65,2014-02-27,4141.58
66,2014-02-28,4141.54
67,2014-03-01,4141.62
68,2014-03-02,4141.74
69,2014-03-03,4141.78
70,2014-03-04,4141.77
71,2014-03-05,4141.89
72,2014-03-06,4141.84
73,2014-03-07,4141.75
74,2014-03-08,4141.79
75,2014-03-09,4141.91
76,2014-03-10,4141.85
77,2014-03-11,4141.91
78,2014-03-12,4141.96
79,2014-03-13,4142.0
80,2014-03-14,4142.04
81,2014-03-15,4142.07
82,2014-03-16,4142.17
83,2014-03-17,4142.02
84,2014-03-18,4142.09
85,2014-03-19,4142.11
86,2014-03-20,4142.08
87,2014-03-21,4142.04
88,2014-03-22,4142.08
89,2014-03-23,4142.11
90,2014-03-24,4142.14
91,2014-03-25,4142.27
92,2014-03-26,4142.24
93,2014-03-27,4142.27
94,2014-03-28,4142.37
95,2014-03-29,4142.28
96,2014-03-30,4142.27
97,2014-03-31,4142.43
98,2014-04-01,4142.28
99,2014-04-02,4142.28
100,2014-04-03,4142.37
101,2014-04-04,4142.34
102,2014-04-05,4142.37
103,2014-04-06,4142.36
104,2014-04-07,4142.35
105,2014-04-08,4142.36
106,2014-04-09,4142.36
107,2014-04-10,4142.36
108,2014-04-11,4142.35
109,2014-04-12,4142.33
110,2014-04-13,4142.34
111,2014-04-14,4142.35
112,2014-04-15,4142.3
113,2014-04-16,4142.31
114,2014-04-17,4142.31
115,2014-04-18,4142.31
116,2014-04-19,4142.29
117,2014-04-20,4142.29
118,2014-04-21,4142.39
119,2014-04-22,4142.23
120,2014-04-23,4142.36
121,2014-04-24,4142.32
122,2014-04-25,4142.2
123,2014-04-26,4142.23
124,2014-04-27,4142.22
125,2014-04-28,4142.19
126,2014-04-29,4142.18
127,2014-04-30,4142.17
128,2014-05-01,4142.16
129,2014-05-02,4142.16
130,2014-05-03,4142.15
131,2014-05-04,4142.17
132,2014-05-05,4142.07
133,2014-05-06,4142.03
134,2014-05-07,4142.05
135,2014-05-08,4142.12
136,2014-05-09,4142.08
137,2014-05-10,4141.97
138,2014-05-11,4142.0
139,2014-05-12,4141.98
140,2014-05-13,4141.98
141,2014-05-14,4141.97
142,2014-05-15,4141.96
143,2014-05-16,4141.92
144,2014-05-17,4141.9
145,2014-05-18,4141.85
146,2014-05-19,4141.85
147,2014-05-20,4141.77
148,2014-05-21,4141.8
149,2014-05-22,4141.8
150,2014-05-23,4141.77
151,2014-05-24,4141.77
152,2014-05-25,4141.75
153,2014-05-26,4141.7
154,2014-05-27,4141.65
155,2014-05-28,4141.6
156,2014-05-29,4141.6
157,2014-05-30,4141.56
158,2014-05-31,4141.53
159,2014-06-01,4141.5
160,2014-06-02,4141.46
161,2014-06-03,4141.43
162,2014-06-04,4141.38
163,2014-06-05,4141.32
164,2014-06-06,4141.27
165,2014-06-07,4141.22
166,2014-06-08,4141.19
167,2014-06-09,4141.15
168,2014-06-10,4141.13
169,2014-06-11,4141.07
170,2014-06-12,4141.05
171,2014-06-13,4140.98
172,2014-06-14,4140.96
173,2014-06-15,4140.88
174,2014-06-16,4140.78
175,2014-06-17,4140.8
176,2014-06-18,4140.79
177,2014-06-19,4140.75
178,2014-06-20,4140.69
179,2014-06-21,4140.63
180,2014-06-22,4140.6
181,2014-06-23,4140.47
182,2014-06-24,4140.53
183,2014-06-25,4140.51
184,2014-06-26,4140.5
185,2014-06-27,4140.5
186,2014-06-28,4140.42
187,2014-06-29,4140.38
188,2014-06-30,4140.33
189,2014-07-01,4140.31
190,2014-07-02,4140.29
191,2014-07-03,4140.25
192,2014-07-04,4140.22
193,2014-07-05,4140.18
194,2014-07-06,4140.13
195,2014-07-07,4140.07
196,2014-07-08,4140.05
197,2014-07-09,4140.07
198,2014-07-10,4140.01
199,2014-07-11,4139.96
200,2014-07-12,4139.93
201,2014-07-13,4139.86
202,2014-07-14,4139.83
203,2014-07-15,4139.78
204,2014-07-16,4139.745
205,2014-07-17,4139.71
206,2014-07-18,4139.66
207,2014-07-19,4139.6
208,2014-07-20,4139.57
209,2014-07-21,4139.57
210,2014-07-22,4139.58
211,2014-07-23,4139.5
212,2014-07-24,4139.38
213,2014-07-25,4139.34
214,2014-07-26,4139.33
215,2014-07-27,4139.31
216,2014-07-28,4139.28
217,2014-07-29,4139.29
218,2014-07-30,4139.25
219,2014-07-31,4139.19
220,2014-08-01,4139.14
221,2014-08-02,4139.12
222,2014-08-03,4139.09
223,2014-08-04,4139.07
224,2014-08-05,4139.04
225,2014-08-06,4139.02
226,2014-08-07,4138.98
227,2014-08-08,4138.94
228,2014-08-09,4138.91
229,2014-08-10,4138.93
230,2014-08-11,4138.94
231,2014-08-12,4138.89
232,2014-08-13,4138.87
233,2014-08-14,4138.87
234,2014-08-15,4138.87
235,2014-08-16,4138.85
236,2014-08-17,4138.82
237,2014-08-18,4138.8
238,2014-08-19,4138.76
239,2014-08-20,4138.74
240,2014-08-21,4138.73
241,2014-08-22,4138.68
242,2014-08-23,4138.63
243,2014-08-24,4138.6
244,2014-08-25,4138.53
245,2014-08-26,4138.59
246,2014-08-27,4138.57
247,2014-08-28,4138.55
248,2014-08-29,4138.5
249,2014-08-30,4138.48
250,2014-08-31,4138.43
