,datetime,ALDER_RESERVOIR_AT_ALDER__WA.tsv
0,2013-01-01,160087.47
1,2013-01-02,157186.25
2,2013-01-03,154085.03
3,2013-01-04,151283.82
4,2013-01-05,148282.55
5,2013-01-06,145681.33
6,2013-01-07,143580.37
7,2013-01-08,142780.03
8,2013-01-09,143780.46
9,2013-01-10,143280.23
10,2013-01-11,141879.65
11,2013-01-12,139878.77
12,2013-01-13,137577.72
13,2013-01-14,134976.48
14,2013-01-15,132375.16
15,2013-01-16,129273.71
16,2013-01-17,125972.07
17,2013-01-18,124671.39
18,2013-01-19,123870.98
19,2013-01-20,123170.64
20,2013-01-21,122770.44
21,2013-01-22,122370.23
22,2013-01-23,121970.05
23,2013-01-24,121869.98
24,2013-01-25,122270.2
25,2013-01-26,122870.5
26,2013-01-27,123270.68
27,2013-01-28,123770.95
28,2013-01-29,125171.64
29,2013-01-30,128873.53
30,2013-01-31,133775.88
31,2013-02-01,137077.49
32,2013-02-02,139478.57
33,2013-02-03,141179.34
34,2013-02-04,142479.89
35,2013-02-05,143580.37
36,2013-02-06,144580.83
37,2013-02-07,145481.23
38,2013-02-08,145881.45
39,2013-02-09,146081.55
40,2013-02-10,146081.54
41,2013-02-11,146081.52
42,2013-02-12,145781.41
43,2013-02-13,145581.29
44,2013-02-14,145281.17
45,2013-02-15,144981.01
46,2013-02-16,144680.87
47,2013-02-17,144580.83
48,2013-02-18,144180.64
49,2013-02-19,143780.46
50,2013-02-20,143180.22
51,2013-02-21,142679.95
52,2013-02-22,142579.94
53,2013-02-23,142679.97
54,2013-02-24,142279.81
55,2013-02-25,142079.72
56,2013-02-26,141679.53
57,2013-02-27,141079.28
58,2013-02-28,141079.31
59,2013-03-01,143180.19
60,2013-03-02,145081.07
61,2013-03-03,146681.79
62,2013-03-04,147682.25
63,2013-03-05,148182.49
64,2013-03-06,148582.68
65,2013-03-07,148882.82
66,2013-03-08,148882.81
67,2013-03-09,148682.73
68,2013-03-10,148482.64
69,2013-03-11,148182.47
70,2013-03-12,147982.42
71,2013-03-13,148482.64
72,2013-03-14,149383.04
73,2013-03-15,150783.64
74,2013-03-16,152784.48
75,2013-03-17,154585.21
76,2013-03-18,155885.72
77,2013-03-19,156886.09
78,2013-03-20,159987.4
79,2013-03-21,162688.56
80,2013-03-22,164389.27
81,2013-03-23,165389.68
82,2013-03-24,165989.94
83,2013-03-25,166290.05
84,2013-03-26,166390.07
85,2013-03-27,166290.06
86,2013-03-28,166290.06
87,2013-03-29,166290.04
88,2013-03-30,166290.06
89,2013-03-31,166890.29
90,2013-04-01,168090.73
91,2013-04-02,169491.28
92,2013-04-03,170791.78
93,2013-04-04,172392.39
94,2013-04-05,177694.29
95,2013-04-06,184396.71
96,2013-04-07,190698.99
97,2013-04-08,195000.42
98,2013-04-09,197201.17
99,2013-04-10,198901.73
100,2013-04-11,200102.15
101,2013-04-12,200802.37
102,2013-04-13,201302.54
103,2013-04-14,201402.57
104,2013-04-15,201002.45
105,2013-04-16,200002.11
106,2013-04-17,198601.63
107,2013-04-18,197101.14
108,2013-04-19,197601.28
109,2013-04-20,199101.79
110,2013-04-21,199802.04
111,2013-04-22,200102.13
112,2013-04-23,199701.99
113,2013-04-24,198901.72
114,2013-04-25,197801.37
115,2013-04-26,196801.04
116,2013-04-27,196200.83
117,2013-04-28,195900.71
118,2013-04-29,195800.69
119,2013-04-30,195100.45
120,2013-05-01,193800.02
121,2013-05-02,192199.47
122,2013-05-03,190498.91
123,2013-05-04,189298.46
124,2013-05-05,188598.22
125,2013-05-06,188498.2
126,2013-05-07,188898.34
127,2013-05-08,189398.51
128,2013-05-09,189798.66
129,2013-05-10,191199.16
130,2013-05-11,192499.59
131,2013-05-12,194200.16
132,2013-05-13,195200.48
133,2013-05-14,194600.29
134,2013-05-15,193299.84
135,2013-05-16,191599.28
136,2013-05-17,191199.16
137,2013-05-18,190698.97
138,2013-05-19,190398.86
139,2013-05-20,189998.71
140,2013-05-21,189898.68
141,2013-05-22,190398.85
142,2013-05-23,190498.92
143,2013-05-24,190698.96
144,2013-05-25,190298.84
145,2013-05-26,189898.69
146,2013-05-27,189698.63
147,2013-05-28,190098.77
148,2013-05-29,191099.11
149,2013-05-30,192899.7
150,2013-05-31,194700.32
151,2013-06-01,196000.77
152,2013-06-02,197101.14
153,2013-06-03,198001.42
154,2013-06-04,198701.65
155,2013-06-05,199802.03
156,2013-06-06,200902.4
157,2013-06-07,202002.79
158,2013-06-08,203103.15
159,2013-06-09,204103.48
160,2013-06-10,204703.67
161,2013-06-11,205203.85
162,2013-06-12,205403.91
163,2013-06-13,205503.95
164,2013-06-14,205603.97
165,2013-06-15,205403.93
166,2013-06-16,205603.98
167,2013-06-17,205804.04
168,2013-06-18,206004.12
169,2013-06-19,206104.14
170,2013-06-20,206204.18
171,2013-06-21,206704.34
172,2013-06-22,206904.41
173,2013-06-23,207204.51
174,2013-06-24,208004.78
175,2013-06-25,208605.0
176,2013-06-26,209105.17
177,2013-06-27,209605.34
178,2013-06-28,210005.48
179,2013-06-29,210805.74
180,2013-06-30,211605.99
181,2013-07-01,212206.18
182,2013-07-02,211505.97
183,2013-07-03,212006.14
184,2013-07-04,212706.34
185,2013-07-05,212806.38
186,2013-07-06,212806.38
187,2013-07-07,212906.4
188,2013-07-08,212806.39
189,2013-07-09,212906.4
190,2013-07-10,212906.4
191,2013-07-11,212706.35
192,2013-07-12,212406.24
193,2013-07-13,211706.04
194,2013-07-14,211105.84
195,2013-07-15,210605.68
196,2013-07-16,210305.56
197,2013-07-17,210105.49
198,2013-07-18,209805.4
199,2013-07-19,209405.28
200,2013-07-20,209005.14
201,2013-07-21,208605.0
202,2013-07-22,208204.85
203,2013-07-23,207604.67
204,2013-07-24,207304.55
205,2013-07-25,206604.32
206,2013-07-26,205904.08
207,2013-07-27,205303.88
208,2013-07-28,204503.61
209,2013-07-29,203603.33
210,2013-07-30,202903.09
211,2013-07-31,202202.85
212,2013-08-01,201402.57
213,2013-08-02,200502.27
