,datetime,BAKER_LAKE_AT_UPPER_BAKER_DAM_NEAR_CONCRETE__WA.
0,2011-01-01,695.22
1,2011-01-02,693.66
2,2011-01-03,692.21
3,2011-01-04,691.58
4,2011-01-05,691.98
5,2011-01-06,692.5
6,2011-01-07,693.72
7,2011-01-08,694.22
8,2011-01-09,695.0
9,2011-01-10,695.29
10,2011-01-11,694.79
11,2011-01-12,693.83
12,2011-01-13,694.43
13,2011-01-14,696.37
14,2011-01-15,697.13
15,2011-01-16,701.77
16,2011-01-17,705.12
17,2011-01-18,705.2
18,2011-01-19,704.43
19,2011-01-20,704.47
20,2011-01-21,704.42
21,2011-01-22,704.22
22,2011-01-23,704.47
23,2011-01-24,704.24
24,2011-01-25,704.31
25,2011-01-26,704.0
26,2011-01-27,703.24
27,2011-01-28,702.7
28,2011-01-29,702.93
29,2011-01-30,702.38
30,2011-01-31,701.58
31,2011-02-01,699.96
32,2011-02-02,698.7
33,2011-02-03,697.96
34,2011-02-04,699.3
35,2011-02-05,699.13
36,2011-02-06,699.29
37,2011-02-07,699.68
38,2011-02-08,699.3
39,2011-02-09,699.4
40,2011-02-10,699.13
41,2011-02-11,697.82
42,2011-02-12,698.78
43,2011-02-13,697.99
44,2011-02-14,696.96
45,2011-02-15,695.68
46,2011-02-16,695.42
47,2011-02-17,694.21
48,2011-02-18,693.22
49,2011-02-19,692.18
50,2011-02-20,690.62
51,2011-02-21,689.23
52,2011-02-22,687.3
53,2011-02-23,685.09
54,2011-02-24,682.62
55,2011-02-25,681.29
56,2011-02-26,680.6
57,2011-02-27,680.63
58,2011-02-28,679.81
59,2011-03-01,680.31
60,2011-03-02,680.1
61,2011-03-03,681.04
62,2011-03-04,679.6
63,2011-03-05,680.57
64,2011-03-06,680.31
65,2011-03-07,678.89
66,2011-03-08,678.45
67,2011-03-09,678.19
68,2011-03-10,678.21
69,2011-03-11,678.84
70,2011-03-12,680.09
71,2011-03-13,679.83
72,2011-03-14,680.16
73,2011-03-15,682.64
74,2011-03-16,685.16
75,2011-03-17,686.31
76,2011-03-18,687.22
77,2011-03-19,688.04
78,2011-03-20,688.34
79,2011-03-21,689.0
80,2011-03-22,689.57
81,2011-03-23,690.11
82,2011-03-24,690.62
83,2011-03-25,690.85
84,2011-03-26,691.34
85,2011-03-27,691.9
86,2011-03-28,692.31
87,2011-03-29,692.88
