,datetime,BEARDSLEY_LAKE_NEAR_STRAWBERRY_CA.tsv
0,2013-01-01,37310
1,2013-01-02,37330
2,2013-01-03,37370
3,2013-01-04,37370
4,2013-01-05,37390
5,2013-01-06,37320
6,2013-01-07,37230
7,2013-01-08,37130
8,2013-01-09,37070
9,2013-01-10,37020
10,2013-01-11,36950
11,2013-01-12,36670
12,2013-01-13,36620
13,2013-01-14,36540
14,2013-01-15,36430
15,2013-01-16,36440
16,2013-01-17,36480
17,2013-01-18,36480
18,2013-01-19,36540
19,2013-01-20,36480
20,2013-01-21,36440
21,2013-01-22,36430
22,2013-01-23,36060
23,2013-01-24,35460
24,2013-01-25,34970
25,2013-01-26,34680
26,2013-01-27,34580
27,2013-01-28,34340
28,2013-01-29,34100
29,2013-01-30,33530
30,2013-01-31,32980
31,2013-02-01,32630
32,2013-02-02,32430
33,2013-02-03,32090
34,2013-02-04,31830
35,2013-02-05,31530
36,2013-02-06,31360
37,2013-02-07,30950
38,2013-02-08,30700
39,2013-02-09,30480
40,2013-02-10,30210
41,2013-02-11,29830
42,2013-02-12,29270
43,2013-02-13,28910
44,2013-02-14,28650
45,2013-02-15,28460
46,2013-02-16,28310
47,2013-02-17,28090
48,2013-02-18,27790
49,2013-02-19,27820
50,2013-02-20,28120
51,2013-02-21,28000
52,2013-02-22,27730
53,2013-02-23,27320
54,2013-02-24,27110
55,2013-02-25,26940
56,2013-02-26,26530
57,2013-02-27,26300
58,2013-02-28,26080
59,2013-03-01,25830
60,2013-03-02,25560
61,2013-03-03,25420
62,2013-03-04,25280
63,2013-03-05,25410
64,2013-03-06,25580
65,2013-03-07,25690
66,2013-03-08,25520
67,2013-03-09,25270
68,2013-03-10,25280
69,2013-03-11,25360
70,2013-03-12,25430
71,2013-03-13,25580
72,2013-03-14,25770
73,2013-03-15,26090
74,2013-03-16,26560
75,2013-03-17,26870
76,2013-03-18,27200
77,2013-03-19,27910
78,2013-03-20,28610
79,2013-03-21,29260
80,2013-03-22,29760
81,2013-03-23,30430
82,2013-03-24,31020
83,2013-03-25,31640
84,2013-03-26,32220
85,2013-03-27,32970
86,2013-03-28,33650
87,2013-03-29,34230
88,2013-03-30,34960
89,2013-03-31,35630
90,2013-04-01,36200
91,2013-04-02,36910
92,2013-04-03,37660
93,2013-04-04,38320
94,2013-04-05,38940
95,2013-04-06,39550
96,2013-04-07,40290
97,2013-04-08,40740
98,2013-04-09,41330
99,2013-04-10,41760
100,2013-04-11,42460
101,2013-04-12,43200
102,2013-04-13,44010
103,2013-04-14,44740
104,2013-04-15,45510
105,2013-04-16,46100
106,2013-04-17,46750
107,2013-04-18,47190
108,2013-04-19,47830
109,2013-04-20,48380
110,2013-04-21,49110
111,2013-04-22,49830
112,2013-04-23,50490
113,2013-04-24,51000
114,2013-04-25,51520
115,2013-04-26,52490
116,2013-04-27,53490
117,2013-04-28,54450
118,2013-04-29,55410
119,2013-04-30,56000
120,2013-05-01,56490
121,2013-05-02,56970
122,2013-05-03,57330
123,2013-05-04,57620
124,2013-05-05,57820
125,2013-05-06,58090
126,2013-05-07,58260
127,2013-05-08,58590
128,2013-05-09,59130
129,2013-05-10,59520
130,2013-05-11,60050
131,2013-05-12,60470
132,2013-05-13,60910
133,2013-05-14,61080
134,2013-05-15,61240
135,2013-05-16,61530
136,2013-05-17,61570
137,2013-05-18,61620
138,2013-05-19,61850
139,2013-05-20,62060
140,2013-05-21,62160
141,2013-05-22,62350
142,2013-05-23,62480
143,2013-05-24,62630
144,2013-05-25,62740
145,2013-05-26,62860
146,2013-05-27,62930
147,2013-05-28,63100
148,2013-05-29,63250
149,2013-05-30,63390
150,2013-05-31,63500
151,2013-06-01,63610
152,2013-06-02,63560
153,2013-06-03,63610
154,2013-06-04,63600
155,2013-06-05,63630
156,2013-06-06,63690
157,2013-06-07,63770
158,2013-06-08,63990
159,2013-06-09,63940
160,2013-06-10,63880
161,2013-06-11,63820
162,2013-06-12,63710
163,2013-06-13,63620
164,2013-06-14,63520
165,2013-06-15,63440
166,2013-06-16,63130
167,2013-06-17,62830
168,2013-06-18,62510
169,2013-06-19,62410
170,2013-06-20,62390
171,2013-06-21,62330
172,2013-06-22,62330
173,2013-06-23,62200
174,2013-06-24,62130
175,2013-06-25,62200
176,2013-06-26,62100
177,2013-06-27,62050
178,2013-06-28,62120
179,2013-06-29,62420
180,2013-06-30,62750
181,2013-07-01,62940
182,2013-07-02,63200
183,2013-07-03,63490
184,2013-07-04,63560
185,2013-07-05,63520
186,2013-07-06,63440
187,2013-07-07,63370
188,2013-07-08,63320
189,2013-07-09,63330
190,2013-07-10,63270
191,2013-07-11,63310
192,2013-07-12,63250
193,2013-07-13,63230
194,2013-07-14,63210
195,2013-07-15,63180
196,2013-07-16,63200
197,2013-07-17,63160
198,2013-07-18,63190
199,2013-07-19,63130
200,2013-07-20,63380
201,2013-07-21,63700
202,2013-07-22,63610
203,2013-07-23,63470
204,2013-07-24,63330
205,2013-07-25,63140
206,2013-07-26,63010
207,2013-07-27,62890
208,2013-07-28,62690
209,2013-07-29,62490
210,2013-07-30,62250
211,2013-07-31,62020
212,2013-08-01,61720
213,2013-08-02,61510
214,2013-08-03,61240
215,2013-08-04,60950
216,2013-08-05,60670
217,2013-08-06,60340
218,2013-08-07,60070
219,2013-08-08,59690
220,2013-08-09,59360
221,2013-08-10,58890
222,2013-08-11,58300
223,2013-08-12,57800
224,2013-08-13,57290
225,2013-08-14,56780
226,2013-08-15,56330
227,2013-08-16,55800
228,2013-08-17,55220
229,2013-08-18,54690
230,2013-08-19,54450
231,2013-08-20,54160
232,2013-08-21,53700
233,2013-08-22,53340
234,2013-08-23,53050
235,2013-08-24,52640
236,2013-08-25,52140
237,2013-08-26,51650
238,2013-08-27,51250
239,2013-08-28,50730
240,2013-08-29,50150
241,2013-08-30,49590
242,2013-08-31,49030
243,2013-09-01,48420
244,2013-09-02,47790
245,2013-09-03,47640
246,2013-09-04,47080
247,2013-09-05,46450
248,2013-09-06,45850
249,2013-09-07,45220
250,2013-09-08,44580
251,2013-09-09,44000
252,2013-09-10,43360
253,2013-09-11,42700
254,2013-09-12,42030
255,2013-09-13,41370
256,2013-09-14,40730
257,2013-09-15,40130
258,2013-09-16,39530
259,2013-09-17,39180
260,2013-09-18,39090
261,2013-09-19,39040
262,2013-09-20,38440
263,2013-09-21,38380
264,2013-09-22,37920
265,2013-09-23,37380
266,2013-09-24,36960
267,2013-09-25,36680
268,2013-09-26,36390
269,2013-09-27,35760
270,2013-09-28,35130
271,2013-09-29,34510
272,2013-09-30,33860
273,2013-10-01,33280
274,2013-10-02,32900
275,2013-10-03,32540
276,2013-10-04,32270
277,2013-10-05,32040
278,2013-10-06,31800
279,2013-10-07,31900
280,2013-10-08,32170
281,2013-10-09,32460
282,2013-10-10,32770
283,2013-10-11,33020
284,2013-10-12,33240
285,2013-10-13,33500
286,2013-10-14,33800
287,2013-10-15,34110
288,2013-10-16,34340
289,2013-10-17,34600
290,2013-10-18,34850
291,2013-10-19,35090
292,2013-10-20,35390
293,2013-10-21,35690
294,2013-10-22,35760
