,datetime,BENNINGTON_LAKE_NEAR_WALLA_WALLA__WA.tsv
0,2013-03-13,1195.57
1,2013-03-14,1197.75
2,2013-03-15,1199.75
3,2013-03-16,1201.57
4,2013-03-17,1203.08
5,2013-03-18,1204.39
6,2013-03-19,1205.78
7,2013-03-20,1206.17
8,2013-03-21,1205.92
9,2013-03-22,1205.67
10,2013-03-23,1205.45
11,2013-03-24,1205.28
12,2013-03-25,1205.31
13,2013-03-26,1205.72
14,2013-03-27,1206.03
15,2013-03-28,1206.43
16,2013-03-29,1206.42
17,2013-03-30,1206.23
18,2013-03-31,1206.25
19,2013-04-01,1206.04
20,2013-04-02,1206.03
21,2013-04-03,1205.9
22,2013-04-04,1205.76
23,2013-04-05,1205.77
24,2013-04-06,1205.56
25,2013-04-07,1205.45
26,2013-04-08,1205.34
27,2013-04-09,1205.16
28,2013-04-10,1205.06
29,2013-04-11,1205.03
30,2013-04-12,1205.18
31,2013-04-13,1205.17
32,2013-04-14,1205.22
33,2013-04-15,1205.24
34,2013-04-16,1205.28
35,2013-04-17,1205.28
36,2013-04-18,1205.23
37,2013-04-19,1205.3
38,2013-04-20,1205.15
39,2013-04-21,1204.95
40,2013-04-22,1204.96
41,2013-04-23,1204.86
42,2013-04-24,1205.09
43,2013-04-25,1205.25
44,2013-04-26,1205.41
45,2013-04-27,1205.56
46,2013-04-28,1205.7
47,2013-04-29,1205.94
48,2013-04-30,1205.95
49,2013-05-01,1206.08
50,2013-05-02,1206.26
51,2013-05-03,1206.52
52,2013-05-04,1206.44
53,2013-05-05,1206.5
54,2013-05-06,1206.47
55,2013-05-07,1206.48
56,2013-05-08,1206.36
57,2013-05-09,1206.32
58,2013-05-10,1206.29
59,2013-05-11,1206.06
60,2013-05-12,1205.95
61,2013-05-13,1205.85
62,2013-05-14,1205.8
63,2013-05-15,1205.79
64,2013-05-16,1205.8
65,2013-05-17,1205.71
66,2013-05-18,1205.45
67,2013-05-19,1205.32
68,2013-05-20,1205.29
69,2013-05-21,1205.11
70,2013-05-22,1205.02
71,2013-05-23,1204.98
72,2013-05-24,1204.77
73,2013-05-25,1204.66
74,2013-05-26,1204.64
75,2013-05-27,1204.45
76,2013-05-28,1204.35
77,2013-05-29,1204.35
78,2013-05-30,1204.16
79,2013-05-31,1204.04
80,2013-06-01,1204.0
81,2013-06-02,1203.84
82,2013-06-03,1203.72
83,2013-06-04,1203.62
84,2013-06-05,1203.6
85,2013-06-06,1203.41
86,2013-06-07,1203.29
87,2013-06-08,1203.17
88,2013-06-09,1203.05
89,2013-06-10,1202.94
90,2013-06-11,1202.82
91,2013-06-12,1202.71
92,2013-06-13,1202.6
93,2013-06-14,1202.57
94,2013-06-15,1202.47
95,2013-06-16,1202.29
96,2013-06-17,1202.27
97,2013-06-18,1202.08
98,2013-06-19,1202.11
99,2013-06-20,1202.03
100,2013-06-21,1201.99
101,2013-06-22,1201.78
102,2013-06-23,1201.69
103,2013-06-24,1201.76
104,2013-06-25,1201.57
105,2013-06-26,1201.49
106,2013-06-27,1201.41
107,2013-06-28,1201.32
108,2013-06-29,1201.22
109,2013-06-30,1201.22
110,2013-07-01,1201.03
111,2013-07-02,1200.97
112,2013-07-03,1200.89
113,2013-07-04,1200.71
114,2013-07-05,1200.67
115,2013-07-06,1200.57
116,2013-07-07,1200.41
117,2013-07-08,1200.33
118,2013-07-09,1200.21
119,2013-07-10,1200.12
120,2013-07-11,1200.0
121,2013-07-12,1199.96
122,2013-07-13,1199.79
123,2013-07-14,1199.68
124,2013-07-15,1199.6
125,2013-07-16,1199.61
126,2013-07-17,1199.45
127,2013-07-18,1199.4
128,2013-07-19,1199.32
129,2013-07-20,1199.16
130,2013-07-21,1199.07
131,2013-07-22,1198.97
132,2013-07-23,1198.89
