,datetime,BIG_CLIFF_LAKE_NEAR_NIAGARA__OR.
0,2013-08-01,1192.42
1,2013-08-02,1190.79
2,2013-08-03,1190.53
3,2013-08-04,1190.29
4,2013-08-05,1190.23
5,2013-08-06,1190.42
6,2013-08-07,1190.56
7,2013-08-08,1190.72
8,2013-08-09,1191.17
9,2013-08-10,1191.33
10,2013-08-11,1191.45
11,2013-08-12,1191.47
12,2013-08-13,1191.4
13,2013-08-14,1191.38
14,2013-08-15,1191.64
15,2013-08-16,1191.13
16,2013-08-17,1192.16
17,2013-08-18,1191.83
18,2013-08-19,1191.7
19,2013-08-20,1191.09
20,2013-08-21,1191.42
21,2013-08-22,1190.61
22,2013-08-23,1191.25
23,2013-08-24,1191.15
24,2013-08-25,1191.56
25,2013-08-26,1191.66
26,2013-08-27,1191.63
27,2013-08-28,1190.4
28,2013-08-29,1190.8
29,2013-08-30,1191.03
30,2013-08-31,1191.49
31,2013-09-01,1189.01
32,2013-09-02,1191.19
33,2013-09-03,1191.13
34,2013-09-04,1191.36
35,2013-09-05,1189.46
36,2013-09-06,1191.36
37,2013-09-07,1191.18
38,2013-09-08,1191.05
39,2013-09-09,1190.05
40,2013-09-10,1189.47
41,2013-09-11,1188.71
42,2013-09-12,1188.3
43,2013-09-13,1184.58
44,2013-09-14,1189.56
45,2013-09-15,1189.54
46,2013-09-16,1188.8
47,2013-09-17,1188.55
48,2013-09-18,1189.5
49,2013-09-19,1189.88
50,2013-09-20,1191.36
51,2013-09-21,1190.95
52,2013-09-22,1190.51
53,2013-09-23,1189.92
54,2013-09-24,1190.05
55,2013-09-25,1190.15
56,2013-09-26,1190.09
57,2013-09-27,1189.01
58,2013-09-28,1189.66
59,2013-09-29,1190.18
60,2013-09-30,1187.95
61,2013-10-01,1187.14
62,2013-10-02,1189.29
63,2013-10-03,1191.46
64,2013-10-04,1190.44
65,2013-10-05,1190.57
66,2013-10-06,1190.7
67,2013-10-07,1190.36
68,2013-10-08,1190.54
69,2013-10-09,1190.57
70,2013-10-10,1189.62
71,2013-10-11,1189.43
72,2013-10-12,1189.68
73,2013-10-13,1191.24
74,2013-10-14,1191.39
75,2013-10-15,1189.78
76,2013-10-16,1189.14
