,datetime,BLUE_RIVER_LAKE_NEAR_BLUE_RIVER__OR.tsv
0,2013-09-30,1323.95
1,2013-10-01,1324.03
2,2013-10-02,1322.09
3,2013-10-03,1319.46
4,2013-10-04,1316.3
5,2013-10-05,1312.81
6,2013-10-06,1309.13
7,2013-10-07,1305.97
8,2013-10-08,1303.6
9,2013-10-09,1301.37
10,2013-10-10,1298.91
11,2013-10-11,1296.3
12,2013-10-12,1293.57
13,2013-10-13,1290.61
14,2013-10-14,1287.5
15,2013-10-15,1285.14
16,2013-10-16,1283.12
17,2013-10-17,1281.05
18,2013-10-18,1278.92
19,2013-10-19,1276.72
20,2013-10-20,1274.46
21,2013-10-21,1272.15
22,2013-10-22,1269.78
23,2013-10-23,1267.33
24,2013-10-24,1264.86
25,2013-10-25,1262.33
26,2013-10-26,1259.74
27,2013-10-27,1257.19
28,2013-10-28,1254.59
29,2013-10-29,1251.9
30,2013-10-30,1249.16
31,2013-10-31,1246.37
32,2013-11-01,1243.51
33,2013-11-02,1241.31
34,2013-11-03,1238.55
35,2013-11-04,1235.05
36,2013-11-05,1233.34
37,2013-11-06,1231.74
38,2013-11-07,1228.95
39,2013-11-08,1223.97
40,2013-11-09,1217.54
41,2013-11-10,1210.83
42,2013-11-11,1204.38
43,2013-11-12,1197.58
44,2013-11-13,1191.94
45,2013-11-14,1187.78
46,2013-11-15,1184.52
47,2013-11-16,1183.99
48,2013-11-17,1182.6
49,2013-11-18,1182.44
50,2013-11-19,1192.49
51,2013-11-20,1192.23
52,2013-11-21,1187.39
53,2013-11-22,1184.03
54,2013-11-23,1182.35
55,2013-11-24,1181.38
56,2013-11-25,1180.99
57,2013-11-26,1180.74
58,2013-11-27,1180.62
59,2013-11-28,1180.07
60,2013-11-29,1180.16
61,2013-11-30,1180.07
62,2013-12-01,1181.86
63,2013-12-02,1199.79
64,2013-12-03,1198.71
65,2013-12-04,1194.1
66,2013-12-05,1189.97
67,2013-12-06,1187.11
68,2013-12-07,1184.25
69,2013-12-08,1181.91
70,2013-12-09,1180.35
71,2013-12-10,1179.98
72,2013-12-11,1180.14
73,2013-12-12,1180.19
74,2013-12-13,1180.52
75,2013-12-14,1180.59
76,2013-12-15,1180.4
77,2013-12-16,1180.04
78,2013-12-17,1180.75
79,2013-12-18,1181.18
80,2013-12-19,1181.35
81,2013-12-20,1181.68
82,2013-12-21,1185.77
83,2013-12-22,1188.87
84,2013-12-23,1187.39
85,2013-12-24,1185.47
86,2013-12-25,1183.73
87,2013-12-26,1182.1
88,2013-12-27,1180.73
89,2013-12-28,1180.69
90,2013-12-29,1180.0
91,2013-12-30,1180.43
92,2013-12-31,1180.71
93,2014-01-01,1180.47
94,2014-01-02,1180.02
95,2014-01-03,1180.63
96,2014-01-04,1180.89
97,2014-01-05,1180.93
98,2014-01-06,1180.83
99,2014-01-07,1180.95
100,2014-01-08,1185.51
101,2014-01-09,1197.69
102,2014-01-10,1202.91
103,2014-01-11,1202.92
104,2014-01-12,1206.7
105,2014-01-13,1214.42
106,2014-01-14,1220.37
107,2014-01-15,1225.29
108,2014-01-16,1228.57
109,2014-01-17,1230.92
110,2014-01-18,1232.67
