,datetime,BOUNDARY_RESERVOIR_AT_FOREBAY_NR_METALINE_FALLS.tsv
0,2013-01-01,1738.7
1,2013-01-02,1737.0
2,2013-01-03,1731.1
3,2013-01-04,1729.2
4,2013-01-05,1726.7
5,2013-01-06,1716.2
6,2013-01-07,1710.8
7,2013-01-08,1712.2
8,2013-01-09,1699.0
9,2013-01-10,1706.0
10,2013-01-11,1717.1
11,2013-01-12,1721.9
12,2013-01-13,1727.8
13,2013-01-14,1727.4
14,2013-01-15,1731.9
15,2013-01-16,1730.4
16,2013-01-17,1725.9
17,2013-01-18,1720.1
18,2013-01-19,1726.4
19,2013-01-20,1730.6
20,2013-01-21,1725.1
21,2013-01-22,1719.5
22,2013-01-23,1713.0
23,2013-01-24,1715.7
24,2013-01-25,1711.5
25,2013-01-26,1704.7
26,2013-01-27,1706.3
27,2013-01-28,1707.4
28,2013-01-29,1718.3
29,2013-01-30,1723.9
30,2013-01-31,1725.2
31,2013-02-01,1730.4
32,2013-02-02,1735.2
33,2013-02-03,1728.4
34,2013-02-04,1722.2
35,2013-02-05,1719.6
36,2013-02-06,1721.8
37,2013-02-07,1721.0
38,2013-02-08,1725.3
39,2013-02-09,1728.2
40,2013-02-10,1732.9
41,2013-02-11,1731.1
42,2013-02-12,1733.1
43,2013-02-13,1734.8
44,2013-02-14,1741.7
45,2013-02-15,1743.5
46,2013-02-16,1731.4
47,2013-02-17,1726.6
48,2013-02-18,1726.5
49,2013-02-19,1719.2
50,2013-02-20,1725.3
51,2013-02-21,1723.7
52,2013-02-22,1721.8
53,2013-02-23,1727.7
54,2013-02-24,1734.9
55,2013-02-25,1726.3
56,2013-02-26,1736.4
57,2013-02-27,1734.0
58,2013-02-28,1735.8
59,2013-03-01,1735.9
60,2013-03-02,1734.0
61,2013-03-03,1733.1
62,2013-03-04,1738.5
63,2013-03-05,1731.8
64,2013-03-06,1722.5
65,2013-03-07,1732.9
66,2013-03-08,1735.0
67,2013-03-09,1743.3
68,2013-03-10,1744.4
69,2013-03-11,1740.6
70,2013-03-12,1738.8
71,2013-03-13,1738.3
72,2013-03-14,1738.1
73,2013-03-15,1739.4
74,2013-03-16,1734.5
75,2013-03-17,1732.3
76,2013-03-18,1741.9
77,2013-03-19,1748.7
78,2013-03-20,1730.9
79,2013-03-21,1736.9
80,2013-03-22,1741.9
81,2013-03-23,1745.5
82,2013-03-24,1745.2
83,2013-03-25,1739.0
84,2013-03-26,1733.9
85,2013-03-27,1734.3
86,2013-03-28,1740.1
