,datetime,BULL_RUN_LAKE_NEAR_BRIGHTWOOD__OR.
0,2011-01-01,3173.74
1,2011-01-02,3173.69
2,2011-01-03,3173.63
3,2011-01-04,3173.56
4,2011-01-05,3173.51
5,2011-01-06,3173.45
6,2011-01-07,3173.42
7,2011-01-08,3173.4
8,2011-01-09,3173.4
9,2011-01-10,3173.37
10,2011-01-11,3173.29
11,2011-01-12,3173.62
12,2011-01-13,3174.32
13,2011-01-14,3174.89
14,2011-01-15,3175.62
15,2011-01-16,3177.82
16,2011-01-17,3178.83
17,2011-01-18,3179.19
18,2011-01-19,3179.26
19,2011-01-20,3179.26
20,2011-01-21,3179.38
21,2011-01-22,3179.37
22,2011-01-23,3179.35
23,2011-01-24,3179.32
24,2011-01-25,3179.3
25,2011-01-26,3179.27
26,2011-01-27,3179.26
27,2011-01-28,3179.24
28,2011-01-29,3179.24
29,2011-01-30,3179.22
30,2011-01-31,3179.21
31,2011-02-01,3179.11
32,2011-02-02,3179.03
33,2011-02-03,3178.95
34,2011-02-04,3178.99
35,2011-02-05,3178.97
36,2011-02-06,3178.97
37,2011-02-07,3179.2
38,2011-02-08,3179.19
39,2011-02-09,3179.14
40,2011-02-10,3179.08
41,2011-02-11,3179.04
42,2011-02-12,3179.01
43,2011-02-13,3179.03
44,2011-02-14,3179.1
45,2011-02-15,3179.1
46,2011-02-16,3179.08
47,2011-02-17,3179.02
48,2011-02-18,3178.97
49,2011-02-19,3178.86
50,2011-02-20,3178.77
51,2011-02-21,3178.66
52,2011-02-22,3178.65
53,2011-02-23,3178.7
54,2011-02-24,3178.63
55,2011-02-25,3178.52
56,2011-02-26,3178.44
57,2011-02-27,3178.48
58,2011-02-28,3178.56
59,2011-03-01,3178.53
60,2011-03-02,3178.44
61,2011-03-03,3178.43
62,2011-03-04,3178.36
63,2011-03-05,3178.3
64,2011-03-06,3178.21
65,2011-03-07,3178.11
66,2011-03-08,3178.07
67,2011-03-09,3178.09
68,2011-03-10,3178.29
69,2011-03-11,3178.25
70,2011-03-12,3178.25
71,2011-03-13,3178.25
72,2011-03-14,3178.19
73,2011-03-15,3178.38
74,2011-03-16,3178.4
75,2011-03-17,3178.36
76,2011-03-18,3178.34
77,2011-03-19,3178.25
78,2011-03-20,3178.25
79,2011-03-21,3178.22
80,2011-03-22,3178.15
81,2011-03-23,3178.1
82,2011-03-24,3178.03
83,2011-03-25,3177.97
84,2011-03-26,3177.95
85,2011-03-27,3177.92
86,2011-03-28,3177.88
87,2011-03-29,3178.01
88,2011-03-30,3178.32
89,2011-03-31,3178.79
90,2011-04-01,3179.04
91,2011-04-02,3179.29
92,2011-04-03,3179.34
93,2011-04-04,3179.57
94,2011-04-05,3179.81
95,2011-04-06,3179.97
96,2011-04-07,3179.97
97,2011-04-08,3179.93
98,2011-04-09,3179.89
99,2011-04-10,3179.86
100,2011-04-11,3179.91
101,2011-04-12,3179.85
102,2011-04-13,3179.84
103,2011-04-14,3179.94
104,2011-04-15,3180.09
105,2011-04-16,3180.39
106,2011-04-17,3180.53
107,2011-04-18,3180.49
108,2011-04-19,3180.41
109,2011-04-20,3180.34
110,2011-04-21,3180.31
111,2011-04-22,3180.23
112,2011-04-23,3180.17
113,2011-04-24,3180.13
114,2011-04-25,3180.32
115,2011-04-26,3180.37
116,2011-04-27,3180.39
117,2011-04-28,3180.4
118,2011-04-29,3180.34
119,2011-04-30,3180.27
120,2011-05-01,3180.2
121,2011-05-02,3180.18
122,2011-05-03,3180.15
123,2011-05-04,3180.09
124,2011-05-05,3180.07
125,2011-05-06,3180.11
126,2011-05-07,3180.22
127,2011-05-08,3180.29
128,2011-05-09,3180.29
129,2011-05-10,3180.3
130,2011-05-11,3180.32
131,2011-05-12,3180.34
132,2011-05-13,3180.34
133,2011-05-14,3180.4
134,2011-05-15,3180.58
135,2011-05-16,3180.64
136,2011-05-17,3180.6
137,2011-05-18,3180.54
138,2011-05-19,3180.49
139,2011-05-20,3180.45
140,2011-05-21,3180.44
141,2011-05-22,3180.42
142,2011-05-23,3180.4
143,2011-05-24,3180.35
144,2011-05-25,3180.36
145,2011-05-26,3180.41
146,2011-05-27,3180.56
147,2011-05-28,3180.55
148,2011-05-29,3180.51
149,2011-05-30,3180.49
150,2011-05-31,3180.48
151,2011-06-01,3180.49
152,2011-06-02,3180.59
153,2011-06-03,3180.58
154,2011-06-04,3180.58
155,2011-06-05,3180.65
156,2011-06-06,3180.65
157,2011-06-07,3180.7
158,2011-06-08,3180.64
159,2011-06-09,3180.59
160,2011-06-10,3180.56
161,2011-06-11,3180.52
162,2011-06-12,3180.51
163,2011-06-13,3180.53
164,2011-06-14,3180.52
165,2011-06-15,3180.5
166,2011-06-16,3180.45
167,2011-06-17,3180.4
168,2011-06-18,3180.42
169,2011-06-19,3180.45
170,2011-06-20,3180.44
171,2011-06-21,3180.44
172,2011-06-22,3180.45
173,2011-06-23,3180.43
174,2011-06-24,3180.37
175,2011-06-25,3180.32
