,datetime,CASTLE_LAKE_NEAR_MOUNT_ST._HELENS__WA.tsv
0,2013-01-01,2578.32
1,2013-01-02,2578.28
2,2013-01-03,2578.21
3,2013-01-04,2578.27
4,2013-01-05,2578.25
5,2013-01-06,2578.24
6,2013-01-07,2578.4
7,2013-01-08,2578.47
8,2013-01-09,2578.73
9,2013-01-10,2578.71
10,2013-01-11,2578.66
11,2013-01-12,2578.6
12,2013-01-13,2578.55
13,2013-01-14,2578.5
14,2013-01-15,2578.46
15,2013-01-16,2578.42
16,2013-01-17,2578.38
17,2013-01-18,2578.36
18,2013-01-19,2578.34
19,2013-01-20,2578.32
20,2013-01-21,2578.3
21,2013-01-22,2578.28
22,2013-01-23,2578.31
23,2013-01-24,2578.35
24,2013-01-25,2578.37
25,2013-01-26,2578.4
26,2013-01-27,2578.44
27,2013-01-28,2578.56
28,2013-01-29,2578.58
29,2013-01-30,2578.7
30,2013-01-31,2578.78
31,2013-02-01,2578.78
32,2013-02-02,2578.74
33,2013-02-03,2578.69
34,2013-02-04,2578.63
35,2013-02-05,2578.66
36,2013-02-06,2578.68
37,2013-02-07,2578.65
38,2013-02-08,2578.6
39,2013-02-09,2578.55
40,2013-02-10,2578.51
41,2013-02-11,2578.48
42,2013-02-12,2578.46
43,2013-02-13,2578.47
44,2013-02-14,2578.47
45,2013-02-15,2578.47
46,2013-02-16,2578.52
47,2013-02-17,2578.51
48,2013-02-18,2578.5
49,2013-02-19,2578.48
50,2013-02-20,2578.46
51,2013-02-21,2578.48
52,2013-02-22,2578.54
53,2013-02-23,2578.53
54,2013-02-24,2578.47
55,2013-02-25,2578.48
56,2013-02-26,2578.42
57,2013-02-27,2578.4
58,2013-02-28,2578.63
59,2013-03-01,2578.81
60,2013-03-02,2578.94
61,2013-03-03,2578.96
62,2013-03-04,2578.86
63,2013-03-05,2578.84
64,2013-03-06,2578.78
65,2013-03-07,2578.72
66,2013-03-08,2578.65
67,2013-03-09,2578.58
68,2013-03-10,2578.55
69,2013-03-11,2578.52
70,2013-03-12,2578.53
71,2013-03-13,2578.59
72,2013-03-14,2578.68
73,2013-03-15,2578.8
74,2013-03-16,2578.95
75,2013-03-17,2578.95
76,2013-03-18,2578.89
77,2013-03-19,2578.86
78,2013-03-20,2579.18
79,2013-03-21,2579.23
80,2013-03-22,2579.12
81,2013-03-23,2578.99
82,2013-03-24,2578.86
83,2013-03-25,2578.77
84,2013-03-26,2578.7
85,2013-03-27,2578.66
86,2013-03-28,2578.64
87,2013-03-29,2578.64
88,2013-03-30,2578.66
89,2013-03-31,2578.72
90,2013-04-01,2578.78
91,2013-04-02,2578.84
92,2013-04-03,2578.87
93,2013-04-04,2579.06
94,2013-04-05,2579.46
95,2013-04-06,2579.67
96,2013-04-07,2579.76
97,2013-04-08,2579.59
98,2013-04-09,2579.37
99,2013-04-10,2579.28
100,2013-04-11,2579.19
101,2013-04-12,2579.13
102,2013-04-13,2579.06
103,2013-04-14,2578.97
104,2013-04-15,2578.86
105,2013-04-16,2578.77
106,2013-04-17,2578.71
107,2013-04-18,2578.68
108,2013-04-19,2578.86
109,2013-04-20,2578.93
110,2013-04-21,2578.96
111,2013-04-22,2578.93
112,2013-04-23,2578.88
113,2013-04-24,2578.83
114,2013-04-25,2578.81
115,2013-04-26,2578.8
116,2013-04-27,2578.81
117,2013-04-28,2578.79
118,2013-04-29,2578.92
119,2013-04-30,2578.88
120,2013-05-01,2578.8
121,2013-05-02,2578.74
122,2013-05-03,2578.71
123,2013-05-04,2578.73
124,2013-05-05,2578.79
125,2013-05-06,2578.84
126,2013-05-07,2578.88
127,2013-05-08,2578.89
128,2013-05-09,2578.89
129,2013-05-10,2578.89
130,2013-05-11,2578.88
131,2013-05-12,2578.86
132,2013-05-13,2578.86
133,2013-05-14,2578.79
134,2013-05-15,2578.72
135,2013-05-16,2578.66
136,2013-05-17,2578.63
137,2013-05-18,2578.59
138,2013-05-19,2578.55
139,2013-05-20,2578.5
140,2013-05-21,2578.56
141,2013-05-22,2578.64
142,2013-05-23,2578.67
143,2013-05-24,2578.64
144,2013-05-25,2578.61
145,2013-05-26,2578.61
146,2013-05-27,2578.7
147,2013-05-28,2578.74
148,2013-05-29,2578.93
149,2013-05-30,2578.97
150,2013-05-31,2578.94
151,2013-06-01,2578.87
152,2013-06-02,2578.8
153,2013-06-03,2578.73
154,2013-06-04,2578.66
155,2013-06-05,2578.6
156,2013-06-06,2578.54
157,2013-06-07,2578.48
158,2013-06-08,2578.43
159,2013-06-09,2578.39
160,2013-06-10,2578.34
161,2013-06-11,2578.32
162,2013-06-12,2578.3
163,2013-06-13,2578.3
164,2013-06-14,2578.27
165,2013-06-15,2578.24
166,2013-06-16,2578.21
167,2013-06-17,2578.19
168,2013-06-18,2578.17
169,2013-06-19,2578.16
170,2013-06-20,2578.21
171,2013-06-21,2578.2
172,2013-06-22,2578.17
173,2013-06-23,2578.19
174,2013-06-24,2578.19
175,2013-06-25,2578.19
176,2013-06-26,2578.2
177,2013-06-27,2578.19
178,2013-06-28,2578.16
179,2013-06-29,2578.15
180,2013-06-30,2578.13
181,2013-07-01,2578.11
182,2013-07-02,2578.09
183,2013-07-03,2578.08
184,2013-07-04,2578.05
185,2013-07-05,2578.03
186,2013-07-06,2578.02
187,2013-07-07,2578.01
188,2013-07-08,2577.99
189,2013-07-09,2577.98
190,2013-07-10,2577.97
191,2013-07-11,2577.95
192,2013-07-12,2577.94
193,2013-07-13,2577.92
194,2013-07-14,2577.92
195,2013-07-15,2577.9
196,2013-07-16,2577.9
197,2013-07-17,2577.89
198,2013-07-18,2577.88
199,2013-07-19,2577.88
200,2013-07-20,2577.87
201,2013-07-21,2577.86
202,2013-07-22,2577.86
203,2013-07-23,2577.85
204,2013-07-24,2577.84
205,2013-07-25,2577.83
206,2013-07-26,2577.82
207,2013-07-27,2577.81
208,2013-07-28,2577.8
209,2013-07-29,2577.8
210,2013-07-30,2577.79
211,2013-07-31,2577.78
212,2013-08-01,2577.78
213,2013-08-02,2577.78
214,2013-08-03,2577.78
215,2013-08-04,2577.78
216,2013-08-05,2577.77
217,2013-08-06,2577.77
218,2013-08-07,2577.76
219,2013-08-08,2577.76
220,2013-08-09,2577.77
221,2013-08-10,2577.77
222,2013-08-11,2577.76
223,2013-08-12,2577.75
224,2013-08-13,2577.75
225,2013-08-14,2577.75
226,2013-08-15,2577.75
227,2013-08-16,2577.74
228,2013-08-17,2577.74
229,2013-08-18,2577.73
230,2013-08-19,2577.72
231,2013-08-20,2577.72
232,2013-08-21,2577.71
233,2013-08-22,2577.71
234,2013-08-23,2577.7
235,2013-08-24,2577.7
236,2013-08-25,2577.7
237,2013-08-26,2577.72
238,2013-08-27,2577.72
239,2013-08-28,2577.72
240,2013-08-29,2577.83
241,2013-08-30,2577.85
242,2013-08-31,2577.83
243,2013-09-01,2577.83
244,2013-09-02,2577.82
245,2013-09-03,2577.84
246,2013-09-04,2577.84
247,2013-09-05,2577.92
248,2013-09-06,2578.09
249,2013-09-07,2578.07
250,2013-09-08,2578.05
251,2013-09-09,2578.03
252,2013-09-10,2578.0
253,2013-09-11,2577.98
254,2013-09-12,2577.97
255,2013-09-13,2577.95
256,2013-09-14,2577.94
257,2013-09-15,2577.94
258,2013-09-16,2577.94
259,2013-09-17,2577.92
260,2013-09-18,2577.92
261,2013-09-19,2577.92
262,2013-09-20,2577.88
263,2013-09-21,2577.91
264,2013-09-22,2578.02
265,2013-09-23,2578.06
266,2013-09-24,2578.07
267,2013-09-25,2578.06
268,2013-09-26,2578.04
269,2013-09-27,2578.12
270,2013-09-28,2578.8
271,2013-09-29,2579.35
272,2013-09-30,2579.59
273,2013-10-01,2579.5
274,2013-10-02,2579.3
275,2013-10-03,2579.1
276,2013-10-04,2578.93
277,2013-10-05,2578.79
278,2013-10-06,2578.66
279,2013-10-07,2578.67
280,2013-10-08,2578.67
281,2013-10-09,2578.61
282,2013-10-10,2578.56
283,2013-10-11,2578.51
284,2013-10-12,2578.48
285,2013-10-13,2578.44
286,2013-10-14,2578.4
287,2013-10-15,2578.36
288,2013-10-16,2578.34
289,2013-10-17,2578.31
290,2013-10-18,2578.28
291,2013-10-19,2578.26
292,2013-10-20,2578.24
293,2013-10-21,2578.22
294,2013-10-22,2578.2
295,2013-10-23,2578.18
296,2013-10-24,2578.17
297,2013-10-25,2578.15
298,2013-10-26,2578.14
299,2013-10-27,2578.17
300,2013-10-28,2578.15
301,2013-10-29,2578.11
302,2013-10-30,2578.1
303,2013-10-31,2578.12
304,2013-11-01,2578.12
305,2013-11-02,2578.29
306,2013-11-03,2578.3
307,2013-11-04,2578.31
308,2013-11-05,2578.3
309,2013-11-06,2578.31
310,2013-11-07,2578.57
311,2013-11-08,2578.69
312,2013-11-09,2578.69
313,2013-11-10,2578.66
314,2013-11-11,2578.6
315,2013-11-12,2578.6
316,2013-11-13,2578.55
317,2013-11-14,2578.53
318,2013-11-15,2578.59
319,2013-11-16,2578.63
320,2013-11-17,2578.63
321,2013-11-18,2578.76
322,2013-11-19,2578.98
323,2013-11-20,2578.98
324,2013-11-21,2578.92
325,2013-11-22,2578.82
326,2013-11-23,2578.74
327,2013-11-24,2578.67
328,2013-11-25,2578.6
329,2013-11-26,2578.54
330,2013-11-27,2578.48
331,2013-11-28,2578.44
332,2013-11-29,2578.41
333,2013-11-30,2578.41
334,2013-12-01,2579.26
335,2013-12-02,2579.41
336,2013-12-03,2579.28
337,2013-12-04,2579.17625
338,2013-12-05,2579.0725
339,2013-12-06,2578.96875
340,2013-12-07,2578.865
341,2013-12-08,2578.76125
342,2013-12-09,2578.6575
343,2013-12-10,2578.55375
344,2013-12-11,2578.45
345,2013-12-12,2578.43
346,2013-12-13,2578.42
347,2013-12-14,2578.39
348,2013-12-15,2578.37
349,2013-12-16,2578.36
350,2013-12-17,2578.34
351,2013-12-18,2578.32
352,2013-12-19,2578.3
353,2013-12-20,2578.39
354,2013-12-21,2578.39
355,2013-12-22,2578.42
356,2013-12-23,2578.56
357,2013-12-24,2578.6
358,2013-12-25,2578.6
359,2013-12-26,2578.58
360,2013-12-27,2578.55
361,2013-12-28,2578.53
362,2013-12-29,2578.49
363,2013-12-30,2578.45
364,2013-12-31,2578.43
365,2014-01-01,2578.4
366,2014-01-02,2578.45
367,2014-01-03,2578.42
368,2014-01-04,2578.38
369,2014-01-05,2578.35
370,2014-01-06,2578.33
371,2014-01-07,2578.36
372,2014-01-08,2578.47
373,2014-01-09,2578.66
374,2014-01-10,2578.8
375,2014-01-11,2579.18
376,2014-01-12,2579.34
377,2014-01-13,2579.42
378,2014-01-14,2579.32
379,2014-01-15,2579.17
380,2014-01-16,2579.03
381,2014-01-17,2578.9
382,2014-01-18,2578.79
383,2014-01-19,2578.71
384,2014-01-20,2578.64
385,2014-01-21,2578.58
386,2014-01-22,2578.52
387,2014-01-23,2578.47
388,2014-01-24,2578.45
389,2014-01-25,2578.4
390,2014-01-26,2578.38
391,2014-01-27,2578.36
392,2014-01-28,2578.38
393,2014-01-29,2578.58
394,2014-01-30,2578.68
395,2014-01-31,2578.67
396,2014-02-01,2578.63
397,2014-02-02,2578.59
398,2014-02-03,2578.54
399,2014-02-04,2578.5
400,2014-02-05,2578.44
401,2014-02-06,2578.45
402,2014-02-07,2578.41
403,2014-02-08,2578.38
404,2014-02-09,2578.38
405,2014-02-10,2578.41
406,2014-02-11,2578.58
407,2014-02-12,2578.91
408,2014-02-13,2579.07
409,2014-02-14,2579.16
410,2014-02-15,2579.41
411,2014-02-16,2579.59
412,2014-02-17,2579.64
413,2014-02-18,2579.65
414,2014-02-19,2579.48
415,2014-02-20,2579.31
416,2014-02-21,2579.09
417,2014-02-22,2578.93
418,2014-02-23,2578.8
419,2014-02-24,2578.8
420,2014-02-25,2578.79
421,2014-02-26,2578.72
422,2014-02-27,2578.71
423,2014-02-28,2578.69
424,2014-03-01,2578.64
425,2014-03-02,2578.84
426,2014-03-03,2579.16
427,2014-03-04,2579.25
428,2014-03-05,2579.71
429,2014-03-06,2580.45
430,2014-03-07,2580.24
431,2014-03-08,2580.17
432,2014-03-09,2580.29
433,2014-03-10,2580.09
434,2014-03-11,2579.74
435,2014-03-12,2579.43
436,2014-03-13,2579.19
437,2014-03-14,2579.08
438,2014-03-15,2578.94
439,2014-03-16,2579.02
440,2014-03-17,2578.95
441,2014-03-18,2578.89
442,2014-03-19,2578.89
443,2014-03-20,2578.8
444,2014-03-21,2578.73
445,2014-03-22,2578.67
446,2014-03-23,2578.61
447,2014-03-24,2578.57
448,2014-03-25,2578.67
449,2014-03-26,2578.73
450,2014-03-27,2578.78
451,2014-03-28,2578.99
452,2014-03-29,2579.21
453,2014-03-30,2579.24
454,2014-03-31,2579.13
455,2014-04-01,2579.04
456,2014-04-02,2578.93
457,2014-04-03,2578.9
458,2014-04-04,2578.85
459,2014-04-05,2578.88
460,2014-04-06,2578.87
461,2014-04-07,2578.87
462,2014-04-08,2578.88
463,2014-04-09,2578.88
464,2014-04-10,2578.83
465,2014-04-11,2578.78
466,2014-04-12,2578.73
467,2014-04-13,2578.66
468,2014-04-14,2578.61
469,2014-04-15,2578.57
470,2014-04-16,2578.61
471,2014-04-17,2578.75
472,2014-04-18,2578.77
473,2014-04-19,2578.82
474,2014-04-20,2578.77
475,2014-04-21,2578.76
476,2014-04-22,2578.8
477,2014-04-23,2578.91
478,2014-04-24,2579.21
479,2014-04-25,2579.27
480,2014-04-26,2579.22
481,2014-04-27,2579.21
482,2014-04-28,2579.08
483,2014-04-29,2578.98
484,2014-04-30,2578.9
485,2014-05-01,2578.81
486,2014-05-02,2578.78
487,2014-05-03,2578.81
488,2014-05-04,2578.98
489,2014-05-05,2579.01
490,2014-05-06,2578.97
491,2014-05-07,2578.9
