,datetime,CHESTER_MORSE_LAKE_AT_CEDAR_FALLS__WA.
0,2011-01-01,1549.61
1,2011-01-02,1549.32
2,2011-01-03,1549.06
3,2011-01-04,1548.81
4,2011-01-05,1548.64
5,2011-01-06,1548.76
6,2011-01-07,1549.52
7,2011-01-08,1550.85
8,2011-01-09,1551.54
9,2011-01-10,1551.95
10,2011-01-11,1551.85
11,2011-01-12,1551.61
12,2011-01-13,1552.09
13,2011-01-14,1554.22
14,2011-01-15,1556.94
15,2011-01-16,1559.5
16,2011-01-17,1565.27
17,2011-01-18,1566.16
18,2011-01-19,1564.59
19,2011-01-20,1562.55
20,2011-01-21,1561.01
21,2011-01-22,1560.77
22,2011-01-23,1559.49
23,2011-01-24,1557.75
24,2011-01-25,1555.77
25,2011-01-26,1554.87
26,2011-01-27,1554.43
27,2011-01-28,1554.0
28,2011-01-29,1553.77
29,2011-01-30,1554.05
30,2011-01-31,1554.04
31,2011-02-01,1553.76
32,2011-02-02,1553.23
33,2011-02-03,1552.57
34,2011-02-04,1552.19
35,2011-02-05,1552.64
36,2011-02-06,1552.99
37,2011-02-07,1553.71
38,2011-02-08,1554.2
39,2011-02-09,1553.87
40,2011-02-10,1553.23
41,2011-02-11,1552.6
42,2011-02-12,1552.08
43,2011-02-13,1551.88
44,2011-02-14,1551.57
45,2011-02-15,1551.42
46,2011-02-16,1551.45
47,2011-02-17,1551.53
48,2011-02-18,1551.66
49,2011-02-19,1551.78
50,2011-02-20,1551.89
51,2011-02-21,1551.95
52,2011-02-22,1552.05
53,2011-02-23,1552.17
54,2011-02-24,1552.22
55,2011-02-25,1552.2
56,2011-02-26,1552.13
57,2011-02-27,1552.13
58,2011-02-28,1552.23
59,2011-03-01,1552.23
60,2011-03-02,1552.19
61,2011-03-03,1552.17
62,2011-03-04,1552.16
63,2011-03-05,1552.09
64,2011-03-06,1552.03
65,2011-03-07,1551.95
66,2011-03-08,1551.91
67,2011-03-09,1551.86
68,2011-03-10,1552.22
69,2011-03-11,1552.8
70,2011-03-12,1553.01
71,2011-03-13,1553.04
72,2011-03-14,1553.11
73,2011-03-15,1553.17
74,2011-03-16,1553.38
75,2011-03-17,1553.5
76,2011-03-18,1553.53
77,2011-03-19,1553.46
78,2011-03-20,1553.16
79,2011-03-21,1552.58
80,2011-03-22,1552.12
81,2011-03-23,1551.86
82,2011-03-24,1551.63
83,2011-03-25,1551.44
84,2011-03-26,1551.31
85,2011-03-27,1551.12
86,2011-03-28,1550.97
87,2011-03-29,1550.86
88,2011-03-30,1551.32
89,2011-03-31,1555.62
90,2011-04-01,1559.69
91,2011-04-02,1560.99
92,2011-04-03,1561.48
93,2011-04-04,1561.41
94,2011-04-05,1561.61
95,2011-04-06,1561.5
96,2011-04-07,1560.89
97,2011-04-08,1560.03
98,2011-04-09,1559.08
99,2011-04-10,1558.14
100,2011-04-11,1557.25
101,2011-04-12,1556.38
102,2011-04-13,1555.44
103,2011-04-14,1554.51
104,2011-04-15,1553.8
105,2011-04-16,1553.15
106,2011-04-17,1552.68
107,2011-04-18,1552.14
108,2011-04-19,1551.58
109,2011-04-20,1551.05
110,2011-04-21,1550.6
111,2011-04-22,1550.15
112,2011-04-23,1549.69
113,2011-04-24,1549.18
114,2011-04-25,1548.75
115,2011-04-26,1548.53
116,2011-04-27,1548.57
117,2011-04-28,1548.83
118,2011-04-29,1549.07
119,2011-04-30,1549.28
120,2011-05-01,1549.43
121,2011-05-02,1549.56
122,2011-05-03,1549.91
123,2011-05-04,1550.24
124,2011-05-05,1550.5
125,2011-05-06,1550.78
126,2011-05-07,1551.19
127,2011-05-08,1551.83
128,2011-05-09,1552.33
129,2011-05-10,1552.65
130,2011-05-11,1552.95
131,2011-05-12,1553.4
132,2011-05-13,1553.79
133,2011-05-14,1554.11
134,2011-05-15,1555.63
135,2011-05-16,1558.41
136,2011-05-17,1559.58
137,2011-05-18,1559.85
138,2011-05-19,1559.84
139,2011-05-20,1559.74
140,2011-05-21,1559.66
141,2011-05-22,1559.62
142,2011-05-23,1559.5
143,2011-05-24,1559.31
144,2011-05-25,1559.06
145,2011-05-26,1559.03
