,datetime,CLEAR_LK_A_LAKEPORT_CA.tsv
0,2013-01-01,5.61
1,2013-01-02,5.58
2,2013-01-03,5.54
3,2013-01-04,5.53
4,2013-01-05,5.56
5,2013-01-06,5.61
6,2013-01-07,5.63
7,2013-01-08,5.66
8,2013-01-09,5.65
9,2013-01-10,5.66
10,2013-01-11,5.68
11,2013-01-12,5.7
12,2013-01-13,5.71
13,2013-01-14,5.72
14,2013-01-15,5.72
15,2013-01-16,5.73
16,2013-01-17,5.74
17,2013-01-18,5.75
18,2013-01-19,5.77
19,2013-01-20,5.77
20,2013-01-21,5.78
21,2013-01-22,5.78
22,2013-01-23,5.81
23,2013-01-24,5.84
24,2013-01-25,5.85
25,2013-01-26,5.84
26,2013-01-27,5.85
27,2013-01-28,5.84
28,2013-01-29,5.86
29,2013-01-30,5.87
30,2013-01-31,5.88
31,2013-02-01,5.88
32,2013-02-02,5.89
33,2013-02-03,5.89
34,2013-02-04,5.9
35,2013-02-05,5.9
36,2013-02-06,5.9
37,2013-02-07,5.91
38,2013-02-08,5.92
39,2013-02-09,5.92
40,2013-02-10,5.93
41,2013-02-11,5.93
42,2013-02-12,5.93
43,2013-02-13,5.93
44,2013-02-14,5.94
45,2013-02-15,5.94
46,2013-02-16,5.94
47,2013-02-17,5.94
48,2013-02-18,5.93
49,2013-02-19,5.92
50,2013-02-20,5.93
51,2013-02-21,5.93
52,2013-02-22,5.93
53,2013-02-23,5.92
54,2013-02-24,5.93
55,2013-02-25,5.93
56,2013-02-26,5.93
57,2013-02-27,5.93
58,2013-02-28,5.93
59,2013-03-01,5.94
60,2013-03-02,5.94
61,2013-03-03,5.94
62,2013-03-04,5.94
63,2013-03-05,5.94
64,2013-03-06,6.0
65,2013-03-07,6.04
66,2013-03-08,6.03
67,2013-03-09,6.04
68,2013-03-10,6.05
69,2013-03-11,6.06
70,2013-03-12,6.06
71,2013-03-13,6.07
72,2013-03-14,6.06
73,2013-03-15,6.06
74,2013-03-16,6.05
75,2013-03-17,6.05
76,2013-03-18,6.05
77,2013-03-19,6.06
78,2013-03-20,6.08
79,2013-03-21,6.09
80,2013-03-22,6.1
81,2013-03-23,6.1
82,2013-03-24,6.1
83,2013-03-25,6.1
84,2013-03-26,6.11
85,2013-03-27,6.11
86,2013-03-28,6.12
87,2013-03-29,6.13
88,2013-03-30,6.14
89,2013-03-31,6.16
90,2013-04-01,6.18
91,2013-04-02,6.18
92,2013-04-03,6.18
93,2013-04-04,6.22
94,2013-04-05,6.23
95,2013-04-06,6.23
96,2013-04-07,6.21
97,2013-04-08,6.19
98,2013-04-09,6.22
99,2013-04-10,6.2
100,2013-04-11,6.2
101,2013-04-12,6.2
102,2013-04-13,6.17
103,2013-04-14,6.13
104,2013-04-15,6.1
105,2013-04-16,6.14
106,2013-04-17,6.13
107,2013-04-18,6.13
108,2013-04-19,6.1
109,2013-04-20,6.11
110,2013-04-21,6.11
111,2013-04-22,6.11
112,2013-04-23,6.1
113,2013-04-24,6.08
114,2013-04-25,6.06
115,2013-04-26,6.06
116,2013-04-27,6.05
117,2013-04-28,6.04
118,2013-04-29,6.03
119,2013-04-30,6.02
120,2013-05-01,6.0
121,2013-05-02,5.97
122,2013-05-03,5.96
123,2013-05-04,5.95
124,2013-05-05,5.93
125,2013-05-06,5.91
126,2013-05-07,5.89
127,2013-05-08,5.88
128,2013-05-09,5.86
129,2013-05-10,5.85
130,2013-05-11,5.84
131,2013-05-12,5.82
132,2013-05-13,5.8
133,2013-05-14,5.78
134,2013-05-15,5.74
135,2013-05-16,5.7
136,2013-05-17,5.68
137,2013-05-18,5.63
138,2013-05-19,5.62
139,2013-05-20,5.59
140,2013-05-21,5.49
141,2013-05-22,5.45
142,2013-05-23,5.43
143,2013-05-24,5.4
144,2013-05-25,5.36
145,2013-05-26,5.31
146,2013-05-27,5.3
147,2013-05-28,5.29
148,2013-05-29,5.24
149,2013-05-30,5.22
150,2013-05-31,5.2
151,2013-06-01,5.16
152,2013-06-02,5.14
153,2013-06-03,5.11
154,2013-06-04,5.07
155,2013-06-05,5.05
156,2013-06-06,5.02
157,2013-06-07,4.99
158,2013-06-08,4.96
159,2013-06-09,4.91
160,2013-06-10,4.88
161,2013-06-11,4.86
162,2013-06-12,4.78
163,2013-06-13,4.75
164,2013-06-14,4.73
165,2013-06-15,4.68
166,2013-06-16,4.63
167,2013-06-17,4.59
168,2013-06-18,4.51
169,2013-06-19,4.48
170,2013-06-20,4.45
171,2013-06-21,4.42
172,2013-06-22,4.38
173,2013-06-23,4.34
174,2013-06-24,4.33
175,2013-06-25,4.32
176,2013-06-26,4.31
177,2013-06-27,4.29
178,2013-06-28,4.26
179,2013-06-29,4.24
180,2013-06-30,4.21
181,2013-07-01,4.18
182,2013-07-02,4.16
183,2013-07-03,4.13
184,2013-07-04,4.08
185,2013-07-05,4.04
186,2013-07-06,4.0
187,2013-07-07,3.96
188,2013-07-08,3.93
189,2013-07-09,3.88
190,2013-07-10,3.83
191,2013-07-11,3.78
192,2013-07-12,3.73
193,2013-07-13,3.68
194,2013-07-14,3.65
195,2013-07-15,3.6
196,2013-07-16,3.57
197,2013-07-17,3.53
198,2013-07-18,3.49
199,2013-07-19,3.47
200,2013-07-20,3.44
201,2013-07-21,3.41
202,2013-07-22,3.39
203,2013-07-23,3.33
204,2013-07-24,3.3
205,2013-07-25,3.26
206,2013-07-26,3.23
207,2013-07-27,3.2
208,2013-07-28,3.16
209,2013-07-29,3.13
210,2013-07-30,3.09
211,2013-07-31,3.04
212,2013-08-01,2.98
213,2013-08-02,2.95
214,2013-08-03,2.92
215,2013-08-04,2.89
216,2013-08-05,2.85
217,2013-08-06,2.8
218,2013-08-07,2.76
219,2013-08-08,2.73
220,2013-08-09,2.7
221,2013-08-10,2.67
222,2013-08-11,2.63
223,2013-08-12,2.6
224,2013-08-13,2.57
225,2013-08-14,2.53
226,2013-08-15,2.5
227,2013-08-16,2.48
228,2013-08-17,2.45
229,2013-08-18,2.43
230,2013-08-19,2.41
231,2013-08-20,2.4
232,2013-08-21,2.4
233,2013-08-22,2.33
234,2013-08-23,2.27
235,2013-08-24,2.23
236,2013-08-25,2.22
237,2013-08-26,2.2
238,2013-08-27,2.16
239,2013-08-28,2.1
240,2013-08-29,2.07
241,2013-08-30,2.04
242,2013-08-31,2.01
243,2013-09-01,1.97
244,2013-09-02,1.93
245,2013-09-03,1.89
246,2013-09-04,1.85
247,2013-09-05,1.81
248,2013-09-06,1.8
249,2013-09-07,1.78
250,2013-09-08,1.76
251,2013-09-09,1.73
252,2013-09-10,1.7
253,2013-09-11,1.68
254,2013-09-12,1.66
255,2013-09-13,1.63
256,2013-09-14,1.6
257,2013-09-15,1.56
258,2013-09-16,1.54
259,2013-09-17,1.46
260,2013-09-18,1.46
261,2013-09-19,1.44
262,2013-09-20,1.4
263,2013-09-21,1.39
264,2013-09-22,1.38
265,2013-09-23,1.36
266,2013-09-24,1.3
267,2013-09-25,1.27
268,2013-09-26,1.28
269,2013-09-27,1.27
270,2013-09-28,1.25
271,2013-09-29,1.22
272,2013-09-30,1.22
273,2013-10-01,1.22
274,2013-10-02,1.18
275,2013-10-03,1.18
276,2013-10-04,1.19
277,2013-10-05,1.14
278,2013-10-06,1.13
279,2013-10-07,1.11
280,2013-10-08,1.09
281,2013-10-09,1.09
282,2013-10-10,1.1
283,2013-10-11,1.08
284,2013-10-12,1.05
285,2013-10-13,1.05
286,2013-10-14,1.04
287,2013-10-15,1.03
288,2013-10-16,1.02
289,2013-10-17,1.03
290,2013-10-18,1.01
291,2013-10-19,1.0
292,2013-10-20,0.99
293,2013-10-21,0.98
294,2013-10-22,0.98
295,2013-10-23,0.97
296,2013-10-24,0.96
297,2013-10-25,0.95
298,2013-10-26,0.95
299,2013-10-27,0.9
300,2013-10-28,0.91
301,2013-10-29,0.92
302,2013-10-30,0.91
303,2013-10-31,0.9
304,2013-11-01,0.89
305,2013-11-02,0.86
306,2013-11-03,0.84
307,2013-11-04,0.84
308,2013-11-05,0.83
309,2013-11-06,0.83
310,2013-11-07,0.82
311,2013-11-08,0.82
312,2013-11-09,0.82
313,2013-11-10,0.82
314,2013-11-11,0.81
315,2013-11-12,0.79
316,2013-11-13,0.78
317,2013-11-14,0.76
318,2013-11-15,0.76
319,2013-11-16,0.73
320,2013-11-17,0.74
321,2013-11-18,0.74
322,2013-11-19,0.78
