,datetime,COUGAR_LAKE_NEAR_RAINBOW__OR.tsv
0,2013-09-17,1604.86
1,2013-09-18,1604.26
2,2013-09-19,1603.57
3,2013-09-20,1602.87
4,2013-09-21,1602.19
5,2013-09-22,1601.54
6,2013-09-23,1600.94
7,2013-09-24,1600.57
8,2013-09-25,1600.3
9,2013-09-26,1599.78
10,2013-09-27,1599.26
11,2013-09-28,1599.33
12,2013-09-29,1601.1
13,2013-09-30,1604.84
14,2013-10-01,1606.23
15,2013-10-02,1607.06
16,2013-10-03,1607.47
17,2013-10-04,1607.56
18,2013-10-05,1607.48
19,2013-10-06,1607.26
20,2013-10-07,1607.03
21,2013-10-08,1606.83
22,2013-10-09,1606.15
23,2013-10-10,1604.66
24,2013-10-11,1603.09
25,2013-10-12,1601.48
26,2013-10-13,1599.79
27,2013-10-14,1597.97
28,2013-10-15,1596.05
29,2013-10-16,1594.1
30,2013-10-17,1592.13
31,2013-10-18,1590.12
32,2013-10-19,1588.1
33,2013-10-20,1586.06
34,2013-10-21,1583.99
35,2013-10-22,1582.1
36,2013-10-23,1580.36
37,2013-10-24,1578.58
38,2013-10-25,1577.41
39,2013-10-26,1576.86
40,2013-10-27,1576.36
41,2013-10-28,1575.87
42,2013-10-29,1575.25
43,2013-10-30,1574.67
44,2013-10-31,1574.1
45,2013-11-01,1573.61
46,2013-11-02,1573.7
47,2013-11-03,1573.66
48,2013-11-04,1573.51
49,2013-11-05,1574.14
50,2013-11-06,1574.59
51,2013-11-07,1575.07
52,2013-11-08,1574.0
53,2013-11-09,1569.82
54,2013-11-10,1565.14
55,2013-11-11,1560.2
56,2013-11-12,1554.84
57,2013-11-13,1549.14
58,2013-11-14,1543.14
59,2013-11-15,1537.1
60,2013-11-16,1531.53
61,2013-11-17,1529.13
62,2013-11-18,1528.77
63,2013-11-19,1532.18
64,2013-11-20,1535.69
65,2013-11-21,1535.22
66,2013-11-22,1534.4
67,2013-11-23,1533.69
68,2013-11-24,1532.7
69,2013-11-25,1532.31
70,2013-11-26,1532.35
71,2013-11-27,1532.35
72,2013-11-28,1532.22
73,2013-11-29,1532.05
74,2013-11-30,1531.97
75,2013-12-01,1532.11
76,2013-12-02,1535.29
77,2013-12-03,1537.36
78,2013-12-04,1538.32
79,2013-12-05,1538.54
80,2013-12-06,1538.22
81,2013-12-07,1537.54
82,2013-12-08,1536.67
83,2013-12-09,1535.67
84,2013-12-10,1534.52
85,2013-12-11,1533.37
86,2013-12-12,1532.4
87,2013-12-13,1531.92
88,2013-12-14,1531.74
89,2013-12-15,1531.57
90,2013-12-16,1531.41
91,2013-12-17,1531.23
92,2013-12-18,1531.02
93,2013-12-19,1530.78
94,2013-12-20,1530.63
95,2013-12-21,1530.89
96,2013-12-22,1531.19
97,2013-12-23,1531.46
98,2013-12-24,1531.79
99,2013-12-25,1532.0
100,2013-12-26,1532.1
101,2013-12-27,1532.13
102,2013-12-28,1531.6
103,2013-12-29,1530.97
104,2013-12-30,1530.5
105,2013-12-31,1530.4
106,2014-01-01,1530.25
107,2014-01-02,1530.06
108,2014-01-03,1529.86
109,2014-01-04,1529.62
110,2014-01-05,1529.33
111,2014-01-06,1529.02
112,2014-01-07,1528.79
113,2014-01-08,1529.2
114,2014-01-09,1530.85
115,2014-01-10,1532.56
116,2014-01-11,1534.99
117,2014-01-12,1538.33
118,2014-01-13,1542.51
119,2014-01-14,1545.59
120,2014-01-15,1547.81
121,2014-01-16,1549.26
122,2014-01-17,1549.34
123,2014-01-18,1548.92
124,2014-01-19,1548.25
125,2014-01-20,1547.4
126,2014-01-21,1546.3
127,2014-01-22,1544.99
128,2014-01-23,1542.95
129,2014-01-24,1540.04
130,2014-01-25,1536.98
131,2014-01-26,1533.88
132,2014-01-27,1531.54
133,2014-01-28,1529.88
134,2014-01-29,1531.4
135,2014-01-30,1531.19
136,2014-01-31,1531.03
137,2014-02-01,1530.9
138,2014-02-02,1530.7
139,2014-02-03,1530.55
140,2014-02-04,1530.35
141,2014-02-05,1530.06
142,2014-02-06,1530.1
143,2014-02-07,1530.14
144,2014-02-08,1530.49
145,2014-02-09,1531.43
146,2014-02-10,1529.41
147,2014-02-11,1526.14
148,2014-02-12,1545.54
149,2014-02-13,1566.64
150,2014-02-14,1589.56
151,2014-02-15,1606.8
152,2014-02-16,1618.19
153,2014-02-17,1625.14
154,2014-02-18,1630.94
155,2014-02-19,1632.61
156,2014-02-20,1631.47
157,2014-02-21,1629.65
158,2014-02-22,1627.24
159,2014-02-23,1624.35
160,2014-02-24,1622.55
161,2014-02-25,1622.6
162,2014-02-26,1622.42
163,2014-02-27,1622.24
164,2014-02-28,1621.93
165,2014-03-01,1621.88
166,2014-03-02,1622.3
167,2014-03-03,1622.35
168,2014-03-04,1621.41
169,2014-03-05,1619.94
170,2014-03-06,1620.94
171,2014-03-07,1621.85
172,2014-03-08,1622.21
173,2014-03-09,1626.47
174,2014-03-10,1635.84
175,2014-03-11,1639.96
176,2014-03-12,1641.44
177,2014-03-13,1641.61
178,2014-03-14,1641.22
179,2014-03-15,1640.3
180,2014-03-16,1639.01
181,2014-03-17,1638.25
182,2014-03-18,1637.77
183,2014-03-19,1637.97
184,2014-03-20,1638.98
185,2014-03-21,1640.11
186,2014-03-22,1641.13
187,2014-03-23,1642.02
188,2014-03-24,1642.76
189,2014-03-25,1643.46
190,2014-03-26,1644.41
191,2014-03-27,1645.86
192,2014-03-28,1649.35
193,2014-03-29,1655.17
194,2014-03-30,1659.02
195,2014-03-31,1661.45
196,2014-04-01,1662.68
197,2014-04-02,1663.49
198,2014-04-03,1663.6
199,2014-04-04,1663.27
200,2014-04-05,1663.11
201,2014-04-06,1663.66
202,2014-04-07,1664.1
203,2014-04-08,1664.4
204,2014-04-09,1664.54
205,2014-04-10,1664.41
206,2014-04-11,1664.52
207,2014-04-12,1664.8
208,2014-04-13,1664.91
209,2014-04-14,1664.76
210,2014-04-15,1664.61
211,2014-04-16,1664.43
212,2014-04-17,1664.37
213,2014-04-18,1664.42
214,2014-04-19,1664.37
215,2014-04-20,1664.23
216,2014-04-21,1664.04
217,2014-04-22,1664.08
218,2014-04-23,1664.33
219,2014-04-24,1667.51
220,2014-04-25,1670.64
221,2014-04-26,1672.8
222,2014-04-27,1674.82
223,2014-04-28,1676.62
224,2014-04-29,1678.21
225,2014-04-30,1679.66
226,2014-05-01,1680.99
227,2014-05-02,1682.21
228,2014-05-03,1683.32
229,2014-05-04,1684.56
230,2014-05-05,1686.2
231,2014-05-06,1687.6
232,2014-05-07,1688.74
233,2014-05-08,1690.03
234,2014-05-09,1690.95
235,2014-05-10,1691.0
236,2014-05-11,1690.18
237,2014-05-12,1689.92
238,2014-05-13,1689.96
239,2014-05-14,1689.76
240,2014-05-15,1689.51
241,2014-05-16,1689.41
242,2014-05-17,1689.42
243,2014-05-18,1689.62
244,2014-05-19,1689.76
245,2014-05-20,1689.69
246,2014-05-21,1689.54
247,2014-05-22,1689.51
248,2014-05-23,1689.56
249,2014-05-24,1689.54
250,2014-05-25,1689.46
251,2014-05-26,1689.48
252,2014-05-27,1689.46
253,2014-05-28,1689.73
254,2014-05-29,1689.97
255,2014-05-30,1690.13
256,2014-05-31,1690.24
257,2014-06-01,1690.31
258,2014-06-02,1690.2
259,2014-06-03,1689.66
260,2014-06-04,1689.09
261,2014-06-05,1688.46
262,2014-06-06,1687.79
263,2014-06-07,1687.09
264,2014-06-08,1686.37
265,2014-06-09,1685.63
266,2014-06-10,1684.87
267,2014-06-11,1684.1
268,2014-06-12,1683.33
269,2014-06-13,1682.71
270,2014-06-14,1681.99
271,2014-06-15,1681.25
272,2014-06-16,1680.6
273,2014-06-17,1680.09
274,2014-06-18,1679.43
275,2014-06-19,1678.74
276,2014-06-20,1678.09
277,2014-06-21,1677.39
278,2014-06-22,1676.25
279,2014-06-23,1674.67
280,2014-06-24,1673.12
281,2014-06-25,1672.21
282,2014-06-26,1671.36
283,2014-06-27,1670.66
284,2014-06-28,1669.94
285,2014-06-29,1669.18
286,2014-06-30,1668.38
287,2014-07-01,1667.84
288,2014-07-02,1667.73
289,2014-07-03,1667.61
290,2014-07-04,1667.46
291,2014-07-05,1667.29
292,2014-07-06,1667.11
293,2014-07-07,1666.91
294,2014-07-08,1666.71
295,2014-07-09,1666.52
296,2014-07-10,1666.3
297,2014-07-11,1666.07
298,2014-07-12,1665.83
299,2014-07-13,1665.59
300,2014-07-14,1665.35
301,2014-07-15,1665.09
302,2014-07-16,1664.83
303,2014-07-17,1664.55
304,2014-07-18,1664.26
305,2014-07-19,1663.97
306,2014-07-20,1663.68
307,2014-07-21,1663.37
308,2014-07-22,1663.09
309,2014-07-23,1662.97
310,2014-07-24,1662.74
311,2014-07-25,1662.45
312,2014-07-26,1662.15
313,2014-07-27,1661.84
314,2014-07-28,1661.52
315,2014-07-29,1661.2
316,2014-07-30,1660.86
317,2014-07-31,1660.53
318,2014-08-01,1660.19
319,2014-08-02,1659.84
320,2014-08-03,1659.48
