,datetime,CRATER_LAKE_NEAR_CRATER_LAKE__OR.
0,2011-01-01,6170.77
1,2011-01-02,6170.76
2,2011-01-03,6170.75
3,2011-01-04,6170.74
4,2011-01-05,6170.72
5,2011-01-06,6170.71
6,2011-01-07,6170.7
7,2011-01-08,6170.69
8,2011-01-09,6170.67
9,2011-01-10,6170.66
10,2011-01-11,6170.64
11,2011-01-12,6170.65
12,2011-01-13,6170.74
13,2011-01-14,6170.8
14,2011-01-15,6170.83
15,2011-01-16,6171.05
16,2011-01-17,6171.22
17,2011-01-18,6171.2
18,2011-01-19,6171.22
19,2011-01-20,6171.21
20,2011-01-21,6171.2
21,2011-01-22,6171.19
22,2011-01-23,6171.18
23,2011-01-24,6171.17
24,2011-01-25,6171.16
25,2011-01-26,6171.14
26,2011-01-27,6171.13
27,2011-01-28,6171.12
28,2011-01-29,6171.1
29,2011-01-30,6171.09
30,2011-01-31,6171.08
31,2011-02-01,6171.05
32,2011-02-02,6171.04
33,2011-02-03,6171.03
34,2011-02-04,6171.02
35,2011-02-05,6171.02
36,2011-02-06,6171.01
37,2011-02-07,6171.0
38,2011-02-08,6170.98
39,2011-02-09,6170.96
40,2011-02-10,6170.95
41,2011-02-11,6170.94
42,2011-02-12,6170.94
43,2011-02-13,6170.91
44,2011-02-14,6170.91
45,2011-02-15,6170.99
46,2011-02-16,6171.08
47,2011-02-17,6171.09
48,2011-02-18,6171.1
49,2011-02-19,6171.1
50,2011-02-20,6171.1
51,2011-02-21,6171.07
52,2011-02-22,6171.07
53,2011-02-23,6171.07
54,2011-02-24,6171.11
55,2011-02-25,6171.11
56,2011-02-26,6171.09
57,2011-02-27,6171.08
58,2011-02-28,6171.07
59,2011-03-01,6171.05
60,2011-03-02,6171.05
61,2011-03-03,6171.08
62,2011-03-04,6171.07
63,2011-03-05,6171.13
64,2011-03-06,6171.17
65,2011-03-07,6171.17
66,2011-03-08,6171.22
67,2011-03-09,6171.24
68,2011-03-10,6171.29
69,2011-03-11,6171.32
70,2011-03-12,6171.29
71,2011-03-13,6171.3
72,2011-03-14,6171.36
73,2011-03-15,6171.4
74,2011-03-16,6171.52
75,2011-03-17,6171.55
76,2011-03-18,6171.62
77,2011-03-19,6171.66
78,2011-03-20,6171.71
79,2011-03-21,6171.74
80,2011-03-22,6171.73
81,2011-03-23,6171.7
82,2011-03-24,6171.74
83,2011-03-25,6171.83
84,2011-03-26,6171.91
85,2011-03-27,6171.94
86,2011-03-28,6171.99
87,2011-03-29,6172.01
88,2011-03-30,6172.05
89,2011-03-31,6172.04
90,2011-04-01,6172.03
91,2011-04-02,6172.06
92,2011-04-03,6172.05
93,2011-04-04,6172.05
94,2011-04-05,6172.15
95,2011-04-06,6172.16
