,datetime,DETROIT_LAKE_NEAR_DETROIT__OR.tsv
0,2013-07-30,1557.21
1,2013-07-31,1556.95
2,2013-08-01,1556.62
3,2013-08-02,1556.42
4,2013-08-03,1556.17
5,2013-08-04,1555.92
6,2013-08-05,1555.67
7,2013-08-06,1555.4
8,2013-08-07,1555.12
9,2013-08-08,1554.83
10,2013-08-09,1554.57
11,2013-08-10,1554.36
12,2013-08-11,1554.13
13,2013-08-12,1553.86
14,2013-08-13,1553.6
15,2013-08-14,1553.32
16,2013-08-15,1553.03
17,2013-08-16,1552.77
18,2013-08-17,1552.44
19,2013-08-18,1552.16
20,2013-08-19,1551.86
21,2013-08-20,1551.58
22,2013-08-21,1551.26
23,2013-08-22,1550.99
24,2013-08-23,1550.7
25,2013-08-24,1550.43
26,2013-08-25,1550.17
27,2013-08-26,1549.9
28,2013-08-27,1549.63
29,2013-08-28,1549.38
30,2013-08-29,1549.08
31,2013-08-30,1548.81
32,2013-08-31,1548.48
33,2013-09-01,1548.15
34,2013-09-02,1547.62
35,2013-09-03,1547.02
36,2013-09-04,1546.41
37,2013-09-05,1545.91
38,2013-09-06,1545.46
39,2013-09-07,1544.91
40,2013-09-08,1544.31
41,2013-09-09,1543.71
42,2013-09-10,1542.97
43,2013-09-11,1542.19
44,2013-09-12,1541.41
45,2013-09-13,1540.72
46,2013-09-14,1539.73
47,2013-09-15,1538.87
48,2013-09-16,1538.04
49,2013-09-17,1537.18
50,2013-09-18,1536.34
51,2013-09-19,1535.47
52,2013-09-20,1534.54
53,2013-09-21,1533.75
54,2013-09-22,1532.98
55,2013-09-23,1532.26
56,2013-09-24,1531.73
57,2013-09-25,1531.2
58,2013-09-26,1530.55
59,2013-09-27,1529.34
60,2013-09-28,1529.2
61,2013-09-29,1532.45
62,2013-09-30,1537.05
63,2013-10-01,1538.98
64,2013-10-02,1539.38
65,2013-10-03,1539.15
66,2013-10-04,1538.51
67,2013-10-05,1537.65
68,2013-10-06,1536.57
69,2013-10-07,1535.44
70,2013-10-08,1534.53
71,2013-10-09,1533.67
72,2013-10-10,1532.56
73,2013-10-11,1531.3
74,2013-10-12,1529.94
75,2013-10-13,1528.48
76,2013-10-14,1526.95
77,2013-10-15,1525.41
78,2013-10-16,1523.77
79,2013-10-17,1522.06
80,2013-10-18,1520.31
81,2013-10-19,1518.51
82,2013-10-20,1516.67
83,2013-10-21,1514.79
84,2013-10-22,1512.86
85,2013-10-23,1510.87
86,2013-10-24,1508.86
87,2013-10-25,1506.77
88,2013-10-26,1504.72
89,2013-10-27,1502.66
90,2013-10-28,1500.14
91,2013-10-29,1496.45
92,2013-10-30,1493.58
93,2013-10-31,1491.02
94,2013-11-01,1488.43
95,2013-11-02,1486.12
96,2013-11-03,1483.84
97,2013-11-04,1481.35
98,2013-11-05,1479.13
99,2013-11-06,1477.49
100,2013-11-07,1476.3
101,2013-11-08,1475.0
102,2013-11-09,1473.13
103,2013-11-10,1470.98
104,2013-11-11,1468.53
105,2013-11-12,1465.92
106,2013-11-13,1463.17
107,2013-11-14,1460.32
108,2013-11-15,1457.44
109,2013-11-16,1455.21
110,2013-11-17,1453.02
111,2013-11-18,1450.96
112,2013-11-19,1451.69
113,2013-11-20,1452.84
114,2013-11-21,1453.92
115,2013-11-22,1454.62
116,2013-11-23,1455.4
117,2013-11-24,1455.97
118,2013-11-25,1456.35
119,2013-11-26,1456.71
120,2013-11-27,1456.86
121,2013-11-28,1456.89
122,2013-11-29,1456.79
123,2013-11-30,1456.75
124,2013-12-01,1458.42
125,2013-12-02,1467.59
126,2013-12-03,1470.54
127,2013-12-04,1469.94
128,2013-12-05,1468.56
129,2013-12-06,1466.78
130,2013-12-07,1464.67
131,2013-12-08,1462.28
132,2013-12-09,1459.74
133,2013-12-10,1458.14
134,2013-12-11,1457.15
135,2013-12-12,1455.77
136,2013-12-13,1454.6
137,2013-12-14,1453.36
138,2013-12-15,1452.04
139,2013-12-16,1450.73
140,2013-12-17,1449.34
141,2013-12-18,1447.86
142,2013-12-19,1446.29
143,2013-12-20,1445.21
144,2013-12-21,1445.04
145,2013-12-22,1445.03
146,2013-12-23,1445.0
147,2013-12-24,1445.15
148,2013-12-25,1445.92
149,2013-12-26,1446.5
150,2013-12-27,1446.82
151,2013-12-28,1447.1
152,2013-12-29,1447.25
153,2013-12-30,1447.36
154,2013-12-31,1447.4
155,2014-01-01,1447.32
156,2014-01-02,1447.2
157,2014-01-03,1447.07
158,2014-01-04,1446.87
159,2014-01-05,1446.82
160,2014-01-06,1446.55
161,2014-01-07,1446.37
162,2014-01-08,1446.95
163,2014-01-09,1448.57
164,2014-01-10,1450.63
165,2014-01-11,1453.47
166,2014-01-12,1457.14
167,2014-01-13,1461.41
168,2014-01-14,1464.33
169,2014-01-15,1466.32
170,2014-01-16,1467.83
171,2014-01-17,1469.03
172,2014-01-18,1469.99
173,2014-01-19,1470.88
174,2014-01-20,1471.51
175,2014-01-21,1471.96
176,2014-01-22,1472.36
177,2014-01-23,1472.64
178,2014-01-24,1472.84
179,2014-01-25,1472.96
180,2014-01-26,1473.03
181,2014-01-27,1473.07
182,2014-01-28,1473.17
183,2014-01-29,1475.83
184,2014-01-30,1478.24
185,2014-01-31,1478.53
186,2014-02-01,1478.21
187,2014-02-02,1477.75
188,2014-02-03,1477.09
189,2014-02-04,1476.3
190,2014-02-05,1475.28
191,2014-02-06,1474.14
192,2014-02-07,1473.61
193,2014-02-08,1473.53
194,2014-02-09,1474.09
195,2014-02-10,1474.86
196,2014-02-11,1477.07
197,2014-02-12,1488.86
198,2014-02-13,1500.69
199,2014-02-14,1513.24
200,2014-02-15,1523.62
201,2014-02-16,1531.92
202,2014-02-17,1537.48
203,2014-02-18,1542.65
204,2014-02-19,1544.43
205,2014-02-20,1543.9
206,2014-02-21,1542.64
207,2014-02-22,1540.57
208,2014-02-23,1537.96
209,2014-02-24,1535.31
210,2014-02-25,1532.8
211,2014-02-26,1530.09
212,2014-02-27,1527.31
213,2014-02-28,1524.73
214,2014-03-01,1522.88
215,2014-03-02,1523.26
216,2014-03-03,1526.42
217,2014-03-04,1528.59
218,2014-03-05,1531.15
219,2014-03-06,1535.05
220,2014-03-07,1536.02
221,2014-03-08,1534.75
222,2014-03-09,1538.8
223,2014-03-10,1543.6
224,2014-03-11,1544.97
225,2014-03-12,1544.47
226,2014-03-13,1542.87
227,2014-03-14,1540.99
228,2014-03-15,1538.53
229,2014-03-16,1535.87
230,2014-03-17,1533.75
231,2014-03-18,1532.28
232,2014-03-19,1531.49
233,2014-03-20,1531.77
234,2014-03-21,1532.49
235,2014-03-22,1533.14
236,2014-03-23,1533.62
237,2014-03-24,1534.75
238,2014-03-25,1534.63
239,2014-03-26,1535.41
240,2014-03-27,1536.71
241,2014-03-28,1539.54
242,2014-03-29,1543.95
243,2014-03-30,1546.99
244,2014-03-31,1549.01
245,2014-04-01,1550.31
246,2014-04-02,1551.22
247,2014-04-03,1551.91
248,2014-04-04,1552.44
249,2014-04-05,1552.74
250,2014-04-06,1553.54
251,2014-04-07,1554.19
252,2014-04-08,1554.45
253,2014-04-09,1554.75
254,2014-04-10,1554.93
255,2014-04-11,1554.85
256,2014-04-12,1554.61
257,2014-04-13,1554.28
258,2014-04-14,1553.79
259,2014-04-15,1553.65
260,2014-04-16,1553.8
261,2014-04-17,1554.03
262,2014-04-18,1554.53
263,2014-04-19,1554.8
264,2014-04-20,1554.98
265,2014-04-21,1555.33
266,2014-04-22,1555.77
267,2014-04-23,1556.47
268,2014-04-24,1559.82
269,2014-04-25,1561.28
270,2014-04-26,1561.81
271,2014-04-27,1562.2
272,2014-04-28,1562.58
273,2014-04-29,1562.84
274,2014-04-30,1562.96
275,2014-05-01,1563.03
276,2014-05-02,1563.03
277,2014-05-03,1563.0
278,2014-05-04,1563.28
279,2014-05-05,1563.75
280,2014-05-06,1563.99
281,2014-05-07,1563.89
282,2014-05-08,1563.78
283,2014-05-09,1564.36
284,2014-05-10,1564.13
285,2014-05-11,1563.25
286,2014-05-12,1563.04
287,2014-05-13,1562.96
288,2014-05-14,1563.22
289,2014-05-15,1563.19
290,2014-05-16,1563.31
291,2014-05-17,1563.4
292,2014-05-18,1563.68
293,2014-05-19,1563.86
294,2014-05-20,1563.83
295,2014-05-21,1563.71
296,2014-05-22,1563.46
297,2014-05-23,1563.26
298,2014-05-24,1563.06
299,2014-05-25,1562.76
300,2014-05-26,1562.44
301,2014-05-27,1562.06
302,2014-05-28,1561.83
303,2014-05-29,1561.8
304,2014-05-30,1561.69
305,2014-05-31,1561.49
306,2014-06-01,1561.46
307,2014-06-02,1561.4
308,2014-06-03,1561.38
309,2014-06-04,1561.35
310,2014-06-05,1561.15
311,2014-06-06,1561.17
312,2014-06-07,1561.1
313,2014-06-08,1561.08
314,2014-06-09,1561.08
315,2014-06-10,1560.96
316,2014-06-11,1560.86
317,2014-06-12,1560.79
318,2014-06-13,1560.9
319,2014-06-14,1560.96
320,2014-06-15,1560.95
321,2014-06-16,1561.02
322,2014-06-17,1561.13
323,2014-06-18,1561.18
324,2014-06-19,1561.13
325,2014-06-20,1561.11
326,2014-06-21,1561.13
327,2014-06-22,1561.1
328,2014-06-23,1561.07
329,2014-06-24,1561.03
330,2014-06-25,1560.95
331,2014-06-26,1560.94
332,2014-06-27,1561.15
333,2014-06-28,1561.43
334,2014-06-29,1561.56
335,2014-06-30,1561.6
336,2014-07-01,1561.58
337,2014-07-02,1561.59
338,2014-07-03,1561.57
339,2014-07-04,1561.5
340,2014-07-05,1561.45
341,2014-07-06,1561.33
342,2014-07-07,1561.21
343,2014-07-08,1561.1
344,2014-07-09,1561.01
345,2014-07-10,1560.87
346,2014-07-11,1560.7
347,2014-07-12,1560.51
348,2014-07-13,1560.33
349,2014-07-14,1560.2
350,2014-07-15,1560.04
351,2014-07-16,1559.84
352,2014-07-17,1559.62
353,2014-07-18,1559.51
354,2014-07-19,1559.4
355,2014-07-20,1559.27
356,2014-07-21,1559.19
357,2014-07-22,1559.05
358,2014-07-23,1559.02
359,2014-07-24,1558.95
360,2014-07-25,1558.86
361,2014-07-26,1558.73
362,2014-07-27,1558.55
363,2014-07-28,1558.4
364,2014-07-29,1558.25
365,2014-07-30,1558.13
366,2014-07-31,1558.03
367,2014-08-01,1557.88
368,2014-08-02,1557.74
369,2014-08-03,1557.57
370,2014-08-04,1557.42
371,2014-08-05,1557.25
372,2014-08-06,1557.04
373,2014-08-07,1556.82
374,2014-08-08,1556.64
375,2014-08-09,1556.49
376,2014-08-10,1556.31
377,2014-08-11,1556.17
378,2014-08-12,1555.97
379,2014-08-13,1555.81
380,2014-08-14,1555.63
381,2014-08-15,1555.46
382,2014-08-16,1555.31
383,2014-08-17,1555.11
384,2014-08-18,1554.91
385,2014-08-19,1554.7
386,2014-08-20,1554.49
387,2014-08-21,1554.3
388,2014-08-22,1554.1
389,2014-08-23,1553.88
