,datetime,DEXTER_LAKE_AT_DEXTER__OR.
0,2013-07-31,693.3
1,2013-08-01,693.27
2,2013-08-02,693.11
3,2013-08-03,693.14
4,2013-08-04,693.02
5,2013-08-05,693.34
6,2013-08-06,693.14
7,2013-08-07,693.16
8,2013-08-08,693.22
9,2013-08-09,693.27
10,2013-08-10,693.25
11,2013-08-11,693.26
12,2013-08-12,693.28
13,2013-08-13,693.34
14,2013-08-14,693.44
15,2013-08-15,692.43
16,2013-08-16,691.36
17,2013-08-17,691.46
18,2013-08-18,691.47
19,2013-08-19,692.74
20,2013-08-20,693.63
21,2013-08-21,693.87
22,2013-08-22,693.55
23,2013-08-23,693.35
24,2013-08-24,693.63
25,2013-08-25,693.51
26,2013-08-26,693.11
27,2013-08-27,693.51
28,2013-08-28,693.32
29,2013-08-29,694.39
30,2013-08-30,694.28
31,2013-08-31,694.1
32,2013-09-01,693.94
33,2013-09-02,693.68
34,2013-09-03,693.53
35,2013-09-04,693.39
36,2013-09-05,693.31
37,2013-09-06,693.59
38,2013-09-07,693.64
39,2013-09-08,693.78
40,2013-09-09,693.72
41,2013-09-10,693.75
42,2013-09-11,693.6
43,2013-09-12,693.46
44,2013-09-13,693.38
45,2013-09-14,693.49
46,2013-09-15,693.47
47,2013-09-16,693.79
48,2013-09-17,693.56
49,2013-09-18,693.88
50,2013-09-19,693.98
51,2013-09-20,694.13
52,2013-09-21,694.43
53,2013-09-22,694.45
54,2013-09-23,694.37
55,2013-09-24,694.17
56,2013-09-25,693.93
57,2013-09-26,694.42
58,2013-09-27,694.23
59,2013-09-28,694.05
60,2013-09-29,694.02
61,2013-09-30,694.02
62,2013-10-01,693.97
63,2013-10-02,693.98
64,2013-10-03,693.95
65,2013-10-04,694.37
66,2013-10-05,694.21
67,2013-10-06,694.19
68,2013-10-07,694.14
69,2013-10-08,694.15
70,2013-10-09,694.04
71,2013-10-10,694.05
72,2013-10-11,694.09
73,2013-10-12,694.03
74,2013-10-13,693.07
75,2013-10-14,694.09
76,2013-10-15,693.96
77,2013-10-16,693.75
78,2013-10-17,693.67
79,2013-10-18,693.65
80,2013-10-19,693.76
81,2013-10-20,693.68
82,2013-10-21,693.64
83,2013-10-22,693.54
84,2013-10-23,693.44
85,2013-10-24,694.41
86,2013-10-25,694.41
87,2013-10-26,694.37
88,2013-10-27,694.04
89,2013-10-28,694.01
90,2013-10-29,693.94
91,2013-10-30,693.98
92,2013-10-31,694.03
93,2013-11-01,694.11
94,2013-11-02,694.21
95,2013-11-03,693.76
96,2013-11-04,693.47
97,2013-11-05,693.19
98,2013-11-06,693.68
99,2013-11-07,693.18
100,2013-11-08,691.69
101,2013-11-09,691.46
102,2013-11-10,691.41
103,2013-11-11,691.51
104,2013-11-12,691.69
105,2013-11-13,691.72
106,2013-11-14,692.56
107,2013-11-15,692.06
108,2013-11-16,692.23
109,2013-11-17,693.01
110,2013-11-18,693.02
111,2013-11-19,693.0
112,2013-11-20,692.88
113,2013-11-21,692.78
114,2013-11-22,693.39
115,2013-11-23,693.04
116,2013-11-24,692.97
117,2013-11-25,692.82
118,2013-11-26,693.06
119,2013-11-27,693.28
120,2013-11-28,693.4
121,2013-11-29,693.33
122,2013-11-30,693.48
123,2013-12-01,693.17
124,2013-12-02,692.87
125,2013-12-03,692.68
126,2013-12-04,693.2
127,2013-12-05,693.05
128,2013-12-06,693.1
129,2013-12-07,693.0
130,2013-12-08,693.07
131,2013-12-09,693.08
132,2013-12-10,692.65
133,2013-12-11,693.36
134,2013-12-12,694.07
135,2013-12-13,693.53
136,2013-12-14,693.44
137,2013-12-15,693.38
138,2013-12-16,693.25
139,2013-12-17,693.07
140,2013-12-18,693.7
141,2013-12-19,693.94
142,2013-12-20,693.68
143,2013-12-21,693.45
144,2013-12-22,692.95
145,2013-12-23,692.72
146,2013-12-24,692.98
147,2013-12-25,693.06
148,2013-12-26,693.15
149,2013-12-27,693.15
150,2013-12-28,693.17
151,2013-12-29,693.18
152,2013-12-30,693.16
153,2013-12-31,693.1
154,2014-01-01,693.22
155,2014-01-02,693.3
156,2014-01-03,693.17
157,2014-01-04,693.06
158,2014-01-05,693.09
159,2014-01-06,693.08
160,2014-01-07,693.08
161,2014-01-08,692.89
162,2014-01-09,692.87
163,2014-01-10,693.24
164,2014-01-11,693.32
165,2014-01-12,693.19
166,2014-01-13,693.12
167,2014-01-14,693.2
168,2014-01-15,693.27
169,2014-01-16,693.08
170,2014-01-17,693.31
171,2014-01-18,693.29
172,2014-01-19,693.24
173,2014-01-20,693.3
174,2014-01-21,693.27
175,2014-01-22,693.23
176,2014-01-23,693.19
177,2014-01-24,693.18
178,2014-01-25,693.24
179,2014-01-26,693.28
180,2014-01-27,693.2
181,2014-01-28,693.15
182,2014-01-29,693.15
183,2014-01-30,693.2
184,2014-01-31,693.29
185,2014-02-01,693.43
186,2014-02-02,693.43
187,2014-02-03,693.26
188,2014-02-04,693.19
189,2014-02-05,693.17
190,2014-02-06,693.21
191,2014-02-07,693.33
192,2014-02-08,693.51
193,2014-02-09,693.42
194,2014-02-10,693.27
195,2014-02-11,693.35
196,2014-02-12,693.53
197,2014-02-13,693.66
198,2014-02-14,693.83
199,2014-02-15,693.38
200,2014-02-16,693.15
201,2014-02-17,693.02
202,2014-02-18,692.24
203,2014-02-19,693.01
204,2014-02-20,694.04
205,2014-02-21,693.81
206,2014-02-22,693.21
207,2014-02-23,692.48
208,2014-02-24,691.95
209,2014-02-25,692.18
210,2014-02-26,692.66
211,2014-02-27,693.16
212,2014-02-28,693.15
213,2014-03-01,692.71
214,2014-03-02,692.58
215,2014-03-03,692.39
216,2014-03-04,692.2
217,2014-03-05,692.46
218,2014-03-06,692.17
219,2014-03-07,692.06
220,2014-03-08,692.35
221,2014-03-09,692.63
222,2014-03-10,692.36
223,2014-03-11,692.41
