,datetime,DIAMOND_LAKE_NEAR_DIAMOND_LAKE__OR.
0,2011-01-01,5183.62
1,2011-01-02,5183.55
2,2011-01-03,5183.51
3,2011-01-04,5183.49
4,2011-01-05,5183.46
5,2011-01-06,5183.43
6,2011-01-07,5183.4
7,2011-01-08,5183.37
8,2011-01-09,5183.35
9,2011-01-10,5183.33
10,2011-01-11,5183.32
11,2011-01-12,5183.28
12,2011-01-13,5183.44
13,2011-01-14,5183.4
14,2011-01-15,5183.51
15,2011-01-16,5183.64
16,2011-01-17,5183.63
17,2011-01-18,5183.64
18,2011-01-19,5183.6
19,2011-01-20,5183.58
20,2011-01-21,5183.55
21,2011-01-22,5183.52
22,2011-01-23,5183.5
23,2011-01-24,5183.46
24,2011-01-25,5183.46
25,2011-01-26,5183.41
26,2011-01-27,5183.4
27,2011-01-28,5183.36
28,2011-01-29,5183.34
29,2011-01-30,5183.32
30,2011-01-31,5183.29
31,2011-02-01,5183.27
32,2011-02-02,5183.23
33,2011-02-03,5183.23
34,2011-02-04,5183.19
35,2011-02-05,5183.18
36,2011-02-06,5183.17
37,2011-02-07,5183.15
38,2011-02-08,5183.15
39,2011-02-09,5183.12
40,2011-02-10,5183.1
41,2011-02-11,5183.09
42,2011-02-12,5183.092352941177
43,2011-02-13,5183.094705882353
44,2011-02-14,5183.09705882353
45,2011-02-15,5183.099411764706
46,2011-02-16,5183.1017647058825
47,2011-02-17,5183.104117647059
48,2011-02-18,5183.106470588235
49,2011-02-19,5183.108823529412
50,2011-02-20,5183.111176470588
51,2011-02-21,5183.113529411765
52,2011-02-22,5183.115882352941
53,2011-02-23,5183.118235294118
54,2011-02-24,5183.120588235294
55,2011-02-25,5183.122941176471
56,2011-02-26,5183.125294117647
57,2011-02-27,5183.127647058824
58,2011-02-28,5183.13
59,2011-03-01,5183.16
60,2011-03-02,5183.14
61,2011-03-03,5183.14
62,2011-03-04,5183.16
63,2011-03-05,5183.2
64,2011-03-06,5183.18
65,2011-03-07,5183.17
66,2011-03-08,5183.23
67,2011-03-09,5183.21
68,2011-03-10,5183.26
69,2011-03-11,5183.23
70,2011-03-12,5183.21
71,2011-03-13,5183.24
72,2011-03-14,5183.25
73,2011-03-15,5183.32
74,2011-03-16,5183.39
75,2011-03-17,5183.36
76,2011-03-18,5183.39
77,2011-03-19,5183.37
78,2011-03-20,5183.34
79,2011-03-21,5183.32
80,2011-03-22,5183.3
81,2011-03-23,5183.29
82,2011-03-24,5183.27
83,2011-03-25,5183.3
84,2011-03-26,5183.34
85,2011-03-27,5183.38
86,2011-03-28,5183.34
87,2011-03-29,5183.33
88,2011-03-30,5183.31
89,2011-03-31,5183.31
90,2011-04-01,5183.26
91,2011-04-02,5183.27
92,2011-04-03,5183.25
93,2011-04-04,5183.27
